symbol,ts,pre_action_equity,post_action_equity,close_equity,favorable_equity,adverse_equity,position,action,wtl_long_run,wtl_short_run,wtl_rsi_run,wtl_entry_leverage
ETHUSDT,2024-09-14T00:00:00+00:00,0.9713273989674698,0.9699525836190146,0.9699525836190146,0.9699525836190146,0.9699525836190146,0,ma7_hysteresis_exit,0,0,0,1.0
ETHUSDT,2024-09-15T00:00:00+00:00,0.9699525836190146,0.9699525836190146,0.9699525836190146,0.9699525836190146,0.9699525836190146,0,hold,0,0,0,1.0
ETHUSDT,2024-09-16T00:00:00+00:00,0.9699525836190146,0.9699525836190146,0.9699525836190146,0.9699525836190146,0.9699525836190146,0,hold,0,0,0,1.0
ETHUSDT,2024-09-17T00:00:00+00:00,0.9699525836190146,0.9699525836190146,0.9699525836190146,0.9699525836190146,0.9699525836190146,0,hold,0,0,0,1.0
ETHUSDT,2024-09-18T00:00:00+00:00,0.9699525836190146,0.9699525836190146,0.9699525836190146,0.9699525836190146,0.9699525836190146,0,hold,0,0,0,1.0
ETHUSDT,2024-09-19T00:00:00+00:00,0.9699525836190146,0.9699525836190146,0.9699525836190146,0.9699525836190146,0.9699525836190146,0,hold,0,0,0,1.0
ETHUSDT,2024-09-20T00:00:00+00:00,0.9699525836190146,0.9699525836190146,0.9699525836190146,0.9699525836190146,0.9699525836190146,0,hold,0,0,0,1.0
ETHUSDT,2024-09-21T00:00:00+00:00,0.9699525836190146,0.9699525836190146,0.9699525836190146,0.9699525836190146,0.9699525836190146,0,hold,0,0,0,1.0
ETHUSDT,2024-09-22T00:00:00+00:00,0.9699525836190146,0.9699525836190146,0.9699525836190146,0.9699525836190146,0.9699525836190146,0,hold,0,0,0,1.0
ETHUSDT,2024-09-23T00:00:00+00:00,0.9699525836190146,0.9699525836190146,0.9699525836190146,0.9699525836190146,0.9699525836190146,0,hold,0,0,0,1.0
ETHUSDT,2024-09-24T00:00:00+00:00,0.9699525836190146,0.9699525836190146,0.9699525836190146,0.9699525836190146,0.9699525836190146,0,hold,0,0,0,1.0
ETHUSDT,2024-09-25T00:00:00+00:00,0.9699525836190146,0.9699525836190146,0.9699525836190146,0.9699525836190146,0.9699525836190146,0,hold,0,0,0,1.0
ETHUSDT,2024-09-26T00:00:00+00:00,0.9699525836190146,0.9699525836190146,0.9699525836190146,0.9699525836190146,0.9699525836190146,0,hold,0,0,0,1.0
ETHUSDT,2024-09-27T00:00:00+00:00,0.9699525836190146,0.9685965484511829,0.9913260994256249,1.0038902157084197,0.9621300823617959,1,enter_long,0,0,0,1.0
ETHUSDT,2024-09-28T00:00:00+00:00,0.9913224181726852,0.9913224181726852,0.9838688773856235,0.9946917610279961,0.9744522323661715,1,hold,0,0,0,1.0
ETHUSDT,2024-09-29T00:00:00+00:00,0.9838725586385629,0.9838725586385629,0.9772044502494835,0.9870333955981687,0.9685535058414647,1,hold,1,0,0,1.0
ETHUSDT,2024-09-30T00:00:00+00:00,0.9772044502494835,0.9758354585438057,0.9758354585438057,0.9758354585438057,0.9758354585438057,0,long_mfe_fraction_trail_exit,0,0,0,1.0
ETHUSDT,2024-10-01T00:00:00+00:00,0.9758354585438057,0.9758354585438057,0.9758354585438057,0.9758354585438057,0.9758354585438057,0,hold,0,0,0,1.0
ETHUSDT,2024-10-02T00:00:00+00:00,0.9758354585438057,0.9744711988653941,1.0081280741628385,1.013305394221383,0.9543635966317968,-1,pehc_handoff_enter_short,0,0,0,1.0
ETHUSDT,2024-10-03T00:00:00+00:00,1.0081280741628385,1.0081280741628385,1.0139118266221603,1.0301009081898405,0.992585250534847,-1,hold,0,0,0,1.0
ETHUSDT,2024-10-04T00:00:00+00:00,1.0139118266221603,1.0139118266221603,0.9882896326222244,1.0182025948989395,0.9776880741638813,-1,hold,0,0,0,1.0
ETHUSDT,2024-10-05T00:00:00+00:00,0.9882896326222244,0.9882896326222244,0.9884983308200769,0.9983591342546592,0.9827156625700716,-1,hold,0,0,0,1.0
ETHUSDT,2024-10-06T00:00:00+00:00,0.9884983308200769,0.9884983308200769,0.9785721945993235,0.9917186049941359,0.9712681907628842,-1,hold,0,0,0,1.0
ETHUSDT,2024-10-07T00:00:00+00:00,0.9785761771532147,0.9785761771532147,0.9855002813664131,0.9937322202594993,0.9462721255382087,-1,hold,0,0,0,1.0
ETHUSDT,2024-10-08T00:00:00+00:00,0.9855002813664131,0.9855002813664131,0.978536780029453,0.9943992921780558,0.9678675181549596,-1,hold,0,0,0,1.0
ETHUSDT,2024-10-09T00:00:00+00:00,0.978536780029453,0.978536780029453,1.00674068733754,1.014546492964269,0.9656009056415651,-1,hold,0,0,0,1.0
ETHUSDT,2024-10-10T00:00:00+00:00,1.00674068733754,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,0,ma7_slope_exit,0,0,0,1.0
ETHUSDT,2024-10-11T00:00:00+00:00,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,0,hold,0,0,0,1.0
ETHUSDT,2024-10-12T00:00:00+00:00,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,0,hold,0,0,0,1.0
ETHUSDT,2024-10-13T00:00:00+00:00,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,0,hold,0,0,0,1.0
ETHUSDT,2024-10-14T00:00:00+00:00,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,0,hold,0,0,0,1.0
ETHUSDT,2024-10-15T00:00:00+00:00,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,0,hold,0,0,0,1.0
ETHUSDT,2024-10-16T00:00:00+00:00,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,0,hold,0,0,0,1.0
ETHUSDT,2024-10-17T00:00:00+00:00,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,0,hold,0,0,0,1.0
ETHUSDT,2024-10-18T00:00:00+00:00,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,0,hold,0,0,0,1.0
ETHUSDT,2024-10-19T00:00:00+00:00,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,0,hold,0,0,0,1.0
ETHUSDT,2024-10-20T00:00:00+00:00,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,0,hold,0,0,0,1.0
ETHUSDT,2024-10-21T00:00:00+00:00,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,1.0054194989794616,0,hold,0,0,0,1.0
