symbol,entry_ts,exit_ts,side,entry_price,entry_leverage,exit_price,bars_held,exit_reason,net_return,net_pnl
ETHUSDT,2024-11-07T00:00:00+00:00,2024-11-14T00:00:00+00:00,long,2722.5,1.0,3188.9,7,long_mfe_fraction_trail_exit,0.16353010721203431,0.16441635846118108
ETHUSDT,2024-11-15T00:00:00+00:00,2024-11-16T00:00:00+00:00,short,3061.04,1.0,3091.75,1,ma7_slope_exit,-0.012468742383223153,-0.014586381937084392
ETHUSDT,2024-11-22T00:00:00+00:00,2024-11-30T00:00:00+00:00,long,3358.69,1.0,3594.51,8,long_mfe_fraction_trail_exit,0.06201552479539152,0.07164340249295398
ETHUSDT,2024-12-05T00:00:00+00:00,2024-12-09T22:00:00+00:00,long,3840.74,1.0,3693.4678571428576,4,protective_stop,-0.04466972263460367,-0.054804964562474856
ETHUSDT,2024-12-09T22:00:00+00:00,2024-12-10T00:00:00+00:00,short,3699.13,1.0,3712.55,1,ma7_slope_exit,-0.006423965549424815,-0.007529452376797474
ETHUSDT,2024-12-27T00:00:00+00:00,2024-12-29T00:00:00+00:00,short,3333.15,1.0,3402.53,2,ma7_slope_exit,-0.023080268400142323,-0.026878321848857745
ETHUSDT,2025-01-16T00:00:00+00:00,2025-01-19T10:00:00+00:00,long,3449.81,1.0,3161.357142857143,3,protective_stop,-0.08718271563235536,-0.09918604405718279
ETHUSDT,2025-01-19T10:00:00+00:00,2025-01-21T00:00:00+00:00,short,3225.51,1.0,3283.21,2,ma7_slope_exit,-0.020272438611304566,-0.021052807792155015
ETHUSDT,2025-02-02T00:00:00+00:00,2025-02-15T00:00:00+00:00,short,3116.23,1.0,2724.75,13,ma7_slope_exit,0.12331980837219314,0.1254706645870749
ETHUSDT,2025-02-23T00:00:00+00:00,2025-02-24T23:00:00+00:00,long,2762.0,1.0,2602.6964285714284,1,protective_stop,-0.06056105450275917,-0.06921595301366379
ETHUSDT,2025-02-24T23:00:00+00:00,2025-03-02T00:00:00+00:00,short,2506.66,1.0,2216.59,6,short_rsi_take_profit,0.11333642131808674,0.1216888621025527
ETHUSDT,2025-03-18T00:00:00+00:00,2025-03-22T00:00:00+00:00,long,1925.36,1.0,1964.81,4,long_mfe_fraction_trail_exit,0.017168932909205736,0.02052348247979019
ETHUSDT,2025-03-29T00:00:00+00:00,2025-04-08T00:00:00+00:00,short,1896.03,1.0,1552.44,10,short_rsi_take_profit,0.17884281746940256,0.2174564739387408
ETHUSDT,2025-04-21T00:00:00+00:00,2025-04-22T16:00:00+00:00,short,1586.57,1.0,1680.152857142857,1,protective_stop,-0.061631839587178994,-0.08834091049920256
ETHUSDT,2025-05-02T00:00:00+00:00,2025-05-17T00:00:00+00:00,long,1837.18,1.0,2535.71,15,long_mfe_fraction_trail_exit,0.373185588867333,0.501943538757395
ETHUSDT,2025-05-19T00:00:00+00:00,2025-05-20T00:00:00+00:00,short,2496.98,1.0,2526.87,1,ma7_slope_exit,-0.014662446092599257,-0.027081060607534013
ETHUSDT,2025-05-27T00:00:00+00:00,2025-05-31T02:00:00+00:00,long,2562.42,1.0,2500.4364285714287,4,protective_stop,-0.02803865290627583,-0.05102716268079366
ETHUSDT,2025-05-31T02:00:00+00:00,2025-06-03T00:00:00+00:00,short,2491.86,1.0,2606.49,3,ma7_slope_exit,-0.048381173809613265,-0.08557948548480399
ETHUSDT,2025-06-10T00:00:00+00:00,2025-06-13T01:00:00+00:00,long,2679.13,1.0,2601.582857142857,3,protective_stop,-0.03248219331005053,-0.05467661781013056
ETHUSDT,2025-06-13T01:00:00+00:00,2025-06-14T00:00:00+00:00,short,2528.39,1.0,2578.1,1,ma7_slope_exit,-0.022446498731090836,-0.036556437846967826
ETHUSDT,2025-07-03T00:00:00+00:00,2025-08-01T01:00:00+00:00,long,2569.37,1.0,3625.3735714285713,29,protective_stop,0.3982567578638909,0.6340433496551381
ETHUSDT,2025-08-01T01:00:00+00:00,2025-08-07T23:00:00+00:00,short,3680.01,1.0,3926.1064285714288,6,protective_stop,-0.06883998219447818,-0.1532439980929836
ETHUSDT,2025-08-23T00:00:00+00:00,2025-08-25T21:00:00+00:00,long,4830.36,1.0,4341.972857142858,2,protective_stop,-0.10432150338897894,-0.21624241444013093
ETHUSDT,2025-08-25T21:00:00+00:00,2025-08-26T00:00:00+00:00,short,4349.1,1.0,4374.25,1,ma7_slope_exit,-0.008578891118275589,-0.01592760029208029
ETHUSDT,2025-09-05T00:00:00+00:00,2025-09-12T00:00:00+00:00,short,4295.68,1.0,4456.87,7,ma7_hysteresis_exit,-0.03933201728926705,-0.07239750096829867
ETHUSDT,2025-09-18T00:00:00+00:00,2025-09-22T01:00:00+00:00,long,4588.31,1.0,4387.961428571429,4,protective_stop,-0.04648562773124887,-0.08219953687308101
