symbol,window,variant,start_ts,end_ts,days,equity_multiple,net_return_pct,max_drawdown_pct,sharpe,closed_trades,long_trades,short_trades,win_rate,profit_factor,turnover_multiple,cost_pct_initial,funding_pct_initial,max_intraday_leverage,bankrupt_intraday,annualized_factor
ETHUSDT,full,base,2024-07-31T00:00:00+00:00,2026-07-30T00:00:00+00:00,729.0,1.6739311262877652,67.39311262877652,-36.72580076534556,0.815837253992802,54.0,23.0,31.0,0.3888888888888889,1.2724776553516026,171.02119134017497,23.942966787624464,3.1882191603078334,1.070397075868587,False,
ETHUSDT,full,stress_8bps,2024-07-31T00:00:00+00:00,2026-07-30T00:00:00+00:00,729.0,1.6036919971196104,60.369199711961045,-37.92021589545536,0.7646930872727475,54.0,23.0,31.0,0.3888888888888889,1.2459429884429347,167.04170883638233,30.067507590548857,3.1480219284768025,1.0703970758685806,False,
ETHUSDT,full,one_day_extra_delay,2024-07-31T00:00:00+00:00,2026-07-30T00:00:00+00:00,729.0,0.6498613186148826,-35.01386813851174,-67.39910972350225,-0.37219455392601203,49.0,22.0,27.0,0.3877551020408163,0.8179702741123632,101.20487331896977,14.168682264655752,0.9681200138038302,1.1204126873569302,False,
ETHUSDT,full,funding_off,2024-07-31T00:00:00+00:00,2026-07-30T00:00:00+00:00,729.0,1.707024919201531,70.7024919201531,-36.63788357235459,0.8388212498028063,54.0,23.0,31.0,0.3888888888888889,1.281669875868528,173.72967122520618,24.32215397152878,0.0,1.0702853623071389,False,
ETHUSDT,full,buy_and_hold,2024-07-31T00:00:00+00:00,2026-07-30T00:00:00+00:00,,0.48854895731835435,-51.145104268164566,,,,,,,,,0.22124648903377975,9.236672779862138,,,0.6984478614852201
ETHUSDT,hype_common,base,2025-05-31T00:00:00+00:00,2026-07-30T00:00:00+00:00,425.0,0.9618882903946824,-3.8111709605317623,-36.72580076534575,0.10757470224691437,33.0,14.0,19.0,0.36363636363636365,0.9660744561970577,69.30220864198712,9.702309209878113,0.7779375367598278,1.0703970758685868,False,
ETHUSDT,hype_common,stress_8bps,2025-05-31T00:00:00+00:00,2026-07-30T00:00:00+00:00,425.0,0.9369727891262791,-6.302721087372087,-37.92021589545524,0.05017568155250904,33.0,14.0,19.0,0.36363636363636365,0.9440948934120674,68.4046264326071,12.312832757869241,0.7763745540716732,1.0703970758685806,False,
ETHUSDT,hype_common,one_day_extra_delay,2025-05-31T00:00:00+00:00,2026-07-30T00:00:00+00:00,425.0,0.397840721183118,-60.2159278816882,-65.61478329148447,-2.2544597846613095,31.0,15.0,16.0,0.3225806451612903,0.31955455926695425,37.75229693446788,5.285321570825535,0.10074147448823556,1.1204126873569304,False,
ETHUSDT,hype_common,funding_off,2025-05-31T00:00:00+00:00,2026-07-30T00:00:00+00:00,425.0,0.9678126962701855,-3.2187303729814487,-36.63788357235477,0.12129657678051887,33.0,14.0,19.0,0.36363636363636365,0.9715020667433241,69.69656472548107,9.757519061567276,0.0,1.070285362307139,False,
ETHUSDT,hype_common,buy_and_hold,2025-05-31T00:00:00+00:00,2026-07-30T00:00:00+00:00,,0.7047066975617666,-29.52933024382334,,,,,,,,,0.24534638152801844,4.811007787483086,,,0.7402469557259901
