name,start,end,bars,total_return,sharpe,max_drawdown,exposure,trade_count,win_rate,profit_factor,best_trade,worst_trade,slice
buy_hold,2025-05-30 12:00:00+00:00,2026-05-15 00:00:00+00:00,1398,0.21805375031542296,0.6932954935741211,-0.6608695348608357,1.0,0,0.0,0.0,0.0,0.0,canonical_to_2026_05_15
v10,2025-05-30 12:00:00+00:00,2026-05-15 00:00:00+00:00,1398,2.0959257827517392,2.4393350606991313,-0.2608525761378536,0.4842632331902718,102,0.5392156862745098,1.9536106158246644,0.22749308869577112,-0.10446267620587657,canonical_to_2026_05_15
v10_no_mfeu,2025-05-30 12:00:00+00:00,2026-05-15 00:00:00+00:00,1398,1.7423824174841909,2.3907699292203253,-0.26349842440535975,0.38483547925608014,108,0.5462962962962963,1.769153164270041,0.10584841446179971,-0.12802502732618748,canonical_to_2026_05_15
v10_no_range,2025-05-30 12:00:00+00:00,2026-05-15 00:00:00+00:00,1398,1.4109194312542885,1.452685659564855,-0.3812372935411862,0.9513590844062947,129,0.43410852713178294,1.4404827258336625,0.23418799668984214,-0.10446267620587657,canonical_to_2026_05_15
melt_long,2025-05-30 12:00:00+00:00,2026-05-15 00:00:00+00:00,1398,0.3719823107232463,1.247946100493301,-0.19264666050812396,0.07582260371959942,18,0.4444444444444444,2.5652965781213806,0.23418799668984214,-0.047875820011202386,canonical_to_2026_05_15
rs4_w1,2025-05-30 12:00:00+00:00,2026-05-15 00:00:00+00:00,1398,3.1805936835735222,2.629617707295051,-0.29772415250256523,0.5257510729613734,120,0.525,2.0431290256912016,0.23418799668984214,-0.10446267620587657,canonical_to_2026_05_15
rs4_w0_5,2025-05-30 12:00:00+00:00,2026-05-15 00:00:00+00:00,1398,2.636014715937128,2.617002460853671,-0.27914090572215244,0.5257510729613734,120,0.525,2.0431290256912016,0.23418799668984214,-0.10446267620587657,canonical_to_2026_05_15
rs4_no_er,2025-05-30 12:00:00+00:00,2026-05-15 00:00:00+00:00,1398,2.7206345751091936,2.129332295872836,-0.39292839481922637,0.642346208869814,127,0.5118110236220472,1.8161307103812456,0.2790897706187616,-0.12461804675858257,canonical_to_2026_05_15
rs4_melt_both,2025-05-30 12:00:00+00:00,2026-05-15 00:00:00+00:00,1398,1.4531139608125927,1.686748965190222,-0.3598614348124888,0.5693848354792561,135,0.48148148148148145,1.554034976692179,0.23418799668984214,-0.10446267620587657,canonical_to_2026_05_15
rs4_no_donchian,2025-05-30 12:00:00+00:00,2026-05-15 00:00:00+00:00,1398,3.3618712374418847,2.4537701137127774,-0.2930831042113653,0.5915593705293276,150,0.5466666666666666,1.8893332897656452,0.23418799668984214,-0.10446267620587657,canonical_to_2026_05_15
