ts,buy_hold,v10,v10_no_mfeu,v10_no_range,melt_long,rs4_w1,rs4_w0_5,rs4_no_er,rs4_melt_both,rs4_no_donchian
2025-06-28 12:00:00+00:00,1.1133542649045391,1.047713733495699,1.047713733495699,1.285162291807697,0.970584776910298,1.0168950002907784,1.034662403067968,0.9590951087169148,0.9544648357236546,1.028423498964687
2025-06-28 18:00:00+00:00,1.1279511367020723,1.0604546828678747,1.0604546828678747,1.3007907857096703,0.970584776910298,1.029261171794797,1.047244638914776,0.9707583921430968,0.9660718117140357,1.0409298652692942
2025-06-29 00:00:00+00:00,1.122854933566252,1.0556634358852903,1.0556634358852903,1.2949136746669332,0.970584776910298,1.0246108604110833,1.0425130763149877,0.9663724025366427,0.9617069965761393,1.0362268334880909
2025-06-29 06:00:00+00:00,1.1589848593983647,1.0896313515100369,1.0896313515100369,1.3365799074331841,0.970584776910298,1.0575796022198356,1.0760578548970605,0.9974672146856685,0.9926516906945178,1.0695693406276925
2025-06-29 12:00:00+00:00,1.1411770407738495,1.0728891505072138,1.0728891505072138,1.3160433384040624,0.970584776910298,1.0413298767945232,1.0595242108601237,0.9821411169381591,0.9773995835406913,1.0531353927035345
2025-06-29 18:00:00+00:00,1.186583301055479,1.115578305897364,1.115578305897364,1.3684073487463644,0.970584776910298,1.0827633211553613,1.1016815890530633,1.0212195014443384,1.016289307311606,1.095038566395555
2025-06-30 00:00:00+00:00,1.227524231958001,1.1145185065067615,1.1145185065067615,1.4156217926557761,0.970584776910298,1.0817346960002638,1.100634991543463,1.0545145336567916,1.0153238324696598,1.0939982797574792
2025-06-30 06:00:00+00:00,1.190967199793706,1.1145185065067615,1.1145185065067615,1.3734630066544218,0.970584776910298,1.0817346960002638,1.100634991543463,1.0231099220646296,1.0153238324696598,1.0939982797574792
2025-06-30 12:00:00+00:00,1.210377043263109,1.1145185065067615,1.1145185065067615,1.3958470840452983,0.970584776910298,1.0817346960002638,1.100634991543463,1.0397841037236268,1.0153238324696598,1.0939982797574792
2025-06-30 18:00:00+00:00,1.1791925432984658,1.1145185065067615,1.1145185065067615,1.3598840809585027,0.970584776910298,1.0817346960002638,1.100634991543463,1.0129948089941188,1.0153238324696598,1.0939982797574792
2025-07-01 00:00:00+00:00,1.1574320467755879,1.1145185065067615,1.1145185065067615,1.3347891522436046,0.970584776910298,1.0817346960002638,1.100634991543463,0.9943012799821817,1.0153238324696598,1.0939982797574792
2025-07-01 06:00:00+00:00,1.1722482053391263,1.1145185065067615,1.1145185065067615,1.3151665657611025,0.970584776910298,1.0817346960002638,1.100634991543463,1.0070292197909898,1.0153238324696598,1.0939982797574792
2025-07-01 12:00:00+00:00,1.1533611797567969,1.1145185065067615,1.1145185065067615,1.336356263010729,0.970584776910298,1.0817346960002638,1.100634991543463,0.990804169029796,1.0153238324696598,1.0939982797574792
2025-07-01 18:00:00+00:00,1.099956831807249,1.1650655206428204,1.1650655206428204,1.3982338743843243,0.970584776910298,1.1307948584389922,1.1505523434325418,1.034799074406583,1.0613720477419022,1.143614635330656
2025-07-02 00:00:00+00:00,1.1278896261194793,1.1639587083982097,1.1639587083982097,1.3627264998363617,0.970584776910298,1.1297206033234752,1.149459318706281,1.0338160152858966,1.0603637442965475,1.1425282014270919
2025-07-02 06:00:00+00:00,1.1399312789342686,1.1639587083982097,1.1639587083982097,1.348177665435783,0.970584776910298,1.1297206033234752,1.149459318706281,1.0338160152858966,1.0603637442965475,1.1425282014270919
2025-07-02 12:00:00+00:00,1.1578442723383886,1.1639587083982097,1.1639587083982097,1.3269922676185473,0.970584776910298,1.1297206033234752,1.149459318706281,1.0338160152858966,1.0603637442965475,1.1425282014270919
2025-07-02 18:00:00+00:00,1.1880270248786047,1.1639587083982097,1.1639587083982097,1.2924001551961908,0.970584776910298,1.1297206033234752,1.149459318706281,1.0338160152858966,1.0603637442965475,1.1425282014270919
2025-07-03 00:00:00+00:00,1.1998653651204885,1.1639587083982097,1.1639587083982097,1.2911723750487545,0.970584776910298,1.1297206033234752,1.149459318706281,1.0338160152858966,1.0603637442965475,1.1425282014270919
2025-07-03 06:00:00+00:00,1.2021586331194747,1.1639587083982097,1.1639587083982097,1.2924135417409566,0.970584776910298,1.1297206033234752,1.149459318706281,1.0338160152858966,1.0603637442965475,1.1425282014270919
2025-07-03 12:00:00+00:00,1.1924769087640952,1.1639587083982097,1.1639587083982097,1.282004938982911,0.970584776910298,1.1297206033234752,1.149459318706281,1.0338160152858966,1.0603637442965475,1.1425282014270919
2025-07-03 18:00:00+00:00,1.1988207649971894,1.1639587083982097,1.1639587083982097,1.2888250752582986,0.970584776910298,1.1297206033234752,1.149459318706281,1.0338160152858966,1.0603637442965475,1.1425282014270919
2025-07-04 00:00:00+00:00,1.168442221523101,1.1333578210328907,1.1333578210328907,1.2561657906326096,0.970584776910298,1.10001984788675,1.1192396254397106,1.0066366254914232,1.0324864052884135,1.112490729692648
2025-07-04 06:00:00+00:00,1.153792044472903,1.145414722548857,1.145414722548857,1.2695291494450809,0.970584776910298,1.1117220929548535,1.1311463345886315,1.0173454399811432,1.0434702152327355,1.1243256426534158
2025-07-04 12:00:00+00:00,1.1466491554613585,1.1525057492850428,1.1525057492850428,1.2773885430462473,0.970584776910298,1.1186045355576593,1.1381490286724456,1.0236436161550881,1.049930124511851,1.1312861112376622
2025-07-04 18:00:00+00:00,1.1599903875684525,1.1390963758662085,1.1390963758662085,1.2625261616782812,0.970584776910298,1.1055896018494331,1.1249066953120959,1.0117335501919946,1.037714215730488,1.1181236277372222
2025-07-05 00:00:00+00:00,1.173391383369563,1.1259367618610945,1.1259367618610945,1.2479406030626548,0.970584776910298,1.092817080826054,1.1119110101218779,1.0000453179417377,1.0257258372087423,1.1052063051447152
2025-07-05 06:00:00+00:00,1.1666939651389354,1.1323633212361663,1.1323633212361663,1.2550635291929721,0.970584776910298,1.099054601523409,1.1182575140894124,1.005753321118481,1.031580418228436,1.1115145403692017
2025-07-05 12:00:00+00:00,1.1502938297562255,1.1482808731611707,1.1482808731611707,1.2727058693504576,0.970584776910298,1.1145039351074975,1.133976781670963,1.0198911251363403,1.046081271942104,1.1271390224412718
