window_days,start,end,v18_return,v21_return,delta_return,v18_dd,v21_dd,delta_dd,v18_sharpe,v21_sharpe,v18_entries,v21_entries,v21_early
90,2025-10-03T10:30:00+00:00,2026-01-01T10:30:00+00:00,0.7434104570006985,0.9520401854709808,0.20862972847028227,-0.1533780008072423,-0.17147351267861588,-0.018095511871373593,3.5252443543936445,4.122382663903635,92,95,7
90,2025-10-10T10:30:00+00:00,2026-01-08T10:30:00+00:00,0.6042533868201174,0.7746282584151305,0.17037487159501308,-0.20167453689269021,-0.18160430843096687,0.02007022846172335,2.969276775507294,3.494862518128302,93,96,6
90,2025-10-17T10:30:00+00:00,2026-01-15T10:30:00+00:00,0.4619895493715951,0.6739590758213467,0.21196952644975164,-0.2310769866739787,-0.21174594781814782,0.019331038855830873,2.4860327283163635,3.2065852366189067,86,88,5
90,2025-10-24T10:30:00+00:00,2026-01-22T10:30:00+00:00,0.47993045165063997,0.6945011762839199,0.21457072463327997,-0.23926468556861824,-0.22013948880975864,0.019125196758859597,2.5839410439844404,3.313781056080771,83,85,5
90,2025-10-31T10:30:00+00:00,2026-01-29T10:30:00+00:00,-0.054454476358429815,0.08263736329879046,0.13709183965722027,-0.23926468556861746,-0.2201394888097581,0.019125196758859375,0.024989841548885304,0.8083401681273196,78,80,5
90,2025-11-07T10:30:00+00:00,2026-02-05T10:30:00+00:00,-0.22490842612488193,-0.1644636777077948,0.060444748417087135,-0.2795992136490013,-0.2625927995933133,0.017006414055688035,-1.126797475741101,-0.697617174123135,76,78,4
90,2025-11-14T10:30:00+00:00,2026-02-12T10:30:00+00:00,-0.1608532218819877,-0.029134151857959978,0.13171907002402772,-0.27959921364900475,-0.2653076867310845,0.014291526917920239,-0.6894544002429029,0.17063303239960767,75,77,3
90,2025-11-21T10:30:00+00:00,2026-02-19T10:30:00+00:00,-0.022659750649040133,0.07049141136977743,0.09315116201881757,-0.27951422813481375,-0.26530768673108207,0.014206541403731676,0.21181892133487892,0.7459225559680618,77,79,4
90,2025-11-28T10:30:00+00:00,2026-02-26T10:30:00+00:00,-0.025494505782574728,0.06738647322177793,0.09288097900435266,-0.27951422813481297,-0.2653076867310813,0.014206541403731676,0.21320900759841246,0.7274560247202916,79,81,4
90,2025-12-05T10:30:00+00:00,2026-03-05T10:30:00+00:00,0.18805204028265732,0.17327390149906052,-0.014778138783596795,-0.2632327463996169,-0.2653076867310814,-0.002074940331464492,1.3114294204137718,1.2542366715792648,79,81,4
90,2025-12-12T10:30:00+00:00,2026-03-12T10:30:00+00:00,0.24863033909527332,0.23309866892013953,-0.015531670175133794,-0.2668718222697535,-0.2653076867310804,0.0015641355386730726,1.5671800436036478,1.51588491168096,76,78,4
90,2025-12-19T10:30:00+00:00,2026-03-19T10:30:00+00:00,0.6104443963218682,0.5904121334367793,-0.02003226288508886,-0.26148804341300547,-0.2653076867310805,-0.00381964331807505,2.9028646871170056,2.8789250089689693,76,78,4
