spec,entry_i,exit_i,entry_ts,exit_ts,side,entry_price,exit_price,allocation,entry_atr,estimated_stop_loss_pct,raw_pnl_pct,pnl_pct,hold_bars,mfe_atr,exit_reason,equity_after,entry_regular_session,version
regular_dynamic_target200bps_max3,6692,6788,2025-11-14 17:30:00+00:00,2025-11-18 09:30:00+00:00,long,254.701287,239.2839326815054,2.9969455546377515,0.006673461240912484,0.18000000000000002,-0.06053112059262822,-0.1814084727773188,97,3.4585971276111005,stop_loss,1.849666142822279,True,D6
regular_dynamic_target200bps_max3,7572,7683,2025-12-05 20:00:00+00:00,2025-12-09 16:00:00+00:00,long,237.928905,253.4505978994159,3.0,0.006576956924469629,0.17757783696067997,0.06523668446007402,0.19571005338022207,112,11.22862617430123,take_profit,2.2113660613207857,True,D6
regular_dynamic_target200bps_max3,8253,8382,2025-12-22 14:45:00+00:00,2025-12-24 15:00:00+00:00,long,271.23555,287.8394138183568,3.0,0.006174653551541204,0.1667156458916125,0.06121566224765451,0.18364698674296354,130,10.756272632807033,take_profit,2.612518987409304,True,D6
regular_dynamic_target200bps_max3,8422,8677,2025-12-26 14:45:00+00:00,2026-01-02 14:30:00+00:00,long,287.54369999999994,304.1496861324193,3.0,0.005828031374342328,0.15735684710724285,0.057751173586551685,0.17325352075965506,256,11.263960870242364,take_profit,3.0378568789194405,True,D6
regular_dynamic_target200bps_max3,8681,8719,2026-01-02 15:30:00+00:00,2026-01-05 09:00:00+00:00,long,307.563705,322.2525025685034,3.0,0.004828269455010929,0.13036327528529507,0.0477585532028344,0.1432756596085032,39,12.044639510031674,take_profit,3.4680170782789723,True,D6
regular_dynamic_target200bps_max3,8742,8806,2026-01-05 14:45:00+00:00,2026-01-06 14:45:00+00:00,long,315.647745,330.4969804504947,3.0,0.004756747622669643,0.12843218581208035,0.04704369248858309,0.14113107746574927,65,12.509355409647203,take_profit,3.944861223217862,True,D6
regular_dynamic_target200bps_max3,8811,8830,2026-01-06 16:00:00+00:00,2026-01-06 20:45:00+00:00,long,330.16499999999996,343.3513739835636,3.0,0.004045896915584416,0.10923921672077923,0.039938739671266266,0.1198162190137988,20,10.768718392409044,take_profit,4.411058699108878,True,D6
regular_dynamic_target200bps_max3,11573,11802,2026-03-10 17:30:00+00:00,2026-03-16 10:45:00+00:00,long,415.03241249999996,444.9842148889753,2.7508903756162684,0.007270373322499083,0.18,0.07216738135837852,0.1985245548121924,230,10.047451374132654,take_profit,5.253528863486268,True,D6
regular_dynamic_target200bps_max3,13496,13659,2026-04-22 18:15:00+00:00,2026-04-27 11:00:00+00:00,long,484.37206499999996,510.1201703949872,3.0,0.005368454325297259,0.144948266783026,0.05315770098134642,0.15947310294403927,164,11.191634427668456,take_profit,6.045219345287818,True,D6
regular_dynamic_target200bps_max3,13991,14053,2026-05-04 14:00:00+00:00,2026-05-05 13:30:00+00:00,long,589.0643849999999,621.9866243200726,3.0,0.005641724241514941,0.1523265545209034,0.055889033793941945,0.16766710138182583,63,12.693714747846839,take_profit,7.044970218307801,True,D6
regular_dynamic_target200bps_max3,14055,14090,2026-05-05 14:00:00+00:00,2026-05-05 22:45:00+00:00,long,635.6076449999999,670.2995869140346,3.0,0.00551083040642436,0.1487924209734577,0.05458074991221151,0.16374224973663454,36,14.08684433004442,take_profit,8.167571057589814,True,D6
regular_dynamic_target200bps_max3,14118,14246,2026-05-06 13:45:00+00:00,2026-05-08 13:45:00+00:00,long,661.99083,701.2809169416316,3.0,0.005988134731116399,0.16167963774014277,0.059351406637508264,0.1780542199125248,129,11.833527159348872,take_profit,9.453199765786874,True,D6
regular_dynamic_target200bps_max3,14255,14287,2026-05-08 16:00:00+00:00,2026-05-11 08:00:00+00:00,long,722.2059225,768.4807469378163,3.0,0.006460658321114781,0.17443777467009908,0.0640742799195424,0.1922228397586272,33,14.825370549537787,take_profit,11.280992706337042,True,D6
regular_dynamic_target200bps_max3,14310,14376,2026-05-11 13:45:00+00:00,2026-05-12 14:15:00+00:00,long,798.70425255,752.3170307440731,3.0,0.006400766542992453,0.17282069666079622,-0.05807809543748854,-0.17423428631246562,67,3.482909782562628,stop_loss,9.200123638553388,True,D6
regular_dynamic_target200bps_max3,14952,14991,2026-05-26 14:15:00+00:00,2026-05-27 08:00:00+00:00,long,860.840205,932.8727736130295,2.3747565485471243,0.008421915927439383,0.18000000000000002,0.08367704969475676,0.19871262172572676,40,12.253893563662846,take_profit,11.055811803212872,True,D6
