strategy,entry_ts,exit_ts,side,exit_reason,entry_price,exit_price,allocation,raw_pnl_pct,pnl_pct,hold_bars,entry_atr_pct,mfe_pct,mfe_atr,mae_pct,mae_atr,capture_ratio,giveback_pct,giveback_atr,post_32_follow_pct,post_96_follow_pct,post_32_reverse_pct,post_96_follow_atr,diagnosis
V12_volume_atr_trail_none_cw24_ta10_mfe2_adx22,2025-07-10 22:15:00+00:00,2025-07-11 22:30:00+00:00,long,fallback_trend_break,43.89493649999999,45.367305,3.0,0.033543014693733664,0.10062904408120099,98,0.004922878755313555,0.0693488530277293,14.087052814956488,0.011662768893628273,2.3690952943011148,0.48368521221715677,0.03580583833399564,7.273353684639964,0.027700455206673524,0.045069792001089626,0.0,9.155170021695765,early_exit
V12_volume_atr_trail_none_cw24_ta10_mfe2_adx22,2025-07-13 19:45:00+00:00,2025-07-14 00:30:00+00:00,long,fallback_trend_break,49.143559499999995,49.17240150000001,2.967281357455893,0.0005868927748307051,0.0017414759895807105,20,0.005392141179937916,0.006235618728431813,1.1564272003174088,0.026322055487250418,4.88155903357736,0.09411941306717801,0.005648725953601108,1.0475849509686144,0.015264629692735232,0.015264629692735232,0.013593021280443485,2.8309031947325582,early_exit
V12_volume_atr_trail_none_cw24_ta10_mfe2_adx22,2025-08-01 08:30:00+00:00,2025-08-02 08:30:00+00:00,short,fallback_trend_break,39.581199500000004,38.4562185,1.8153650100624212,0.02842210479245344,0.05159649455254743,97,0.007711947692281791,0.08231684590559218,10.673937271122295,0.020606732815360962,2.672052980336527,0.34527689295882735,0.053894741113138744,6.988473374511765,0.03544858421271957,0.07705433907912695,0.007093300138181879,9.991553645552322,early_exit
V12_volume_atr_trail_none_cw24_ta10_mfe2_adx22,2025-08-09 13:45:00+00:00,2025-08-10 00:30:00+00:00,long,fallback_trend_break,43.691835,43.844067,2.46878054166601,0.0034842207931986557,0.008601776497116952,44,0.006480932480617618,0.024012839012140352,3.70515185645816,0.00940301546044009,1.450873850107447,0.1450982447946747,0.020528618218941697,3.1675408253883504,0.01603256832902833,0.036537053006510334,0.02351668242820626,5.637622844518269,early_exit
V12_volume_atr_trail_none_cw24_ta10_mfe2_adx22,2025-08-18 04:00:00+00:00,2025-08-18 20:15:00+00:00,short,fallback_trend_break,44.127925,43.7228505,1.6605162497301702,0.009179550137469628,0.015242792168481135,66,0.00843111291580252,0.026920028530686646,3.192938915600355,0.014055343298254974,1.6670804244491735,0.34099332870341076,0.01774047839321702,2.104168046423131,0.0487353975240018,0.0487353975240018,0.01324592274696279,5.780422823261749,early_exit
V12_volume_atr_trail_none_cw24_ta10_mfe2_adx22,2025-08-23 02:30:00+00:00,2025-08-23 05:45:00+00:00,long,fallback_trend_break,43.9569675,44.365806,2.2770569180934754,0.00930088045768862,0.021178634190540283,14,0.007026613991448405,0.01626664760256724,2.315005153600899,0.011374021649696253,1.6187059177491137,0.5717761080790078,0.006965767144878621,0.9913405166921312,0.007938410946484398,0.016030228324940055,0.024113300229460455,2.281358894120171,early_exit
V12_volume_atr_trail_none_cw24_ta10_mfe2_adx22,2025-08-26 21:00:00+00:00,2025-08-27 13:45:00+00:00,long,fallback_trend_break,48.968472,49.649163,2.271843483291098,0.013900597102560308,0.031579980941306755,68,0.007042738691145069,0.04667345960886826,6.627174690941102,0.016714264639501097,2.3732620749533373,0.2978265853667103,0.032772862506307954,4.653425882109429,0.022655709221120146,0.022655709221120146,0.03682162778856923,3.2168890845837397,early_exit
V12_volume_atr_trail_none_cw24_ta10_mfe2_adx22,2025-09-08 06:30:00+00:00,2025-09-09 00:15:00+00:00,long,fallback_trend_break,49.72985249999999,50.820577,3.0,0.021932992863793688,0.06579897859138106,72,0.004772227363564425,0.04510665902337041,9.45190905357028,0.003536155672289376,0.7409864205732616,0.48624733772523226,0.023173666159576722,4.855943439850711,0.0852100321489857,0.08930286249996722,0.005560287125429553,18.713036009513598,early_exit
V12_volume_atr_trail_none_cw24_ta10_mfe2_adx22,2025-09-09 07:00:00+00:00,2025-09-09 15:15:00+00:00,long,warning_confirm_volume,54.703338,52.76260550000001,3.0,-0.035477405419025776,-0.10643221625707733,34,0.004620914426454232,0.011985776809451787,2.5938105974944095,0.04205114503250251,9.100178265964912,-2.9599587897422617,0.04746318222847756,10.271383074474613,0.023641639531997605,0.05771880427701759,0.013013108308307597,12.490775407262191,bad_entry
V12_volume_atr_trail_none_cw24_ta10_mfe2_adx22,2025-09-21 12:00:00+00:00,2025-09-22 06:30:00+00:00,short,warning_confirm_volume,52.4747495,49.072524,2.442160523310144,0.0648354786333949,0.15833864642839535,75,0.0057326289023066235,0.12357847463378557,21.557033734393936,0.00871336141756085,1.5199590913786303,0.5246502582713485,0.05874299600039068,10.247130418079985,0.016272323795694765,0.07677461220458115,0.023790828448114976,13.39256622274809,early_exit
V12_volume_atr_trail_none_cw24_ta10_mfe2_adx22,2025-09-22 06:45:00+00:00,2025-09-23 06:30:00+00:00,short,warning_confirm_volume,49.401287,48.460218,2.1859886984401595,0.019049483467910577,0.04164195557197518,96,0.006404424693499047,0.082918629225186,12.947084741171896,0.016694128184713386,2.606655395863914,0.2297370765280864,0.06386914575727543,9.972659343173667,0.024808348984315276,0.10037548737399404,0.010024346155438346,15.672834357140994,early_exit
V12_volume_atr_trail_none_cw24_ta10_mfe2_adx22,2025-10-11 03:15:00+00:00,2025-10-12 04:45:00+00:00,short,fallback_trend_break,38.536722,38.1580695,1.2823059537149293,0.009825757883610176,0.012599627833914731,103,0.010917831239448767,0.08689690835665775,7.959173067511631,0.05985064649914629,5.481917167110205,0.11307373380053468,0.07707115047304758,7.059199650803436,0.046309195490091715,0.046309195490091715,0.019417400033824972,4.24161122062094,early_exit
V12_volume_atr_trail_none_cw24_ta10_mfe2_adx22,2025-10-23 12:30:00+00:00,2025-10-23 19:30:00+00:00,long,fallback_trend_break,39.1805805,39.355312500000004,1.6823561470873802,0.004459658273822775,0.007502733510874841,29,0.009510471387227007,0.041281152023768586,4.340599991627233,0.004864157130086366,0.5114527905124817,0.10803134251813086,0.03682149374994581,3.8716791471975553,0.02791713316975941,0.03881782160921721,0.011874191063785955,4.081587550050495,early_exit
V12_volume_atr_trail_none_cw24_ta10_mfe2_adx22,2025-10-25 19:15:00+00:00,2025-10-27 08:45:00+00:00,long,fallback_trend_break,42.9684735,47.050463,2.0478433271689527,0.09499963967768132,0.19454437819739456,151,0.00781309770514488,0.15200741306297516,19.455460407576773,0.005317235670473597,0.6805540991727554,0.6249671497160728,0.057007773385293836,7.2964367702396125,0.010021941760700592,0.037333043885243056,0.026534552911838483,4.778264050206292,early_exit
V12_volume_atr_trail_none_cw24_ta10_mfe2_adx22,2025-11-21 09:45:00+00:00,2025-11-21 23:00:00+00:00,short,fallback_trend_break,33.48824750000001,33.1115475,1.4327826110671718,0.011248722406271283,0.016116973860427167,54,0.009771196196729701,0.05459370485123194,5.587207927469901,0.03204764864005538,3.2798081212187036,0.20604431292809483,0.043344982444960656,4.435995508867961,0.0,0.11360228633228331,0.04265739920491485,11.626241459597813,early_exit
V12_volume_atr_trail_none_cw24_ta10_mfe2_adx22,2025-11-26 06:00:00+00:00,2025-11-26 12:15:00+00:00,long,fallback_trend_break,34.6563195,33.131426000000005,1.5223946339010896,-0.04400044557530114,-0.0669860422330954,26,0.010509758536786543,0.010465061069165005,0.9957470509465002,0.04750416442807792,4.520005313328803,-4.204509203003808,0.054465506644466144,5.182374690514962,0.07616858990615127,0.10278984067875596,0.0,9.780418866805375,bad_entry
V12_volume_atr_trail_none_cw24_ta10_mfe2_adx22,2025-11-27 02:00:00+00:00,2025-11-27 09:15:00+00:00,long,fallback_trend_break,36.35817,35.365308500000005,1.6021684018025184,-0.027307796294477882,-0.04375168834587236,30,0.009986465830932137,0.0028557542912639455,0.2859624555484399,0.03256957102076374,3.2613710968581664,-9.562375999229108,0.030163550585741827,3.0204429771654624,0.011330072237316857,0.016843950336245195,0.025740154366248658,1.6866778118914347,bad_entry
V12_volume_atr_trail_none_cw24_ta10_mfe2_adx22,2025-12-03 06:30:00+00:00,2025-12-03 16:00:00+00:00,long,fallback_trend_break,34.701342,34.0319755,1.9630336637415968,-0.019289354861261376,-0.0378656529445137,39,0.008150649831192174,0.001114020316563158,0.13667871146909683,0.0364637771069487,4.473726373006905,-17.315083553207167,0.020403375177824534,2.503282020501203,0.03138297099444021,0.06338228881247288,0.0037310646277352033,7.776347913992291,bad_entry
V12_volume_atr_trail_none_cw24_ta10_mfe2_adx22,2025-12-05 11:45:00+00:00,2025-12-06 08:30:00+00:00,short,fallback_trend_break,31.957013500000002,30.833409,1.5856391527585947,0.03515987186975411,0.055750869442657655,84,0.008829247168653527,0.047032351755898594,5.326881313604804,0.0038026902334860058,0.4306924657162952,0.7475678029505406,0.011872479886144482,1.344676353414971,0.008640270688200613,0.03131048532453873,0.011143464545227522,3.5462236730330003,early_exit
V12_volume_atr_trail_none_cw24_ta10_mfe2_adx22,2025-12-29 01:15:00+00:00,2025-12-29 09:30:00+00:00,long,fallback_trend_break,25.9019445,25.965011000000004,2.816378192415104,0.0024348172006933844,0.006857366066550037,34,0.005681055208810455,0.015406391593495883,2.7118890817330743,0.00995849944779248,1.7529312921212872,0.15803942058186365,0.012971574392802498,2.283303702573697,0.018062345515663214,0.028229874426010992,0.02538073255582307,4.969125169252138,early_exit
V12_volume_atr_trail_none_cw24_ta10_mfe2_adx22,2026-01-04 22:15:00+00:00,2026-01-05 07:15:00+00:00,long,fallback_trend_break,26.5142505,26.36681,2.66193314523814,-0.00556080210526777,-0.014802483438122307,37,0.006010669362084456,0.033331113772195886,5.54532478236948,0.016378003971864175,2.724821976596697,-0.1668351721839693,0.038891915877463656,6.470479997252124,0.015557058286535197,0.042219365937707254,0.022976234136780405,7.024070597532567,bad_entry
V12_volume_atr_trail_none_cw24_ta10_mfe2_adx22,2026-01-10 09:15:00+00:00,2026-01-11 10:00:00+00:00,short,fallback_trend_break,24.573707,24.427207499999998,1.8194256229549457,0.005961636150378147,0.010846753566732485,100,0.0076947360877893285,0.03347915721466033,4.350916890806423,0.0050325127540692405,0.6540201894715097,0.17807007841187775,0.02751752106428218,3.57614877889696,0.0031197794508438514,0.021582798606840314,0.009611925554732448,2.8048783428829696,early_exit
V12_volume_atr_trail_none_cw24_ta10_mfe2_adx22,2026-01-12 16:15:00+00:00,2026-01-13 02:30:00+00:00,short,fallback_trend_break,23.585201500000004,24.1110495,1.9473819004683626,-0.02229567553196432,-0.04341819498966265,42,0.007189139426957227,0.013745971176036154,1.9120468194694726,0.02813575490357656,3.9136471325170694,-1.6219789236014968,0.036041646708000474,5.013346461588234,0.0029052862257198386,0.0029052862257198386,0.02330676232073592,0.4041215579747754,bad_entry
