parameter,value,name,return,max_dd,calmar,risk_score,sharpe,trades,late_trades,win_rate,avg_trade_pct,median_trade_pct,best_trade_pct,worst_trade_pct,avg_hold_bars,exit_reasons,return_delta,max_dd_delta,sharpe_delta,trades_delta,win_rate_delta
stop_atr,12.0,V14__stop_atr=12.0,20.90873335666213,-0.24655341994276858,84.80406948528876,20.41562651677659,4.2225605062596845,33,6,0.8181818181818182,0.10904392889106812,0.0998102340136185,0.5920380316936312,-0.1626328462611667,122.06060606060606,"{'warning_confirm_volume': 25, 'hard_swing96': 7, 'stop_loss': 1}",-1.010443746808857,0.0,-0.07558981230474959,0,0.0
entry_max_dist_ema96,0.1,V14__entry_max_dist_ema96=0.1,20.758679705707344,-0.24655341994276825,84.195464457666,20.265572865821806,4.208809780269182,33,6,0.8181818181818182,0.10877829587846964,0.09087448897893635,0.5920380316936312,-0.1223496346958749,122.54545454545455,"{'warning_confirm_volume': 25, 'hard_swing96': 7, 'stop_loss': 1}",-1.160497397763642,3.3306690738754696e-16,-0.0893405382952519,0,0.0
entry_max_move48,0.12,V14__entry_max_move48=0.12,20.582709990509393,-0.2465534199427688,83.48174604630167,20.089603150623855,4.24468491614041,33,6,0.8181818181818182,0.10822224575613808,0.09087448897893635,0.5920380316936312,-0.1223496346958749,121.06060606060606,"{'warning_confirm_volume': 25, 'hard_swing96': 7, 'stop_loss': 1}",-1.3364671129615928,-2.220446049250313e-16,-0.05346540242402398,0,0.0
late_dist_ema96,0.12,V14__late_dist_ema96=0.12,20.417858684257805,-0.2959078633168186,69.00073034692251,19.826042957624168,4.237145514183945,33,6,0.8181818181818182,0.10824183955975239,0.0998102340136185,0.5920380316936312,-0.14518381179093623,121.63636363636364,"{'warning_confirm_volume': 25, 'hard_swing96': 6, 'stop_loss': 2}",-1.501318419213181,-0.04935444337405004,-0.06100480438048894,0,0.0
pullback_buffer,0.01,V14__pullback_buffer=0.01,20.162501464553205,-0.291234071274563,69.23125915973225,19.58003332200408,4.289878052809728,31,4,0.8387096774193549,0.11390933012106107,0.10633218300399427,0.5920380316936312,-0.13826903700571208,127.83870967741936,"{'warning_confirm_volume': 24, 'hard_swing96': 6, 'stop_loss': 1}",-1.7566756389177804,-0.04468065133179444,-0.008272265754706076,-2,0.02052785923753664
cooldown_bars,24,V14__cooldown_bars=24,20.13363222112079,-0.24655341994276803,81.66032426479573,19.640525381235257,4.373047245149537,30,3,0.8333333333333334,0.11720237804529036,0.10663264037190501,0.5920380316936312,-0.1223496346958749,122.83333333333333,"{'warning_confirm_volume': 23, 'hard_swing96': 6, 'stop_loss': 1}",-1.7855448823501945,5.551115123125783e-16,0.07489692658510272,-3,0.015151515151515138
cooldown_bars,32,V14__cooldown_bars=32,20.13363222112079,-0.24655341994276803,81.66032426479573,19.640525381235257,4.373047245149537,30,3,0.8333333333333334,0.11720237804529036,0.10663264037190501,0.5920380316936312,-0.1223496346958749,122.83333333333333,"{'warning_confirm_volume': 23, 'hard_swing96': 6, 'stop_loss': 1}",-1.7855448823501945,5.551115123125783e-16,0.07489692658510272,-3,0.015151515151515138
min_mfe_atr,3.0,V14__min_mfe_atr=3.0,20.045118794744333,-0.24655341994276891,81.30132122846763,19.552011954858795,4.249306180310761,34,6,0.7941176470588235,0.10437334642757905,0.08291488304330263,0.5920380316936312,-0.1223496346958749,114.02941176470588,"{'warning_confirm_volume': 26, 'hard_swing96': 7, 'stop_loss': 1}",-1.874058308726653,-3.3306690738754696e-16,-0.048844138253673286,1,-0.02406417112299475
late_max_age,0,V14__late_max_age=0,20.005904093475117,-0.2465534199427688,81.1422696879199,19.51279725358958,3.964683828013761,40,13,0.775,0.09096151877063896,0.06725191031460148,0.5920380316936312,-0.1223496346958749,113.825,"{'warning_confirm_volume': 29, 'hard_swing96': 10, 'stop_loss': 1}",-1.9132730099958692,-2.220446049250313e-16,-0.333466490550673,7,-0.04318181818181821
entry_max_move48,0.1,V14__entry_max_move48=0.1,19.739062726497306,-0.24655341994276825,80.05998347570794,19.245955886611767,4.216256294036297,32,6,0.8125,0.11000325203527864,0.09534236149627742,0.5920380316936312,-0.11810938064850762,124.375,"{'warning_confirm_volume': 24, 'hard_swing96': 7, 'stop_loss': 1}",-2.1801143769736804,3.3306690738754696e-16,-0.08189402452813699,-1,-0.005681818181818232
entry_min_rvol96,1.5,V14__entry_min_rvol96=1.5,19.593085389069863,-0.24616964503076788,79.59180095751039,19.100746099008326,4.233676053794608,32,6,0.8125,0.1099463315455602,0.09910844869004243,0.5920380316936312,-0.1223496346958749,116.40625,"{'warning_confirm_volume': 24, 'hard_swing96': 7, 'stop_loss': 1}",-2.326091714401123,0.0003837749120007006,-0.0644742647698262,-1,-0.005681818181818232
min_mfe_atr,2.0,V14__min_mfe_atr=2.0,19.54946468424271,-0.2465534199427688,79.29098971241457,19.056357844357173,4.276175621053373,34,6,0.7941176470588235,0.10340705633947833,0.07156587156779895,0.5920380316936312,-0.1223496346958749,108.55882352941177,"{'warning_confirm_volume': 27, 'hard_swing96': 6, 'stop_loss': 1}",-2.369712419228275,-2.220446049250313e-16,-0.021974697511061514,1,-0.02406417112299475
min_prev_mfe_atr,10.0,V14__min_prev_mfe_atr=10.0,19.316159742942453,-0.24655341994276847,78.34472443102287,18.823052903056915,4.194183538879882,32,5,0.8125,0.10954297803691412,0.09534236149627742,0.5920380316936312,-0.1223496346958749,120.59375,"{'warning_confirm_volume': 24, 'hard_swing96': 7, 'stop_loss': 1}",-2.6030173605285327,1.1102230246251565e-16,-0.10396677968455226,-1,-0.005681818181818232
cooldown_bars,8,V14__cooldown_bars=8,19.227977551263262,-0.24655341994276891,77.98706485485599,18.734870711377724,4.126887978702487,33,6,0.8181818181818182,0.10666841026372996,0.0998102340136185,0.5920380316936312,-0.1223496346958749,123.57575757575758,"{'warning_confirm_volume': 25, 'hard_swing96': 7, 'stop_loss': 1}",-2.691199552207724,-3.3306690738754696e-16,-0.17126233986194705,0,0.0
exit_rvol,2.5,V14__exit_rvol=2.5,19.117288459925515,-0.24655341994276903,77.53811918067531,18.624181620039977,4.120169710265799,33,6,0.8181818181818182,0.10626338338585715,0.09087448897893635,0.5920380316936312,-0.1223496346958749,123.27272727272727,"{'warning_confirm_volume': 24, 'hard_swing96': 8, 'stop_loss': 1}",-2.801888643545471,-4.440892098500626e-16,-0.17798060829863527,0,0.0
late_max_age,192,V14__late_max_age=192,18.97332574279328,-0.24655341994276903,76.95421846996665,18.48021890290774,4.257868015534179,31,4,0.8064516129032258,0.11202913222206241,0.10633218300399427,0.5920380316936312,-0.1223496346958749,121.29032258064517,"{'warning_confirm_volume': 23, 'hard_swing96': 7, 'stop_loss': 1}",-2.9458513606777075,-4.440892098500626e-16,-0.040282303030255484,-2,-0.011730205278592476
wick_min,0.45,V14__wick_min=0.45,18.551004702670507,-0.24655341994276891,75.24131973905148,18.05789786278497,4.089155589251335,35,6,0.8,0.09953029792204741,0.09087448897893635,0.5920380316936312,-0.1223496346958749,115.54285714285714,"{'warning_confirm_volume': 26, 'hard_swing96': 8, 'stop_loss': 1}",-3.3681724008004785,-3.3306690738754696e-16,-0.20899472931309937,2,-0.018181818181818188
warning_exit_min_capture,0.5,V14__warning_exit_min_capture=0.5,18.267741030567496,-0.24655341994276847,74.09242603411431,17.774634190681958,4.024890082719512,33,6,0.7575757575757576,0.10538122734137523,0.0998102340136185,0.5920380316936312,-0.1223496346958749,127.63636363636364,"{'hard_swing96': 9, 'warning_confirm_volume': 23, 'stop_loss': 1}",-3.65143607290349,1.1102230246251565e-16,-0.2732602358449219,0,-0.06060606060606066
entry_max_dist_ema96,0.06,V14__entry_max_dist_ema96=0.06,18.097092020797277,-0.22734758294581392,79.60098711544491,17.64239685490565,4.151483926926821,32,6,0.8125,0.10714815308436945,0.09534236149627742,0.5920380316936312,-0.1223496346958749,122.59375,"{'warning_confirm_volume': 24, 'hard_swing96': 7, 'stop_loss': 1}",-3.822085082673709,0.01920583699695466,-0.14666639163761275,-1,-0.005681818181818232
