parameter,value,name,action,exit_rvol,min_mfe_atr,fail_bars,cooldown_bars,reduce_fraction,wick_min,stop_atr,adx_exit,adx_exit_bars,return,max_dd,sharpe,trades,win_rate,avg_trade_pct,median_trade_pct,best_trade_pct,worst_trade_pct,avg_hold_bars,reduce_events,exit_reasons,fitness,delta_return,delta_max_dd,delta_sharpe,delta_fitness
cooldown_bars,32,Ablation_full_exit_xrv2_mfe4_fb1_cd32_rf0.5_wick0.35_stop9_adx22_adxb3,full_exit,2.0,4.0,1,32,0.5,0.35,9.0,22.0,3,1.813049336495296,-0.27290569996720127,2.2307552889043847,68,0.6911764705882353,0.021451200136753397,0.043664397879659145,0.17141295474878981,-0.12620230716950687,27.735294117647058,0,"{'volume_exhaustion': 37, 'trend_break': 29, 'stop_loss': 1, 'opposite_cross': 1}",1.403690786544494,-3.1225013367827454,0.0033675587707923116,-0.6173329004805681,-3.1174499986265567
cooldown_bars,64,Ablation_full_exit_xrv2_mfe4_fb1_cd64_rf0.5_wick0.35_stop9_adx22_adxb3,full_exit,2.0,4.0,1,64,0.5,0.35,9.0,22.0,3,2.1617107416651575,-0.2554414614398022,2.629204055753136,55,0.7454545454545455,0.02733390644311948,0.04784948130886137,0.14345711932114788,-0.12620230716950687,30.527272727272727,0,"{'volume_exhaustion': 32, 'trend_break': 21, 'stop_loss': 1, 'opposite_cross': 1}",1.7785485495054543,-2.773839931612884,0.0208317972981914,-0.2188841336318168,-2.7425922356655965
cooldown_bars,96,Ablation_full_exit_xrv2_mfe4_fb1_cd96_rf0.5_wick0.35_stop9_adx22_adxb3,full_exit,2.0,4.0,1,96,0.5,0.35,9.0,22.0,3,1.185175939105989,-0.27992449483494064,1.7977045845915396,51,0.7254901960784313,0.022083526943256385,0.04578155420743667,0.14065919653397918,-0.12782568169186803,30.705882352941178,0,"{'volume_exhaustion': 27, 'trend_break': 22, 'stop_loss': 1, 'opposite_cross': 1}",0.7652891968535781,-3.7503747341720524,-0.0036512360969470636,-1.0503836047934132,-3.755851588317473
wick_min,0.25,Ablation_full_exit_xrv2_mfe4_fb1_cd0_rf0.5_wick0.25_stop9_adx22_adxb3,full_exit,2.0,4.0,1,0,0.5,0.25,9.0,22.0,3,4.935550673278041,-0.2762732587379936,2.848088189384953,97,0.711340206185567,0.025201805765175552,0.04723830398774877,0.1659875736706442,-0.145047490017647,31.030927835051546,0,"{'volume_exhaustion': 55, 'trend_break': 38, 'stop_loss': 3, 'opposite_cross': 1}",4.521140785171051,0.0,0.0,0.0,0.0
wick_min,0.35,Ablation_full_exit_xrv2_mfe4_fb1_cd0_rf0.5_wick0.35_stop9_adx22_adxb3,full_exit,2.0,4.0,1,0,0.5,0.35,9.0,22.0,3,4.935550673278041,-0.2762732587379936,2.848088189384953,97,0.711340206185567,0.025201805765175552,0.04723830398774877,0.1659875736706442,-0.145047490017647,31.030927835051546,0,"{'volume_exhaustion': 55, 'trend_break': 38, 'stop_loss': 3, 'opposite_cross': 1}",4.521140785171051,0.0,0.0,0.0,0.0
wick_min,0.45,Ablation_full_exit_xrv2_mfe4_fb1_cd0_rf0.5_wick0.45_stop9_adx22_adxb3,full_exit,2.0,4.0,1,0,0.5,0.45,9.0,22.0,3,4.974064187105822,-0.27627325873799335,2.8573930807795165,97,0.711340206185567,0.02527895165178876,0.04686447295696938,0.1659875736706442,-0.145047490017647,31.030927835051546,0,"{'volume_exhaustion': 55, 'trend_break': 38, 'stop_loss': 3, 'opposite_cross': 1}",4.559654298998832,0.038513513827780343,2.220446049250313e-16,0.009304891394563697,0.03851351382778123
wick_min,0.55,Ablation_full_exit_xrv2_mfe4_fb1_cd0_rf0.5_wick0.55_stop9_adx22_adxb3,full_exit,2.0,4.0,1,0,0.5,0.55,9.0,22.0,3,5.306513068209174,-0.27627325873799335,2.936344069625511,97,0.711340206185567,0.025841229372096715,0.04686447295696938,0.1659875736706442,-0.145047490017647,31.030927835051546,0,"{'volume_exhaustion': 55, 'trend_break': 38, 'stop_loss': 3, 'opposite_cross': 1}",4.892103180102184,0.3709623949311327,2.220446049250313e-16,0.08825588024055842,0.3709623949311336
wick_min,0.65,Ablation_full_exit_xrv2_mfe4_fb1_cd0_rf0.5_wick0.65_stop9_adx22_adxb3,full_exit,2.0,4.0,1,0,0.5,0.65,9.0,22.0,3,5.102390723076438,-0.27627325873799347,2.8871871748373232,96,0.7083333333333334,0.025712459465054027,0.047051388472359075,0.1659875736706442,-0.145047490017647,31.364583333333332,0,"{'volume_exhaustion': 54, 'trend_break': 38, 'stop_loss': 3, 'opposite_cross': 1}",4.687980834969448,0.16684004979839617,1.1102230246251565e-16,0.03909898545237045,0.16684004979839706
stop_atr,6.0,Ablation_full_exit_xrv2_mfe4_fb1_cd0_rf0.5_wick0.35_stop6_adx22_adxb3,full_exit,2.0,4.0,1,0,0.5,0.35,6.0,22.0,3,4.51605433436603,-0.28194576611112065,2.788463762399031,103,0.7087378640776699,0.023122804842005712,0.04568882672694707,0.1659875736706442,-0.0973353966005353,28.50485436893204,0,"{'volume_exhaustion': 56, 'trend_break': 34, 'stop_loss': 13}",4.09313568519935,-0.419496338912011,-0.005672507373127078,-0.05962442698592163,-0.4280050999717009
stop_atr,7.5,Ablation_full_exit_xrv2_mfe4_fb1_cd0_rf0.5_wick0.35_stop7.5_adx22_adxb3,full_exit,2.0,4.0,1,0,0.5,0.35,7.5,22.0,3,4.888716888988787,-0.2762732587379939,2.84344960132701,99,0.7070707070707071,0.02462342391276554,0.04686447295696938,0.1659875736706442,-0.12132339660053541,30.292929292929294,0,"{'volume_exhaustion': 55, 'trend_break': 38, 'stop_loss': 5, 'opposite_cross': 1}",4.4743070008817964,-0.04683378428925433,-3.3306690738754696e-16,-0.004638588057942705,-0.04683378428925433
stop_atr,9.0,Ablation_full_exit_xrv2_mfe4_fb1_cd0_rf0.5_wick0.35_stop9_adx22_adxb3,full_exit,2.0,4.0,1,0,0.5,0.35,9.0,22.0,3,4.935550673278041,-0.2762732587379936,2.848088189384953,97,0.711340206185567,0.025201805765175552,0.04723830398774877,0.1659875736706442,-0.145047490017647,31.030927835051546,0,"{'volume_exhaustion': 55, 'trend_break': 38, 'stop_loss': 3, 'opposite_cross': 1}",4.521140785171051,0.0,0.0,0.0,0.0
