cross_i,ts,side,direction,mfe,mae,mfe_atr,mae_atr,effective,big_trend,ema96_slope48_same,ema384_slope96_same,h1_same,adx28,adx_slope16,vol_surge192,atr_ratio96_672,churn192,dist_ema96
3465,2025-07-05 12:45:00+00:00,long,1,0.020869344178952698,0.060701576004067226,3.1522076972300934,9.168662583417156,False,False,True,False,False,9.411343537131021,-1.2282110309963556,-0.04920122022289575,0.7948909863790093,2,0.005671380130689796
3488,2025-07-05 18:30:00+00:00,short,-1,0.040332424360472796,0.048902739903908365,5.930647269420948,7.1908620787633994,False,False,False,True,False,11.33636543555823,2.5967340707129267,-0.3592667519729964,0.7528271864522343,3,0.01563157432783302
3579,2025-07-06 17:15:00+00:00,long,1,0.08803343041661393,0.0641509433962264,13.529522154648152,9.859113814074727,False,False,True,False,True,13.380935584999765,2.5226793957113163,-0.6554331884656112,0.7033651896901226,3,0.009876023223144736
3696,2025-07-07 22:30:00+00:00,short,-1,0.039683983471503925,0.21986018347670155,6.398842633009905,35.45134818288396,False,False,True,False,False,25.736300560131937,7.855109668698795,-0.3706046409305773,0.8757202364620502,2,0.019671852607535678
3847,2025-07-09 12:15:00+00:00,long,1,0.215018786090728,0.021105983811180784,38.31001584510577,3.7604647897681938,False,True,True,False,False,14.267930744870712,-4.906468715009991,0.4645601674891484,0.9033782835137334,2,0.01969090011056429
4588,2025-07-17 05:30:00+00:00,short,-1,0.06885437397248417,0.02619624470018178,9.792321708158982,3.7255738575496595,False,False,True,False,False,19.420452431126815,5.489658978959531,-0.023101797482115605,1.040959740699707,1,0.020387819401745833
4930,2025-07-20 19:00:00+00:00,long,1,0.01384354462582138,0.12098791604833581,1.947013696928269,17.01624374941765,False,False,True,False,True,21.288825656349722,2.7045805041943396,0.10114004188958803,0.7714693915582201,1,0.03321278972958841
5043,2025-07-21 23:15:00+00:00,short,-1,0.08010648054940395,0.036574726528420864,10.629867835182711,4.853346526256266,False,False,True,False,True,32.96826854383963,9.380343869020571,-0.033319365040103466,1.0531972224185462,2,0.02591428610459734
5463,2025-07-26 08:15:00+00:00,long,1,0.03442472116873496,0.04961737842508018,4.681331855915415,6.747343372509115,False,False,True,False,True,21.75609009377242,3.408952587064597,-0.6551183127339657,0.7833372690777638,1,0.02089728967237159
5552,2025-07-27 06:30:00+00:00,short,-1,0.06515645820888671,0.059022193631392605,8.91811379557228,8.078502941052578,False,False,True,False,False,12.643120997216156,-4.133968491071704,-0.6647763396346249,0.5575786503446424,2,0.004446807708303857
5638,2025-07-28 04:00:00+00:00,long,1,0.04185972922270187,0.08887281603869546,6.019064937828562,12.779137870163035,False,False,True,False,True,13.136491534052189,-0.736739202856393,0.0412118708999194,0.7147707322735255,3,0.013819804848575812
5808,2025-07-29 22:30:00+00:00,short,-1,0.1792956736883483,0.03408328901426683,24.811500349981642,4.716552942464906,False,True,True,False,False,21.794778059973062,2.6642008468301874,-0.7030366286565215,1.2925656275147486,2,0.015603891979327988
6642,2025-08-07 15:00:00+00:00,long,1,0.18881776152009344,0.01859472641365645,23.76850930997235,2.340716913076787,True,True,True,False,True,23.463947323541,9.018783624999488,-0.12504848303740945,0.6827424090296971,1,0.024054773184595257
7647,2025-08-18 02:15:00+00:00,short,-1,0.09555779344298987,0.00832494125545491,11.489249249249253,1.0009369369369439,True,False,True,False,True,30.250869020240515,8.249086287359937,1.8326684530177801,0.6677117117117116,1,0.03918516577967124
8102,2025-08-22 20:00:00+00:00,long,1,0.09644361359490072,0.04599202684745152,13.681877184223655,6.52461308037943,False,False,True,False,False,28.020718784720877,5.925041360490415,-0.3446041667802535,1.0483607921451155,1,0.0403171183235822
8708,2025-08-29 03:30:00+00:00,short,-1,0.0688340708933971,0.008806905314814095,8.352019746523009,1.0685906868562316,True,False,True,False,True,32.12620730681218,3.269096792853496,-0.5160023188048137,0.9552855176342134,1,0.028733865710437567
9215,2025-09-03 10:15:00+00:00,long,1,0.0477096731854576,0.028065800411252617,7.386960203217641,4.345469940728203,False,False,True,False,True,14.83641105908833,1.0835826138198676,1.1200082136109804,0.8903471634208299,1,0.02491573276032466
10284,2025-09-14 13:30:00+00:00,short,-1,0.037017852187586686,0.10313569512533527,5.6977385689043665,15.874509006317771,False,False,True,True,True,18.318367470334245,3.1398953687764077,-0.2723077117696706,0.9392121219825336,1,0.0110280371102921
10541,2025-09-17 05:45:00+00:00,long,1,0.09034723619009322,0.018961765620142956,15.186110755383204,3.187208430142143,True,False,True,False,False,9.129487446630112,-2.844041772702253,0.5345190421206651,0.8739915113151971,1,0.013130549431335403
10861,2025-09-20 13:45:00+00:00,short,-1,0.21871163428901563,0.010959052502347078,39.28902788636954,1.968667651232154,True,True,True,True,False,20.599150434325566,10.087708198319648,-0.42248989663132486,0.8077780673558624,1,0.013366820710932537
11570,2025-09-27 23:00:00+00:00,long,1,0.05271907949424692,0.06129413308833176,5.575074098171051,6.481891129906742,False,False,True,False,True,24.098548668665543,3.6829061657870206,-0.2496114080492322,0.8270560736403284,1,0.018049942002791752
11603,2025-09-28 07:15:00+00:00,short,-1,0.03832190399354585,0.11411411411411398,3.9188484085816966,11.669459705554354,False,False,False,False,False,14.687069401272016,-1.5172293336276503,-0.5266521719821045,0.7934140211234221,2,0.006412923813711946
11657,2025-09-28 20:45:00+00:00,long,1,0.09684829747949664,0.06595388380780631,10.303637587268772,7.016797753954719,False,False,False,False,False,24.592740682402358,6.563029632802785,0.6298453496208067,0.7615616268872841,3,0.03844142711714871
11808,2025-09-30 10:30:00+00:00,short,-1,0.03613443516405612,0.13186521035957188,3.7810243655067524,13.798072975779373,False,False,True,False,True,19.794893226388872,0.41813185275394815,-0.04488557778723867,0.9566781772958873,2,0.008075418750893126
11901,2025-10-01 09:45:00+00:00,long,1,0.09722370187288276,0.012869409583874836,10.739253167837623,1.4215447980218912,True,False,True,False,False,15.048083600708667,0.03250805503837029,1.2249503706640676,1.016856608505005,2,0.033338057230317464
12362,2025-10-06 05:00:00+00:00,short,-1,0.12212965265688469,0.030755201856917713,16.017084475938557,4.03348945567499,False,False,True,False,True,17.07658933658454,-11.535670009582006,-0.03459112835156819,0.8909044579804414,1,0.008774903831819558
12370,2025-10-06 07:00:00+00:00,long,1,0.014854717597126976,0.135671727064969,1.9751618998401157,18.039631142907897,False,False,False,True,False,16.4986960339055,-5.420254391383967,0.45857856593539226,0.864387687537347,2,0.006516890860341684
12385,2025-10-06 10:45:00+00:00,short,-1,0.12416260028120085,0.02836820775783644,16.37116011878681,3.7404215958327294,False,False,True,True,False,12.639404347974683,-3.7040349946903675,-0.576589421826218,0.8033364165976994,3,0.0065931961891828594
12416,2025-10-06 18:30:00+00:00,long,1,0.009068960620016497,0.14585404451297446,1.233670653173854,19.840846366145346,False,False,True,False,False,10.711088954980958,-0.5858433652041821,-0.012726451819205842,0.9168295768169282,4,0.012432288358928734
12437,2025-10-06 23:45:00+00:00,short,-1,0.5545930146357995,0.011331624764365777,72.04421988748493,1.4720309211657707,True,True,False,True,False,13.108170401941399,0.3364078684730796,1.7316242092248024,0.9377605083649296,5,0.02976283710386407
13105,2025-10-13 22:45:00+00:00,long,1,0.01107840637819546,0.2287065149373072,0.9406280106942777,19.418655250065136,False,False,True,False,False,20.525324887463842,10.35713638875468,-0.2276342679510438,1.0585754822235431,1,0.056204464963836465
13142,2025-10-14 08:00:00+00:00,short,-1,0.14359607812861885,0.059960369541161684,10.778982226476598,4.500901180589694,False,False,False,False,True,20.13557138803478,5.476126541946721,0.4879117880893675,1.0308528589127768,2,0.048409379416399445
13660,2025-10-19 17:30:00+00:00,long,1,0.07476290832455224,0.09236037934668073,6.644610131698143,8.20859870392307,False,False,True,False,False,25.064965455894296,8.253024538401693,0.23737866045702827,0.7354609434882596,1,0.02774319752827248
13813,2025-10-21 07:45:00+00:00,short,-1,0.042864683168041706,0.13573353335000138,4.0478450968144815,12.817738913179253,False,False,True,False,False,28.557063721727815,14.013897180424134,-0.2458501095985517,0.8743168332292304,2,0.03675148888490365
14002,2025-10-23 07:00:00+00:00,long,1,0.27452494979144126,0.010376435449817145,28.54868709407497,1.0790771805395019,True,True,True,False,True,26.024539954093985,3.3119258582768687,-0.10351536936134875,1.134944415667211,2,0.058282429843586
14727,2025-10-30 20:15:00+00:00,short,-1,0.12678339078229506,0.05576734311867959,12.683295499340732,5.578914458928587,False,False,True,False,True,27.469256421398473,10.339213799977198,-0.35024336266308387,1.4048146587464487,1,0.05940830967097177
15495,2025-11-07 20:15:00+00:00,long,1,0.01079908569296073,0.08979801278163924,1.044841377781804,8.68820584116622,False,False,True,False,False,20.377238332122932,9.165139568677558,0.6527518373821237,1.049965914776868,1,0.06504293570754105
15613,2025-11-09 01:45:00+00:00,short,-1,0.07023511010700367,0.07410809603018942,6.3946826688911935,6.74730567926483,False,False,True,False,False,15.005150501167636,-5.961006847478233,-0.5371807501292974,0.7252364678497899,2,0.007571533661859253
15682,2025-11-09 19:00:00+00:00,long,1,0.033787335722819556,0.1254480286738351,3.2403212330985993,12.030895667445305,False,False,True,False,True,16.526238616057572,3.195965393918419,1.1740222118593988,0.6540844686183902,3,0.03269162840256601
15838,2025-11-11 10:00:00+00:00,short,-1,0.10376419040031859,0.01720274845648273,10.341820759732967,1.7145389023453617,True,False,True,False,True,20.229781679329516,5.612639269874876,-0.37356640721734524,0.8446047734388831,2,0.022763432760246394
16311,2025-11-16 08:15:00+00:00,long,1,0.06899556603531787,0.04910679960017439,8.459629071931609,6.0210435742277175,False,False,True,True,False,9.335203114693542,-2.379940001616518,-0.26419911394948326,0.7031359601949102,1,0.008120356320789668
16349,2025-11-16 17:45:00+00:00,short,-1,0.01986632499405605,0.10186775156526573,2.3734319006937112,12.170150809940045,False,False,False,False,False,19.150251504754397,7.13265130108624,1.604696820694183,0.7767768661027525,2,0.022405238620616386
16484,2025-11-18 03:30:00+00:00,long,1,0.03301466217555005,0.21587081434515554,4.190725700812183,27.401624312287133,False,False,True,False,False,15.318741355999467,4.500433251245839,2.4455887617292555,1.1214631909876893,3,0.04553876794704004
16592,2025-11-19 06:30:00+00:00,short,-1,0.22933515387039183,0.045058292196197725,26.251573283477292,5.157739839071087,False,True,True,False,True,16.293360448466334,3.8658353764733544,-0.2681221205687573,1.0984493038192662,2,0.020853347752182172
16693,2025-11-20 07:45:00+00:00,long,1,0.0012932346079723711,0.2557561618825438,0.15624130966979677,30.899016653521933,False,False,True,False,False,26.246168071754937,0.6121823303185074,-0.7170275357624889,0.9151413475083555,2,0.017956126122627092
16732,2025-11-20 17:30:00+00:00,short,-1,0.2284843068187793,0.013274801535145153,26.66123797830046,1.5490019764198704,True,True,False,False,False,20.59778105346574,4.376541072378945,1.26107515674454,0.9079298713273064,3,0.018416594114601947
17249,2025-11-26 02:45:00+00:00,long,1,0.07625508026081107,0.03482354317125236,7.16410296239673,3.2716436457877762,True,False,True,False,False,27.73726684674371,8.917785570364497,-0.21872775984263293,1.017323909693295,1,0.03811065211431308
17642,2025-11-30 05:00:00+00:00,short,-1,0.13898575565931792,0.06947810154264444,15.306160402944592,7.651452925222789,False,False,True,False,True,11.43787906299139,1.187817829272154,0.4370782332965355,0.8856450987989161,1,0.02376035747663141
17920,2025-12-03 02:30:00+00:00,long,1,0.06928850017728405,0.1001654650750502,8.363443371192021,12.090436259420438,False,False,True,False,False,22.284410493622076,2.537157244627803,-0.5153319572589304,1.1411315147012004,1,0.037817886104594356
18142,2025-12-05 10:00:00+00:00,short,-1,0.14741716914278602,0.010039162056318718,16.76033422902785,1.141384768285046,True,False,True,False,True,33.80455249305581,5.591340204075468,0.27500132464745186,0.8294622151875438,1,0.043420548077584664
18825,2025-12-12 12:45:00+00:00,long,1,0.014505376704297968,0.1278684131184885,1.7456430315501454,15.388266631470962,False,False,True,False,False,24.583929794580392,0.4743729251451825,-0.4083392573713601,0.9731052811556986,1,0.02639270987459086
18863,2025-12-12 22:15:00+00:00,short,-1,0.09459553453432579,0.03971621339639708,10.79460694860303,4.532147476214949,False,False,False,False,True,17.06678271870944,-2.142058895763874,-0.6165555051237392,1.0378316767948788,2,0.011425267972138387
18973,2025-12-14 01:45:00+00:00,long,1,0.013698630136986356,0.1819476468194765,1.568397275547526,20.831732130168298,False,False,True,False,False,15.291796877982724,1.8794913972533003,-0.7981692083245415,0.7402006944003143,3,0.018250410696835973
19124,2025-12-15 15:30:00+00:00,short,-1,0.20235141840146698,0.019667062165174665,22.86656791317755,2.222461380331945,True,True,True,True,False,15.406715183352741,5.580924494644243,4.116009050506291,0.9282686901055054,2,0.041370453665408036
19783,2025-12-22 12:15:00+00:00,long,1,0.0050055178937411515,0.06936780703137324,0.5509299007804604,7.634934058059902,False,False,True,False,False,23.98506572299231,0.32029800293935295,-0.017840452038410115,0.7953960066877986,1,0.024467344652872036
19846,2025-12-23 04:00:00+00:00,short,-1,0.028712464006581673,0.08802961744138216,3.1287295139375284,9.592379885137975,False,False,True,False,True,15.976188459613063,2.4560664476662755,-0.3348839571950908,0.8609515805201485,2,0.018348365418389134
20032,2025-12-25 02:30:00+00:00,long,1,0.0521081941129673,0.03858392999204452,6.818002277004566,5.048444434117888,False,False,True,False,False,20.631181045647843,1.0792575774689261,-0.6317133719566514,0.7402433451830523,2,0.027054650702396987
20719,2026-01-01 06:15:00+00:00,short,-1,0.07412467309418791,0.06944064951793583,13.477757593680028,12.626082548265792,False,False,True,False,True,9.280502217914501,-4.215594591034254,-0.2825608159629669,0.9416480081111913,1,0.0036619415322274307
21014,2026-01-04 08:00:00+00:00,long,1,0.12940427901057805,0.012685914260717412,20.833735077506432,2.042397507598206,True,False,True,False,True,10.684265993951206,-3.888587354859805,-0.17033350410256642,0.9378995607808757,1,0.005611116061170707
21015,2026-01-04 08:15:00+00:00,short,-1,0.004451038575667532,0.1388242842248777,0.7090022527017968,22.11320539507828,False,False,False,True,False,11.077637821764919,-3.524026786485429,1.1587984545030303,0.9451367304456922,2,0.002651324421896195
21018,2026-01-04 09:00:00+00:00,long,1,0.13368727795297586,0.00339307812063383,21.391225001900988,0.5429244924340233,True,False,True,False,False,11.997899699200778,-1.8869191496605406,-0.6580770100129278,0.9233708463234728,3,0.0018483453821476203
21422,2026-01-08 14:00:00+00:00,short,-1,0.08673449649889753,0.017292738597237678,11.421086145729111,2.277085417993252,True,False,True,True,True,18.949819291293924,7.342303342533608,-0.371943387698923,0.9731950635252741,1,0.025792082867177824
21941,2026-01-13 23:45:00+00:00,long,1,0.04407938172356207,0.05479824459202287,7.4133976128455314,9.216126900198258,False,False,True,False,False,27.02491988057166,8.109705896350004,-0.25012919699024994,1.0449243808561095,1,0.04535178678441043
22123,2026-01-15 21:15:00+00:00,short,-1,0.07705158503789433,0.06462391003178225,12.312533912099855,10.326641345632122,False,False,True,True,False,14.215862093492568,1.8410739037531378,-0.6964388103164142,1.2647178513293544,2,0.023779085757490437
22285,2026-01-17 13:45:00+00:00,long,1,0.030730995305534803,0.19125014793482975,5.320594781937015,33.111994226996906,False,False,True,False,False,11.097914382848481,0.5695262799178682,-0.4791021277897499,0.7578489465285763,2,0.01241930027789917
22429,2026-01-19 01:45:00+00:00,short,-1,0.14981522235601863,0.006145413777353559,23.147636141449592,0.9495150080195888,True,False,True,False,False,39.454063959743586,14.679698488431875,0.3331185106564931,1.0242305048499207,2,0.04577737747417332
22915,2026-01-24 03:15:00+00:00,long,1,0.4473944236800276,0.07110022769257207,67.25166250240247,10.687680184508936,False,True,True,False,True,25.64158698127515,0.6737158772154892,-0.05879272911606204,1.0577359215837028,1,0.04629411247503934
23079,2026-01-25 20:15:00+00:00,short,-1,0.016734879490677534,0.5847658026375624,2.317806062196556,80.99094607006954,False,False,True,False,False,28.24399448634544,5.28337871649185,-0.19029426101424296,0.8567773258102602,2,0.026442036597771446
23166,2026-01-26 18:00:00+00:00,long,1,0.46541356545141066,0.003994785753332453,67.90556012051492,0.5828540125992822,True,True,True,False,True,18.32799433320882,8.94558611741939,0.08314096018459693,1.223673879302475,2,0.05616736474419115
23648,2026-01-31 18:30:00+00:00,short,-1,0.044470776844526494,0.3411982016519708,3.464225402186469,26.578970758154824,False,False,True,False,False,28.858875898271446,16.13264018658609,1.9521516674553197,1.2031859794280912,1,0.04321784724517608
23670,2026-02-01 00:00:00+00:00,long,1,0.2035340109460515,0.11008600469116503,16.97917095347726,9.183571259409959,False,True,False,True,True,21.480322534780406,-7.4646228152616985,0.7160873121846996,1.1839827932275515,2,0.06587504697704927
23749,2026-02-01 19:45:00+00:00,short,-1,0.016554490448024928,0.3081446733292541,1.1630884051532588,21.649684584629046,False,False,True,False,False,16.550623754897295,-2.146981593835239,-0.45424886414308274,1.0672589960017773,3,0.024508530397691186
23767,2026-02-02 00:15:00+00:00,long,1,0.2283507293561875,0.05863576877653287,16.683340216059765,4.283938492717608,False,True,False,True,False,12.246609595402612,-4.211393810093773,0.7047218949414622,1.0811143770322846,4,0.038440774891764784
