parameter,value,name,return,max_dd,sharpe,trades,win_rate,avg_trade_pct,median_trade_pct,best_trade_pct,worst_trade_pct,avg_hold_bars,exit_reasons,fitness,return_delta,max_dd_delta,sharpe_delta,trades_delta
min_mfe_atr,3.0,V12_4_age128__min_mfe_atr=3.0,11.473503208826182,-0.2947181620802719,3.8822865107468107,29,0.7931034482758621,0.10207375602678484,0.06817646602792897,0.5920380316936312,-0.144563902827127,110.96551724137932,"{'warning_confirm_volume': 22, 'hard_swing96': 5, 'stop_loss': 2}",11.031425965705774,-1.1107598182467129,0.0,-0.0528128355284565,1
stop_atr,12.0,V12_4_age128__stop_atr=12.0,11.283561479159937,-0.33283589408141034,3.769614691787882,28,0.8214285714285714,0.10578281427301142,0.08632050909581226,0.5920380316936312,-0.19253990282712707,120.64285714285714,"{'warning_confirm_volume': 21, 'hard_swing96': 5, 'stop_loss': 2}",10.784307638037822,-1.3007015479129578,-0.03811773200113844,-0.16548465448738536,0
entry_min_rvol96,1.5,V12_4_age128__entry_min_rvol96=1.5,11.205581692622454,-0.2943589203205408,3.8652424938510297,27,0.8148148148148148,0.10850843539618513,0.09188471437609057,0.5920380316936312,-0.144563902827127,113.55555555555556,"{'warning_confirm_volume': 20, 'hard_swing96': 5, 'stop_loss': 2}",10.764043312141643,-1.378681334450441,0.0003592417597311215,-0.06985685242423756,-1
min_mfe_atr,2.0,V12_4_age128__min_mfe_atr=2.0,11.179727573815141,-0.29471816208027124,3.9133167846943615,29,0.7931034482758621,0.10094086419935637,0.06213349410440596,0.5920380316936312,-0.144563902827127,104.55172413793103,"{'warning_confirm_volume': 23, 'hard_swing96': 4, 'stop_loss': 2}",10.737650330694734,-1.404535453257754,6.661338147750939e-16,-0.021782561580905746,1
wick_min,0.45,V12_4_age128__wick_min=0.45,10.58793743447243,-0.29471816208027124,3.7050946866720413,30,0.8,0.09650018578369104,0.07050362510296751,0.5920380316936312,-0.144563902827127,112.83333333333333,"{'warning_confirm_volume': 22, 'hard_swing96': 6, 'stop_loss': 2}",10.145860191352023,-1.9963255926004653,6.661338147750939e-16,-0.2300046596032259,2
warning_exit_min_capture,0.5,V12_4_age128__warning_exit_min_capture=0.5,10.453882694291657,-0.29471816208027135,3.6359065516312743,28,0.75,0.10331545682672107,0.09764375393545274,0.5920380316936312,-0.144563902827127,126.89285714285714,"{'hard_swing96': 7, 'warning_confirm_volume': 19, 'stop_loss': 2}",10.01180545117125,-2.130380332781238,5.551115123125783e-16,-0.29919279464399295,0
confirm_mode,atr_trail,V12_4_age128__confirm_mode=atr_trail,9.826235617907114,-0.2798696793261156,3.4217423343813214,27,0.7037037037037037,0.1066606450962433,0.08432367791044683,0.7007400128925806,-0.144563902827127,148.07407407407408,"{'hard_swing96': 8, 'warning_confirm_volume': 17, 'stop_loss': 2}",9.406431098917942,-2.7580274091657806,0.01484848275415629,-0.5133570118939459,-1
min_mfe_atr,5.0,V12_4_age128__min_mfe_atr=5.0,9.71413475971915,-0.29471816208027146,3.5681851198275756,28,0.75,0.10073022544220786,0.08632050909581226,0.5920380316936312,-0.144563902827127,124.75,"{'hard_swing96': 7, 'warning_confirm_volume': 19, 'stop_loss': 2}",9.272057516598743,-2.8701282673537456,4.440892098500626e-16,-0.36691422644769167,0
min_mfe_atr,6.0,V12_4_age128__min_mfe_atr=6.0,9.71413475971915,-0.29471816208027146,3.5681851198275756,28,0.75,0.10073022544220786,0.08632050909581226,0.5920380316936312,-0.144563902827127,124.75,"{'hard_swing96': 7, 'warning_confirm_volume': 19, 'stop_loss': 2}",9.272057516598743,-2.8701282673537456,4.440892098500626e-16,-0.36691422644769167,0
stop_atr,7.0,V12_4_age128__stop_atr=7.0,9.07049033342325,-0.27321262013278214,3.57887528748411,29,0.7586206896551724,0.09445812942457671,0.06817646602792897,0.5920380316936312,-0.11257990282712708,113.17241379310344,"{'warning_confirm_volume': 20, 'hard_swing96': 5, 'stop_loss': 4}",8.660671403224077,-3.5137726936496456,0.02150554194748977,-0.35622405879115737,1
volume_warning_mode,all,V12_4_age128__volume_warning_mode=all,8.38772185785272,-0.2947181620802717,3.6611570637331163,31,0.8709677419354839,0.08409612933725721,0.06817646602792897,0.46748999857471724,-0.144563902827127,86.38709677419355,"{'warning_confirm_volume': 27, 'hard_swing96': 2, 'stop_loss': 2}",7.945644614732312,-4.1965411692201755,2.220446049250313e-16,-0.2739422825421509,3
wick_min,0.65,V12_4_age128__wick_min=0.65,8.349362175428043,-0.2947181620802716,3.3549543012276697,28,0.7142857142857143,0.09592436302279675,0.07050362510296751,0.5920380316936312,-0.144563902827127,128.96428571428572,"{'hard_swing96': 8, 'warning_confirm_volume': 18, 'stop_loss': 2}",7.907284932307635,-4.234900851644852,3.3306690738754696e-16,-0.5801450450475976,0
volume_warning_mode,mfi_rvol_exit,V12_4_age128__volume_warning_mode=mfi_rvol_exit,8.08916819474229,-0.29471816208027146,3.56824715242358,31,0.8064516129032258,0.08315973143849696,0.07283078417800604,0.46748999857471724,-0.144563902827127,94.70967741935483,"{'warning_confirm_volume': 25, 'hard_swing96': 4, 'stop_loss': 2}",7.647090951621884,-4.495094832330604,4.440892098500626e-16,-0.3668521938516873,3
entry_max_regime_age,64,V12_4_age128__entry_max_regime_age=64,7.462675650517411,-0.2039142158086017,3.5225566494931164,22,0.8181818181818182,0.11274753315417355,0.08958148359100016,0.5920380316936312,-0.1223496346958749,128.3181818181818,"{'warning_confirm_volume': 17, 'hard_swing96': 4, 'stop_loss': 1}",7.156804326804509,-5.121587376555484,0.09080394627167021,-0.41254269678215083,-6
exit_rvol,3.0,V12_4_age128__exit_rvol=3.0,7.5561135587532515,-0.29471816208027113,3.155500348647075,27,0.7037037037037037,0.09713575757864844,0.0998102340136185,0.5920380316936312,-0.144563902827127,142.1851851851852,"{'hard_swing96': 9, 'warning_confirm_volume': 16, 'stop_loss': 2}",7.114036315632845,-5.0281494683196435,7.771561172376096e-16,-0.7795989976281921,-1
segment_exit_min_capture,0.5,V12_4_age128__segment_exit_min_capture=0.5,7.414092885714419,-0.2947181620802716,3.4775978908872096,28,0.8214285714285714,0.08878416914454577,0.08309261987955027,0.46748999857471724,-0.144563902827127,104.53571428571429,"{'warning_confirm_volume': 17, 'segment_ema55': 6, 'hard_swing96': 3, 'stop_loss': 2}",6.972015642594012,-5.170170141358476,3.3306690738754696e-16,-0.45750145538805764,0
exit_rvol,1.5,V12_4_age128__exit_rvol=1.5,7.010380625495305,-0.2947181620802719,3.4163844149581895,29,0.8620689655172413,0.08408419834281691,0.06586137010162205,0.46748999857471724,-0.144563902827127,100.82758620689656,"{'warning_confirm_volume': 24, 'hard_swing96': 3, 'stop_loss': 2}",6.568303382374897,-5.57388240157759,0.0,-0.5187149313170778,1
segment_min_mfe_atr,6.0,V12_4_age128__segment_min_mfe_atr=6.0,6.9393035710381845,-0.29471816208027135,3.5598861942171514,28,0.8214285714285714,0.08629638989479223,0.07537140342560983,0.46748999857471724,-0.144563902827127,94.92857142857143,"{'warning_confirm_volume': 14, 'segment_adx': 8, 'hard_swing96': 4, 'stop_loss': 2}",6.497226327917778,-5.6449594560347105,5.551115123125783e-16,-0.3752131520581159,0
