spec,entry_ts,exit_ts,direction,side,entry_price,exit_price,allocation,raw_pnl_pct,pnl_pct,hold_bars,mfe_atr,warning_reason,exit_reason,equity_after
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-08-09 13:45:00+00:00,2025-08-10 21:00:00+00:00,1,long,43.691835,44.9545115,2.46878054166601,0.028899598746539468,0.07134676704741205,125,6.194876598327192,volume,warning_confirm_volume,1.4261336705833096
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-08-18 04:00:00+00:00,2025-08-19 09:00:00+00:00,-1,short,44.127925,42.3161475,1.6605162497301702,0.04105739166298883,0.06817646602792897,116,6.816132011317059,volume,warning_confirm_volume,1.5159385886231012
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-08-23 02:30:00+00:00,2025-08-25 04:15:00+00:00,1,long,43.9569675,46.19189250000001,2.2770569180934754,0.05084347549680279,0.1157734876199109,199,11.166664469708683,volume,warning_confirm_volume,1.6800749644228645
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-08-26 21:00:00+00:00,2025-08-27 07:30:00+00:00,1,long,48.968472,49.985994500000004,2.271843483291098,0.02077913519539676,0.04720694288208682,42,6.627174690941102,volume,warning_confirm_volume,1.74910807028707
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-08-27 07:45:00+00:00,2025-08-28 17:00:00+00:00,1,long,49.756865999999995,46.52600872479753,2.233765898694516,-0.0649328933860599,-0.14504488294934728,134,2.8539267872130925,,stop_loss,1.4918827435169695
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-09-08 06:30:00+00:00,2025-09-08 17:00:00+00:00,1,long,49.72985249999999,50.972501,3.0,0.024987978800057986,0.07496393640017396,42,9.45190905357028,volume,warning_confirm_volume,1.5949309634182063
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-09-08 17:15:00+00:00,2025-09-09 11:45:00+00:00,1,long,50.6863305,54.213879500000004,3.0,0.06959566741569523,0.20878700224708568,74,19.076232662208263,volume,warning_confirm_volume,1.9325698764702797
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-09-09 12:00:00+00:00,2025-09-10 10:00:00+00:00,1,long,53.940957,54.786593,3.0,0.015677067056856453,0.04703120117056936,88,7.195930171245554,volume,warning_confirm_volume,1.9978304741142585
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-09-21 12:00:00+00:00,2025-09-21 18:45:00+00:00,-1,short,52.4747495,52.104039,2.442160523310144,0.00706455016045382,0.01725276551680466,27,6.115817123596592,volume,warning_confirm_volume,2.01964823145683
V12_volume_ema21_none_cw24_ta5_mfe4_adx0,2025-09-21 19:00:00+00:00,2025-09-22 05:00:00+00:00,-1,short,51.950012,50.177076,2.4126207100708497,0.0341277303266071,0.08233726897368529,40,9.858842355965308,volume,warning_confirm_volume,2.177230013194048
