name,entry_i,exit_i,entry_ts,exit_ts,direction,side,entry_price,exit_price,allocation,entry_atr,raw_pnl_pct,pnl_pct,hold_bars,mfe_atr,exit_reason,equity_after,symbol,symbol_id
SNDKUSDT_B0_original,5207,5265,2026-05-31 19:15:00+00:00,2026-06-01 09:45:00+00:00,1,long,1720.26,1759.3101488095238,3.0,7.810029761904765,0.0227001434722216,0.0681004304166648,59,5.071683618058266,take_profit,1.1219430406879776,SNDK/USDT:USDT,SNDKUSDT
SNDKUSDT_B0w_weekend_filtered,5226,5266,2026-06-01 00:00:00+00:00,2026-06-01 10:00:00+00:00,1,long,1728.6,1767.7322916666667,3.0,7.8264583333333375,0.0226381416560608,0.0679144249681824,41,5.002262624111596,take_profit,1.121747658762728,SNDK/USDT:USDT,SNDKUSDT
SNDKUSDT_B0_original,5492,5547,2026-06-03 18:30:00+00:00,2026-06-04 08:15:00+00:00,1,long,1829.6,1769.678541666667,3.0,8.560208333333337,-0.0327511250182188,-0.0982533750546565,56,3.774440847915519,stop_loss,1.0065552163682092,SNDK/USDT:USDT,SNDKUSDT
SNDKUSDT_B0w_weekend_filtered,5492,5547,2026-06-03 18:30:00+00:00,2026-06-04 08:15:00+00:00,1,long,1829.6,1769.678541666667,3.0,8.560208333333337,-0.0327511250182188,-0.0982533750546565,56,3.774440847915519,stop_loss,1.0063799287743544,SNDK/USDT:USDT,SNDKUSDT
SNDKUSDT_B0_original,5686,5717,2026-06-05 19:00:00+00:00,2026-06-06 02:45:00+00:00,-1,short,1554.62,1506.5360714285714,2.9098246369814667,9.61678571428572,0.0309296989434256,0.0899999999999996,32,5.139971032792345,take_profit,1.0917246474319084,SNDK/USDT:USDT,SNDKUSDT
SNDKUSDT_B0w_weekend_filtered,5686,5717,2026-06-05 19:00:00+00:00,2026-06-06 02:45:00+00:00,-1,short,1554.62,1506.5360714285714,2.9098246369814667,9.61678571428572,0.0309296989434256,0.0899999999999996,32,5.139971032792345,take_profit,1.0915345279198456,SNDK/USDT:USDT,SNDKUSDT
SNDKUSDT_B0_original,6284,6311,2026-06-12 00:30:00+00:00,2026-06-12 07:15:00+00:00,1,long,1946.77,1846.3742708333336,2.7147350018001677,14.342247023809524,-0.0515704110740696,-0.1399999999999999,28,1.271070005260434,stop_loss,0.9345552036042984,SNDK/USDT:USDT,SNDKUSDT
SNDKUSDT_B0w_weekend_filtered,6284,6311,2026-06-12 00:30:00+00:00,2026-06-12 07:15:00+00:00,1,long,1946.77,1846.3742708333336,2.7147350018001677,14.342247023809524,-0.0515704110740696,-0.1399999999999999,28,1.271070005260434,stop_loss,0.9343924545267512,SNDK/USDT:USDT,SNDKUSDT
SNDKUSDT_B0_original,6572,6614,2026-06-15 00:30:00+00:00,2026-06-15 11:00:00+00:00,1,long,2065.26,2134.956354166667,2.963225300223439,13.939270833333335,0.0337470120791894,0.1,43,6.079227601874184,take_profit,1.0228386591687166,SNDK/USDT:USDT,SNDKUSDT
SNDKUSDT_B0w_weekend_filtered,6572,6614,2026-06-15 00:30:00+00:00,2026-06-15 11:00:00+00:00,1,long,2065.26,2134.956354166667,2.963225300223439,13.939270833333335,0.0337470120791894,0.1,43,6.079227601874184,take_profit,1.0226605358779608,SNDK/USDT:USDT,SNDKUSDT
