spec,entry_ts,exit_ts,direction,side,entry_kind,entry_price,exit_price,allocation,raw_pnl_pct,pnl_pct,hold_bars,mfe_atr,warning_reason,warning_ts,exit_reason,equity_after
HYPE_EMA_X_V17_1,2025-10-25 19:15:00+00:00,2025-10-26 15:00:00+00:00,1,long,hq_late,42.9684735,46.946515,2.252627659885848,0.09258047065600317,0.20854932896496284,79,16.7865448753212,volume,2025-10-26 08:00:00+00:00,warning_confirm_volume,2.9527477679864784
HYPE_EMA_X_V17_1,2025-10-26 18:30:00+00:00,2025-10-28 15:15:00+00:00,1,long,hq_late,47.221599,48.0189785,2.3820748546995416,0.016885906383644622,0.04022349299529033,179,6.530286128154922,volume,2025-10-27 13:45:00+00:00,warning_confirm_volume,3.014211328814868
HYPE_EMA_X_V17_1,2025-11-21 13:00:00+00:00,2025-11-23 01:00:00+00:00,-1,short,hq_normal,33.2323755,30.3341595,1.53720866873065,0.08721061785065609,0.1340609177653845,144,11.661334560703752,volume,2025-11-22 16:15:00+00:00,warning_confirm_volume,3.388259941711861
HYPE_EMA_X_V17_1,2025-11-26 06:00:00+00:00,2025-11-27 03:45:00+00:00,1,long,hq_normal,34.6563195,35.62118050000001,1.6746340972911988,0.027840838667245293,0.046623217729352226,87,5.163448439184397,osc,2025-11-26 22:00:00+00:00,warning_confirm_osc,3.5319758669659547
HYPE_EMA_X_V17_1,2025-12-03 06:30:00+00:00,2025-12-04 04:30:00+00:00,1,long,hq_normal,34.701342,35.330326,2.159337030115757,0.018125639060299292,0.03913936361741683,88,5.259743870522536,volume,2025-12-04 01:15:00+00:00,warning_confirm_volume,3.644409550775344
HYPE_EMA_X_V17_1,2025-12-05 11:45:00+00:00,2025-12-06 18:00:00+00:00,-1,short,hq_normal,31.957013500000002,31.408696499999998,1.7442030680344542,0.01715795501353734,0.029926957775808977,121,5.326881313604804,,,hard_swing96,3.726068401078519
HYPE_EMA_X_V17_1,2026-01-04 22:15:00+00:00,2026-01-07 01:00:00+00:00,1,long,hq_normal,26.5142505,27.6311775,2.9281264597619545,0.04212553547383879,0.12334889505258821,203,11.832644245559196,volume,2026-01-06 19:15:00+00:00,warning_confirm_volume,4.107365304840203
HYPE_EMA_X_V17_1,2026-01-14 04:00:00+00:00,2026-01-15 01:45:00+00:00,1,long,hq_normal,26.079033,25.5162355,3.038665370854073,-0.02158045890735283,-0.06557579316891236,87,5.329135974125216,,,hard_swing96,3.8008136771492795
HYPE_EMA_X_V17_1,2026-01-19 02:15:00+00:00,2026-01-20 20:30:00+00:00,-1,short,hq_normal,23.934027000000004,21.809899499999997,2.3643595786902747,0.0887492731582532,0.20983519409351564,169,18.96847072090469,osc,2026-01-20 08:00:00+00:00,warning_confirm_osc,4.654983136777061
HYPE_EMA_X_V17_1,2026-01-21 00:00:00+00:00,2026-01-21 20:00:00+00:00,-1,short,hq_late,20.9725085,21.887938499999997,2.0988084208084437,-0.04364904656016688,-0.09161098648073808,80,3.2329739347212083,,,hard_swing96,4.187048204927965
