rank,strategy,logic_name,rule_quality,symbol,original_asset,timeframe,data_source,start,end,bars,cumulative_return,annualized_return,volatility,sharpe,max_drawdown,trades,long_trades,short_trades,win_rate,profit_factor,notes
13,50 & 200 SMA + RSI Average Strategy,sma_rsi,medium,BTC/USDT:USDT,ETH,1d,resampled_15m_to_1d,2025-05-15T00:00:00+00:00,2026-05-27T00:00:00+00:00,378,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,,按原文：价在 SMA50/200 上且 RSI 平均 >57 开多。
13,50 & 200 SMA + RSI Average Strategy,sma_rsi,medium,HYPE/USDT:USDT,ETH,1d,resampled_15m_to_1d,2025-05-30T00:00:00+00:00,2026-05-26T00:00:00+00:00,362,-0.05315351626185083,-0.053581997887571564,0.2389317086850494,-0.11263269602934284,-0.23200201467963477,3,3,0,0.3333333333333333,0.5941452313211861,按原文：价在 SMA50/200 上且 RSI 平均 >57 开多。
14,Kadunagra-Pivot Point SuperTrend-trades analysis,pivot_supertrend,low,BTC/USDT:USDT,BTC,4h,resampled_15m_to_4h,2025-05-15T00:00:00+00:00,2026-05-27T04:00:00+00:00,2264,-0.09362042492378153,-0.09070364282347099,0.35693559983258105,-0.08812979207764829,-0.3007034353183782,38,19,19,0.2894736842105263,0.9504442740135978,Pivot SuperTrend 近似为 SuperTrend + MA filter。
14,Kadunagra-Pivot Point SuperTrend-trades analysis,pivot_supertrend,low,HYPE/USDT:USDT,BTC,4h,resampled_15m_to_4h,2025-05-30T08:00:00+00:00,2026-05-26T00:00:00+00:00,2163,-0.42255618567163433,-0.4265009011054852,0.8566750449832616,-0.2225498778122898,-0.5791470129988342,55,27,28,0.21818181818181817,0.7836374836908522,Pivot SuperTrend 近似为 SuperTrend + MA filter。
15,ETHUSDT 4H - Keltner Breakout,keltner_eth,medium,BTC/USDT:USDT,ETH,4h,resampled_15m_to_4h,2025-05-15T00:00:00+00:00,2026-05-27T04:00:00+00:00,2264,-0.12812215756956313,-0.1242061751368666,0.08972385586732706,-1.4334348055737431,-0.13132681133824786,111,53,58,0.40540540540540543,0.681268004728588,Keltner 突破 + EMA200。
15,ETHUSDT 4H - Keltner Breakout,keltner_eth,medium,HYPE/USDT:USDT,ETH,4h,resampled_15m_to_4h,2025-05-30T08:00:00+00:00,2026-05-26T00:00:00+00:00,2163,-0.05430303912462675,-0.05496190897940323,0.21065252051992725,-0.16285035279275925,-0.26771793247016673,97,53,44,0.44329896907216493,0.9588427305650342,Keltner 突破 + EMA200。
16,Hash Supertrend [Hash Capital Research],hash_supertrend,medium,BTC/USDT:USDT,SOL,4h,resampled_15m_to_4h,2025-05-15T00:00:00+00:00,2026-05-27T04:00:00+00:00,2264,-0.2873245810427536,-0.2793903274172035,0.2743159060927613,-1.057148657235266,-0.39754027658061797,33,33,0,0.42424242424242425,0.5181942579766569,ATR SuperTrend regime flip，参数默认化。
16,Hash Supertrend [Hash Capital Research],hash_supertrend,medium,HYPE/USDT:USDT,SOL,4h,resampled_15m_to_4h,2025-05-30T08:00:00+00:00,2026-05-26T00:00:00+00:00,2163,0.17844991323535186,0.18086780315924456,0.6726385046672901,0.5825637838924108,-0.548068671332163,26,26,0,0.4230769230769231,1.3278740675244225,ATR SuperTrend regime flip，参数默认化。
17,Crypto LONG PY,crypto_long_py,low,BTC/USDT:USDT,SOL,5m,15m_proxy_for_5m,2026-03-28T04:15:00+00:00,2026-05-27T04:15:00+00:00,5761,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,,BB+RSI+EMA+Fib/NY session 描述不完整，近似只做 BB+RSI+EMA。
17,Crypto LONG PY,crypto_long_py,low,HYPE/USDT:USDT,SOL,5m,native_5m,2026-03-28T09:05:00+00:00,2026-05-27T09:05:00+00:00,17281,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,,BB+RSI+EMA+Fib/NY session 描述不完整，近似只做 BB+RSI+EMA。
18,Oleg_Aryukov_Strategy,oleg,medium,BTC/USDT:USDT,BTC,15m,native_15m,2026-02-26T04:15:00+00:00,2026-05-27T04:15:00+00:00,8641,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,,BB+RSI+TSI reversal。
18,Oleg_Aryukov_Strategy,oleg,medium,HYPE/USDT:USDT,BTC,15m,native_15m,2026-02-25T03:00:00+00:00,2026-05-26T03:00:00+00:00,8604,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,,BB+RSI+TSI reversal。
19,Options test Daily Long 08:30 Exit next day 08:00 UTC,daily_time,high,BTC/USDT:USDT,ETH,5m,15m_proxy_for_5m,2026-03-28T04:15:00+00:00,2026-05-27T04:15:00+00:00,5761,-0.04720188940641068,-0.2547918918026093,0.027749383705446634,-10.584226139316577,-0.0475291396820815,60,60,0,0.21666666666666667,0.23113800768116066,按 UTC 时间入场/退出；BTC 用 15m 代理无法精确 5m。
19,Options test Daily Long 08:30 Exit next day 08:00 UTC,daily_time,high,HYPE/USDT:USDT,ETH,5m,native_5m,2026-03-28T09:05:00+00:00,2026-05-27T09:05:00+00:00,17281,-0.04534281767035697,-0.2459287546069897,0.03167002517863914,-8.896942777433042,-0.04615070254626641,60,60,0,0.2833333333333333,0.2855296453154979,按 UTC 时间入场/退出；BTC 用 15m 代理无法精确 5m。
20,Qullamagi EMA Breakout Autotrade,qullamagi,medium,BTC/USDT:USDT,ETH,1h,resampled_15m_to_1h,2025-05-15T00:00:00+00:00,2026-05-27T04:00:00+00:00,9053,0.11889693977610127,0.11483603175143342,0.2883929611394984,0.5209656303558766,-0.30464499628618047,30,11,19,0.4,1.2369974277757148,MA stack + box breakout + volume spike。
20,Qullamagi EMA Breakout Autotrade,qullamagi,medium,HYPE/USDT:USDT,ETH,1h,resampled_15m_to_1h,2025-05-30T10:00:00+00:00,2026-05-26T03:00:00+00:00,8649,-0.02712590726852604,-0.027469211653725623,0.3808125968854525,0.11707043490842059,-0.2903241672952662,49,23,26,0.3469387755102041,1.0385913060606349,MA stack + box breakout + volume spike。
21,Kinetic Kalman Breakout,kalman,medium,BTC/USDT:USDT,ETH,15m,native_15m,2026-02-26T04:15:00+00:00,2026-05-27T04:15:00+00:00,8641,-0.021571273245583722,-0.08463338323235214,0.3702564965171964,-0.05393078537062555,-0.13515655592101095,115,52,63,0.3739130434782609,0.9834389588447652,Kalman filter + MAE bands 近似实现。
21,Kinetic Kalman Breakout,kalman,medium,HYPE/USDT:USDT,ETH,15m,native_15m,2026-02-25T03:00:00+00:00,2026-05-26T03:00:00+00:00,8604,0.18818785785690006,1.0182336280800404,0.6949502707448134,1.3581130307717075,-0.31540333210423244,109,59,50,0.3761467889908257,1.2077861100505725,Kalman filter + MAE bands 近似实现。
