candidate_id,variant,quantile,window,start,end,trades,days,trades_per_day,total_return_1x,annualized_1x,win_rate,profit_factor,avg_trade_bps,max_drawdown_1x,trade_sharpe
cfg_style_78_22__q50,cfg_style_78_22,0.5,recent_1m,2026-05-27 04:20:00+00:00,2026-06-26 04:20:00+00:00,88,30.0,2.933333333333333,0.07935549297484279,1.5322203242120445,0.5227272727272727,1.1406545165204436,10.542531174116217,-0.19705679765801898,1.7727993176688563
cfg_style_78_22__q50,cfg_style_78_22,0.5,recent_3m,2026-03-28 04:20:00+00:00,2026-06-26 04:20:00+00:00,206,90.0,2.2888888888888888,-0.042641010312801875,-0.1619925493598422,0.5,0.9941941120274425,-0.43945241143043096,-0.2365322885837985,-0.06901799434143582
cfg_style_78_22__q50,cfg_style_78_22,0.5,recent_6m,2025-12-25 04:20:00+00:00,2026-06-26 04:20:00+00:00,427,183.0,2.3333333333333335,0.3963198574877118,0.9461556047260293,0.5339578454332553,1.13084672745565,9.526706999407844,-0.2901656939372914,1.5002612229423078
cfg_style_78_22__q50,cfg_style_78_22,0.5,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,834,365.0,2.2849315068493152,1.2212637908990485,1.2212637908990485,0.5551558752997602,1.1598947611062873,11.209507786581455,-0.2901656939372912,1.7852172332591225
cfg_style_78_22__q60,cfg_style_78_22,0.6,recent_1w,2026-06-19 04:20:00+00:00,2026-06-26 04:20:00+00:00,15,7.0,2.142857142857143,0.10872154053440442,216.35640504730353,0.6666666666666666,2.177458947157517,71.3903943223937,-0.051430718120354824,8.847474906082377
cfg_style_78_22__q60,cfg_style_78_22,0.6,recent_1m,2026-05-27 04:20:00+00:00,2026-06-26 04:20:00+00:00,77,30.0,2.566666666666667,-0.06850927320934619,-0.5782981383194572,0.4675324675324675,0.9154930400192406,-7.276286808951214,-0.2713245553401812,-1.1207679050904569
cfg_style_78_22__q60,cfg_style_78_22,0.6,recent_3m,2026-03-28 04:20:00+00:00,2026-06-26 04:20:00+00:00,189,90.0,2.1,-0.20909525960703834,-0.6137780552356238,0.4708994708994709,0.868776999485442,-10.69776125065881,-0.3442777376202263,-1.5939911619890161
cfg_style_78_22__q60,cfg_style_78_22,0.6,recent_6m,2025-12-25 04:20:00+00:00,2026-06-26 04:20:00+00:00,408,183.0,2.2295081967213113,0.3408307065897036,0.7949479607545054,0.5245098039215687,1.1247099196473491,8.820951096162942,-0.3442777376202263,1.388268271160284
cfg_style_78_22__q60,cfg_style_78_22,0.6,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,824,365.0,2.2575342465753425,1.69731503737676,1.69731503737676,0.537621359223301,1.1962983648575567,13.786915885074183,-0.3442777376202262,2.115319767388912
cfg_style_78_22__q70,cfg_style_78_22,0.7,recent_1w,2026-06-19 04:20:00+00:00,2026-06-26 04:20:00+00:00,11,7.0,1.5714285714285714,0.14674711381172267,1260.2857192243391,0.7272727272727273,3.8266888472075227,127.7313652660212,-0.023051506776914366,13.029310895345384
cfg_style_78_22__q70,cfg_style_78_22,0.7,recent_1m,2026-05-27 04:20:00+00:00,2026-06-26 04:20:00+00:00,67,30.0,2.2333333333333334,0.1138263417082368,2.7120407028412643,0.5373134328358209,1.230262596322516,18.423932901454208,-0.15588107055131728,2.4184018025063283
cfg_style_78_22__q70,cfg_style_78_22,0.7,recent_3m,2026-03-28 04:20:00+00:00,2026-06-26 04:20:00+00:00,173,90.0,1.9222222222222223,-0.2978281195434591,-0.7616348205794043,0.4624277456647399,0.7874635737390825,-18.61137784768544,-0.41595061300961234,-2.5836230171439927
cfg_style_78_22__q70,cfg_style_78_22,0.7,recent_6m,2025-12-25 04:20:00+00:00,2026-06-26 04:20:00+00:00,365,183.0,1.994535519125683,0.024585475462379325,0.04963607753770671,0.5260273972602739,1.0307563445132089,2.3272047112221017,-0.41595061300961267,0.3436763845808167
cfg_style_78_22__q70,cfg_style_78_22,0.7,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,756,365.0,2.0712328767123287,0.7417002980805927,0.7417002980805927,0.5304232804232805,1.1244685215012435,9.101844486397859,-0.41595061300961256,1.3306256379531076
cfg_style_78_22__q80,cfg_style_78_22,0.8,recent_1w,2026-06-19 04:20:00+00:00,2026-06-26 04:20:00+00:00,11,7.0,1.5714285714285714,0.14674711381172267,1260.2857192243391,0.7272727272727273,3.8266888472075227,127.7313652660212,-0.023051506776914366,13.029310895345384
cfg_style_78_22__q80,cfg_style_78_22,0.8,recent_1m,2026-05-27 04:20:00+00:00,2026-06-26 04:20:00+00:00,56,30.0,1.8666666666666667,0.2717894124625091,17.6373858531094,0.5714285714285714,1.5870560010875103,45.651504121592765,-0.10536880954648642,5.132723798533743
cfg_style_78_22__q80,cfg_style_78_22,0.8,recent_3m,2026-03-28 04:20:00+00:00,2026-06-26 04:20:00+00:00,138,90.0,1.5333333333333334,0.13829932427158376,0.6910298431271527,0.5,1.1497949027488745,11.22015684533716,-0.14404612333743005,1.3775462737654667
cfg_style_78_22__q80,cfg_style_78_22,0.8,recent_6m,2025-12-25 04:20:00+00:00,2026-06-26 04:20:00+00:00,297,183.0,1.6229508196721312,0.14378744658927678,0.3072896551499531,0.5185185185185185,1.0823790751932176,6.2195933089236535,-0.202562301861561,0.8190640656927101
cfg_style_78_22__q80,cfg_style_78_22,0.8,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,633,365.0,1.7342465753424658,0.4504277063903863,0.4504277063903863,0.5308056872037915,1.1040796027619522,7.551118772819383,-0.28751187201031103,1.0349605432559483
cfg_style_78_22__q85,cfg_style_78_22,0.85,recent_1w,2026-06-19 04:20:00+00:00,2026-06-26 04:20:00+00:00,10,7.0,1.4285714285714286,0.07010026582219964,33.219687320977286,0.7,2.053104387652931,71.31150210814376,-0.04057123522479511,5.963927711674279
cfg_style_78_22__q85,cfg_style_78_22,0.85,recent_1m,2026-05-27 04:20:00+00:00,2026-06-26 04:20:00+00:00,48,30.0,1.6,0.27287115015431573,17.83117384649546,0.6458333333333334,1.698573907697128,53.21359555900122,-0.08468007022629565,5.33580330871026
