candidate_id,style_set,quantile,style,trades,days,trades_per_day,total_return_1x,annualized_1x,win_rate,profit_factor,avg_trade_bps,max_drawdown_1x,trade_sharpe
base_all__q95,base_all,0.95,wick_reject,120,120.0,1.0,-0.13623818240144292,-0.3594813836346412,0.4,0.8806657458131184,-10.294546681016598,-0.2878167405987634,-0.9989908853572709
no_wick__q80,no_wick,0.8,bb_revert,74,74.0,1.0,0.41255489004578916,4.49403180493783,0.6756756756756757,1.929884907219915,48.23846035201259,-0.09117140254087286,5.366826429610845
no_wick__q80,no_wick,0.8,macd_flip,114,114.0,1.0,0.2641313023726062,1.1179396272622748,0.5526315789473685,1.3262758115891173,22.58509662983912,-0.11932830827052499,2.135856076521335
no_wick__q80,no_wick,0.8,vwap_revert,205,205.0,1.0,0.22857069700489707,0.44269950073701025,0.5365853658536586,1.1577153874832917,11.980262363699916,-0.1808173625368702,1.1586297704961972
no_wick__q80,no_wick,0.8,trend_rsi_snapback,142,142.0,1.0,0.028200154418853263,0.07409996308775679,0.5633802816901409,1.051520590267325,2.899028360237522,-0.16042290287408345,0.40238558850914313
no_wick__q80,no_wick,0.8,micro_breakout,27,27.0,1.0,-0.014263863850451752,-0.17651895773832016,0.4074074074074074,0.9417529976259537,-4.180298526588578,-0.08913728916669705,-0.5187024543003339
no_wick__q85,no_wick,0.85,bb_revert,72,72.0,1.0,0.3437527680673307,3.4720631431236617,0.6944444444444444,1.7394819780675008,42.70265455420575,-0.1070626291387311,4.552136185686963
no_wick__q85,no_wick,0.85,macd_flip,77,77.0,1.0,0.214780477851219,1.515020551702404,0.5714285714285714,1.4287683635524822,27.14980935534535,-0.08680589094301594,2.6682039434665255
no_wick__q85,no_wick,0.85,vwap_revert,179,179.0,1.0,0.14814349287625483,0.3253743348494049,0.547486033519553,1.1217975579697226,9.87589654510302,-0.1506098428354411,0.9040957601823494
no_wick__q85,no_wick,0.85,micro_breakout,27,27.0,1.0,-0.060289852765465946,-0.5685626297075832,0.37037037037037035,0.7476541677291566,-21.72076663375546,-0.10969411729337752,-2.539755985157507
no_wick__q85,no_wick,0.85,trend_rsi_snapback,125,125.0,1.0,-0.07205623609964962,-0.1961717966414449,0.536,0.9193700280074036,-4.982518988365355,-0.22934185999260392,-0.6709404006710921
no_wick__q90,no_wick,0.9,vwap_revert,182,182.0,1.0,0.5312133069952145,1.3501093426861837,0.5879120879120879,1.3345831690911365,25.687575202237525,-0.09919945482097814,2.3027172156269784
no_wick__q90,no_wick,0.9,bb_revert,35,35.0,1.0,0.36391750031878867,24.44763034348526,0.8571428571428571,3.7873235911570147,90.05327389265655,-0.04057123522479511,12.14937773087141
no_wick__q90,no_wick,0.9,macd_flip,56,56.0,1.0,0.19353473243313535,2.168107836544187,0.5892857142857143,1.4756476927513265,33.98572590408693,-0.09584443342427773,2.95610891290436
no_wick__q90,no_wick,0.9,micro_breakout,2,2.0,1.0,0.008452951663662,3.6468062646881734,0.5,1.8180986380613953,43.28255708133312,-0.01058125635898799,3.9217591094926743
no_wick__q90,no_wick,0.9,trend_rsi_snapback,91,91.0,1.0,-0.060235145353842445,-0.2205642802807758,0.4945054945054945,0.8977299471018764,-5.938392009913961,-0.16626128529328466,-0.8464254164711632
no_wick__q95,no_wick,0.95,vwap_revert,139,139.0,1.0,0.29653273078262776,0.9776893369900301,0.539568345323741,1.2295589361685773,21.600505584115734,-0.1682849634105782,1.7021951407490234
no_wick__q95,no_wick,0.95,bb_revert,20,20.0,1.0,0.26255139506313685,69.43612515578498,0.95,10.374060316992605,117.68804652248312,-0.025109300034937387,23.48853278023343
no_wick__q95,no_wick,0.95,trend_rsi_snapback,44,44.0,1.0,0.08930147738122818,1.0331073670127635,0.5227272727272727,1.35453430430503,20.75808626686089,-0.07435114505664098,2.4240475218846673
no_wick__q95,no_wick,0.95,macd_flip,32,32.0,1.0,0.06130328579706101,0.9712054777752877,0.5,1.224430770818942,22.144522871060516,-0.14345596430895124,1.5536446621163507
no_wick_no_breakout__q80,no_wick_no_breakout,0.8,bb_revert,78,78.0,1.0,0.578916145732191,7.4765417470507405,0.7307692307692307,2.3060945640635495,60.09252285490431,-0.07649645528061766,6.900422462027779
no_wick_no_breakout__q80,no_wick_no_breakout,0.8,vwap_revert,202,202.0,1.0,0.5209283172209291,1.1333292220878568,0.5643564356435643,1.3180651977743756,22.77515531988455,-0.13096446597631028,2.1676101337057285
no_wick_no_breakout__q80,no_wick_no_breakout,0.8,macd_flip,102,102.0,1.0,0.47047864204842527,2.9741068606589662,0.6274509803921569,1.6441669875334357,39.90738903200179,-0.08584311155406299,3.745444818144748
no_wick_no_breakout__q80,no_wick_no_breakout,0.8,trend_rsi_snapback,163,163.0,1.0,-0.0406140406608424,-0.08866430928959224,0.5337423312883436,0.9744162778341956,-1.5447076343500246,-0.22412302291358532,-0.20817352672672382
no_wick_no_breakout__q85,no_wick_no_breakout,0.85,bb_revert,79,79.0,1.0,0.40060478616072936,3.742585204147911,0.6962025316455697,1.7867603688911458,44.246583112633985,-0.10706262913873166,4.831565160064512
no_wick_no_breakout__q85,no_wick_no_breakout,0.85,vwap_revert,180,180.0,1.0,0.24411320040242313,0.5572372845144742,0.5444444444444444,1.1735036154770844,14.489663386446118,-0.1327396416451081,1.2706187568994658
no_wick_no_breakout__q85,no_wick_no_breakout,0.85,macd_flip,65,65.0,1.0,0.15319224612166127,1.2263935247056827,0.5538461538461539,1.3288027949705028,24.099909378067714,-0.1162498911961456,2.1948279851373798
no_wick_no_breakout__q85,no_wick_no_breakout,0.85,trend_rsi_snapback,139,139.0,1.0,-0.048354066225374526,-0.12203225989140443,0.5323741007194245,0.9557532307262544,-2.610237781582312,-0.2214791392449923,-0.3595539717353123
no_wick_no_breakout__q90,no_wick_no_breakout,0.9,vwap_revert,177,177.0,1.0,0.602547865371438,1.6445415075038818,0.5819209039548022,1.369809370843932,29.072236005824205,-0.11123295868418537,2.5260131252513394
no_wick_no_breakout__q90,no_wick_no_breakout,0.9,bb_revert,38,38.0,1.0,0.26693363465775777,8.704606340066647,0.7894736842105263,2.305797417897343,63.82394334843309,-0.08432083164000104,7.319182306524511
no_wick_no_breakout__q90,no_wick_no_breakout,0.9,macd_flip,53,53.0,1.0,0.2412435380414495,3.4296935569471776,0.6415094339622641,1.692328173418779,42.98477798224423,-0.09399400206301267,3.9239428028203167
