candidate_id,variant,quantile,window,start,end,trades,days,trades_per_day,total_return_1x,annualized_1x,win_rate,profit_factor,avg_trade_bps,max_drawdown_1x,trade_sharpe,active_months,negative_active_months,recent_1m_total_return_1x,recent_3m_total_return_1x,recent_6m_total_return_1x,paper_gate
cfg_side_88_12__q60,cfg_side_88_12,0.6,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,821,365.0,2.249315068493151,1.5670850331779604,1.5670850331779604,0.5371498172959805,1.1876847491705944,13.22637929806224,-0.3050366543385912,2.0264144697582025,13,5,-0.018948825484295884,-0.06248453660812181,0.499697603453227,False
cfg_only__q50,cfg_only,0.5,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,833,365.0,2.282191780821918,1.45443430437162,1.45443430437162,0.5450180072028812,1.1782599906825264,12.454739473723386,-0.28005404258843225,1.960862815233654,13,4,0.03603468104501206,-0.08106539320750916,0.43834964009069677,False
current_70_20_10__q60,current_70_20_10,0.6,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,818,365.0,2.241095890410959,1.436753756010475,1.436753756010475,0.5378973105134475,1.1794407008988137,12.605086863814838,-0.34427773762022607,1.9422453352413391,13,4,-0.06850927320934619,-0.20868678044216238,0.3796413600309896,False
cfg_style_78_22__q50,cfg_style_78_22,0.5,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,834,365.0,2.2849315068493152,1.2212637908990485,1.2212637908990485,0.5551558752997602,1.1598947611062873,11.209507786581455,-0.2901656939372912,1.7852172332591225,13,4,0.07935549297484279,-0.042641010312801875,0.3963198574877118,False
equal_weight__q50,equal_weight,0.5,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,828,365.0,2.2684931506849315,1.1121334802612477,1.1121334802612477,0.5519323671497585,1.154580489985537,10.607088495146666,-0.32028923566182266,1.7166119889761642,13,4,-0.019349806922930757,-0.1262119667696664,0.48068439434848753,False
current_70_20_10__q70,current_70_20_10,0.7,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,750,365.0,2.0547945205479454,1.1061311292131446,1.1061311292131446,0.536,1.1632436040205762,11.6596661707245,-0.38962909594418316,1.7152043571627276,13,5,0.08298986963501198,-0.2559036948982377,0.14125266341525844,False
current_70_20_10__q50,current_70_20_10,0.5,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,831,365.0,2.276712328767123,1.0332324842082956,1.0332324842082956,0.5511432009626955,1.1456815682889832,10.150238822654197,-0.2586987610220015,1.6277793426622946,13,4,0.07935549297484279,-0.008267210697022298,0.7385211569475842,False
cfg_only__q70,cfg_only,0.7,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,763,365.0,2.0904109589041098,1.0298913705865655,1.0298913705865655,0.5347313237221494,1.1528898391374542,11.008350503862978,-0.40782104996963964,1.6329594811028818,13,5,-0.027398414625142142,-0.2869767279996509,0.02606084448472923,False
cfg_side_88_12__q50,cfg_side_88_12,0.5,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,833,365.0,2.282191780821918,0.7735949357769016,0.7735949357769016,0.539015606242497,1.1193466488055874,8.528190616848342,-0.3415159693217539,1.3523766967679092,13,5,0.03603468104501206,-0.08106539320750916,0.4713431167435369,False
cfg_style_78_22__q70,cfg_style_78_22,0.7,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,756,365.0,2.0712328767123287,0.7417002980805927,0.7417002980805927,0.5304232804232805,1.1244685215012435,9.101844486397859,-0.41595061300961256,1.3306256379531076,13,5,0.1138263417082368,-0.2978281195434591,0.024585475462379325,False
