bracket,source,events,avg_event_bps,win_rate,target_rate,long_share
tp160_sl220_h48,wick_reject_0p6,10932,-14.575470910924281,0.4987193560190267,0.34101719721917306,0.5392425905598244
tp160_sl220_h48,wick_reject_1p0,1759,-15.089189909551642,0.49459920409323477,0.3268902785673678,0.5611142694712905
tp160_sl220_h48,macd_flip,6724,-15.837600163414226,0.4964306960142772,0.3364069006543724,0.5056513979773944
tp160_sl220_h48,ema34_144_reclaim,6973,-16.649176550617394,0.48415316219704574,0.34762655958697836,0.49777714039868065
tp160_sl220_h48,ema21_96_reclaim,9263,-19.88769871985008,0.4755478786570226,0.33099427831156214,0.5015653675914931
tp160_sl220_h48,ema21_55_reclaim_buf5,10691,-20.6286427241737,0.470863342998784,0.32251426433448693,0.5015433542231784
tp160_sl220_h48,momentum_pause_48,16603,-20.843182546295218,0.47792567608263564,0.3353610793230139,0.5083418659278444
tp160_sl220_h48,ema21_55_reclaim,9304,-20.90644201689461,0.4719475494411006,0.32588134135855545,0.5026870163370594
tp160_sl220_h48,breakout_24,8973,-26.165354254847074,0.4638359523013485,0.30959545302574387,0.5301459935361641
tp160_sl220_h48,breakout_48,5919,-27.395845281866986,0.4610576110829532,0.30765331981753674,0.5343808075688461
tp220_sl300_h72,bb_revert_2p0,1028,-6.993518003975414,0.52431906614786,0.32490272373540857,0.5262645914396887
tp220_sl300_h72,bb_revert_1p5,5015,-7.035927996812644,0.5156530408773679,0.3254237288135593,0.5070787637088734
tp220_sl300_h72,bb_revert_1p2,9313,-8.310168051930676,0.5085364544185547,0.3226672393428541,0.5057446580049393
tp220_sl300_h72,bb_revert_1p8,2363,-9.003412101691321,0.5116377486246297,0.3169699534490055,0.5294117647058824
tp220_sl300_h72,vwap_revert_50,21188,-10.334790651381565,0.506560317160657,0.31970926939777233,0.4993864451576364
tp220_sl300_h72,vwap_revert_20,26348,-10.997304062758337,0.503795354486109,0.31175041748899346,0.5028465158645817
tp220_sl300_h72,vwap_revert_75,17521,-11.091435754920951,0.5059071970777924,0.3249243764625307,0.5014553963814851
tp220_sl300_h72,vwap_revert_12,27767,-11.149126655982233,0.5034393344617711,0.310008283213887,0.5021788453920121
tp220_sl300_h72,vwap_revert_30,24668,-11.339859053705718,0.5036079130857791,0.31315874817577427,0.5018647640668072
tp220_sl300_h72,bb_revert_2p4,215,-11.606089699171612,0.5302325581395348,0.3302325581395349,0.5581395348837209
tp220_sl300_h72,vwap_revert_100,14124,-11.94375905292369,0.5062305295950156,0.3314216935712263,0.5027612574341547
tp220_sl300_h72,vwap_revert_140,9945,-13.146819833175282,0.5091000502765208,0.347008547008547,0.49763700351935647
tp220_sl300_h72,vwap_revert_200,5641,-13.670885848674518,0.515334160609821,0.3719198723630562,0.47207941854281155
tp220_sl300_h72,wick_reject_0p6,10932,-14.896305976844713,0.49679839004756676,0.3017746066593487,0.5392425905598244
tp220_sl300_h72,macd_flip,6724,-15.282162899074743,0.4934562760261749,0.3008625817965497,0.5056513979773944
tp220_sl300_h72,wick_reject_1p0,1759,-18.907100831095978,0.4877771461057419,0.2865264354747015,0.5611142694712905
tp220_sl300_h72,ema34_144_reclaim,6973,-20.373924066862244,0.4764090061666428,0.297289545389359,0.49777714039868065
tp220_sl300_h72,ema21_96_reclaim,9263,-23.161238583622044,0.47220123070279607,0.2852207708085933,0.5015653675914931
tp220_sl300_h72,momentum_pause_48,16603,-23.816608062955893,0.47383003071734026,0.2936216346443414,0.5083418659278444
tp220_sl300_h72,ema21_55_reclaim_buf5,10691,-24.277993833094055,0.47020858666167803,0.2791132728463193,0.5015433542231784
tp220_sl300_h72,ema21_55_reclaim,9304,-24.41241203471986,0.47226999140154774,0.279664660361135,0.5026870163370594
tp220_sl300_h72,breakout_24,8973,-28.216548522388116,0.4577064526914076,0.2774991641591441,0.5301459935361641
tp220_sl300_h72,breakout_48,5919,-29.861380203015294,0.45936813650954555,0.27234330123331646,0.5343808075688461
tp50_sl75_h12,macd_flip,6724,-14.55773090342588,0.4863176680547293,0.4309934562760262,0.5056513979773944
tp50_sl75_h12,bb_revert_2p4,215,-14.724667005921638,0.5023255813953489,0.4325581395348837,0.5581395348837209
tp50_sl75_h12,vwap_revert_200,5641,-15.490565697277697,0.5078886722212373,0.49282042191100867,0.47207941854281155
tp50_sl75_h12,bb_revert_1p5,5015,-15.508386755436721,0.48554336989032904,0.4317048853439681,0.5070787637088734
tp50_sl75_h12,ema21_96_reclaim,9263,-16.279337613661653,0.47317283817337796,0.42027420921947534,0.5015653675914931
tp50_sl75_h12,momentum_pause_48,16603,-16.29949689633719,0.4778052159248329,0.43347587785339997,0.5083418659278444
tp50_sl75_h12,vwap_revert_140,9945,-16.371999751515354,0.4953242835595777,0.46646556058320765,0.49763700351935647
tp50_sl75_h12,ema34_144_reclaim,6973,-16.393115853010066,0.47339738993259717,0.4224867345475405,0.49777714039868065
tp50_sl75_h12,ema21_55_reclaim_buf5,10691,-16.404125717388098,0.46992797680291837,0.41548966420353567,0.5015433542231784
tp50_sl75_h12,bb_revert_1p2,9313,-16.404138482251604,0.4770750563728122,0.42521206915064963,0.5057446580049393
tp50_sl75_h12,bb_revert_1p8,2363,-16.405995783191983,0.47947524333474395,0.4278459585272958,0.5294117647058824
tp50_sl75_h12,vwap_revert_75,17521,-16.438655721440156,0.48381941669996004,0.4403287483591119,0.5014553963814851
tp50_sl75_h12,bb_revert_2p0,1028,-16.478064783222123,0.4805447470817121,0.43190661478599224,0.5262645914396887
tp50_sl75_h12,ema21_55_reclaim,9304,-16.505911571415538,0.47044282029234735,0.41680997420464316,0.5026870163370594
tp50_sl75_h12,vwap_revert_100,14124,-16.51367575934542,0.48753894080996885,0.4497309544038516,0.5027612574341547
tp50_sl75_h12,vwap_revert_50,21188,-16.518892954855335,0.4796582971493298,0.430526713233906,0.4993864451576364
tp50_sl75_h12,vwap_revert_30,24668,-16.815715744801558,0.47373114966758556,0.42228798443327387,0.5018647640668072
tp50_sl75_h12,vwap_revert_20,26348,-16.894928283992233,0.47134507362987704,0.41874146045240623,0.5028465158645817
tp50_sl75_h12,wick_reject_0p6,10932,-16.906754625266235,0.4693560190267106,0.418313208927918,0.5392425905598244
tp50_sl75_h12,vwap_revert_12,27767,-16.967963764447017,0.4696582273922282,0.4159253790470703,0.5021788453920121
tp50_sl75_h12,breakout_24,8973,-18.628100461070343,0.45257996210854784,0.4030981834392065,0.5301459935361641
tp50_sl75_h12,breakout_48,5919,-19.03755676074205,0.45311708058793715,0.4108802162527454,0.5343808075688461
tp50_sl75_h12,wick_reject_1p0,1759,-19.436693501335213,0.4394542353610006,0.3826037521318931,0.5611142694712905
tp75_sl100_h18,bb_revert_2p4,215,-11.999948787325678,0.5116279069767442,0.4186046511627907,0.5581395348837209
tp75_sl100_h18,bb_revert_2p0,1028,-13.177953444239057,0.4980544747081712,0.4046692607003891,0.5262645914396887
tp75_sl100_h18,bb_revert_1p5,5015,-13.222972902610914,0.49272183449651047,0.40219341974077766,0.5070787637088734
tp75_sl100_h18,vwap_revert_200,5641,-14.144629488322623,0.5073568516220528,0.46676121255096614,0.47207941854281155
tp75_sl100_h18,bb_revert_1p2,9313,-14.576956850666631,0.4837324170514335,0.3943949318157414,0.5057446580049393
tp75_sl100_h18,macd_flip,6724,-14.84299161549346,0.47456870910172516,0.39262343842950626,0.5056513979773944
tp75_sl100_h18,vwap_revert_140,9945,-15.975844524248695,0.49130216189039716,0.4350930115635998,0.49763700351935647
tp75_sl100_h18,bb_revert_1p8,2363,-16.27680306391013,0.4777824798984342,0.39060516292848074,0.5294117647058824
tp75_sl100_h18,vwap_revert_50,21188,-16.34158115019529,0.47564659241079854,0.39357183311308286,0.4993864451576364
tp75_sl100_h18,vwap_revert_75,17521,-16.37166330345298,0.4774841618629074,0.4022030706009931,0.5014553963814851
tp75_sl100_h18,ema34_144_reclaim,6973,-16.495461337458647,0.46608346479277213,0.39036282805105404,0.49777714039868065
tp75_sl100_h18,vwap_revert_100,14124,-16.63572525264069,0.47911356556216367,0.4103653355989805,0.5027612574341547
tp75_sl100_h18,vwap_revert_20,26348,-16.67635772481432,0.47054804918779414,0.3826476392895096,0.5028465158645817
tp75_sl100_h18,vwap_revert_30,24668,-16.688327800095472,0.4715015404572726,0.3853170098913572,0.5018647640668072
tp75_sl100_h18,ema21_96_reclaim,9263,-16.758886259204168,0.461837417683256,0.38486451473604666,0.5015653675914931
tp75_sl100_h18,vwap_revert_12,27767,-16.824087905912823,0.4690099758706378,0.3797673497316959,0.5021788453920121
tp75_sl100_h18,momentum_pause_48,16603,-16.867770069624477,0.4672649521170873,0.3930614949105583,0.5083418659278444
tp75_sl100_h18,wick_reject_0p6,10932,-16.895696816612876,0.46578851079399924,0.3804427369191365,0.5392425905598244
tp75_sl100_h18,ema21_55_reclaim_buf5,10691,-16.897078416852253,0.4569263866803854,0.37676550369469647,0.5015433542231784
tp75_sl100_h18,ema21_55_reclaim,9304,-17.22749512523884,0.4586199484092863,0.3789767841788478,0.5026870163370594
tp75_sl100_h18,wick_reject_1p0,1759,-19.431240960430365,0.4519613416714042,0.3536100056850483,0.5611142694712905
tp75_sl100_h18,breakout_24,8973,-19.54004356752335,0.4426613172851889,0.36654407667446787,0.5301459935361641
tp75_sl100_h18,breakout_48,5919,-21.263579228418248,0.4350397026524751,0.3666159824294644,0.5343808075688461
tp90_sl130_h24,bb_revert_2p4,215,-9.887366324970898,0.5348837209302325,0.44651162790697674,0.5581395348837209
tp90_sl130_h24,bb_revert_2p0,1028,-9.932255875689115,0.5311284046692607,0.4260700389105058,0.5262645914396887
