candidate_id,style_set,allowed_styles,variant,quantile,window,start,end,trades,days,trades_per_day,total_return_1x,annualized_1x,win_rate,profit_factor,avg_trade_bps,max_drawdown_1x,trade_sharpe,active_months,negative_active_months,recent_1m_total_return_1x,recent_3m_total_return_1x,recent_6m_total_return_1x,paper_gate
bb_vwap_only__current_70_20_10__q90,bb_vwap_only,"bb_revert,vwap_revert",current_70_20_10,0.9,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,247,365.0,0.6767123287671233,1.3963759203606938,1.3963759203606938,0.6275303643724697,1.5254102235564626,37.64039782084423,-0.13028228121653018,2.8168255751657387,13,3,0.21575577373418442,0.24634250028517157,0.5513030476699634,True
no_wick_no_breakout__current_70_20_10__q90,no_wick_no_breakout,"bb_revert,macd_flip,trend_rsi_snapback,vwap_revert",current_70_20_10,0.9,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,355,365.0,0.9726027397260274,1.3912075780265667,1.3912075780265667,0.5887323943661972,1.390129303876295,26.47163145397509,-0.1459810303376522,2.55982254526913,13,2,0.2062847573457829,0.17363949794873035,0.4590111359890834,True
bb_vwap_only__cfg_only__q90,bb_vwap_only,"bb_revert,vwap_revert",cfg_only,0.9,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,250,365.0,0.684931506849315,1.3875971541645788,1.3875971541645788,0.624,1.5165792108075622,37.053214937977316,-0.1121764197173104,2.7977077831317883,13,2,0.21575577373418442,0.24634250028517157,0.5513030476699634,True
no_wick__current_70_20_10__q90,no_wick,"bb_revert,macd_flip,micro_breakout,trend_rsi_snapback,vwap_revert",current_70_20_10,0.9,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,366,365.0,1.0027397260273974,1.3622926510526763,1.3622926510526763,0.5901639344262295,1.3787065283581588,25.34528788234856,-0.1810991931122864,2.5251590526091,13,1,0.28685058404324315,0.2520250000627451,0.5308850258180076,True
core_bb_vwap_macd__cfg_side_88_12__q85,core_bb_vwap_macd,"bb_revert,macd_flip,vwap_revert",cfg_side_88_12,0.85,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,388,365.0,1.063013698630137,1.3433016683612435,1.3433016683612435,0.5902061855670103,1.3276506337862828,23.976766180573033,-0.17299329896389837,2.352438238258656,13,4,0.5354403350254044,0.5512988696038126,0.7585508552907607,True
no_wick__cfg_only__q80,no_wick,"bb_revert,macd_flip,micro_breakout,trend_rsi_snapback,vwap_revert",cfg_only,0.8,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,573,365.0,1.5698630136986302,1.33716488979094,1.33716488979094,0.5549738219895288,1.2463580231219396,16.478995210067566,-0.17564023499360282,2.1624058693798425,13,4,0.29360529479711084,0.12656957115172673,0.25700621955608915,True
no_wick_no_breakout__equal_weight__q85,no_wick_no_breakout,"bb_revert,macd_flip,trend_rsi_snapback,vwap_revert",equal_weight,0.85,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,477,365.0,1.3068493150684932,1.3161833674267456,1.3161833674267456,0.5765199161425576,1.290036754974758,19.345410544293433,-0.17607120033155077,2.270503539168155,13,3,0.3933739167071564,0.2465561940544212,0.6211455206378949,True
bb_vwap_only__cfg_style_78_22__q90,bb_vwap_only,"bb_revert,vwap_revert",cfg_style_78_22,0.9,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,247,365.0,0.6767123287671233,1.2739547737649,1.2739547737649,0.6194331983805668,1.4888744264039733,35.51718711055547,-0.13028228121653052,2.653572759848203,13,3,0.21575577373418442,0.24634250028517157,0.5513030476699634,True
no_wick__cfg_side_88_12__q90,no_wick,"bb_revert,macd_flip,micro_breakout,trend_rsi_snapback,vwap_revert",cfg_side_88_12,0.9,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,369,365.0,1.010958904109589,1.2622835638056138,1.2622835638056138,0.5799457994579946,1.3483949341399533,24.04476012975736,-0.1810991931122865,2.362511325642107,13,2,0.277708332689077,0.24313016223603423,0.5200090656452396,True
mean_revert_bb_vwap_rsi__cfg_side_88_12__q90,mean_revert_bb_vwap_rsi,"bb_revert,trend_rsi_snapback,vwap_revert",cfg_side_88_12,0.9,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,321,365.0,0.8794520547945206,1.2440725110965132,1.2440725110965132,0.5794392523364486,1.3856516538169916,27.167311294276544,-0.10544816710632476,2.4536887437881263,13,3,0.258004585685238,0.2049060787541408,0.4206915766029671,True
mean_revert_bb_vwap_rsi__cfg_only__q90,mean_revert_bb_vwap_rsi,"bb_revert,trend_rsi_snapback,vwap_revert",cfg_only,0.9,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,325,365.0,0.8904109589041096,1.2410927863655496,1.2410927863655496,0.5784615384615385,1.3826106000261513,26.792841441493284,-0.10544816710632465,2.449249916030614,13,2,0.258004585685238,0.2049060787541408,0.42092277957991175,True
mean_revert_bb_vwap_rsi__cfg_style_78_22__q95,mean_revert_bb_vwap_rsi,"bb_revert,trend_rsi_snapback,vwap_revert",cfg_style_78_22,0.95,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,210,365.0,0.5753424657534246,1.193958239115687,1.193958239115687,0.5904761904761905,1.547896857822054,39.75353942900577,-0.12028163022096428,2.691288256703137,13,3,0.11972312295638732,0.15688969383146345,0.37987583265643043,True
mean_revert_bb_vwap_rsi__cfg_only__q95,mean_revert_bb_vwap_rsi,"bb_revert,trend_rsi_snapback,vwap_revert",cfg_only,0.95,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,216,365.0,0.5917808219178082,1.1659709599498669,1.1659709599498669,0.5833333333333334,1.5253286129334538,38.0849755601353,-0.13150377800999002,2.631658242615724,13,3,0.11972312295638732,0.15688969383146345,0.37987583265643043,True
no_wick__cfg_style_78_22__q90,no_wick,"bb_revert,macd_flip,micro_breakout,trend_rsi_snapback,vwap_revert",cfg_style_78_22,0.9,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,365,365.0,1.0,1.1635410149983465,1.1635410149983465,0.5780821917808219,1.3334340035255874,23.033413588198826,-0.18109919311228662,2.268918669326182,13,2,0.28685058404324315,0.2520250000627451,0.49972267663849634,True
no_wick__cfg_only__q90,no_wick,"bb_revert,macd_flip,micro_breakout,trend_rsi_snapback,vwap_revert",cfg_only,0.9,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,370,365.0,1.0136986301369864,1.1588334577382455,1.1588334577382455,0.5756756756756757,1.3259013682463265,22.717258903460188,-0.1810991931122864,2.234969292041919,13,3,0.277708332689077,0.24313016223603423,0.4890681050500121,True
no_wick_no_breakout__cfg_style_78_22__q95,no_wick_no_breakout,"bb_revert,macd_flip,trend_rsi_snapback,vwap_revert",cfg_style_78_22,0.95,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,220,365.0,0.6027397260273972,1.1550773165647659,1.1550773165647659,0.5818181818181818,1.491547139552978,37.39863662189714,-0.11849947251767812,2.4991890195846596,13,2,0.2830848876776544,0.3256738674342756,0.5076168563675238,True
core_bb_vwap_macd__equal_weight__q90,core_bb_vwap_macd,"bb_revert,macd_flip,vwap_revert",equal_weight,0.9,full_year,2025-06-26 04:20:00+00:00,2026-06-26 04:20:00+00:00,293,365.0,0.8027397260273973,1.146622607481591,1.146622607481591,0.6006825938566553,1.3723618793629937,28.321298729564777,-0.15043011964203323,2.2948121058329356,13,1,0.254324409076387,0.2896977136122463,0.445116986472496,True
