candidate_id,month,trades,days,trades_per_day,total_return_1x,annualized_1x,win_rate,profit_factor,avg_trade_bps,median_trade_bps,max_drawdown_1x,avg_bars_held
tp50_sl75_h12__core__expanding__q90,2026_03,410,31.0,13.225806451612904,-0.37799847811030096,-0.9962669776571947,0.526829268292683,0.6547763249753759,-11.406036139874134,10.488717523173051,-0.38661062294171766,6.085365853658536
tp50_sl75_h12__core__expanding__q90,2026_04,207,30.0,6.9,-0.32486979869809585,-0.9916012428579946,0.42028985507246375,0.45448181228347145,-18.819782163913032,-21.025384936303958,-0.330431598342513,8.270531400966183
tp50_sl75_h12__core__expanding__q90,2026_05,362,31.0,11.67741935483871,-0.40161063826811405,-0.9976331820740966,0.48342541436464087,0.5839938662440185,-14.014695797408244,-6.986315468162726,-0.40425309725160874,6.060773480662983
tp50_sl75_h12__core__expanding__q90,2026_06,14,25.17013888888889,0.5562146502965927,-0.025379120535918398,-0.3111840737505873,0.5,0.5499313457209096,-18.149414581490046,-18.152436288785136,-0.025379120535918398,4.714285714285714
tp50_sl75_h12__core__expanding__q95,2025_09,178,30.0,5.933333333333334,-0.30549486343396925,-0.9881500062142715,0.4157303370786517,0.4369487887146753,-20.314778496148488,-22.84420620402598,-0.3151669367277574,8.07865168539326
tp50_sl75_h12__core__expanding__q95,2025_10,200,31.0,6.451612903225806,-0.2255665439110316,-0.95069654165865,0.535,0.644481778089418,-12.590768633610994,44.33814053737181,-0.23915433697205324,5.165
tp50_sl75_h12__core__expanding__q95,2025_11,262,30.0,8.733333333333333,-0.19397808312286935,-0.9274640414728906,0.5610687022900763,0.7501860710911183,-8.051057587225282,44.33814053737181,-0.2303981988252286,5.041984732824427
tp50_sl75_h12__core__expanding__q95,2025_12,255,31.0,8.225806451612904,-0.4485189877322687,-0.9990948285754911,0.43137254901960786,0.435208292876017,-23.142158663823555,-39.203980105917985,-0.4605866356358631,6.086274509803921
tp50_sl75_h12__core__expanding__q95,2026_01,215,31.0,6.935483870967742,-0.25860838143329,-0.9704936059285663,0.48372093023255813,0.5991900949086246,-13.742289398446335,-11.374506087347784,-0.2602815118745512,5.72093023255814
tp50_sl75_h12__core__expanding__q95,2026_02,214,28.0,7.642857142857143,-0.35673846175175417,-0.9968216969574552,0.4485981308411215,0.4837806074470689,-20.420276097573815,-24.879863260419405,-0.3762203518501529,5.102803738317757
tp50_sl75_h12__core__expanding__q95,2026_03,252,31.0,8.129032258064516,-0.25585339255310513,-0.9691764673541331,0.5158730158730159,0.653614700386792,-11.550378520075004,12.755456256726848,-0.2883363677556956,6.103174603174603
tp50_sl75_h12__core__expanding__q95,2026_04,98,30.0,3.2666666666666666,-0.1640543936961002,-0.8869772412447359,0.4489795918367347,0.4788971925989928,-18.12326707936917,-21.86589727194257,-0.17182156150976258,8.173469387755102
tp50_sl75_h12__core__expanding__q95,2026_05,224,31.0,7.225806451612903,-0.232798747173958,-0.9558531356449573,0.5,0.6368251583457105,-11.667081549373659,-0.8595835142708423,-0.23675853517147472,6.040178571428571
tp50_sl75_h12__core__expanding__q95,2026_06,9,25.17013888888889,0.3575665609049524,-0.02252851325049532,-0.28138471930371123,0.4444444444444444,0.4399727092814562,-25.092700091533548,-80.64301311494208,-0.023265707563163596,4.333333333333333
tp50_sl75_h12__core__trailing_180d__q70,2025_09,715,30.0,23.833333333333332,-0.73196018026572,-0.9999998895688251,0.45174825174825173,0.5047559480336309,-18.23428308479789,-23.3995990437409,-0.7351208298451843,6.9020979020979025
tp50_sl75_h12__core__trailing_180d__q70,2025_10,706,31.0,22.774193548387096,-0.5652380664091241,-0.9999449568497397,0.5354107648725213,0.6655968611546982,-11.610771788496148,44.33814053737181,-0.5656803312089824,5.004249291784703
tp50_sl75_h12__core__trailing_180d__q70,2025_11,837,30.0,27.9,-0.7308418009334778,-0.9999998838303624,0.5041816009557945,0.583756124752245,-15.484753604451047,7.876843641268558,-0.733413931508283,4.673835125448028
tp50_sl75_h12__core__trailing_180d__q70,2025_12,788,31.0,25.419354838709676,-0.7675588498670405,-0.9999999654182635,0.4619289340101523,0.5092077400374824,-18.331303382067624,-21.460436640483586,-0.7716957400667708,6.049492385786802
tp50_sl75_h12__core__trailing_180d__q70,2026_01,921,31.0,29.70967741935484,-0.7736998202892048,-0.9999999747689631,0.48751357220412594,0.5613619144473467,-15.94761052283837,-8.618434940579112,-0.7740466798280756,5.091205211726384
tp50_sl75_h12__core__trailing_180d__q70,2026_02,1181,28.0,42.17857142857143,-0.8633758867675615,-0.9999999999946175,0.4928027095681626,0.562649595966678,-16.65674353732173,-15.394549821447505,-0.8658737911374104,4.040643522438612
tp50_sl75_h12__core__trailing_180d__q70,2026_03,980,31.0,31.612903225806452,-0.7867373100992312,-0.9999999874537499,0.4989795918367347,0.5756087972859188,-15.577274838323579,-2.769463101951713,-0.7897080500762903,5.336734693877551
tp50_sl75_h12__core__trailing_180d__q70,2026_04,472,30.0,15.733333333333333,-0.5464028461271465,-0.9999334999093369,0.451271186440678,0.5022540214667255,-16.590407227128456,-8.978405146676883,-0.5467668014210891,8.127118644067796
tp50_sl75_h12__core__trailing_180d__q70,2026_05,653,31.0,21.06451612903226,-0.6964395154900829,-0.9999991985891578,0.4655436447166922,0.5147978041072678,-18.07043148218786,-12.66653946831807,-0.6977800241632411,5.537519142419602
tp50_sl75_h12__core__trailing_180d__q70,2026_06,28,25.17013888888889,1.1124293005931853,-0.0017290138170795721,-0.024782413298724104,0.6071428571428571,0.983493470093681,-0.4518997898712752,44.33814053737181,-0.019675286735049258,4.142857142857143
tp50_sl75_h12__core__trailing_180d__q80,2025_09,550,30.0,18.333333333333332,-0.6769637007414802,-0.9999989303924249,0.4290909090909091,0.46323132872064365,-20.364201921637303,-28.298038132803697,-0.6786321057195441,7.136363636363637
tp50_sl75_h12__core__trailing_180d__q80,2025_10,533,31.0,17.193548387096776,-0.48186889814409395,-0.9995657325124421,0.525328330206379,0.6536043234334792,-12.148185594779237,44.33814053737181,-0.4845450960355111,5.039399624765478
tp50_sl75_h12__core__trailing_180d__q80,2025_11,637,30.0,21.233333333333334,-0.6518591784076426,-0.9999973412027329,0.4976452119309262,0.5676095922513711,-16.366595657941367,-4.428145269852321,-0.6567087648816378,4.844583987441131
tp50_sl75_h12__core__trailing_180d__q80,2025_12,630,31.0,20.322580645161292,-0.6488455458069986,-0.999995547462133,0.4793650793650794,0.545005017134731,-16.42957462290062,-10.473571423723422,-0.6535660021057692,6.095238095238095
tp50_sl75_h12__core__trailing_180d__q80,2026_01,727,31.0,23.451612903225808,-0.6907779239482612,-0.9999990038009785,0.48693259972489683,0.5606221168961412,-15.95842084894916,-5.8923909702267405,-0.6927312576317726,4.997248968363136
tp50_sl75_h12__core__trailing_180d__q80,2026_02,921,28.0,32.892857142857146,-0.7589688642365381,-0.9999999911919029,0.50271444082519,0.5870455447195538,-15.25523523233229,3.928219482284214,-0.7631974601475986,4.2247557003257326
tp50_sl75_h12__core__trailing_180d__q80,2026_03,792,31.0,25.548387096774192,-0.7106930047943464,-0.9999995450791483,0.4962121212121212,0.5752861594807039,-15.471930996753835,-3.6184581702093475,-0.7145088025215685,5.526515151515151
tp50_sl75_h12__core__trailing_180d__q80,2026_04,321,30.0,10.7,-0.44404242835382646,-0.9992093091132693,0.4392523364485981,0.4731274882798968,-18.12646264081756,-12.15944755178968,-0.44694162746753896,7.778816199376947
tp50_sl75_h12__core__trailing_180d__q80,2026_05,463,31.0,14.935483870967742,-0.6004547382977081,-0.999979640796337,0.4535637149028078,0.49334961048371584,-19.621972978857418,-23.14336869948469,-0.6022191111853581,5.077753779697624
tp50_sl75_h12__core__trailing_180d__q80,2026_06,23,25.17013888888889,0.913781211201545,0.0011924861603058723,0.017432512849688164,0.6086956521739131,1.0258100837723465,0.6791984671075909,44.33814053737181,-0.018938753343418213,4.260869565217392
tp50_sl75_h12__core__trailing_180d__q85,2025_09,441,30.0,14.7,-0.5968617804777152,-0.9999841623766759,0.42857142857142855,0.45566647466632926,-20.42269587617513,-29.22162413471689,-0.6025124750716455,7.340136054421769
tp50_sl75_h12__core__trailing_180d__q85,2025_10,443,31.0,14.290322580645162,-0.3639090975606811,-0.9951404411443247,0.54627539503386,0.7041318740070195,-10.02672250449409,44.33814053737181,-0.3722977030402358,5.006772009029345
tp50_sl75_h12__core__trailing_180d__q85,2025_11,537,30.0,17.9,-0.5807695139050518,-0.9999745017863341,0.48789571694599626,0.56978436782719,-15.995485050788124,-7.668313589532318,-0.5866093763077237,4.925512104283054
tp50_sl75_h12__core__trailing_180d__q85,2025_12,534,31.0,17.225806451612904,-0.6139603549724248,-0.9999864192400306,0.4681647940074906,0.5229336876279947,-17.6397604299223,-18.898816661958435,-0.6173609777099507,6.177902621722846
tp50_sl75_h12__core__trailing_180d__q85,2026_01,601,31.0,19.387096774193548,-0.6401775123246678,-0.9999940666803402,0.4841930116472546,0.544784192374856,-16.81923027230888,-11.374506087347784,-0.6401775123246678,5.0
tp50_sl75_h12__core__trailing_180d__q85,2026_02,757,28.0,27.035714285714285,-0.687377092392667,-0.999999738642238,0.49933949801849403,0.5858801494019318,-15.169357408335609,-0.8003882581361448,-0.6914993540188447,4.443857331571995
tp50_sl75_h12__core__trailing_180d__q85,2026_03,678,31.0,21.870967741935484,-0.6037780908552364,-0.9999815477249909,0.5132743362831859,0.6169683545173835,-13.469664617706696,10.927958483886759,-0.6072697585172948,5.5
tp50_sl75_h12__core__trailing_180d__q85,2026_04,213,30.0,7.1,-0.3055174574715126,-0.9881546957433427,0.45539906103286387,0.5036236031648404,-16.951749077366,-7.519974348331354,-0.3085842593746635,7.511737089201878
tp50_sl75_h12__core__trailing_180d__q85,2026_05,368,31.0,11.870967741935484,-0.5157149460049089,-0.9998039715962096,0.4701086956521739,0.5053508011227684,-19.50358865974998,-25.602353770298436,-0.5178535257881418,4.584239130434782
tp50_sl75_h12__core__trailing_180d__q85,2026_06,18,25.17013888888889,0.7151331218099048,-0.020715862700201093,-0.26181617970397875,0.5,0.6594452667455944,-11.45116136510101,13.108268912474704,-0.03260084791890938,4.611111111111111
tp50_sl75_h12__core__trailing_180d__q90,2025_09,312,30.0,10.4,-0.4268314057157866,-0.9988542170294921,0.44871794871794873,0.5004653475023465,-17.669837624721254,-21.05780898935633,-0.4315015168182642,7.714743589743589
tp50_sl75_h12__core__trailing_180d__q90,2025_10,327,31.0,10.548387096774194,-0.21739702074866518,-0.9442124898102916,0.5657492354740061,0.7705117563852265,-7.317565596615159,44.33814053737181,-0.27272418367127316,5.134556574923548
tp50_sl75_h12__core__trailing_180d__q90,2025_11,416,30.0,13.866666666666667,-0.35324531614098353,-0.9950188274249983,0.5360576923076923,0.6924964029538611,-10.29353368514707,44.3381405373707,-0.37461062237730036,4.954326923076923
tp50_sl75_h12__core__trailing_180d__q90,2025_12,424,31.0,13.67741935483871,-0.5708393574742807,-0.9999527506931545,0.44339622641509435,0.48437817274717904,-19.763126728364124,-26.830796919936418,-0.5730560142287056,6.3254716981132075
tp50_sl75_h12__core__trailing_180d__q90,2026_01,457,31.0,14.741935483870968,-0.5569008268331661,-0.9999311611440579,0.474835886214442,0.5340427186656193,-17.619276736365663,-19.356351710440347,-0.5569008268331661,4.901531728665208
tp50_sl75_h12__core__trailing_180d__q90,2026_02,586,28.0,20.928571428571427,-0.628006301221367,-0.9999974786997353,0.48293515358361777,0.5528034666619753,-16.683700065414197,-15.034701380254472,-0.6372645621297577,4.503412969283277
tp50_sl75_h12__core__trailing_180d__q90,2026_03,524,31.0,16.903225806451612,-0.5747278921664785,-0.9999575524912476,0.49427480916030536,0.5669629662100448,-16.12506117767815,-9.428498636421844,-0.5806520565230874,5.400763358778626
tp50_sl75_h12__core__trailing_180d__q90,2026_04,142,30.0,4.733333333333333,-0.23622524315310622,-0.9623228690870608,0.4507042253521127,0.48728548157062707,-18.800307381870518,-23.92514842869409,-0.24629771091810915,7.112676056338028
tp50_sl75_h12__core__trailing_180d__q90,2026_05,280,31.0,9.03225806451613,-0.4666668361798759,-0.9993895802755303,0.44285714285714284,0.4651005783629409,-22.242616607854544,-61.79694580729273,-0.4690220100851292,4.242857142857143
tp50_sl75_h12__core__trailing_180d__q90,2026_06,14,25.17013888888889,0.5562146502965927,-0.013491533522983268,-0.17879021959344776,0.5,0.6993393920728126,-9.533595703346679,13.108268912474704,-0.024002345894954424,5.357142857142857
tp50_sl75_h12__core__trailing_180d__q95,2025_09,178,30.0,5.933333333333334,-0.30549486343396925,-0.9881500062142715,0.4157303370786517,0.4369487887146753,-20.314778496148488,-22.84420620402598,-0.3151669367277574,8.07865168539326
