candidate_id,style_set,variant,quantile,month,start,end,trades,days,trades_per_day,total_return_1x,annualized_1x,win_rate,profit_factor,avg_trade_bps,max_drawdown_1x,trade_sharpe
mean_revert_bb_vwap_rsi__style_only__q90,mean_revert_bb_vwap_rsi,style_only,0.9,2026_06,2026-06-01 00:00:00+00:00,2026-06-26 04:20:00+00:00,42,25.180555555555557,1.667953667953668,-0.07417299108079389,-0.6727801132266501,0.6190476190476191,0.7826469710559332,-17.05410540187243,-0.1457476515926951,-2.606724722631291
mean_revert_bb_vwap_rsi__style_only__q95,mean_revert_bb_vwap_rsi,style_only,0.95,2025_06_partial,2025-06-26 04:20:00+00:00,2025-07-01 00:00:00+00:00,7,4.819444444444445,1.4524495677233429,0.002216511056352344,0.18255980142114758,0.7142857142857143,1.1512015016461525,3.344041472920672,-0.010670133672170179,1.186848931983013
mean_revert_bb_vwap_rsi__style_only__q95,mean_revert_bb_vwap_rsi,style_only,0.95,2025_07,2025-07-01 00:00:00+00:00,2025-08-01 00:00:00+00:00,47,31.0,1.5161290322580645,0.15915477153559277,4.691327526662295,0.5957446808510638,1.863000840311727,32.30258155964687,-0.04041964838026946,5.837071770837803
mean_revert_bb_vwap_rsi__style_only__q95,mean_revert_bb_vwap_rsi,style_only,0.95,2025_08,2025-08-01 00:00:00+00:00,2025-09-01 00:00:00+00:00,47,31.0,1.5161290322580645,0.006444494450438709,0.07856911629557062,0.5957446808510638,1.0393091574213815,2.489613117990792,-0.08975845914288882,0.3877132174320411
mean_revert_bb_vwap_rsi__style_only__q95,mean_revert_bb_vwap_rsi,style_only,0.95,2025_09,2025-09-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,53,30.0,1.7666666666666666,0.027277252094997984,0.38739460147798965,0.6226415094339622,1.1047470344601142,6.113363272419392,-0.08363896296187823,1.0726793506051808
mean_revert_bb_vwap_rsi__style_only__q95,mean_revert_bb_vwap_rsi,style_only,0.95,2025_10,2025-10-01 00:00:00+00:00,2025-11-01 00:00:00+00:00,54,31.0,1.7419354838709677,-0.09130762471189979,-0.6761138751312568,0.48148148148148145,0.7693871213668808,-16.66535081342299,-0.16066384014797064,-2.8768518749737733
mean_revert_bb_vwap_rsi__style_only__q95,mean_revert_bb_vwap_rsi,style_only,0.95,2025_11,2025-11-01 00:00:00+00:00,2025-12-01 00:00:00+00:00,50,30.0,1.6666666666666667,0.22005289581300702,10.244505576939433,0.68,2.0754895354962906,40.71306328881041,-0.04563832454312655,7.604370495853657
mean_revert_bb_vwap_rsi__style_only__q95,mean_revert_bb_vwap_rsi,style_only,0.95,2025_12,2025-12-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,49,31.0,1.5806451612903225,0.07791533465858502,1.4191231626222014,0.5918367346938775,1.3208916893782985,16.2860235219248,-0.05120925454458791,2.7913506139274498
mean_revert_bb_vwap_rsi__style_only__q95,mean_revert_bb_vwap_rsi,style_only,0.95,2026_01,2026-01-01 00:00:00+00:00,2026-02-01 00:00:00+00:00,45,31.0,1.4516129032258065,0.08043337076945178,1.4865043980526522,0.5555555555555556,1.3848795608765607,18.127453490231694,-0.05322168731059396,3.043494560470827
mean_revert_bb_vwap_rsi__style_only__q95,mean_revert_bb_vwap_rsi,style_only,0.95,2026_02,2026-02-01 00:00:00+00:00,2026-03-01 00:00:00+00:00,47,28.0,1.6785714285714286,0.17363032379355814,7.061028356994649,0.6808510638297872,1.8807433975763879,34.85173947988683,-0.03876224047660515,7.0759123341017
mean_revert_bb_vwap_rsi__style_only__q95,mean_revert_bb_vwap_rsi,style_only,0.95,2026_03,2026-03-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,49,31.0,1.5806451612903225,-0.04508208658039381,-0.419080062289376,0.6530612244897959,0.8466420733127002,-8.659986497476531,-0.08746426501688709,-1.6856981539782434
