segment,rank,cfg_name,trades,days,trades_per_day,total_return_1x,annualized_1x,win_rate,profit_factor,avg_trade_bps,max_drawdown_1x
2025_11,45,R3_live_candidate_gate_R00956,42,149.64236111111111,0.2806691881105413,0.0578731962223169,0.1470892798984862,0.5238095238095238,1.2565790740481,14.275926815214513,-0.06873335021734717
2025_11,46,R1_relax_frequency_R00860,57,151.26041666666666,0.3768335514083052,0.05643138761925681,0.14164322880951286,0.40350877192982454,1.2132955299591586,10.261268477428226,-0.05500310750212378
2025_11,47,R1_relax_frequency_R00187,88,152.59375,0.5766946549252508,0.05592102121020148,0.1390052776958841,0.5909090909090909,1.15319983041127,6.622443442571746,-0.07095897552949781
2025_11,48,R2_relax_winrate_payoff_R00180,42,152.35763888888889,0.2756671756421067,0.055861718871932364,0.13908176969216424,0.5476190476190477,1.3979782856256529,13.436719970419508,-0.048883955229517384
2025_11,49,R2_relax_winrate_payoff_R03586,41,148.64583333333334,0.2758234057463209,0.05227483191954252,0.13328263051023503,0.36585365853658536,1.1856181222490705,14.296961341988332,-0.1053295003602186
2025_11,50,R1_relax_frequency_R00124,42,153.36458333333334,0.2738572301840657,0.03985566301374943,0.09747600282906133,0.5238095238095238,1.1743425755470847,10.305891249360398,-0.09063131406846625
2025_11,51,R3_live_candidate_gate_R02821,52,149.78819444444446,0.34715686501773335,0.0333880883730302,0.08332012011863088,0.6730769230769231,1.1505608897469264,6.897209307916558,-0.12456083529436668
2025_12,1,R2_relax_winrate_payoff_R02937,133,183.53819444444446,0.7246448097769538,0.7659163867259184,2.0984626927799597,0.518796992481203,1.3963191190543782,48.35419773607799,-0.21929420666866195
2025_12,2,R2_relax_winrate_payoff_R02530,66,178.46527777777777,0.36981983734775675,0.4955500305411491,1.2777478792298766,0.6515151515151515,1.9694566840406529,63.01377256872358,-0.08971110269412197
2025_12,3,R3_live_candidate_gate_R01517,112,181.88194444444446,0.6157840479554045,0.39301480647058495,0.9448666137625035,0.35714285714285715,1.4699151264196189,31.63181600439453,-0.1275084144778077
2025_12,4,R1_relax_frequency_R00482,63,177.52083333333334,0.3548879239525877,0.373996794621118,0.9218167885329536,0.6031746031746031,1.767407275517534,52.50249373139339,-0.06927577883271319
2025_12,5,R2_relax_winrate_payoff_R00358,106,182.95486111111111,0.5793778823708033,0.35967806854301543,0.8459022075347309,0.5094339622641509,1.3693400367288904,31.704028753297813,-0.13240760881389124
2025_12,6,R3_live_candidate_gate_R01567,61,183.37152777777777,0.33265796898373445,0.35078014695130366,0.8193994241976494,0.6557377049180327,1.6411538142658453,51.881703019025444,-0.09481060410469577
2025_12,7,R3_live_candidate_gate_R01547,62,177.52083333333334,0.34925478230254664,0.3337557700121767,0.8078774639191857,0.6774193548387096,1.7874487855758956,48.292597124704386,-0.08195489747067863
2025_12,8,R2_relax_winrate_payoff_R03546,185,181.25694444444446,1.0206505497873644,0.29439669672260194,0.6814033279517084,0.5135135135135135,1.264296922696264,15.45239978654055,-0.13374431554226962
2025_12,9,R3_live_candidate_gate_R02241,66,178.64583333333334,0.3694460641399417,0.2891093276708292,0.6801124876352036,0.7272727272727273,1.6292310830824224,40.399320166124056,-0.10399752433855569
2025_12,10,R2_relax_winrate_payoff_R03018,95,182.26041666666666,0.521232211236212,0.280969634762567,0.641951753819902,0.5368421052631579,1.2993380178637552,29.941757534984347,-0.15629617181435007
2025_12,11,R1_relax_frequency_R02441,69,179.57638888888889,0.38423759619474845,0.2595314512844047,0.5983833932256359,0.6666666666666666,1.4174062943365313,36.23527130352024,-0.13377383762315953
2025_12,12,R2_relax_winrate_payoff_R00657,82,177.95138888888889,0.4608,0.2400482321285644,0.5547262006537599,0.4268292682926829,1.3943952818349403,28.339633349123943,-0.1221666846965398
2025_12,13,R2_relax_winrate_payoff_R03054,89,177.59375,0.5011437620974837,0.22901055195374243,0.5277749869058976,0.4943820224719101,1.306774000538141,25.72969966868899,-0.1168839943937251
2025_12,14,R1_relax_frequency_R00266,215,183.72569444444446,1.1702228185890045,0.22383141950018937,0.49373225189961256,0.5813953488372093,1.164637805622104,10.583419207861391,-0.1479879084504787
2025_12,15,R2_relax_winrate_payoff_R01360,57,174.31597222222223,0.32699241081210284,0.1929119649664126,0.44680574068691037,0.5263157894736842,1.3014678468277712,35.95217062888431,-0.18551275264651335
2025_12,16,R2_relax_winrate_payoff_R01261,77,182.06944444444446,0.42291555419940496,0.16858106207826706,0.36658825961187835,0.5064935064935064,1.243563366682876,23.544268141037062,-0.2179416501396806
2025_12,17,R1_relax_frequency_R01507,69,179.63888888888889,0.3841039121694758,0.1583819528817172,0.34814778354210674,0.6956521739130435,1.4324265146982933,22.427099350058093,-0.06736478954642655
2025_12,18,R3_live_candidate_gate_R02084,51,180.65277777777777,0.28230952564003997,0.15463797220680675,0.33711488055073624,0.6274509803921569,1.5087456560644954,29.598770500327316,-0.06534440602993474
2025_12,19,R2_relax_winrate_payoff_R02976,75,180.02777777777777,0.41660237617651596,0.14708674763796492,0.3207764903974961,0.56,1.2136038151561248,20.638166991998894,-0.16969508739088257
2025_12,20,R1_relax_frequency_R01971,160,182.01041666666666,0.8790705660161392,0.14650113551149224,0.315431983270704,0.63125,1.1668748322041214,9.579418598684274,-0.12759700452346512
