candidate_id,style_set,quantile,month,start,end,trades,days,trades_per_day,total_return_1x,annualized_1x,win_rate,profit_factor,avg_trade_bps,max_drawdown_1x,trade_sharpe
base_all__q85,base_all,0.85,2026_01,2026-01-01 00:00:00+00:00,2026-02-01 00:00:00+00:00,54,31.0,1.7419354838709677,-0.03097860420301035,-0.30962284868581524,0.48148148148148145,0.9587095836030277,-3.825035715657648,-0.10214399061525492,-0.47753886414430374
base_all__q85,base_all,0.85,2026_02,2026-02-01 00:00:00+00:00,2026-03-01 00:00:00+00:00,46,28.0,1.6428571428571428,0.05223170922246112,0.9419484631596078,0.5217391304347826,1.1653367403755286,12.963253891285746,-0.11208140148828905,1.611705564652227
base_all__q85,base_all,0.85,2026_03,2026-03-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,44,31.0,1.4193548387096775,0.06683486620981904,1.1420119072155073,0.5909090909090909,1.2723603182646959,16.05282090826314,-0.08621580163270326,2.2064651978973076
base_all__q85,base_all,0.85,2026_04,2026-04-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,32,30.0,1.0666666666666667,-0.07358605066477708,-0.6054259283828614,0.40625,0.6764220485292711,-22.959830438012144,-0.12699050908145515,-3.3262262421640085
base_all__q85,base_all,0.85,2026_05,2026-05-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,38,31.0,1.2258064516129032,0.0022975557267230773,0.027389209990817287,0.5263157894736842,1.0276684131420912,1.8695614247664643,-0.09448706411117869,0.2454455216443629
base_all__q85,base_all,0.85,2026_06,2026-06-01 00:00:00+00:00,2026-06-26 04:20:00+00:00,42,25.180555555555557,1.667953667953668,0.21344701752994344,15.51611694768497,0.6190476190476191,1.6028443783961446,49.2422818596102,-0.08468007022629565,4.821027331256847
base_all__q90,base_all,0.9,2025_06_partial,2025-06-26 04:20:00+00:00,2025-07-01 00:00:00+00:00,7,4.819444444444445,1.4524495677233429,0.03665700723944454,14.27992892254997,0.5714285714285714,2.0805983807809874,53.08054658384931,-0.033995703564953184,6.45146033327285
base_all__q90,base_all,0.9,2025_07,2025-07-01 00:00:00+00:00,2025-08-01 00:00:00+00:00,35,31.0,1.1290322580645162,0.06471207652259348,1.0923626506846897,0.5428571428571428,1.3207793087193744,19.36468064364744,-0.04537326803356034,2.2754520306448502
base_all__q90,base_all,0.9,2025_08,2025-08-01 00:00:00+00:00,2025-09-01 00:00:00+00:00,46,31.0,1.4838709677419355,-0.0019836663580921066,-0.02310808998766145,0.5869565217391305,1.0170200913570036,1.219833113564631,-0.08151065037200111,0.15454563254836634
base_all__q90,base_all,0.9,2025_09,2025-09-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,43,30.0,1.4333333333333333,0.41457758912345954,67.01829518149016,0.6976744186046512,3.6107558778541153,82.53619065577722,-0.02894391422482534,10.495325147268465
base_all__q90,base_all,0.9,2025_10,2025-10-01 00:00:00+00:00,2025-11-01 00:00:00+00:00,52,31.0,1.6774193548387097,-0.05331545786712877,-0.4753901628545991,0.4230769230769231,0.9244648034521789,-7.893812286139401,-0.13905556381897877,-0.8390936366023866
base_all__q90,base_all,0.9,2025_11,2025-11-01 00:00:00+00:00,2025-12-01 00:00:00+00:00,44,30.0,1.4666666666666666,0.17373453254248172,6.021559277193749,0.5909090909090909,1.5219289524758075,38.74432380894048,-0.10209587799924325,4.1457152325209075
base_all__q90,base_all,0.9,2025_12,2025-12-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,43,31.0,1.3870967741935485,-0.1550128196159266,-0.8623680837270532,0.37209302325581395,0.667838558287635,-36.69076697660783,-0.232111108639239,-3.709303884433435
base_all__q90,base_all,0.9,2026_01,2026-01-01 00:00:00+00:00,2026-02-01 00:00:00+00:00,47,31.0,1.5161290322580645,0.1055631222897464,2.259575759346985,0.5319148936170213,1.2682672404892978,23.80752797319794,-0.0797418198111377,2.5074466433287252
base_all__q90,base_all,0.9,2026_02,2026-02-01 00:00:00+00:00,2026-03-01 00:00:00+00:00,38,28.0,1.3571428571428572,-0.04813078547004768,-0.47429808815226826,0.47368421052631576,0.8728853762654547,-11.149038927307071,-0.1713018628307834,-1.2793314440132704
base_all__q90,base_all,0.9,2026_03,2026-03-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,34,31.0,1.096774193548387,0.0337666188960668,0.4784728638104079,0.5588235294117647,1.1574714025753576,11.596510054287418,-0.11226998331331717,1.195695586041394
base_all__q90,base_all,0.9,2026_04,2026-04-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,22,30.0,0.7333333333333333,-0.05792534878734945,-0.5161567296746464,0.36363636363636365,0.5761692976421731,-26.362910961476572,-0.08969007625966774,-3.5015727049740204
base_all__q90,base_all,0.9,2026_05,2026-05-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,28,31.0,0.9032258064516129,0.024152469629672435,0.3244482742798307,0.5357142857142857,1.1413003431827509,10.061358497850804,-0.07734556501251999,1.025517738779085
base_all__q90,base_all,0.9,2026_06,2026-06-01 00:00:00+00:00,2026-06-26 04:20:00+00:00,35,25.180555555555557,1.3899613899613898,0.044293133246242844,0.874290384387401,0.5428571428571428,1.1615033899799854,15.121821594039712,-0.08266989303973615,1.4316524438161826
base_all__q95,base_all,0.95,2025_06_partial,2025-06-26 04:20:00+00:00,2025-07-01 00:00:00+00:00,4,4.819444444444445,0.829971181556196,0.006688938636409958,0.6568184329836324,0.5,1.2958836542354328,17.620672239520594,-0.013563472072196325,1.9355241845876734
base_all__q95,base_all,0.95,2025_07,2025-07-01 00:00:00+00:00,2025-08-01 00:00:00+00:00,26,31.0,0.8387096774193549,0.00032789653042120115,0.003867544114521726,0.5,1.0240124728499689,1.8043104113411712,-0.06360250517534705,0.16853613301977857
base_all__q95,base_all,0.95,2025_08,2025-08-01 00:00:00+00:00,2025-09-01 00:00:00+00:00,32,31.0,1.032258064516129,0.15580630075785473,4.500736480611727,0.5,1.690633861423822,47.595790643767906,-0.10175334152122129,4.265386364735921
base_all__q95,base_all,0.95,2025_09,2025-09-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,32,30.0,1.0666666666666667,0.11660084754229771,2.826118619282403,0.53125,1.556690699412544,36.69337455895213,-0.08323121264785693,3.3975589998532403
base_all__q95,base_all,0.95,2025_10,2025-10-01 00:00:00+00:00,2025-11-01 00:00:00+00:00,43,31.0,1.3870967741935485,0.08203369049294484,1.5302160700312237,0.4186046511627907,1.222811396576522,21.215552403910802,-0.1403570952609665,1.9614344300746052
