ts,pre_action_equity,post_action_equity,close_equity,favorable_equity,adverse_equity,position,action
2026-02-09T00:00:00+00:00,1.4813714536579998,1.4813714536579998,1.4813714536579998,1.4813714536579998,1.4813714536579998,0,hold
2026-02-10T00:00:00+00:00,1.4813714536579998,1.4813714536579998,1.4813714536579998,1.4813714536579998,1.4813714536579998,0,hold
2026-02-11T00:00:00+00:00,1.4813714536579998,1.4813714536579998,1.4813714536579998,1.4813714536579998,1.4813714536579998,0,hold
2026-02-12T00:00:00+00:00,1.4813714536579998,1.4813714536579998,1.4813714536579998,1.4813714536579998,1.4813714536579998,0,hold
2026-02-13T00:00:00+00:00,1.4813714536579998,1.4813714536579998,1.4813714536579998,1.4813714536579998,1.4813714536579998,0,hold
2026-02-14T00:00:00+00:00,1.4813714536579998,1.4813714536579998,1.4813714536579998,1.4813714536579998,1.4813714536579998,0,hold
2026-02-15T00:00:00+00:00,1.4813714536579998,1.4813714536579998,1.4813714536579998,1.4813714536579998,1.4813714536579998,0,hold
2026-02-16T00:00:00+00:00,1.4813714536579998,1.4813714536579998,1.4813714536579998,1.4813714536579998,1.4813714536579998,0,hold
2026-02-17T00:00:00+00:00,1.4813714536579998,1.4813714536579998,1.4813714536579998,1.4813714536579998,1.4813714536579998,0,hold
2026-02-18T00:00:00+00:00,1.4813714536579998,1.4813714536579998,1.4813714536579998,1.4813714536579998,1.4813714536579998,0,hold
2026-02-19T00:00:00+00:00,1.4813714536579998,1.4813714536579998,1.4813714536579998,1.4813714536579998,1.4813714536579998,0,hold
2026-02-20T00:00:00+00:00,1.4813714536579998,1.4813714536579998,1.4813714536579998,1.4813714536579998,1.4813714536579998,0,hold
2026-02-21T00:00:00+00:00,1.4813714536579998,1.4813714536579998,1.4813714536579998,1.4813714536579998,1.4813714536579998,0,hold
2026-02-22T00:00:00+00:00,1.4813714536579998,1.4813714536579998,1.4813714536579998,1.4813714536579998,1.4813714536579998,0,hold
2026-02-23T00:00:00+00:00,1.4813714536579998,1.4813714536579998,1.4813714536579998,1.4813714536579998,1.4813714536579998,0,hold
2026-02-24T00:00:00+00:00,1.4813714536579998,1.4813714536579998,1.4813714536579998,1.4813714536579998,1.4813714536579998,0,hold
2026-02-25T00:00:00+00:00,1.4813714536579998,1.4813714536579998,1.4813714536579998,1.4813714536579998,1.4813714536579998,0,hold
2026-02-26T00:00:00+00:00,1.4813714536579998,1.4813714536579998,1.4813714536579998,1.4813714536579998,1.4813714536579998,0,hold
