name,slice,slice_start,slice_end,trades,trades_per_day,equity_multiple,annualized_multiple,total_return,max_dd,win_rate,profit_factor,avg_trade,avg_win,avg_loss_abs,payoff_ratio,worst_trade,best_trade,target_rate,stop_rate,time_rate,long_trades,short_trades,avg_bars_held
HYPE_1M_MA_PBS_C00085,recent_30d,2026-05-27 04:24:00+00:00,2026-06-26 04:24:00+00:00,936,31.2,0.10276425942560374,9.314885672041272e-13,-0.8972357405743963,-0.8984568415396793,0.2745726495726496,0.3364651990106189,-0.0024117510255608427,0.00445401466834818,0.0050104281733290585,0.888948911004709,-0.011510252499999986,0.018519755000000138,0.014957264957264958,0.09188034188034189,0.8931623931623932,487,449,10.555555555555555
HYPE_1M_MA_PBS_C00085,recent_14d,2026-06-12 04:24:00+00:00,2026-06-26 04:24:00+00:00,435,31.071428571428573,0.38890658003301926,1.9923086218500333e-11,-0.6110934199669807,-0.6133107232250163,0.27586206896551724,0.352247345615071,-0.0021548483340055615,0.004247792043156608,0.004593949430067341,0.9246492822395611,-0.011510252499999986,0.018519755000000138,0.009195402298850575,0.059770114942528735,0.9310344827586207,233,202,10.73103448275862
HYPE_1M_MA_PBS_C00086,full,2026-03-25 00:00:00+00:00,2026-06-26 04:24:00+00:00,2155,23.126453228402788,0.0034872605892963065,2.329672526326061e-10,-0.9965127394107037,-0.9965273627279315,0.21438515081206497,0.23802817180765695,-0.002611193565748413,0.0038048173389239014,0.00436204828397559,0.8722547508016519,-0.011510252499999986,0.018519755000000138,0.008352668213457077,0.06125290023201856,0.9303944315545244,1146,1009,10.681670533642691
HYPE_1M_MA_PBS_C00086,train_first_60pct,2026-03-25 00:00:00+00:00,2026-05-19 21:50:24+00:00,1095,19.585047397603294,0.047161315515642746,2.1615968948301757e-09,-0.9528386844843573,-0.9528405291868721,0.15707762557077626,0.12684964058416978,-0.0027792070472021637,0.0025704359021725075,0.0037761069250921357,0.6807105712743529,-0.011510252499999986,0.018519755000000027,0.0018264840182648401,0.026484018264840183,0.971689497716895,591,504,10.862100456621004
HYPE_1M_MA_PBS_C00086,val_next_20pct,2026-05-19 21:50:24+00:00,2026-06-07 13:07:12+00:00,556,29.83366124128063,0.21591510047898185,8.973691271301847e-14,-0.7840848995210181,-0.7840848995210181,0.2733812949640288,0.305310606064273,-0.0027360606108884768,0.004398535895387679,0.005420364246913168,0.8114834529603047,-0.011510252499999986,0.018519755000000138,0.014388489208633094,0.12410071942446044,0.8615107913669064,291,265,10.35431654676259
HYPE_1M_MA_PBS_C00086,fwd_last_20pct,2026-06-07 13:07:12+00:00,2026-06-26 04:24:00+00:00,504,27.04346270792345,0.3424644331288151,7.571451469572806e-10,-0.6575355668711849,-0.6615988697473738,0.27380952380952384,0.3784905012212569,-0.002108414122713229,0.004689370864566983,0.004671513380212325,1.0038226336737681,-0.011510252499999986,0.018519755000000138,0.015873015873015872,0.06746031746031746,0.9166666666666666,264,240,10.65079365079365
HYPE_1M_MA_PBS_C00086,recent_30d,2026-05-27 04:24:00+00:00,2026-06-26 04:24:00+00:00,842,28.066666666666666,0.12993642216008178,1.6205922516992658e-11,-0.8700635778399182,-0.8717166707099387,0.2695961995249406,0.34822679679854207,-0.002403682942971576,0.004763532173569257,0.0050491428315159155,0.9434338327361381,-0.011510252499999986,0.018519755000000138,0.019002375296912115,0.09738717339667459,0.8836104513064132,435,407,10.469121140142517
HYPE_1M_MA_PBS_C00086,recent_14d,2026-06-12 04:24:00+00:00,2026-06-26 04:24:00+00:00,387,27.642857142857142,0.45039661063129494,9.173687617677986e-10,-0.5496033893687051,-0.551474517722653,0.2713178294573643,0.37539077573349966,-0.0020449053319697187,0.0045297066392867074,0.0044928991510545585,1.0081923691128276,-0.011510252499999986,0.018519755000000138,0.0103359173126615,0.059431524547803614,0.9302325581395349,204,183,10.71576227390181
HYPE_1M_MA_PBS_C00087,full,2026-03-25 00:00:00+00:00,2026-06-26 04:24:00+00:00,1483,15.914863172956537,0.018153172729448445,1.4984062229627744e-07,-0.9818468272705515,-0.9819938963560907,0.2380310182063385,0.2575508249863367,-0.0026866935701122916,0.003915442025682236,0.0047491306190640325,0.8244544822508795,-0.011510252499999986,0.018519755000000138,0.009440323668240054,0.07619689817936615,0.9143627781523938,787,696,10.605529332434255
HYPE_1M_MA_PBS_C00087,train_first_60pct,2026-03-25 00:00:00+00:00,2026-05-19 21:50:24+00:00,596,10.65998926846718,0.17960117698620723,1.3444220790343003e-05,-0.8203988230137927,-0.8203988230137927,0.19798657718120805,0.16033133886063147,-0.0028684893943257323,0.0027664828085587844,0.004259549477882998,0.649477796401541,-0.011510252499999986,0.018519755000000027,0.003355704697986577,0.0436241610738255,0.9530201342281879,320,276,10.765100671140939
HYPE_1M_MA_PBS_C00087,val_next_20pct,2026-05-19 21:50:24+00:00,2026-06-07 13:07:12+00:00,470,25.219102128420676,0.27095504938052706,7.685256811842574e-12,-0.7290449506194729,-0.7290449506194729,0.2702127659574468,0.2906412433969942,-0.0027581399383046286,0.004182170579673211,0.005327875902687093,0.7849602085446379,-0.011510252499999986,0.018519755000000138,0.01276595744680851,0.12127659574468085,0.8659574468085106,245,225,10.372340425531915
HYPE_1M_MA_PBS_C00087,fwd_last_20pct,2026-06-07 13:07:12+00:00,2026-06-26 04:24:00+00:00,417,22.37524593096047,0.3730320207706512,4.044664908778986e-09,-0.6269679792293488,-0.6323827836813902,0.2589928057553957,0.34901753934018864,-0.0023463336078062753,0.004857133333679582,0.004864050208713954,0.998577959778873,-0.011510252499999986,0.018519755000000138,0.014388489208633094,0.07194244604316546,0.9136690647482014,222,195,10.640287769784173
HYPE_1M_MA_PBS_C00087,recent_30d,2026-05-27 04:24:00+00:00,2026-06-26 04:24:00+00:00,703,23.433333333333334,0.16658036134028778,3.3363358539396215e-10,-0.8334196386597122,-0.8361907901170915,0.26458036984352773,0.32713181665210506,-0.0025298309059175266,0.004648648050523914,0.005112417145565705,0.9092857484362276,-0.011510252499999986,0.018519755000000138,0.015647226173541962,0.0953058321479374,0.8890469416785206,360,343,10.514935988620199
HYPE_1M_MA_PBS_C00087,recent_14d,2026-06-12 04:24:00+00:00,2026-06-26 04:24:00+00:00,320,22.857142857142858,0.4867476827761597,6.949953749628459e-09,-0.5132523172238403,-0.5191458967023637,0.259375,0.35161920667593094,-0.002233503735650244,0.004669829425380673,0.0046511267414121255,1.0040211082192245,-0.011510252499999986,0.018519755000000138,0.00625,0.059375,0.934375,171,149,10.721875
HYPE_1M_MA_PBS_C00088,full,2026-03-25 00:00:00+00:00,2026-06-26 04:24:00+00:00,740,7.941334287247361,0.12906621082543937,0.00032708361019014904,-0.8709337891745607,-0.8722972950768422,0.2635135135135135,0.30492228204317634,-0.0027460878573818447,0.004571590598771864,0.005364339782060695,0.8522186857104158,-0.011510252500000208,0.018519755000000138,0.013513513513513514,0.11081081081081082,0.8756756756756757,385,355,10.452702702702704
HYPE_1M_MA_PBS_C00088,train_first_60pct,2026-03-25 00:00:00+00:00,2026-05-19 21:50:24+00:00,176,3.1479162940439993,0.6081489750752991,0.03881288642696039,-0.3918510249247009,-0.39320804610919546,0.25,0.22166516869943165,-0.0028100858654706764,0.003201183513211693,0.004813842325031467,0.6649955060982949,-0.011510252499999986,0.018480255000000008,0.005681818181818182,0.07954545454545454,0.9147727272727273,99,77,10.607954545454545
HYPE_1M_MA_PBS_C00088,val_next_20pct,2026-05-19 21:50:24+00:00,2026-06-07 13:07:12+00:00,334,17.921659810409587,0.36142894478704424,2.1773551203944355e-09,-0.6385710552129558,-0.6385710552129558,0.2634730538922156,0.2854552171349615,-0.0030243095982156855,0.004585625403349408,0.005746562769507264,0.7979770842636424,-0.011510252500000208,0.018519755000000138,0.011976047904191617,0.1377245508982036,0.8502994011976048,172,162,10.290419161676647
