label,trade_no,signal_ts,entry_ts,exit_ts,reason,bars_held,entry_price,exit_price,net_ret_1x,net_ret_3x,mae_1x,mfe_1x,trigger_atr,lock_atr,trail_atr,max_hold_bars
trigger2.5_lock1.5_trail2_max72,111,2026-06-15 07:45:00+00:00,2026-06-15 07:50:00+00:00,2026-06-15 09:35:00+00:00,trail_stop,22,65.22290916900002,65.72991954742857,0.006940955449195225,0.020822866347585674,-0.0031730351904343404,0.01637600721293242,2.5,1.5,2.0,72.0
trigger2.5_lock1.5_trail2_max72,112,2026-06-15 09:40:00+00:00,2026-06-15 09:45:00+00:00,2026-06-15 11:05:00+00:00,trail_stop,17,66.058805124,67.64971195314286,0.023243882133395583,0.06973164640018675,-0.0027581055150208847,0.031141872338417365,2.5,1.5,2.0,72.0
trigger2.5_lock1.5_trail2_max72,113,2026-06-15 11:05:00+00:00,2026-06-15 11:10:00+00:00,2026-06-15 17:05:00+00:00,trail_stop,72,67.74861634800001,68.31489672071588,0.007525764000909645,0.022577292002728934,-0.01639456475922975,0.014884195520987298,2.5,1.5,2.0,72.0
trigger2.5_lock1.5_trail2_max72,114,2026-06-16 10:05:00+00:00,2026-06-16 10:10:00+00:00,2026-06-16 10:55:00+00:00,trail_stop,10,73.60689554400001,75.93775656228571,0.030823887083395222,0.09247166125018566,-0.0031847216767389034,0.04147851140080938,2.5,1.5,2.0,72.0
trigger2.5_lock1.5_trail2_max72,115,2026-06-16 11:05:00+00:00,2026-06-16 11:10:00+00:00,2026-06-16 17:10:00+00:00,time_open_untriggered,73,75.977436408,73.015270944,-0.03980059236408292,-0.11940177709224875,-0.04223545124826979,0.01334032365289528,2.5,1.5,2.0,72.0
trigger2.5_lock1.5_trail2_max144,1,2025-06-02 21:35:00+00:00,2025-06-02 21:40:00+00:00,2025-06-02 22:05:00+00:00,trail_gap_open,6,35.58313978500001,35.84446044,0.006511578069201767,0.019534734207605303,-0.004577862925331592,0.01640833885170867,2.5,1.5,2.0,144.0
trigger2.5_lock1.5_trail2_max144,2,2025-06-03 00:45:00+00:00,2025-06-03 00:50:00+00:00,2025-06-03 11:40:00+00:00,trail_stop,131,36.461080806,37.30584614400001,0.022330030524959313,0.06699009157487794,-0.022440360720975674,0.03751724204990925,2.5,1.5,2.0,144.0
trigger2.5_lock1.5_trail2_max144,3,2025-06-09 20:55:00+00:00,2025-06-09 21:00:00+00:00,2025-06-09 22:10:00+00:00,trail_stop,15,38.03076327000001,38.38598836914286,0.008507271506428918,0.025521814519286756,-0.0018809287534841273,0.020910354187587465,2.5,1.5,2.0,144.0
trigger2.5_lock1.5_trail2_max144,4,2025-06-09 23:25:00+00:00,2025-06-09 23:30:00+00:00,2025-06-10 00:30:00+00:00,trail_stop,13,38.489254704000004,38.84118464181329,0.008310475194252777,0.024931425582758328,-0.0026296874176681287,0.018699902129442947,2.5,1.5,2.0,144.0
trigger2.5_lock1.5_trail2_max144,5,2025-06-10 00:40:00+00:00,2025-06-10 00:45:00+00:00,2025-06-10 02:05:00+00:00,trail_stop,17,38.767552998000006,39.16231769256291,0.009349318288001764,0.02804795486400529,-0.005716853017712646,0.017964688202939172,2.5,1.5,2.0,144.0
trigger2.5_lock1.5_trail2_max144,6,2025-06-10 11:35:00+00:00,2025-06-10 11:40:00+00:00,2025-06-10 23:40:00+00:00,time_open_untriggered,145,41.646638946,42.170129976,0.011735291756878354,0.03520587527063506,-0.05123842523441481,0.018353487180348127,2.5,1.5,2.0,144.0
trigger2.5_lock1.5_trail2_max144,7,2025-06-13 23:15:00+00:00,2025-06-13 23:20:00+00:00,2025-06-14 06:45:00+00:00,trail_stop,90,42.046067073,42.43526702670728,0.008423351757235811,0.025270055271707434,-0.012355542062663887,0.01609979182653909,2.5,1.5,2.0,144.0
trigger2.5_lock1.5_trail2_max144,8,2025-06-16 05:40:00+00:00,2025-06-16 05:45:00+00:00,2025-06-16 07:05:00+00:00,trail_stop,17,43.479603609,44.161798494857145,0.01485416916356842,0.044562507490705255,-0.0017855019822026346,0.02618230840458624,2.5,1.5,2.0,144.0
trigger2.5_lock1.5_trail2_max144,9,2025-06-16 07:30:00+00:00,2025-06-16 07:35:00+00:00,2025-06-16 11:25:00+00:00,stop_market,47,44.76598241400001,43.094356321357296,-0.038155275139082186,-0.11446582541724656,-0.039506451988368455,0.0027256764940744027,2.5,1.5,2.0,144.0
trigger2.5_lock1.5_trail2_max144,10,2025-06-16 12:40:00+00:00,2025-06-16 12:45:00+00:00,2025-06-16 14:10:00+00:00,trail_gap_open,18,44.51671523700001,44.997876304,0.009974743795994086,0.02992423138798226,-0.006675573319243081,0.019594544618938947,2.5,1.5,2.0,144.0
trigger2.5_lock1.5_trail2_max144,11,2025-06-16 14:40:00+00:00,2025-06-16 14:45:00+00:00,2025-06-16 22:40:00+00:00,stop_market,96,45.27052320600001,42.704294164126395,-0.05749235066548092,-0.17247705199644275,-0.061370952746771304,0.007057059900682949,2.5,1.5,2.0,144.0
trigger2.5_lock1.5_trail2_max144,12,2025-06-23 05:35:00+00:00,2025-06-23 05:40:00+00:00,2025-06-23 06:10:00+00:00,trail_gap_open,7,35.55310759500001,35.59439444,0.00033146831141279975,0.0009944049342383993,-0.005958694120768341,0.010938351984024264,2.5,1.5,2.0,144.0
