trade_no,signal_ts,entry_ts,exit_ts,side,reason,bars_held,entry_price,exit_price,net_ret_1x,net_ret_3x,mae_1x,mfe_1x,signal_atr14,signal_atr_bps,dir_ret192_bps
37,2025-10-13 20:25:00+00:00,2025-10-13 20:30:00+00:00,2025-10-13 20:50:00+00:00,1,target,5,42.229263432,42.96792539897462,0.016655132763630332,0.049965398290891,-0.0016996335692187764,0.02014566437726062,0.2909285714285715,68.9763790195295,
38,2025-10-13 21:15:00+00:00,2025-10-13 21:20:00+00:00,2025-10-14 00:20:00+00:00,1,time_open,37,43.181283855000004,42.682265144,-0.012380896422171406,-0.03714268926651422,-0.027446832445945493,0.010275658928761144,0.284357142857143,65.92260179834079,
39,2025-10-23 03:05:00+00:00,2025-10-23 03:10:00+00:00,2025-10-23 06:10:00+00:00,1,time_open,37,38.302054053000006,38.24009272,-0.002446354438045768,-0.0073390633141373045,-0.034147944941369426,0.002035033079221815,0.26792857142857074,70.0265469874208,
40,2025-10-23 08:40:00+00:00,2025-10-23 08:45:00+00:00,2025-10-23 11:45:00+00:00,1,time_open,37,38.912708583000004,38.87025904,-0.001919761770366497,-0.005759285311099491,-0.005880962443490138,0.01401319612169627,0.21921428571428642,56.39387881104302,
41,2025-10-23 12:15:00+00:00,2025-10-23 12:20:00+00:00,2025-10-23 12:55:00+00:00,1,target,8,39.394224696,39.989600592748324,0.014277689179859998,0.042833067539579994,-0.014432571303058543,0.026597180477228255,0.23392857142857132,59.44364379553562,
42,2025-10-23 13:00:00+00:00,2025-10-23 13:05:00+00:00,2025-10-23 16:05:00+00:00,1,time_open,37,40.217106702,40.124590096,-0.003128797907948495,-0.009386393723845485,-0.01896663491576113,0.01444393556961443,0.39371428571428574,98.0022615906521,
43,2025-10-23 16:15:00+00:00,2025-10-23 16:20:00+00:00,2025-10-23 19:20:00+00:00,1,time_open,37,40.12801120500001,39.161335864,-0.02490912296870269,-0.07472736890610807,-0.0287741830221976,2.464101684340747e-05,0.26592857142857085,66.34116787540746,
44,2025-10-25 22:20:00+00:00,2025-10-25 22:25:00+00:00,2025-10-25 22:40:00+00:00,1,target,4,43.777923363000006,44.4600148519107,0.014744934893972302,0.04423480468191691,-0.0028342224700951416,0.01637986870811803,0.2681428571428575,61.316424765694244,
45,2025-10-25 22:55:00+00:00,2025-10-25 23:00:00+00:00,2025-10-26 02:00:00+00:00,1,time_open,37,44.45164549200001,44.145651376,-0.0077102204759059234,-0.02313066142771777,-0.017188967047985018,0.007904195763984045,0.31592857142857106,71.15027620398871,
46,2025-10-26 02:05:00+00:00,2025-10-26 02:10:00+00:00,2025-10-26 05:10:00+00:00,1,time_open,37,44.256436257000004,43.72153944,-0.012910616580455591,-0.03873184974136677,-0.017280824068893544,0.00021609835334368555,0.14800000000000071,33.47734624171565,
47,2025-10-26 07:30:00+00:00,2025-10-26 07:35:00+00:00,2025-10-26 08:00:00+00:00,1,target,6,44.242421235,44.68725126992033,0.009220886401672939,0.027662659205018817,-0.0018255523348737074,0.016309658125788884,0.17321428571428754,39.19318604237754,
48,2025-10-26 10:00:00+00:00,2025-10-26 10:05:00+00:00,2025-10-26 11:10:00+00:00,1,target,14,46.090401993,46.87652412912615,0.016219696864110143,0.04865909059233043,-0.0033741059479853877,0.021449107932496325,0.3095000000000009,67.22269281727176,
49,2025-10-26 12:00:00+00:00,2025-10-26 12:05:00+00:00,2025-10-26 12:15:00+00:00,1,target,3,47.615036172,48.551243174406565,0.01882452769146418,0.05647358307439254,-0.0042167412115707995,0.020769990060021337,0.3693571428571448,77.65966713423704,
50,2025-10-26 12:25:00+00:00,2025-10-26 12:30:00+00:00,2025-10-26 15:30:00+00:00,1,time_open,37,47.743173516000006,47.298483504000004,-0.010139671798866316,-0.03041901539659895,-0.01958333923074064,0.008500199172222889,0.4063571428571449,85.20089379316998,
51,2025-10-26 18:35:00+00:00,2025-10-26 18:40:00+00:00,2025-10-26 21:40:00+00:00,1,time_open,37,47.466877368,47.004405888,-0.01056831824572628,-0.03170495473717884,-0.019267331164479887,0.001793305916040433,0.1959285714285716,41.32032212678397,
52,2025-10-26 22:05:00+00:00,2025-10-26 22:10:00+00:00,2025-10-27 01:10:00+00:00,1,time_open,37,47.852290473000004,47.811618936,-0.0016789093747814686,-0.005036728124344405,-0.016302938872624143,0.009857616476397268,0.2522857142857135,52.779438135086515,
53,2025-11-05 10:15:00+00:00,2025-11-05 10:20:00+00:00,2025-11-05 11:30:00+00:00,1,target,15,40.337235462,40.93089550930483,0.013881994915359123,0.04164598474607737,-0.011749981066021114,0.015934769218518108,0.23314285714285735,57.85613250188782,
54,2025-11-05 12:05:00+00:00,2025-11-05 12:10:00+00:00,2025-11-05 15:10:00+00:00,1,time_open,37,41.27223764400001,41.740016456,0.010499959939981447,0.03149987981994434,-0.014061550264623872,0.013053868332683294,0.30535714285714277,74.07266224945245,
55,2025-11-05 16:45:00+00:00,2025-11-05 16:50:00+00:00,2025-11-05 19:50:00+00:00,1,time_open,37,42.00502308000001,41.542964448,-0.011824841735812308,-0.03547452520743692,-0.016532330826518296,0.003475225325361153,0.26171428571428634,62.36786829213506,
56,2025-11-07 17:45:00+00:00,2025-11-07 17:50:00+00:00,2025-11-07 19:35:00+00:00,1,target,22,41.813818137000005,42.711698192131024,0.02063505874779905,0.06190517624339715,-0.00483468668131272,0.024589523483151687,0.35464285714285637,84.90778996908072,
57,2025-11-07 19:45:00+00:00,2025-11-07 19:50:00+00:00,2025-11-07 20:10:00+00:00,1,target,5,42.731802078,43.35378016946289,0.013720032916227736,0.041160098748683205,-0.003428858506801872,0.015356195856243371,0.244214285714286,57.21179911781052,
58,2025-11-07 20:15:00+00:00,2025-11-07 20:20:00+00:00,2025-11-07 23:20:00+00:00,1,time_open,37,42.95404028400001,42.743281248,-0.005733905310358177,-0.01720171593107453,-0.011962824899695705,0.008915569140131474,0.2781428571428565,64.81854469549917,
59,2025-11-07 23:20:00+00:00,2025-11-07 23:25:00+00:00,2025-11-08 02:25:00+00:00,1,time_open,37,42.842921181,42.9113256,0.0007666482515769087,0.002299944754730726,-0.02622805476105984,0.003432978306465939,0.1584285714285727,37.01775116327228,
60,2025-11-08 03:00:00+00:00,2025-11-08 03:05:00+00:00,2025-11-08 06:00:00+00:00,1,stop_market,36,42.891973758,41.15233510707212,-0.04137111022743027,-0.12411333068229081,-0.04757905084011872,0.000490213906187531,0.2500714285714274,58.36381276902172,
61,2025-11-18 06:10:00+00:00,2025-11-18 06:15:00+00:00,2025-11-18 09:15:00+00:00,1,time_open,37,40.821754794,40.981816343999995,0.0030900380102084493,0.009270114030625349,-0.031054078952574074,0.01632083699885256,0.29185714285714326,71.58273885439597,
62,2025-11-18 09:45:00+00:00,2025-11-18 09:50:00+00:00,2025-11-18 12:40:00+00:00,1,target,35,41.063013387000005,41.607209076819885,0.01241787937471092,0.03725363812413276,-0.009060236920598668,0.013734662083483284,0.21328571428571305,51.99807749907676,
63,2025-12-02 17:15:00+00:00,2025-12-02 17:20:00+00:00,2025-12-02 19:00:00+00:00,1,target,21,33.046420803000004,33.66977156237771,0.018025738374068248,0.054077215122204744,-0.009414752569572487,0.01989865107994704,0.24578571428571497,74.4557009135485,
64,2025-12-03 03:40:00+00:00,2025-12-03 03:45:00+00:00,2025-12-03 05:05:00+00:00,1,target,17,34.443918711,34.991904135539706,0.015073577416439367,0.0452207322493181,-0.007728541973352613,0.02679954324434064,0.21550000000000122,62.63806534123974,
65,2026-01-24 01:40:00+00:00,2026-01-24 01:45:00+00:00,2026-01-24 02:10:00+00:00,1,target,6,22.761396801,23.014792531184035,0.010298757917086647,0.030896273751259938,-0.0027605982262173404,0.011405415988732015,0.09892857142857155,43.50803563575141,
66,2026-01-24 03:55:00+00:00,2026-01-24 04:00:00+00:00,2026-01-24 07:00:00+00:00,1,time_open,37,23.117778789000003,22.892041904,-0.010589917820245804,-0.03176975346073741,-0.012906293471384849,0.001999379413648139,0.09342857142857142,40.459280888866886,
67,2026-01-26 19:20:00+00:00,2026-01-26 19:25:00+00:00,2026-01-26 21:40:00+00:00,1,target,28,24.274018104000003,24.659633671922315,0.015050028971937366,0.0451500869158121,-0.01368061928374033,0.020803391257122827,0.15164285714285647,62.535715758528795,
68,2026-01-26 22:00:00+00:00,2026-01-26 22:05:00+00:00,2026-01-26 22:45:00+00:00,1,target,9,24.962756328,25.33140633995631,0.013932554721309194,0.041797664163927585,-0.013744772923068986,0.015032140965102414,0.1447857142857141,58.06292680691133,
69,2026-01-26 22:55:00+00:00,2026-01-26 23:00:00+00:00,2026-01-27 02:00:00+00:00,1,time_open,37,25.105909767000004,25.54174124,0.016523195354803365,0.049569586064410094,-0.011922301132794482,0.0254557687385637,0.19035714285714306,75.90603032823314,
70,2026-01-27 02:10:00+00:00,2026-01-27 02:15:00+00:00,2026-01-27 02:45:00+00:00,1,target,7,25.601440902000004,25.943288122398133,0.012517796038059728,0.03755338811417919,-0.002345837848535718,0.015099114908403433,0.1340000000000001,52.396965668256854,
71,2026-01-27 03:45:00+00:00,2026-01-27 03:50:00+00:00,2026-01-27 04:10:00+00:00,1,target,5,26.176056804,26.63487226871054,0.016691468042866003,0.05007440412859801,-0.009700124198589693,0.022537512063690368,0.18071428571428502,69.11208723966844,
72,2026-01-27 04:45:00+00:00,2026-01-27 04:50:00+00:00,2026-01-27 05:35:00+00:00,1,target,10,26.634548238000004,27.130458788734842,0.017782027996468615,0.053346083989405844,-0.0015991468789556967,0.029114507784053334,0.19550000000000065,73.48242811501622,
73,2026-01-27 05:40:00+00:00,2026-01-27 05:45:00+00:00,2026-01-27 06:40:00+00:00,1,target,12,26.939875503000003,27.397463667275655,0.01614916787335833,0.04844750362007499,-0.006274952052852682,0.019047025549277397,0.1801428571428578,66.9402315569313,
74,2026-01-27 07:45:00+00:00,2026-01-27 07:50:00+00:00,2026-01-27 10:50:00+00:00,1,time_open,37,27.647634114000002,27.43724152,-0.008435953679747586,-0.025307861039242756,-0.016207481492156686,0.015674610138903367,0.18057142857142822,65.38415779100852,
75,2026-01-27 11:10:00+00:00,2026-01-27 11:15:00+00:00,2026-01-27 12:25:00+00:00,1,target,15,27.533511792000006,28.026623153398813,0.017072748531337088,0.051218245594011266,-0.0036656738470339937,0.017705268099568627,0.19428571428571445,70.64164428815565,
76,2026-01-27 13:35:00+00:00,2026-01-27 13:40:00+00:00,2026-01-27 15:50:00+00:00,1,target,27,27.600583683000004,28.037090664235173,0.014979255330401514,0.04493776599120454,-0.016920967417759183,0.018058180316925077,0.17164285714285704,62.25485370238912,
77,2026-01-27 16:00:00+00:00,2026-01-27 16:05:00+00:00,2026-01-27 16:55:00+00:00,1,target,11,28.002013956000003,28.542404304827244,0.018460942382225762,0.05538282714667729,-0.0062361695872590476,0.033497092226076,0.21314285714285727,76.1986476272191,
78,2026-01-27 18:00:00+00:00,2026-01-27 18:05:00+00:00,2026-01-27 19:25:00+00:00,1,target,17,28.031045073000005,28.858840367470705,0.028689806530706255,0.08606941959211876,-0.008942530049901325,0.0322483490945793,0.3280714285714278,117.15999877559737,
79,2026-01-27 19:50:00+00:00,2026-01-27 19:55:00+00:00,2026-01-27 20:15:00+00:00,1,target,5,28.821892743000003,29.32623996982701,0.016662175873492727,0.049986527620478186,-0.003464174532786039,0.02324993930742969,0.19864285714285682,68.99956828749063,
80,2026-01-27 20:30:00+00:00,2026-01-27 20:35:00+00:00,2026-01-27 22:30:00+00:00,1,target,24,29.505625602000002,30.08481589715893,0.018792363600421576,0.056377090801264726,-0.010162822759137618,0.023126925258406983,0.22849999999999934,77.52858548501997,
81,2026-01-27 22:55:00+00:00,2026-01-27 23:00:00+00:00,2026-01-28 00:05:00+00:00,1,target,14,30.517710405000003,31.08752248768978,0.017834456413609985,0.053503369240829955,-0.005844636325420886,0.024290472160668486,0.22464285714285762,73.67030372310289,
82,2026-01-28 00:15:00+00:00,2026-01-28 00:20:00+00:00,2026-01-28 00:55:00+00:00,1,target,8,30.856073079000005,31.507603176578577,0.020277055094760684,0.06083116528428205,-0.0024587671450431317,0.02466052368529903,0.2572857142857143,83.46928182121539,
83,2026-01-28 01:35:00+00:00,2026-01-28 01:40:00+00:00,2026-01-28 02:15:00+00:00,1,target,8,31.916209386000006,32.92507788384934,0.03076747970895687,0.09230243912687061,-0.0015491752991244761,0.031983453976453635,0.40007142857142874,125.48504754138031,
84,2026-01-28 02:55:00+00:00,2026-01-28 03:00:00+00:00,2026-01-28 03:35:00+00:00,1,target,8,32.89125448800001,33.89359289204199,0.02963235446175291,0.08889706338525873,-0.008236025743605395,0.03082112639911161,0.3973571428571435,120.94635139013317,
85,2026-01-28 03:50:00+00:00,2026-01-28 03:55:00+00:00,2026-01-28 06:55:00+00:00,1,time_open,37,33.689109669000004,33.620873568,-0.002853947398115867,-0.0085618421943476,-0.03897637106706188,0.01756918888078074,0.3722142857142861,110.60031072511026,
