label,mode,selected_events,model_selected_rows,start,end,independent_positive_rate,independent_bad_unlock_rate,independent_trailing_positive_rate,exact_arm_success_rate,exact_deadline_rate,trades,equity_multiple,annualized_multiple,total_return,max_dd,win_rate,profit_factor,avg_trade,avg_win,avg_loss_abs,payoff_ratio,worst_trade,best_trade,long_trades,short_trades,long_short_ratio,long_share,short_share,long_win_rate,short_win_rate,long_payoff_ratio,short_payoff_ratio
ml_top_10pct,1m_conservative,499,1978,2026-03-25 00:00:00+00:00,2026-06-26 04:20:00+00:00,0.4084934277047523,0.6107178968655207,0.28412537917087965,0.5032894736842105,0.4967105263157895,304,0.5558211427371617,0.10004470535833034,-0.44417885726283834,-0.4530308765169043,0.40131578947368424,0.5826603979431965,-0.0018816657694705726,0.00654609254634529,0.007531042222929557,0.869214692013621,-0.038936032438778266,0.03686123115915867,262,42,6.238095238095238,0.8618421052631579,0.13815789473684212,0.3816793893129771,0.5238095238095238,0.8737582475767165,0.8602923254357341
ml_top_10pct,1m_optimistic,499,1978,2026-03-25 00:00:00+00:00,2026-06-26 04:20:00+00:00,0.4084934277047523,0.6107178968655207,0.28412537917087965,0.5442622950819672,0.4557377049180328,305,0.5467450510255194,0.09379219102305869,-0.4532549489744806,-0.47151222767256196,0.40327868852459015,0.5701579281060749,-0.001931122376692327,0.006351711601923043,0.007528861823778538,0.8436483163845987,-0.038936032438778266,0.0347358578483886,263,42,6.261904761904762,0.8622950819672132,0.1377049180327869,0.38783269961977185,0.5,0.8380842745134245,0.8886128381987384
ml_top_20pct,5m_conservative,3950,3950,2025-07-01 13:25:00+00:00,2026-06-26 04:20:00+00:00,0.4020253164556962,0.6159493670886076,0.2759493670886076,0.4224376731301939,0.5775623268698061,2166,0.02428748487741474,0.022914585468258836,-0.9757125151225853,-0.9760249860974415,0.40304709141274236,0.6254257382022614,-0.0016660284711008902,0.006901832973259267,0.0074508258732094886,0.9263178459284354,-0.06765699824183452,0.05688815970408957,1404,762,1.8425196850393701,0.6481994459833795,0.3518005540166205,0.4045584045584046,0.400262467191601,0.9519723266054311,0.8803441600205614
ml_top_20pct,5m_optimistic,3950,3950,2025-07-01 13:25:00+00:00,2026-06-26 04:20:00+00:00,0.4020253164556962,0.6159493670886076,0.2759493670886076,0.5591155234657039,0.440884476534296,2216,0.016515705871753956,0.01548835417578622,-0.983484294128246,-0.9836967771720949,0.3894404332129964,0.585179896989816,-0.0018044311700022323,0.006536253449588959,0.00712446873593512,0.9174373124301519,-0.06765699824183452,0.055020532895004914,1438,778,1.8483290488431876,0.6489169675090253,0.3510830324909747,0.39290681502086233,0.38303341902313626,0.9319282012813173,0.8911263646860192
ml_top_20pct,1m_conservative,1001,3950,2026-03-25 00:00:00+00:00,2026-06-26 04:20:00+00:00,0.4020253164556962,0.6159493670886076,0.2759493670886076,0.5027322404371585,0.4972677595628415,549,0.38933323656356467,0.024782114772886454,-0.6106667634364353,-0.6156757356123103,0.37158469945355194,0.6084959721593426,-0.0016707092386117684,0.0069881871058670025,0.006790752294477475,1.0290740705635941,-0.038936032438778266,0.050383535653245284,438,111,3.945945945945946,0.7978142076502732,0.20218579234972678,0.3698630136986301,0.3783783783783784,1.0864017606151333,0.8216057291959579
ml_top_20pct,1m_optimistic,1001,3950,2026-03-25 00:00:00+00:00,2026-06-26 04:20:00+00:00,0.4020253164556962,0.6159493670886076,0.2759493670886076,0.5497287522603979,0.45027124773960214,553,0.3843230561846416,0.02355533457239385,-0.6156769438153584,-0.6206214574458093,0.37251356238698013,0.6031343938726429,-0.0016830441420846761,0.006866320157472483,0.006758459259401031,1.0159593916204226,-0.038936032438778266,0.050383535653245284,441,112,3.9375,0.7974683544303798,0.20253164556962025,0.36961451247165533,0.38392857142857145,1.0724865057152584,0.8138655153413471
ml_top_30pct,5m_conservative,5923,5923,2025-07-01 11:55:00+00:00,2026-06-26 04:20:00+00:00,0.4119534019922337,0.6054364342394057,0.28515954752659123,0.4326797385620915,0.5673202614379085,3060,0.009416270539292192,0.008760431177442485,-0.9905837294607078,-0.990593575318901,0.4173202614379085,0.6548546788279965,-0.0014763277082378257,0.0067120664044171595,0.007340926295932956,0.9143350762336083,-0.06765699824183452,0.07067139852953003,1934,1126,1.7175843694493784,0.6320261437908496,0.36797385620915035,0.4110651499482937,0.4280639431616341,0.956622378009489,0.846064092458714
ml_top_30pct,5m_optimistic,5923,5923,2025-07-01 11:55:00+00:00,2026-06-26 04:20:00+00:00,0.4119534019922337,0.6054364342394057,0.28515954752659123,0.563295165394402,0.43670483460559795,3144,0.006035763765672303,0.005576862244285607,-0.9939642362343277,-0.9939705473607845,0.3994910941475827,0.6218281777307106,-0.0015797333436367686,0.0065021639302534,0.006956249750419635,0.9347226111111319,-0.06765699824183452,0.07015965649551566,1985,1159,1.7126833477135461,0.6313613231552163,0.36863867684478374,0.3954659949622166,0.40638481449525454,0.9690941991817662,0.8784199811335168
ml_top_30pct,1m_conservative,1507,5923,2026-03-25 00:00:00+00:00,2026-06-26 04:20:00+00:00,0.4119534019922337,0.6054364342394057,0.28515954752659123,0.49874371859296485,0.5012562814070352,796,0.21275429849410582,0.002319590593899539,-0.7872457015058942,-0.7874681620484437,0.37185929648241206,0.543134178918502,-0.0019039293406114377,0.006086822646222123,0.006634454516816906,0.9174563833082804,-0.038936032438778266,0.050383535653245284,611,185,3.3027027027027027,0.7675879396984925,0.23241206030150754,0.36824877250409166,0.3837837837837838,0.9627431404247094,0.7814409709413924
ml_top_30pct,1m_optimistic,1507,5923,2026-03-25 00:00:00+00:00,2026-06-26 04:20:00+00:00,0.4119534019922337,0.6054364342394057,0.28515954752659123,0.5367372353673724,0.46326276463262767,803,0.22400123867231,0.0028386092306774743,-0.77599876132769,-0.7762329819166018,0.37484433374844334,0.5550287898116714,-0.0018236008481749006,0.006068235590104392,0.0065555585531989384,0.9256626328420565,-0.038936032438778266,0.050383535653245284,618,185,3.3405405405405406,0.7696139476961394,0.23038605230386053,0.3705501618122977,0.3891891891891892,0.9650694270398458,0.8043789126358599
