filter,mode,signal_count,trades,equity_multiple,annualized_multiple,total_return,max_dd,win_rate,profit_factor,avg_trade,avg_win,avg_loss_abs,payoff_ratio,worst_trade,best_trade,long_trades,short_trades,long_short_ratio,long_share,short_share,long_win_rate,short_win_rate,long_payoff_ratio,short_payoff_ratio
slope3_same_ge_0,1m_conservative,4188,1757,0.05809540278447957,1.4311050508624871e-05,-0.9419045972155204,-0.943768860995644,0.3841775754126352,0.5800651095747148,-0.0015845026658112755,0.005697124982490698,0.006127107714428495,0.9298228867553205,-0.038936032438778266,0.045099258441145096,893,864,1.0335648148148149,0.5082527034718269,0.491747296528173,0.39417693169092943,0.3738425925925926,0.9631316619985788,0.8893334681680783
slope3_same_ge_0,1m_optimistic,4188,1788,0.06744705743559566,2.568966306678491e-05,-0.9325529425644044,-0.9349915967754852,0.38814317673378074,0.6015619580005034,-0.001473197466336933,0.005730447977921139,0.006042968890756587,0.9482835476261536,-0.038936032438778266,0.045099258441145096,909,879,1.0341296928327646,0.5083892617449665,0.49161073825503354,0.39713971397139713,0.378839590443686,0.9750324355823933,0.9161652358206551
slope6_same_ge_0,5m_conservative,4181,1696,0.07065349398659393,3.0819348592272416e-05,-0.9293465060134061,-0.9303732665382052,0.3903301886792453,0.5993998483936103,-0.0015262682078860858,0.005850651583743047,0.0062492091189677934,0.9362227239259714,-0.03892276407195153,0.048017164157804264,878,818,1.0733496332518337,0.5176886792452831,0.482311320754717,0.4020501138952164,0.37775061124694376,0.9473234936685465,0.9176310164000522
slope6_same_ge_0,5m_optimistic,4181,1754,0.0627539024811489,1.936337655690236e-05,-0.9372460975188511,-0.9379110530198796,0.38369441277080957,0.5823482717922296,-0.0015443845359835195,0.005612268979602975,0.005999914430516092,0.9353915034285293,-0.03892276407195153,0.045099258441145096,909,845,1.0757396449704142,0.5182440136830102,0.48175598631698974,0.39163916391639164,0.37514792899408284,0.9422382543787325,0.9251237570463896
slope6_same_ge_0,1m_conservative,4181,1727,0.05551650170815106,1.1977719820067407e-05,-0.944483498291849,-0.9450655456069356,0.3827446438911407,0.5641551971614005,-0.0016397777781197928,0.005545524092303997,0.006095204172444488,0.9098176099456171,-0.03892276407195153,0.045099258441145096,895,832,1.0757211538461537,0.5182397220613781,0.48176027793862186,0.38994413407821227,0.375,0.9181843019316965,0.8972046235168595
slope6_same_ge_0,1m_optimistic,4181,1754,0.0627539024811489,1.936337655690236e-05,-0.9372460975188511,-0.9379110530198796,0.38369441277080957,0.5823482717922296,-0.0015443845359835195,0.005612268979602975,0.005999914430516092,0.9353915034285293,-0.03892276407195153,0.045099258441145096,909,845,1.0757396449704142,0.5182440136830102,0.48175598631698974,0.39163916391639164,0.37514792899408284,0.9422382543787325,0.9251237570463896
slope6_same_ge_5,5m_conservative,3648,1535,0.09486189855410836,9.781265859478914e-05,-0.9051381014458917,-0.9074055709872083,0.39218241042345275,0.6122949136226182,-0.001497239116286703,0.006029234928771508,0.006353549271833373,0.9489554059965162,-0.03892276407195153,0.045099258441145096,791,744,1.0631720430107527,0.5153094462540717,0.48469055374592834,0.4108723135271808,0.37231182795698925,0.9497762884290265,0.9413623647837162
slope6_same_ge_5,5m_optimistic,3648,1583,0.08659906517991536,6.843124944868179e-05,-0.9134009348200847,-0.9166776422584891,0.37965887555274797,0.5929063941380767,-0.0015111370392681285,0.005796984596944976,0.0059838265538954966,0.9687755058961585,-0.03892276407195153,0.045099258441145096,818,765,1.069281045751634,0.5167403663929249,0.4832596336070752,0.39119804400978,0.3673202614379085,0.9709417111567062,0.9645858366704426
slope6_same_ge_5,1m_conservative,3648,1554,0.0752694820443797,3.949667387619028e-05,-0.9247305179556203,-0.9269413486946061,0.3770913770913771,0.5715123267884519,-0.001629576439542439,0.0057638862951872845,0.006105371028955267,0.9440681439099343,-0.03892276407195153,0.045099258441145096,803,751,1.0692410119840212,0.5167310167310167,0.48326898326898327,0.38854296388542964,0.3648468708388815,0.9444514946101276,0.9416386596802163
slope6_same_ge_5,1m_optimistic,3648,1583,0.08659906517991536,6.843124944868179e-05,-0.9134009348200847,-0.9166776422584891,0.37965887555274797,0.5929063941380767,-0.0015111370392681285,0.005796984596944976,0.0059838265538954966,0.9687755058961585,-0.03892276407195153,0.045099258441145096,818,765,1.069281045751634,0.5167403663929249,0.4832596336070752,0.39119804400978,0.3673202614379085,0.9709417111567062,0.9645858366704426
