label,reason,bars_held,lockout_initial_stop_breached,lockout_target_touched,lockout_mae_bps,unlock_stop_valid,unlock_target_marketable,unlock_active_stop_bps
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,2,True,,-32.686794617601414,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,5,True,,-26.9509433137806,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-29.644510278358386,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-29.42674700040075,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,5,True,,-51.88432106839628,,,
HYPE-5M-PBTR-V1-entry-protective-stop,stop_market,7,False,,-27.575565547227768,,,
HYPE-5M-PBTR-V1-entry-protective-stop,gap_stop_market_exit,7,False,,-16.676980204703025,,,
HYPE-5M-PBTR-V1-entry-protective-stop,gap_stop_market_exit,7,False,,-20.503804329514857,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,4,True,,-27.93065263959075,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,6,True,,-41.65749627884311,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,3,True,,-54.4479999513127,,,
HYPE-5M-PBTR-V1-entry-protective-stop,gap_stop_market_exit,7,False,,-14.888138765876285,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-36.363608750953496,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-46.34176781761494,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-45.342480489192354,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-41.835624740076554,,,
HYPE-5M-PBTR-V1-entry-protective-stop,stop_market,7,False,,-29.94342030378642,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,2,True,,-25.916856595378384,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-30.30588329946197,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-53.2484023015957,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,6,True,,-22.308620432520836,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-21.547793338634474,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-18.73123048867346,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-15.144476090172148,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-20.31303482385575,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-31.143950197594233,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-21.596367623275697,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-26.505720998559894,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-32.17250114750284,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-19.016598812027368,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,2,True,,-45.627898837374985,,,
HYPE-5M-PBTR-V1-entry-protective-stop,stop_market,7,False,,-23.406225428859322,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,3,True,,-63.5164042496729,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,2,True,,-42.19711273858799,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,6,True,,-73.04853302503982,,,
HYPE-5M-PBTR-V1-entry-protective-stop,gap_target_market_exit,7,False,,-15.989980577562218,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-112.89727241979423,,,
HYPE-5M-PBTR-V1-entry-protective-stop,gap_target_market_exit,7,False,,-48.13951931876074,,,
HYPE-5M-PBTR-V1-entry-protective-stop,gap_stop_market_exit,7,False,,-57.304855429376616,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,5,True,,-67.19533278825367,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,4,True,,-57.28790213830341,,,
HYPE-5M-PBTR-V1-entry-protective-stop,stop_market,7,False,,-15.081381866459836,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,4,True,,-63.62895050921372,,,
HYPE-5M-PBTR-V1-entry-protective-stop,gap_stop_market_exit,7,False,,-20.147639018166668,,,
HYPE-5M-PBTR-V1-entry-protective-stop,gap_stop_market_exit,7,False,,-27.894419409369025,,,
HYPE-5M-PBTR-V1-entry-protective-stop,gap_stop_market_exit,7,False,,-52.78261055811543,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-58.50792754869675,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,5,True,,-64.93693964897643,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-60.246629636475795,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-35.25512441715521,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,3,True,,-57.81479498576673,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-60.215545448694265,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,6,True,,-31.537613494259247,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,2,True,,-33.03509072557068,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,3,True,,-39.92603871235027,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,2,True,,-43.137924677010425,,,
HYPE-5M-PBTR-V1-entry-protective-stop,stop_market,9,False,,-26.07449148714928,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-74.84921690675176,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,3,True,,-87.41093423828576,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,3,True,,-117.98414076078971,,,
HYPE-5M-PBTR-V1-entry-protective-stop,stop_market,7,False,,-20.48253011166749,,,
HYPE-5M-PBTR-V1-entry-protective-stop,stop_market,9,False,,-42.37236720492491,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,2,True,,-64.97747619435793,,,
HYPE-5M-PBTR-V1-entry-protective-stop,stop_market,7,False,,-27.195196371736657,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-75.54588493954977,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-55.31351775614161,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,2,True,,-65.06992679828475,,,
HYPE-5M-PBTR-V1-entry-protective-stop,gap_target_market_exit,7,False,,-44.69326846543013,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,2,True,,-49.36896636269076,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,2,True,,-59.854299826744985,,,
HYPE-5M-PBTR-V1-entry-protective-stop,target_limit,7,False,,-14.86511215936696,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,3,True,,-34.76032469191829,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,2,True,,-32.66571860759974,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-67.40093346523716,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,2,True,,-88.07324988509461,,,
HYPE-5M-PBTR-V1-entry-protective-stop,gap_stop_market_exit,7,False,,-70.27234901985884,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-64.43056207386181,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,3,True,,-71.10343904629849,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,2,True,,-39.74117591072705,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-91.10508914697795,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-48.23777214080242,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-57.047881417346,,,
HYPE-5M-PBTR-V1-entry-protective-stop,gap_stop_market_exit,7,False,,-29.715183095728886,,,
HYPE-5M-PBTR-V1-entry-protective-stop,gap_target_market_exit,7,False,,-29.43285592286197,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,2,True,,-82.0527714872889,,,
HYPE-5M-PBTR-V1-entry-protective-stop,gap_stop_market_exit,7,False,,-44.36866392651077,,,
HYPE-5M-PBTR-V1-entry-protective-stop,gap_stop_market_exit,7,False,,-22.034777452669832,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-54.28459487692786,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,3,True,,-61.81983315496479,,,
HYPE-5M-PBTR-V1-entry-protective-stop,gap_target_market_exit,7,False,,-19.477856147181043,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-47.63372006208592,,,
HYPE-5M-PBTR-V1-entry-protective-stop,gap_stop_market_exit,7,False,,-41.04237516483492,,,
HYPE-5M-PBTR-V1-entry-protective-stop,gap_stop_market_exit,7,False,,-25.43298468086778,,,
HYPE-5M-PBTR-V1-entry-protective-stop,stop_market,9,False,,-26.75711394621098,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,2,True,,-42.43296317123961,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,6,True,,-50.21851769439271,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-101.07231357765049,,,
HYPE-5M-PBTR-V1-entry-protective-stop,gap_target_market_exit,7,False,,-14.86511215936696,,,
HYPE-5M-PBTR-V1-entry-protective-stop,gap_target_market_exit,7,False,,-15.383058278429933,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-143.50491942209624,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,2,True,,-72.72718591713982,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,2,True,,-65.88237710656989,,,
HYPE-5M-PBTR-V1-entry-protective-stop,gap_stop_market_exit,7,False,,-67.23378108702065,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,2,True,,-65.60336918357349,,,
HYPE-5M-PBTR-V1-entry-protective-stop,gap_stop_market_exit,7,False,,-68.39139687097277,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,3,True,,-122.6718480675894,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-56.54020909183336,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-60.75823939054829,,,
HYPE-5M-PBTR-V1-entry-protective-stop,gap_stop_market_exit,7,False,,-40.38192667415578,,,
HYPE-5M-PBTR-V1-entry-protective-stop,protective_stop,1,True,,-84.70750834329814,,,
HYPE-5M-PBTR-V1-entry-protective-stop,gap_stop_market_exit,7,False,,-32.72773052327219,,,
