pb,htf,candle,th,tp,sl,tx,signals,trades,total_return,pf,avg_trade,win_rate,payoff,max_dd,is_trades,is_pf,is_ret,val_trades,val_pf,val_ret,oos_trades,oos_pf,oos_ret,pass_loose
0.0,1.5,False,700.0,4.0,6,36,118,37,-0.36351672628105547,0.26664524105431336,-0.011887797123109377,0.2972972972972973,0.6302523879465589,-0.36893762271922925,23,0.1967431482916149,-0.2959212060076313,1,0.0,-0.012733431766289494,13,0.4729351590728728,-0.08434620362284473,False
0.0,1.5,False,700.0,5.0,8,36,118,37,-0.33405869447935055,0.2925214558010857,-0.010713562647108857,0.2972972972972973,0.6914143500752935,-0.3423040937581837,23,0.21682635274101814,-0.2662060722494505,1,0.0,-0.012733431766289494,13,0.49763251702182026,-0.0807631860454856,False
0.0,1.5,False,700.0,6.0,10,36,118,37,-0.3314629766328199,0.2996123531207669,-0.010606183033576348,0.2972972972972973,0.7081746528309035,-0.3423040937581837,23,0.21682635274101814,-0.2662060722494505,1,0.0,-0.012733431766289494,13,0.5223298749707678,-0.0771801684681267,False
0.0,1.5,False,700.0,2.0,3,48,118,42,-0.27442676841548597,0.4910741509446427,-0.0073398285326384885,0.38095238095238093,0.7979954952850443,-0.29849596361024966,24,0.3331934107270783,-0.25619001839999267,1,inf,0.014784843159676653,17,0.7954275789571522,-0.03873024526083335,False
0.0,1.5,False,700.0,2.5,4,48,118,38,-0.18891394539351536,0.6193563334054247,-0.005167545376225747,0.42105263157894735,0.851614958432459,-0.24315333878936773,22,0.5235885242002495,-0.16443352972984704,1,inf,0.014547804677102594,15,0.7436313629878457,-0.04321707816111153,False
0.0,1.5,False,700.0,3.0,5,48,118,37,-0.1975664194964335,0.614732106148169,-0.005529250788494941,0.40540540540540543,0.9016070890173143,-0.25349979779972687,22,0.4479294967838285,-0.2061276577992781,1,inf,0.014547804677102594,14,1.0025154622497918,-0.003709687021398622,False
0.0,1.5,False,700.0,3.0,7,48,118,37,-0.1328970636095922,0.715180853311762,-0.0035135219224913888,0.40540540540540543,1.0489319181905843,-0.2322339487174897,22,0.5222507419638415,-0.15813835265221154,1,inf,0.014547804677102594,14,1.1588714398415894,0.015213575742435204,False
0.0,1.5,False,700.0,4.0,6,48,118,34,-0.236947351706418,0.4977912298289594,-0.00753561502467129,0.3235294117647059,1.040836207824188,-0.2624479486723176,20,0.3456086941292865,-0.23420644648019273,1,inf,0.014547804677102594,13,0.8739528436326198,-0.017867048235959304,False
0.0,1.5,False,700.0,5.0,8,48,118,32,-0.15667961367831607,0.5818909605608912,-0.00500471393877324,0.28125,1.4870546769889443,-0.22495665477701887,18,0.3195055815099563,-0.1696961573360779,1,inf,0.014547804677102594,13,1.0393237669119781,0.001112849615829914,False
0.0,1.5,False,700.0,6.0,10,48,118,32,-0.15713320324669244,0.5803029115976125,-0.005023722690156939,0.28125,1.4829963296383433,-0.22495665477701887,18,0.3195055815099563,-0.1696961573360779,1,inf,0.014547804677102594,13,1.0342298258286058,0.0005743895563807833,False
0.0,1.5,False,788.123,2.0,3,12,82,44,-0.09656433162979683,0.7048528643036469,-0.002189350837087428,0.38636363636363635,1.1194721962469685,-0.23390075817835376,26,0.6415465619927188,-0.0776872102207724,1,0.0,-0.0008371381253730048,17,0.835354864268583,-0.019646466480371938,False
0.0,1.5,False,788.123,2.5,4,12,82,44,-0.06199569640903402,0.8135513443591443,-0.0013212717806371985,0.38636363636363635,1.2921109586880528,-0.240649279977726,26,0.7177860451992333,-0.06169726094667494,1,0.0,-0.0008371381253730048,17,1.0261750412612236,0.0005195142101270811,False
0.0,1.5,False,788.123,3.0,5,12,82,44,-0.040724484320944665,0.8861841405407654,-0.0007995306290056008,0.38636363636363635,1.4074689290941567,-0.245551197059791,26,0.7249024003478013,-0.062464048098744285,1,0.0,-0.0008371381253730048,17,1.2869831591774952,0.024045246118566954,False
