label,reason_counts,trades,total_return,max_dd,avg_trade,win_rate,profit_factor,payoff_ratio,worst_trade,best_trade,trigger_atr,lock_atr,trail_atr,max_hold_bars
trigger2.5_lock1_trail2.5_max36,"{""stop_market"": 2, ""time_open_triggered"": 14, ""time_open_untriggered"": 60, ""trail_gap_open"": 5, ""trail_stop"": 51}",132.0,2.208364331959825,-0.24286914256673808,0.010582659069729128,0.5984848484848485,1.6219157324673164,1.0881206812755415,-0.14810811847370753,0.27123049844998104,2.5,1.0,2.5,36.0
trigger2.5_lock1_trail2.5_max72,"{""stop_market"": 5, ""time_open_triggered"": 5, ""time_open_untriggered"": 33, ""trail_gap_open"": 3, ""trail_stop"": 63}",109.0,2.429786979026261,-0.3365060338280417,0.013927482020926814,0.7247706422018348,1.7084234169140684,0.6487683861698994,-0.18502896178922504,0.3064820866315321,2.5,1.0,2.5,72.0
trigger2.5_lock1_trail2.5_max144,"{""stop_market"": 11, ""time_open_triggered"": 1, ""time_open_untriggered"": 15, ""trail_gap_open"": 4, ""trail_stop"": 69}",100.0,1.6622901042786982,-0.4386432691666696,0.013668260266771839,0.76,1.592073201175635,0.5027599582659901,-0.3111942578158864,0.4226928372585801,2.5,1.0,2.5,144.0
trigger2.5_lock1_trail3_max36,"{""stop_market"": 2, ""time_open_triggered"": 18, ""time_open_untriggered"": 61, ""trail_gap_open"": 4, ""trail_stop"": 45}",130.0,1.664428020322771,-0.26511318047336374,0.009384800910377486,0.5846153846153846,1.5320063138517976,1.0885308019473299,-0.14810811847370753,0.27870290660188823,2.5,1.0,3.0,36.0
trigger2.5_lock1_trail3_max72,"{""stop_market"": 6, ""time_open_triggered"": 6, ""time_open_untriggered"": 32, ""trail_gap_open"": 3, ""trail_stop"": 59}",106.0,1.4881154969363672,-0.4041996167760664,0.011300022369375438,0.7169811320754716,1.5371529523250005,0.6067709022335528,-0.18502896178922504,0.3064820866315321,2.5,1.0,3.0,72.0
trigger2.5_lock1_trail3_max144,"{""stop_market"": 11, ""time_open_triggered"": 2, ""time_open_untriggered"": 15, ""trail_gap_open"": 3, ""trail_stop"": 66}",97.0,0.9940050020075473,-0.4386432691666695,0.01093868709412084,0.7525773195876289,1.4615457976048556,0.48050820743173334,-0.3111942578158864,0.4168914718464569,2.5,1.0,3.0,144.0
trigger2.5_lock1_trail4_max36,"{""stop_market"": 2, ""time_open_triggered"": 24, ""time_open_untriggered"": 56, ""trail_gap_open"": 3, ""trail_stop"": 40}",125.0,1.3414761792795722,-0.27448720704085805,0.00881677509102695,0.592,1.4755562875481567,1.0169374414183243,-0.14810811847370753,0.30416467679438813,2.5,1.0,4.0,36.0
trigger2.5_lock1_trail4_max72,"{""stop_market"": 7, ""time_open_triggered"": 7, ""time_open_untriggered"": 29, ""trail_gap_open"": 2, ""trail_stop"": 57}",102.0,0.7932574342131673,-0.48247780942551166,0.008716855684322867,0.7156862745098039,1.373782294089322,0.5457491305286348,-0.18502896178922504,0.3064820866315321,2.5,1.0,4.0,72.0
trigger2.5_lock1_trail4_max144,"{""stop_market"": 13, ""time_open_triggered"": 3, ""time_open_untriggered"": 12, ""trail_gap_open"": 3, ""trail_stop"": 61}",92.0,0.7193582100745572,-0.36435506475042245,0.010057941099773725,0.75,1.4047695414325756,0.4682565138108585,-0.19331288355923987,0.38178518549878326,2.5,1.0,4.0,144.0
trigger2.5_lock1.5_trail1_max36,"{""stop_market"": 2, ""time_open_untriggered"": 67, ""trail_gap_open"": 21, ""trail_stop"": 64}",154.0,2.911821237600274,-0.3017088723772744,0.010038651428942827,0.6298701298701299,1.663367191071611,0.9774425761967198,-0.14810811847370753,0.12750249747557815,2.5,1.5,1.0,36.0
