trade_no,signal_ts,entry_ts,exit_ts,side,reason,bars_held,entry_price,exit_price,net_ret_1x,net_ret_levered,mae_1x,mfe_1x
42,2025-09-29 03:45:00+00:00,2025-09-29 03:50:00+00:00,2025-09-29 04:15:00+00:00,1,target,6,47.16255117600001,47.71317984522476,0.0108409609208871,0.0325228827626613,-0.0017833569049613568,0.011671311459506173
43,2025-09-29 04:35:00+00:00,2025-09-29 04:40:00+00:00,2025-09-29 07:40:00+00:00,1,time_open,37,47.44084947,47.37150277600001,-0.002290467170894425,-0.006871401512683275,-0.01632604313547327,0.005736628518258291
44,2025-09-29 19:00:00+00:00,2025-09-29 19:05:00+00:00,2025-09-29 19:55:00+00:00,-1,stop_market,11,45.656957462,46.04108512008717,-0.009246154630018062,-0.027738463890054185,-0.009943166103655325,0.0008532645223331414
45,2025-10-10 18:05:00+00:00,2025-10-10 18:10:00+00:00,2025-10-10 18:35:00+00:00,-1,target,6,43.067738678,42.666471754989004,0.00849165231681893,0.02547495695045679,-0.0029284065253578776,0.009328065283474407
46,2025-10-10 21:40:00+00:00,2025-10-10 21:45:00+00:00,2025-10-11 01:45:00+00:00,-1,time_open,49,39.191901918,36.35539964,0.07157539179321643,0.21472617537964928,-0.17575950924345699,0.07965681085168708
47,2025-10-12 10:25:00+00:00,2025-10-12 10:30:00+00:00,2025-10-12 11:40:00+00:00,-1,stop_market,15,37.065186335,37.51470840809327,-0.012962229993146,-0.038886689979438,-0.01605774103965142,0.006291249500068097
48,2025-10-12 19:15:00+00:00,2025-10-12 19:20:00+00:00,2025-10-12 20:35:00+00:00,1,target,16,40.037914635,40.6627539116065,0.014770395436148165,0.044311186308444495,-0.00543277069124594,0.0159370279600477
49,2025-10-13 01:55:00+00:00,2025-10-13 02:00:00+00:00,2025-10-13 05:00:00+00:00,1,time_open,37,40.12200476700001,38.94527884000001,-0.030145853316466877,-0.09043755994940063,-0.03907187138817615,0.002218115308963542
50,2025-10-13 20:25:00+00:00,2025-10-13 20:30:00+00:00,2025-10-13 20:50:00+00:00,1,target,5,42.229263432,42.96792539897462,0.016655132763630332,0.049965398290891,-0.0016996335692187764,0.02014566437726062
51,2025-10-13 21:15:00+00:00,2025-10-13 21:20:00+00:00,2025-10-14 00:20:00+00:00,1,time_open,37,43.181283855000004,42.682265144,-0.012380896422171406,-0.03714268926651422,-0.027446832445945493,0.010275658928761144
52,2025-10-14 09:05:00+00:00,2025-10-14 09:10:00+00:00,2025-10-14 10:00:00+00:00,-1,target,11,39.054049991999996,38.54297910137353,0.012262349357363674,0.03678704807209102,-0.008299887249374709,0.014468409604528776
53,2025-10-17 09:45:00+00:00,2025-10-17 09:50:00+00:00,2025-10-17 10:20:00+00:00,-1,target,7,34.388061975,33.8376264826386,0.01518390130066497,0.04555170390199491,-0.004484039373007912,0.01680996083525288
54,2025-10-17 10:35:00+00:00,2025-10-17 10:40:00+00:00,2025-10-17 11:10:00+00:00,-1,stop_market,7,34.205258334,34.87547734808554,-0.020431482074370913,-0.06129444622311274,-0.028853027614146556,0.005094489633682642
55,2025-10-23 03:05:00+00:00,2025-10-23 03:10:00+00:00,2025-10-23 06:10:00+00:00,1,time_open,37,38.302054053000006,38.24009272,-0.002446354438045768,-0.0073390633141373045,-0.034147944941369426,0.002035033079221815
56,2025-10-23 08:40:00+00:00,2025-10-23 08:45:00+00:00,2025-10-23 11:45:00+00:00,1,time_open,37,38.912708583000004,38.87025904,-0.001919761770366497,-0.005759285311099491,-0.005880962443490138,0.01401319612169627
57,2025-10-23 12:15:00+00:00,2025-10-23 12:20:00+00:00,2025-10-23 12:55:00+00:00,1,target,8,39.394224696,39.989600592748324,0.014277689179859998,0.042833067539579994,-0.014432571303058543,0.026597180477228255
58,2025-10-23 13:00:00+00:00,2025-10-23 13:05:00+00:00,2025-10-23 16:05:00+00:00,1,time_open,37,40.217106702,40.124590096,-0.003128797907948495,-0.009386393723845485,-0.01896663491576113,0.01444393556961443
59,2025-10-23 16:15:00+00:00,2025-10-23 16:20:00+00:00,2025-10-23 19:20:00+00:00,1,time_open,37,40.12801120500001,39.161335864,-0.02490912296870269,-0.07472736890610807,-0.0287741830221976,2.464101684340747e-05
60,2025-10-25 22:20:00+00:00,2025-10-25 22:25:00+00:00,2025-10-25 22:40:00+00:00,1,target,4,43.777923363000006,44.4600148519107,0.014744934893972302,0.04423480468191691,-0.0028342224700951416,0.01637986870811803
61,2025-10-25 22:55:00+00:00,2025-10-25 23:00:00+00:00,2025-10-26 02:00:00+00:00,1,time_open,37,44.45164549200001,44.145651376,-0.0077102204759059234,-0.02313066142771777,-0.017188967047985018,0.007904195763984045
62,2025-10-26 02:05:00+00:00,2025-10-26 02:10:00+00:00,2025-10-26 05:10:00+00:00,1,time_open,37,44.256436257000004,43.72153944,-0.012910616580455591,-0.03873184974136677,-0.017280824068893544,0.00021609835334368555
63,2025-10-26 07:30:00+00:00,2025-10-26 07:35:00+00:00,2025-10-26 08:00:00+00:00,1,target,6,44.242421235,44.68725126992033,0.009220886401672939,0.027662659205018817,-0.0018255523348737074,0.016309658125788884
64,2025-10-26 10:00:00+00:00,2025-10-26 10:05:00+00:00,2025-10-26 11:10:00+00:00,1,target,14,46.090401993,46.87652412912615,0.016219696864110143,0.04865909059233043,-0.0033741059479853877,0.021449107932496325
65,2025-10-26 12:00:00+00:00,2025-10-26 12:05:00+00:00,2025-10-26 12:15:00+00:00,1,target,3,47.615036172,48.551243174406565,0.01882452769146418,0.05647358307439254,-0.0042167412115707995,0.020769990060021337
66,2025-10-26 12:25:00+00:00,2025-10-26 12:30:00+00:00,2025-10-26 15:30:00+00:00,1,time_open,37,47.743173516000006,47.298483504000004,-0.010139671798866316,-0.03041901539659895,-0.01958333923074064,0.008500199172222889
67,2025-10-26 18:35:00+00:00,2025-10-26 18:40:00+00:00,2025-10-26 21:40:00+00:00,1,time_open,37,47.466877368,47.004405888,-0.01056831824572628,-0.03170495473717884,-0.019267331164479887,0.001793305916040433
68,2025-10-26 22:05:00+00:00,2025-10-26 22:10:00+00:00,2025-10-27 01:10:00+00:00,1,time_open,37,47.852290473000004,47.811618936,-0.0016789093747814686,-0.005036728124344405,-0.016302938872624143,0.009857616476397268
69,2025-10-29 18:35:00+00:00,2025-10-29 18:40:00+00:00,2025-10-29 18:40:00+00:00,-1,stop_market,1,45.735872695,46.69925512175137,-0.021902100889247166,-0.0657063026677415,-0.030831207952009235,0.005157279857169628
70,2025-11-04 07:40:00+00:00,2025-11-04 07:45:00+00:00,2025-11-04 08:10:00+00:00,-1,target,6,37.843350468000004,37.18478109347645,0.016580405893701612,0.049741217681104836,-0.00798929538675443,0.022285301316360306
71,2025-11-04 19:35:00+00:00,2025-11-04 19:40:00+00:00,2025-11-04 20:05:00+00:00,-1,target,6,37.786411629,36.95401033690137,0.02120892924733603,0.0636267877420081,-0.006993438185511473,0.03174187696826658
72,2025-11-05 10:15:00+00:00,2025-11-05 10:20:00+00:00,2025-11-05 11:30:00+00:00,1,target,15,40.337235462,40.93089550930483,0.013881994915359123,0.04164598474607737,-0.011749981066021114,0.015934769218518108
73,2025-11-05 12:05:00+00:00,2025-11-05 12:10:00+00:00,2025-11-05 15:10:00+00:00,1,time_open,37,41.27223764400001,41.740016456,0.010499959939981447,0.03149987981994434,-0.014061550264623872,0.013053868332683294
74,2025-11-05 16:45:00+00:00,2025-11-05 16:50:00+00:00,2025-11-05 19:50:00+00:00,1,time_open,37,42.00502308000001,41.542964448,-0.011824841735812308,-0.03547452520743692,-0.016532330826518296,0.003475225325361153
75,2025-11-06 18:00:00+00:00,2025-11-06 18:05:00+00:00,2025-11-06 18:15:00+00:00,-1,target,3,38.493651944999996,38.06681393802937,0.010263805169489755,0.030791415508469262,-0.002320119777252231,0.011213587778492573
76,2025-11-07 17:45:00+00:00,2025-11-07 17:50:00+00:00,2025-11-07 19:35:00+00:00,1,target,22,41.813818137000005,42.711698192131024,0.02063505874779905,0.06190517624339715,-0.00483468668131272,0.024589523483151687
77,2025-11-07 19:45:00+00:00,2025-11-07 19:50:00+00:00,2025-11-07 20:10:00+00:00,1,target,5,42.731802078,43.35378016946289,0.013720032916227736,0.041160098748683205,-0.003428858506801872,0.015356195856243371
78,2025-11-07 20:15:00+00:00,2025-11-07 20:20:00+00:00,2025-11-07 23:20:00+00:00,1,time_open,37,42.95404028400001,42.743281248,-0.005733905310358177,-0.01720171593107453,-0.011962824899695705,0.008915569140131474
79,2025-11-07 23:20:00+00:00,2025-11-07 23:25:00+00:00,2025-11-08 02:25:00+00:00,1,time_open,37,42.842921181,42.9113256,0.0007666482515769087,0.002299944754730726,-0.02622805476105984,0.003432978306465939
80,2025-11-08 03:00:00+00:00,2025-11-08 03:05:00+00:00,2025-11-08 06:00:00+00:00,1,stop_market,36,42.891973758,41.15233510707212,-0.04137111022743027,-0.12411333068229081,-0.04757905084011872,0.000490213906187531
81,2025-11-18 06:10:00+00:00,2025-11-18 06:15:00+00:00,2025-11-18 09:15:00+00:00,1,time_open,37,40.821754794,40.981816343999995,0.0030900380102084493,0.009270114030625349,-0.031054078952574074,0.01632083699885256
82,2025-11-18 09:45:00+00:00,2025-11-18 09:50:00+00:00,2025-11-18 12:40:00+00:00,1,target,35,41.063013387000005,41.607209076819885,0.01241787937471092,0.03725363812413276,-0.009060236920598668,0.013734662083483284
83,2025-11-18 16:15:00+00:00,2025-11-18 16:20:00+00:00,2025-11-18 16:45:00+00:00,-1,target,6,39.342739895,38.81777501052486,0.012519584152490394,0.03755875245747118,-0.006597761563923014,0.014989802351690007
84,2025-11-22 19:30:00+00:00,2025-11-22 19:35:00+00:00,2025-11-22 19:40:00+00:00,-1,target,2,31.165523473,30.86380184908884,0.008855954651264654,0.026567863953793965,-0.002483502768203986,0.011600109117794966
85,2025-11-24 07:10:00+00:00,2025-11-24 07:15:00+00:00,2025-11-24 08:30:00+00:00,-1,target,16,31.661990192,31.38156041516074,0.00803133517380483,0.02409400552141449,-0.005594683381684244,0.012096213462183814
86,2025-12-01 02:20:00+00:00,2025-12-01 02:25:00+00:00,2025-12-01 03:10:00+00:00,-1,target,10,31.402269172,31.00943766151002,0.011685518276081889,0.03505655482824567,-0.010564591121823301,0.01370184968618926
87,2025-12-01 14:35:00+00:00,2025-12-01 14:40:00+00:00,2025-12-01 15:25:00+00:00,-1,target,10,29.824963439,29.399342820080673,0.013447211470015194,0.04034163441004558,-0.0027293853889609624,0.01471798749721187
88,2025-12-02 17:15:00+00:00,2025-12-02 17:20:00+00:00,2025-12-02 19:00:00+00:00,1,target,21,33.046420803000004,33.66977156237771,0.018025738374068248,0.054077215122204744,-0.009414752569572487,0.01989865107994704
89,2025-12-03 03:40:00+00:00,2025-12-03 03:45:00+00:00,2025-12-03 05:05:00+00:00,1,target,17,34.443918711,34.991904135539706,0.015073577416439367,0.0452207322493181,-0.007728541973352613,0.02679954324434064
90,2025-12-12 22:30:00+00:00,2025-12-12 22:35:00+00:00,2025-12-13 01:55:00+00:00,-1,target,41,28.68918344,28.514189420428984,0.00527285812473743,0.015818574374212288,-0.007832668186022145,0.011718125080244501
91,2025-12-15 18:40:00+00:00,2025-12-15 18:45:00+00:00,2025-12-15 18:50:00+00:00,-1,target,2,27.476486062,27.22790314025106,0.008221543595547666,0.024664630786643,-0.004618762873920949,0.011736801469893865
92,2026-01-01 17:30:00+00:00,2026-01-01 17:35:00+00:00,2026-01-01 18:15:00+00:00,-1,target,9,24.515666434000003,24.309211393204283,0.0075955207439868146,0.022786562231960444,-0.0038546479915255874,0.008348393650688513
93,2026-01-24 01:40:00+00:00,2026-01-24 01:45:00+00:00,2026-01-24 02:10:00+00:00,1,target,6,22.761396801,23.014792531184035,0.010298757917086647,0.030896273751259938,-0.0027605982262173404,0.011405415988732015
94,2026-01-24 03:55:00+00:00,2026-01-24 04:00:00+00:00,2026-01-24 07:00:00+00:00,1,time_open,37,23.117778789000003,22.892041904,-0.010589917820245804,-0.03176975346073741,-0.012906293471384849,0.001999379413648139
95,2026-01-26 19:20:00+00:00,2026-01-26 19:25:00+00:00,2026-01-26 21:40:00+00:00,1,target,28,24.274018104000003,24.659633671922315,0.015050028971937366,0.0451500869158121,-0.01368061928374033,0.020803391257122827
96,2026-01-26 22:00:00+00:00,2026-01-26 22:05:00+00:00,2026-01-26 22:45:00+00:00,1,target,9,24.962756328,25.33140633995631,0.013932554721309194,0.041797664163927585,-0.013744772923068986,0.015032140965102414
97,2026-01-26 22:55:00+00:00,2026-01-26 23:00:00+00:00,2026-01-27 02:00:00+00:00,1,time_open,37,25.105909767000004,25.54174124,0.016523195354803365,0.049569586064410094,-0.011922301132794482,0.0254557687385637
98,2026-01-27 02:10:00+00:00,2026-01-27 02:15:00+00:00,2026-01-27 02:45:00+00:00,1,target,7,25.601440902000004,25.943288122398133,0.012517796038059728,0.03755338811417919,-0.002345837848535718,0.015099114908403433
99,2026-01-27 03:45:00+00:00,2026-01-27 03:50:00+00:00,2026-01-27 04:10:00+00:00,1,target,5,26.176056804,26.63487226871054,0.016691468042866003,0.05007440412859801,-0.009700124198589693,0.022537512063690368
100,2026-01-27 04:45:00+00:00,2026-01-27 04:50:00+00:00,2026-01-27 05:35:00+00:00,1,target,10,26.634548238000004,27.130458788734842,0.017782027996468615,0.053346083989405844,-0.0015991468789556967,0.029114507784053334
101,2026-01-27 05:40:00+00:00,2026-01-27 05:45:00+00:00,2026-01-27 06:40:00+00:00,1,target,12,26.939875503000003,27.397463667275655,0.01614916787335833,0.04844750362007499,-0.006274952052852682,0.019047025549277397
102,2026-01-27 07:45:00+00:00,2026-01-27 07:50:00+00:00,2026-01-27 10:50:00+00:00,1,time_open,37,27.647634114000002,27.43724152,-0.008435953679747586,-0.025307861039242756,-0.016207481492156686,0.015674610138903367
103,2026-01-27 11:10:00+00:00,2026-01-27 11:15:00+00:00,2026-01-27 12:25:00+00:00,1,target,15,27.533511792000006,28.026623153398813,0.017072748531337088,0.051218245594011266,-0.0036656738470339937,0.017705268099568627
104,2026-01-27 13:35:00+00:00,2026-01-27 13:40:00+00:00,2026-01-27 15:50:00+00:00,1,target,27,27.600583683000004,28.037090664235173,0.014979255330401514,0.04493776599120454,-0.016920967417759183,0.018058180316925077
105,2026-01-27 16:00:00+00:00,2026-01-27 16:05:00+00:00,2026-01-27 16:55:00+00:00,1,target,11,28.002013956000003,28.542404304827244,0.018460942382225762,0.05538282714667729,-0.0062361695872590476,0.033497092226076
106,2026-01-27 18:00:00+00:00,2026-01-27 18:05:00+00:00,2026-01-27 19:25:00+00:00,1,target,17,28.031045073000005,28.858840367470705,0.028689806530706255,0.08606941959211876,-0.008942530049901325,0.0322483490945793
107,2026-01-27 19:50:00+00:00,2026-01-27 19:55:00+00:00,2026-01-27 20:15:00+00:00,1,target,5,28.821892743000003,29.32623996982701,0.016662175873492727,0.049986527620478186,-0.003464174532786039,0.02324993930742969
108,2026-01-27 20:30:00+00:00,2026-01-27 20:35:00+00:00,2026-01-27 22:30:00+00:00,1,target,24,29.505625602000002,30.08481589715893,0.018792363600421576,0.056377090801264726,-0.010162822759137618,0.023126925258406983
109,2026-01-27 22:55:00+00:00,2026-01-27 23:00:00+00:00,2026-01-28 00:05:00+00:00,1,target,14,30.517710405000003,31.08752248768978,0.017834456413609985,0.053503369240829955,-0.005844636325420886,0.024290472160668486
110,2026-01-28 00:15:00+00:00,2026-01-28 00:20:00+00:00,2026-01-28 00:55:00+00:00,1,target,8,30.856073079000005,31.507603176578577,0.020277055094760684,0.06083116528428205,-0.0024587671450431317,0.02466052368529903
111,2026-01-28 01:35:00+00:00,2026-01-28 01:40:00+00:00,2026-01-28 02:15:00+00:00,1,target,8,31.916209386000006,32.92507788384934,0.03076747970895687,0.09230243912687061,-0.0015491752991244761,0.031983453976453635
112,2026-01-28 02:55:00+00:00,2026-01-28 03:00:00+00:00,2026-01-28 03:35:00+00:00,1,target,8,32.89125448800001,33.89359289204199,0.02963235446175291,0.08889706338525873,-0.008236025743605395,0.03082112639911161
113,2026-01-28 03:50:00+00:00,2026-01-28 03:55:00+00:00,2026-01-28 06:55:00+00:00,1,time_open,37,33.689109669000004,33.620873568,-0.002853947398115867,-0.0085618421943476,-0.03897637106706188,0.01756918888078074
114,2026-01-28 07:40:00+00:00,2026-01-28 07:45:00+00:00,2026-01-28 08:00:00+00:00,1,target,4,33.513921894000006,34.085418069380026,0.016216107030826547,0.04864832109247964,-0.005604202975094911,0.0219335149232891
115,2026-01-28 08:20:00+00:00,2026-01-28 08:25:00+00:00,2026-01-28 11:25:00+00:00,1,time_open,37,34.133586081000004,34.22403276000001,0.0018193640426490934,0.005458092127947281,-0.021818391914118176,0.020959236960989003
116,2026-01-28 11:25:00+00:00,2026-01-28 11:30:00+00:00,2026-01-28 14:30:00+00:00,1,time_open,37,34.390861842,33.77391396,-0.018761180811765622,-0.05628354243529687,-0.03451854179484605,0.008843574766962403
117,2026-01-29 04:45:00+00:00,2026-01-29 04:50:00+00:00,2026-01-29 05:05:00+00:00,-1,target,4,32.090529875,31.65327834568443,0.012801890147599209,0.03840567044279763,-0.0023925072750128487,0.014569091779448207
118,2026-01-29 21:20:00+00:00,2026-01-29 21:25:00+00:00,2026-01-29 22:15:00+00:00,-1,target,11,31.881754132,31.377182654052007,0.015003579863098119,0.04501073958929436,-0.006946480957250382,0.015957532634296223
119,2026-01-30 03:35:00+00:00,2026-01-30 03:40:00+00:00,2026-01-30 04:30:00+00:00,-1,stop_market,11,29.052792868,29.73793997868285,-0.02442193272972475,-0.07326579818917425,-0.02434375945847546,0.004123282348250434
120,2026-01-30 15:40:00+00:00,2026-01-30 15:45:00+00:00,2026-01-30 16:00:00+00:00,-1,target,4,29.377444142999998,28.849540138889104,0.017147833692664555,0.05144350107799367,-0.0018632508067186898,0.020200673009922232
121,2026-01-31 17:45:00+00:00,2026-01-31 17:50:00+00:00,2026-01-31 18:40:00+00:00,-1,target,11,28.336562209,27.728275725433964,0.020646067086705234,0.061938201260115705,-0.014934340443638632,0.03245143861198296
122,2026-02-01 16:35:00+00:00,2026-02-01 16:40:00+00:00,2026-02-01 18:00:00+00:00,-1,stop_market,17,29.151686641,29.750973167155347,-0.021395372005981118,-0.06418611601794336,-0.03085246650298791,0.0047917172930755925
