label,month,slice_start,slice_end,trades,total_return,max_dd,avg_trade,win_rate,profit_factor,payoff_ratio,worst_trade,best_trade
short_pullback_buffer_0p02,2025-10,2025-10-01 00:00:00+00:00,2025-11-01 00:00:00+00:00,36.0,-0.5340523027897248,-0.5853702239052024,-0.012080039136092728,0.5,0.6630038822461276,0.6630038822461276,-0.5726774270972651,0.18601580928759737
short_pullback_buffer_0p02,2025-11,2025-11-01 00:00:00+00:00,2025-12-01 00:00:00+00:00,30.0,0.2685709152376101,-0.19049968618305035,0.009431271931463116,0.7,1.490104662356867,0.6386162838672287,-0.12411333068229081,0.07532466529095323
short_pullback_buffer_0p02,2025-12,2025-12-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,19.0,0.3250586917188638,-0.13337905827901708,0.015602589232881638,0.7368421052631579,2.4620098123310665,0.8792892186896667,-0.062244080679508026,0.054077215122204744
short_pullback_buffer_0p02,2026-01,2026-01-01 00:00:00+00:00,2026-02-01 00:00:00+00:00,43.0,2.617837733727044,-0.07826678748653992,0.031127532997592133,0.813953488372093,5.027127199458492,1.1490576455905124,-0.07826678748653994,0.09230243912687061
short_pullback_buffer_0p02,2026-02,2026-02-01 00:00:00+00:00,2026-03-01 00:00:00+00:00,31.0,0.14901325351980277,-0.260575196051803,0.006328255404112574,0.6129032258064516,1.2561702729473394,0.7933706987035827,-0.14810811847370753,0.08478413003940544
short_pullback_buffer_0p02,2026-03,2026-03-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,15.0,0.10212211333319532,-0.09790398278492307,0.007252546321100797,0.6,1.4835779853354152,0.9890519902236102,-0.056339861740838625,0.06358998082207908
short_pullback_buffer_0p02,2026-04,2026-04-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,3.0,0.039769834615805744,-0.004987412162845262,0.013167970911205468,0.6666666666666666,8.920723502242122,4.460361751121061,-0.004987412162845227,0.02439179710871074
short_pullback_buffer_0p02,2026-05,2026-05-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,43.0,0.4210268506324726,-0.2724573087294089,0.009241529629886126,0.6744186046511628,1.568513256680941,0.7572132963287301,-0.11204445569580701,0.06096250574354524
short_pullback_buffer_0p02,2026-06,2026-06-01 00:00:00+00:00,2026-06-26 04:20:00+00:00,28.0,0.13737183148959775,-0.10971832185794617,0.005747619145887673,0.6428571428571429,1.2973430448871308,0.7207461360484061,-0.0830632881996373,0.07293299563755279
short_require_candle_True,2025-05,2025-05-30 10:30:00+00:00,2025-06-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,inf,inf,0.0,0.0
