label,slice,slice_start,slice_end,trades,total_return,max_dd,avg_trade,win_rate,profit_factor,payoff_ratio,worst_trade,best_trade
long_sl_atr_5p0,oos,2026-06-01 00:00:00+00:00,2026-06-26 04:20:00+00:00,15.0,0.06155186468665663,-0.11062152400962899,0.004978905132177047,0.6,1.2844924015645207,0.8563282677096805,-0.08578193829604273,0.07929874322881589
long_sl_atr_6p0,is,2025-05-30 10:30:00+00:00,2026-03-01 00:00:00+00:00,144.0,3.7934849530239036,-0.23357427213379012,0.012253049025484578,0.6388888888888888,1.7501491421184259,0.9892147325017191,-0.15883858100177323,0.21472617537964928
long_sl_atr_6p0,val,2026-03-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,52.0,0.5035342877441817,-0.21228621539536707,0.008858875102773951,0.6538461538461539,1.572965838447394,0.8327466203545026,-0.11204445569580701,0.06358998082207908
long_sl_atr_6p0,oos,2026-06-01 00:00:00+00:00,2026-06-26 04:20:00+00:00,15.0,0.09430459493295418,-0.11062152400962899,0.006859368289143378,0.6,1.4391246461118758,0.9594164307412505,-0.05757499094154777,0.07929874322881589
long_sl_atr_8p0,is,2025-05-30 10:30:00+00:00,2026-03-01 00:00:00+00:00,144.0,4.024726150389226,-0.22379719205419213,0.012583445588320884,0.6458333333333334,1.7854969380802639,0.9791434821730479,-0.14810811847370753,0.21472617537964928
long_sl_atr_8p0,val,2026-03-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,51.0,0.6914214068128799,-0.21228621539536707,0.011220794092155144,0.6666666666666666,1.8264934079436586,0.9132467039718293,-0.11204445569580701,0.06358998082207908
long_sl_atr_8p0,oos,2026-06-01 00:00:00+00:00,2026-06-26 04:20:00+00:00,15.0,0.09430459493295418,-0.11062152400962899,0.006859368289143378,0.6,1.4391246461118758,0.9594164307412505,-0.05757499094154777,0.07929874322881589
long_sl_atr_10p0,is,2025-05-30 10:30:00+00:00,2026-03-01 00:00:00+00:00,144.0,4.065497243637411,-0.22379719205419213,0.012631814512537068,0.6458333333333334,1.7909042786459963,0.9821087979671593,-0.14810811847370753,0.21472617537964928
long_sl_atr_10p0,val,2026-03-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,51.0,0.6914214068128799,-0.21228621539536707,0.011220794092155144,0.6666666666666666,1.8264934079436586,0.9132467039718293,-0.11204445569580701,0.06358998082207908
long_sl_atr_10p0,oos,2026-06-01 00:00:00+00:00,2026-06-26 04:20:00+00:00,15.0,0.09430459493295418,-0.11062152400962899,0.006859368289143378,0.6,1.4391246461118758,0.9594164307412505,-0.05757499094154777,0.07929874322881589
long_time_exit_bars_12,is,2025-05-30 10:30:00+00:00,2026-03-01 00:00:00+00:00,177.0,0.8615018096547611,-0.3071077216796321,0.004491011214770556,0.5649717514124294,1.2793171373198573,0.9850741957362901,-0.11407327036787854,0.21472617537964928
long_time_exit_bars_12,val,2026-03-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,67.0,0.37167015034739115,-0.23566827675438828,0.00541487385487785,0.582089552238806,1.3836858351109085,0.9934154713616777,-0.07325485135583137,0.06096250574354524
long_time_exit_bars_12,oos,2026-06-01 00:00:00+00:00,2026-06-26 04:20:00+00:00,17.0,0.06577063832640628,-0.17264014734338196,0.004522923615722898,0.5882352941176471,1.297048165497392,0.9079337158481744,-0.06474562249750831,0.07929874322881589
long_time_exit_bars_24,is,2025-05-30 10:30:00+00:00,2026-03-01 00:00:00+00:00,152.0,3.288377036451979,-0.2477608035956913,0.010776703523949509,0.6118421052631579,1.6949357529549898,1.075281821767144,-0.1062344683245067,0.21472617537964928
long_time_exit_bars_24,val,2026-03-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,58.0,0.27152735445014087,-0.24723122207127346,0.005074861229497799,0.5689655172413793,1.3075528628620574,0.9905703506530738,-0.11322498566290934,0.06358998082207908
long_time_exit_bars_24,oos,2026-06-01 00:00:00+00:00,2026-06-26 04:20:00+00:00,16.0,0.053929678755931354,-0.17958061278444015,0.004310237185506879,0.625,1.252792546579361,0.7516755279476167,-0.09930517163079412,0.07929874322881589
long_time_exit_bars_48,is,2025-05-30 10:30:00+00:00,2026-03-01 00:00:00+00:00,136.0,2.5555567909554875,-0.3126105698285516,0.011085622214689674,0.6838235294117647,1.5645275711254563,0.7233837156816626,-0.18502896178922504,0.21472617537964928
