config_id,modes,min_trades,min_pf,min_total_return,worst_max_dd,avg_trades
pbm0p0060__long__ret100_spread175__deadline9__maxholdnone,4,83,0.8464669501139958,-0.09241161060412784,-0.15087844805515005,83.5
pbm0p0060__long__ret100_spread175_close0p55__deadline9__maxholdnone,4,82,0.8608574257814298,-0.08391653915792319,-0.15087844805515005,82.5
pbm0p0060__long__ret100_spread175_close0p55_wick0p25__deadline9__maxholdnone,4,46,0.9460407615659002,-0.028108455674641375,-0.12981206357001418,46.0
pbm0p0060__long__ret100_spread175_close0p55_wick0p5__deadline9__maxholdnone,4,62,0.898835741920491,-0.052006468173992904,-0.12029781989767496,62.0
pbm0p0060__long__ret100_spread175_close0p6__deadline9__maxholdnone,4,82,0.8608574257814298,-0.08391653915792319,-0.15087844805515005,82.5
pbm0p0060__long__ret100_spread175_close0p6_wick0p25__deadline9__maxholdnone,4,46,0.9460407615659002,-0.028108455674641375,-0.12981206357001418,46.0
pbm0p0060__long__ret100_spread175_close0p6_wick0p5__deadline9__maxholdnone,4,62,0.898835741920491,-0.052006468173992904,-0.12029781989767496,62.0
pbm0p0060__long__ret100_spread175_close0p7__deadline9__maxholdnone,4,79,0.845269301775888,-0.08983135467960346,-0.15087844805514983,79.5
pbm0p0060__long__ret100_spread175_close0p7_wick0p25__deadline9__maxholdnone,4,45,0.9791711742249575,-0.016343837891978796,-0.1298120635700145,45.0
pbm0p0060__long__ret100_spread175_close0p7_wick0p5__deadline9__maxholdnone,4,60,0.9121346348015319,-0.045506958825282995,-0.12029781989767485,60.0
pbm0p0060__long__ret100_spread175_wick0p25__deadline9__maxholdnone,4,47,0.921856705944077,-0.037121049461038114,-0.12981206357001418,47.0
pbm0p0060__long__ret100_spread175_wick0p5__deadline9__maxholdnone,4,63,0.8797879979562441,-0.06079744970311973,-0.12029781989767496,63.0
pbm0p0060__long__ret100_spread200__deadline9__maxholdnone,4,91,0.8849487553440909,-0.07673952941099582,-0.13952098382497813,91.5
pbm0p0060__long__ret100_spread200_close0p55__deadline9__maxholdnone,4,90,0.8991962454248452,-0.06809776652294153,-0.13952098382497813,90.5
pbm0p0060__long__ret100_spread200_close0p55_wick0p25__deadline9__maxholdnone,4,50,0.9498525408528437,-0.02860541903588465,-0.12981206357001418,50.0
pbm0p0060__long__ret100_spread200_close0p55_wick0p5__deadline9__maxholdnone,4,68,0.8985778319022313,-0.05560904051774296,-0.12029781989767485,68.0
pbm0p0060__long__ret100_spread200_close0p6__deadline9__maxholdnone,4,90,0.8991962454248452,-0.06809776652294153,-0.13952098382497813,90.5
pbm0p0060__long__ret100_spread200_close0p6_wick0p25__deadline9__maxholdnone,4,50,0.9498525408528437,-0.02860541903588465,-0.12981206357001418,50.0
pbm0p0060__long__ret100_spread200_close0p6_wick0p5__deadline9__maxholdnone,4,68,0.8985778319022313,-0.05560904051774296,-0.12029781989767485,68.0
pbm0p0060__long__ret100_spread200_close0p7__deadline9__maxholdnone,4,87,0.8852646028936176,-0.07411471806815595,-0.13952098382497813,87.5
pbm0p0060__long__ret100_spread200_close0p7_wick0p25__deadline9__maxholdnone,4,49,0.9808160195537428,-0.01684681692856227,-0.1298120635700143,49.0
pbm0p0060__long__ret100_spread200_close0p7_wick0p5__deadline9__maxholdnone,4,66,0.9109615378481267,-0.04913423065467537,-0.12029781989767507,66.0
pbm0p0060__long__ret100_spread200_wick0p25__deadline9__maxholdnone,4,51,0.9271584063159092,-0.037613404356524716,-0.12981206357001418,51.0
pbm0p0060__long__ret100_spread200_wick0p5__deadline9__maxholdnone,4,69,0.8807771059768129,-0.06436661449094494,-0.12357988554754074,69.0
pbm0p0060__long__ret100_spread225__deadline9__maxholdnone,4,97,0.8845533507764302,-0.07848440027228032,-0.1431440416504971,97.5
pbm0p0060__long__ret100_spread225_close0p55__deadline9__maxholdnone,4,96,0.8984639639661494,-0.06985896946031278,-0.1431440416504971,96.5
pbm0p0060__long__ret100_spread225_close0p55_wick0p25__deadline9__maxholdnone,4,54,0.9304479878655668,-0.036449746309100584,-0.1298120635700145,54.0
pbm0p0060__long__ret100_spread225_close0p55_wick0p5__deadline9__maxholdnone,4,73,0.9038814549761512,-0.05432897598539532,-0.12447100835753144,73.0
pbm0p0060__long__ret100_spread225_close0p6__deadline9__maxholdnone,4,96,0.8984639639661494,-0.06985896946031278,-0.1431440416504971,96.5
pbm0p0060__long__ret100_spread225_close0p6_wick0p25__deadline9__maxholdnone,4,54,0.9304479878655668,-0.036449746309100584,-0.1298120635700145,54.0
pbm0p0060__long__ret100_spread225_close0p6_wick0p5__deadline9__maxholdnone,4,73,0.9038814549761512,-0.05432897598539532,-0.12447100835753144,73.0
pbm0p0060__long__ret100_spread225_close0p7__deadline9__maxholdnone,4,92,0.8898391646155629,-0.07285973685669622,-0.14035798721457993,92.5
pbm0p0060__long__ret100_spread225_close0p7_wick0p25__deadline9__maxholdnone,4,53,0.9599393910852931,-0.024786098739318696,-0.1298120635700144,53.0
pbm0p0060__long__ret100_spread225_close0p7_wick0p5__deadline9__maxholdnone,4,71,0.9161210466018649,-0.04784538991118714,-0.12447100835753144,71.0
pbm0p0060__long__ret100_spread225_wick0p25__deadline9__maxholdnone,4,55,0.9088000051333679,-0.04538498921763234,-0.1298120635700145,55.0
pbm0p0060__long__ret100_spread225_wick0p5__deadline9__maxholdnone,4,74,0.8863664499007264,-0.06309842031771107,-0.12447100835753144,74.0
pbm0p0060__long__ret100_spread250__deadline9__maxholdnone,4,100,0.8493684563054497,-0.10117199493938178,-0.1431440416504971,100.5
pbm0p0060__long__ret100_spread250_close0p55__deadline9__maxholdnone,4,99,0.8621864154680167,-0.09275892111643202,-0.1431440416504971,99.5
pbm0p0060__long__ret100_spread250_close0p55_wick0p25__deadline9__maxholdnone,4,55,0.9014862316204033,-0.048500745223904906,-0.1298120635700145,55.0
pbm0p0060__long__ret100_spread250_close0p55_wick0p5__deadline9__maxholdnone,4,74,0.8804174425309639,-0.06615636167753602,-0.12447100835753144,74.0
pbm0p0060__long__ret100_spread250_close0p6__deadline9__maxholdnone,4,99,0.8621864154680167,-0.09275892111643202,-0.1431440416504971,99.5
pbm0p0060__long__ret100_spread250_close0p6_wick0p25__deadline9__maxholdnone,4,55,0.9014862316204033,-0.048500745223904906,-0.1298120635700145,55.0
pbm0p0060__long__ret100_spread250_close0p6_wick0p5__deadline9__maxholdnone,4,74,0.8804174425309639,-0.06615636167753602,-0.12447100835753144,74.0
pbm0p0060__long__ret100_spread250_close0p7__deadline9__maxholdnone,4,95,0.8529984990002196,-0.09568581000831655,-0.14035798721457993,95.5
pbm0p0060__long__ret100_spread250_close0p7_wick0p25__deadline9__maxholdnone,4,54,0.9291429834347712,-0.03698297339196699,-0.1298120635700144,54.0
