emergency_mult,breakeven_trigger,lock_profit_mult,trail_start_mult,trail_distance_mult,fail_bars,fail_progress_mult,config_id,mode,trades,equity_multiple,annualized_multiple,total_return,max_dd,win_rate,profit_factor,avg_trade,avg_win,avg_loss_abs,payoff_ratio,worst_trade,best_trade,long_trades,short_trades,long_short_ratio,long_share,short_share,long_win_rate,short_win_rate,long_payoff_ratio,short_payoff_ratio
1.0,1.0,0.25,1.5,1.0,5,0.3,em1p0__be1p0__lock0p25__ts1p5__td1p0__fail5_0p3,5m_conservative,3894,0.00029042198237460865,1.36694297221327e-14,-0.9997095780176254,-0.9997115601500649,0.3120184899845917,0.24782464825931963,-0.0020823977828472173,0.0021989166240893154,0.0040240913268665855,0.546438051594006,-0.018613436776766707,0.031803496760621525,1995,1899,1.0505529225908372,0.512326656394453,0.487673343605547,0.3162907268170426,0.3075302790942601,0.5574702447482209,0.5340581399626769
1.0,1.0,0.25,1.5,1.0,5,0.3,em1p0__be1p0__lock0p25__ts1p5__td1p0__fail5_0p3,5m_optimistic,3894,0.00032766717658131887,2.1936227222193655e-14,-0.9996723328234187,-0.9996745691546177,0.31612737544940933,0.2547104977860911,-0.0020514006588387202,0.0022177379361995506,0.004024855262853783,0.5510106056899761,-0.018613436776766707,0.031803496760621525,1995,1899,1.0505529225908372,0.512326656394453,0.487673343605547,0.3213032581453634,0.31068983675618744,0.5611574203503199,0.5395130961596624
1.0,1.0,0.25,1.5,1.0,5,0.3,em1p0__be1p0__lock0p25__ts1p5__td1p0__fail5_0p3,1m_conservative,3782,0.0010728896056157824,2.2926738843980242e-12,-0.9989271103943842,-0.9989345248614762,0.31649920676890536,0.3459450025070395,-0.0017970656272341462,0.003003198956601609,0.00401985739003933,0.7470909202010836,-0.018613436776766707,0.03633685444119938,1935,1847,1.0476448294531673,0.5116340560549973,0.48836594394500266,0.31886304909560725,0.31402273957769355,0.7733804410983229,0.7183633549992555
1.0,1.0,0.25,1.5,1.0,5,0.3,em1p0__be1p0__lock0p25__ts1p5__td1p0__fail5_0p3,1m_optimistic,3782,0.001098265130920166,2.5126778109894e-12,-0.9989017348690798,-0.9989093246999708,0.3170280274986779,0.34781015598762244,-0.0017908688025647047,0.003012550528612105,0.004020562870733887,0.7492857655679972,-0.018613436776766707,0.03633685444119938,1935,1847,1.0476448294531673,0.5116340560549973,0.48836594394500266,0.31989664082687336,0.31402273957769355,0.7745333968329402,0.7215480286684285
1.0,1.0,0.25,1.5,1.0,5,0.5,em1p0__be1p0__lock0p25__ts1p5__td1p0__fail5_0p5,5m_conservative,3951,0.00027170778178252684,1.0528353872619042e-14,-0.9997282922182175,-0.9997301466260827,0.30701088332067833,0.24461891095025817,-0.0020692826091422097,0.0021826794366910807,0.003953004289783474,0.5521571130929983,-0.018613436776766707,0.031803496760621525,2021,1930,1.0471502590673576,0.5115160718805366,0.48848392811946345,0.31172686788718457,0.3020725388601036,0.5626312020115514,0.5403816024078827
1.0,1.0,0.25,1.5,1.0,5,0.5,em1p0__be1p0__lock0p25__ts1p5__td1p0__fail5_0p5,5m_optimistic,3951,0.000306536104747625,1.68918939290094e-14,-0.9996934638952524,-0.9996955560067108,0.31106049101493294,0.25133345005033564,-0.002038747935648777,0.002200293138457023,0.003952701455147685,0.5566555337974073,-0.018613436776766707,0.031803496760621525,2021,1930,1.0471502590673576,0.5115160718805366,0.48848392811946345,0.31667491340920334,0.3051813471502591,0.5658661711242983,0.546178160547038
1.0,1.0,0.25,1.5,1.0,5,0.5,em1p0__be1p0__lock0p25__ts1p5__td1p0__fail5_0p5,1m_conservative,3839,0.0009882852527442639,1.661544648749533e-12,-0.9990117147472557,-0.9990185445351906,0.31101849439958323,0.34128175364294794,-0.0017918554223406782,0.0029849023423154267,0.003948168757312092,0.7560219751973176,-0.018613436776766707,0.03633685444119938,1963,1876,1.0463752665245203,0.5113310758009898,0.48866892419901015,0.3138053998981151,0.30810234541577824,0.7830410071413525,0.7264800723851831
1.0,1.0,0.25,1.5,1.0,5,0.5,em1p0__be1p0__lock0p25__ts1p5__td1p0__fail5_0p5,1m_optimistic,3839,0.0010116597521407458,1.8209857055083377e-12,-0.9989883402478592,-0.9989953315710123,0.31153946340192756,0.3431349120487625,-0.0017857506057478605,0.00299430796779131,0.003948803974628999,0.758282251291705,-0.018613436776766707,0.03633685444119938,1963,1876,1.0463752665245203,0.5113310758009898,0.48866892419901015,0.31482424859908303,0.30810234541577824,0.7842592397231255,0.7297308892551753
1.0,1.0,0.25,2.0,1.0,3,0.3,em1p0__be1p0__lock0p25__ts2p0__td1p0__fail3_0p3,5m_conservative,3938,0.0002847882337119034,1.2659100311885804e-14,-0.9997152117662881,-0.9997172622045409,0.28694768918232605,0.23414438196464382,-0.002063956312476841,0.0021990474882117605,0.0037794813462297327,0.5818384288112566,-0.018613436776766707,0.03781925997219416,2010,1928,1.0425311203319503,0.510411376333164,0.489588623666836,0.2945273631840796,0.279045643153527,0.5856398673129146,0.5768619161309392
1.0,1.0,0.25,2.0,1.0,3,0.3,em1p0__be1p0__lock0p25__ts2p0__td1p0__fail3_0p3,5m_optimistic,3938,0.0003154831239534265,1.8908383187775318e-14,-0.9996845168760465,-0.999686788313518,0.2905027932960894,0.23897049328443207,-0.002037967830876505,0.0022028747057191815,0.003774375798616471,0.5836394739831321,-0.018613436776766707,0.03781925997219416,2010,1928,1.0425311203319503,0.510411376333164,0.489588623666836,0.29950248756218906,0.28112033195020747,0.5880779435360955,0.5777582003542764
