label,trades,equity_multiple,annualized_multiple,total_return,max_dd,win_rate,profit_factor,avg_trade,avg_win,avg_loss_abs,payoff_ratio,worst_trade,best_trade,long_trades,short_trades,long_short_ratio,long_share,short_share,long_win_rate,short_win_rate,long_payoff_ratio,short_payoff_ratio,mode,pullback_buffer,signal_count,armed_rate,deadline_exit_rate,avg_retry_count,avg_reject_count
1m_conservative_pb_m0p0025,2148,0.003040201718193592,0.004499148447351987,-0.9969597982818064,-0.9971145820996411,0.3957169459962756,0.5259609411698687,-0.0026300314340755447,0.007374212649499235,0.009181346897125284,0.8031732960452819,-0.07059056621320198,0.07755944026126306,1093,1055,1.0360189573459715,0.5088454376163873,0.49115456238361266,0.39249771271729184,0.3990521327014218,0.8159826930536731,0.7902877205032567,1m_conservative,-0.0025,2777,0.43249534450651766,0.5675046554934823,3.3370577281191807,1.9013035381750465
1m_optimistic_pb_m0p0025,2151,0.003254508867260966,0.0047941621556039345,-0.996745491132739,-0.9969211900166276,0.397954439795444,0.5300980661582312,-0.0025947438298670484,0.007355464794698301,0.009171870148498662,0.8019591070968567,-0.07059056621320198,0.07755944026126306,1095,1056,1.0369318181818181,0.5090655509065551,0.4909344490934449,0.39452054794520547,0.4015151515151515,0.8128290248417864,0.7908248072216855,1m_optimistic,-0.0025,2777,0.4402603440260344,0.5597396559739656,3.264993026499303,1.8735471873547187
5m_conservative_pb_m0p0050,488,0.3003305660068274,0.32578326755357956,-0.6996694339931726,-0.7274910899852979,0.4036885245901639,0.6305425036437753,-0.002365054395179748,0.009998724761276766,0.010735035473605636,0.9314105003062871,-0.05698735174516441,0.07755944026126306,250,238,1.050420168067227,0.5122950819672131,0.48770491803278687,0.42,0.3865546218487395,1.0296926554123569,0.8336333673497359,5m_conservative,-0.005,554,0.4487704918032787,0.5512295081967213,1.848360655737705,1.848360655737705
5m_optimistic_pb_m0p0050,495,0.3163243354092084,0.34193059611373106,-0.6836756645907915,-0.7094664010668255,0.40606060606060607,0.6380176956591371,-0.0022290189052277124,0.009675385488257556,0.01036774435791662,0.9332199130536633,-0.05698735174516441,0.07755944026126306,253,242,1.0454545454545454,0.5111111111111111,0.4888888888888889,0.4031620553359684,0.4090909090909091,1.113880265751057,0.7725073093982506,5m_optimistic,-0.005,554,0.5616161616161616,0.4383838383838384,1.6828282828282828,1.4383838383838383
1m_conservative_pb_m0p0050,488,0.29568996471502207,0.321087349320949,-0.7043100352849779,-0.7317018009251026,0.4036885245901639,0.6258735227326063,-0.0023971881304980388,0.009933992988415996,0.0107451011216529,0.9245136807877586,-0.05698735174516441,0.07755944026126306,250,238,1.050420168067227,0.5122950819672131,0.48770491803278687,0.416,0.3907563025210084,1.0326429157706163,0.8194011667544913,1m_conservative,-0.005,554,0.45901639344262296,0.5409836065573771,3.0635245901639343,1.819672131147541
1m_optimistic_pb_m0p0050,489,0.3108111592856381,0.33637086716495596,-0.6891888407143619,-0.7188947992128207,0.40899795501022496,0.6378310207868088,-0.0022907048910252134,0.009863757685784524,0.010702097677744753,0.9216658250369387,-0.05698735174516441,0.07755944026126306,250,239,1.0460251046025104,0.5112474437627812,0.4887525562372188,0.416,0.401673640167364,1.0357186808621337,0.811074489575364,1m_optimistic,-0.005,554,0.46830265848670755,0.5316973415132924,3.0061349693251533,1.7934560327198363
5m_conservative_pb_m0p0075,118,0.8722059200842875,0.8803084794949048,-0.12779407991571246,-0.1883063088009166,0.4491525423728814,0.8479379103475996,-0.001014959457388654,0.01260079454803571,0.012117035800273136,1.0399238523130938,-0.05698735174516441,0.07755944026126306,66,52,1.2692307692307692,0.559322033898305,0.4406779661016949,0.4696969696969697,0.4230769230769231,1.3584287830724489,0.7744540894756318,5m_conservative,-0.0075,128,0.4745762711864407,0.5254237288135594,1.8389830508474576,1.8389830508474576
5m_optimistic_pb_m0p0075,118,0.8959321034004828,0.9026152556512876,-0.1040678965995172,-0.2028017751077732,0.4406779661016949,0.8782823763260946,-0.0007894607714168964,0.012926767022484823,0.011596185699945522,1.114743016106197,-0.05698735174516441,0.07755944026126306,66,52,1.2692307692307692,0.559322033898305,0.4406779661016949,0.4393939393939394,0.4423076923076923,1.5495989311801759,0.7706479277756552,5m_optimistic,-0.0075,128,0.5847457627118644,0.4152542372881356,1.6694915254237288,1.3728813559322033
1m_conservative_pb_m0p0075,118,0.8623679318259732,0.871047064332712,-0.13763206817402684,-0.1883063088009166,0.4491525423728814,0.8334086588333268,-0.0011119369569541208,0.012384882379191843,0.012117035800273136,1.022104958946533,-0.05698735174516441,0.07755944026126306,66,52,1.2692307692307692,0.559322033898305,0.4406779661016949,0.4696969696969697,0.4230769230769231,1.3212130639059365,0.7744540894756318,1m_conservative,-0.0075,128,0.4745762711864407,0.5254237288135594,3.0508474576271185,1.805084745762712
1m_optimistic_pb_m0p0075,118,0.8763474918544196,0.8842052097641149,-0.12365250814558038,-0.1883063088009166,0.4576271186440678,0.8523606367552271,-0.0009756349335188364,0.012308264242803764,0.012183924863541029,1.0102051991173062,-0.05698735174516441,0.07755944026126306,66,52,1.2692307692307692,0.559322033898305,0.4406779661016949,0.4696969696969697,0.4423076923076923,1.3212130639059365,0.7530984056211727,1m_optimistic,-0.0075,128,0.4830508474576271,0.5169491525423728,2.9661016949152543,1.7796610169491525
