config,signal_ts,entry_ts,exit_ts,side,entry_price,exit_price,reason,bars_held,net_ret_1x,mae_1x,mfe_1x,side_label
HYPE_5M_MS_R11999,2025-06-14 12:35:00+00:00,2025-06-14 12:40:00+00:00,2025-06-14 12:40:00+00:00,-1,40.804170096,40.671017601709366,target_limit,1,0.0024352385043377995,-0.0017338868673253554,0.003214624772208241,short
HYPE_5M_MS_R11999,2025-06-14 14:25:00+00:00,2025-06-14 14:30:00+00:00,2025-06-14 14:30:00+00:00,-1,41.441485522,41.306253334912725,target_limit,1,0.002435238504337688,-0.0035398986514052636,0.0034141035297804434,short
HYPE_5M_MS_R11999,2025-06-14 15:10:00+00:00,2025-06-14 15:15:00+00:00,2025-06-14 15:20:00+00:00,-1,40.852118592000004,40.71880963179364,target_limit,2,0.002435238504337688,-0.0037897961325828048,0.003943947035137452,short
HYPE_5M_MS_R11999,2025-06-14 15:30:00+00:00,2025-06-14 15:35:00+00:00,2025-06-14 15:40:00+00:00,-1,40.621366455,40.48881048701311,target_limit,2,0.002435238504337688,-0.004615247354415001,0.004021687827291065,short
HYPE_5M_MS_R11999,2025-06-14 15:40:00+00:00,2025-06-14 15:45:00+00:00,2025-06-14 15:50:00+00:00,-1,40.442558522,40.31058604149054,target_limit,2,0.002435238504337688,-0.003417475238542981,0.003030434435381424,short
HYPE_5M_MS_R11999,2025-06-14 16:30:00+00:00,2025-06-14 16:35:00+00:00,2025-06-14 16:45:00+00:00,-1,40.13688686,40.00591184970335,target_limit,3,0.002435238504337577,-0.00442875290104651,0.007920067670141084,short
HYPE_5M_MS_R11999,2025-06-14 18:25:00+00:00,2025-06-14 18:30:00+00:00,2025-06-14 18:40:00+00:00,-1,39.543524222,39.41448547741058,target_limit,3,0.002435238504337577,-0.007204035381156008,0.0032501964488157453,short
HYPE_5M_MS_R11999,2025-06-14 19:00:00+00:00,2025-06-14 19:05:00+00:00,2025-06-14 20:10:00+00:00,-1,39.271816078,39.14366397359974,target_limit,14,0.002435238504337688,-0.01590118530539654,0.009544149352694986,short
HYPE_5M_MS_R11999,2025-06-14 20:20:00+00:00,2025-06-14 20:25:00+00:00,2025-06-14 22:00:00+00:00,-1,39.001106861,40.16053488585236,stop_market,20,-0.030569729706392337,-0.031077717702134647,-0.0010228719698182065,short
HYPE_5M_MS_R11999,2025-06-15 21:05:00+00:00,2025-06-15 21:10:00+00:00,2025-06-15 23:45:00+00:00,-1,40.141881495,41.33522255943388,stop_market,32,-0.030569729706392115,-0.030884546115670167,0.00029598749628811927,short
HYPE_5M_MS_R11999,2025-06-16 23:15:00+00:00,2025-06-16 23:20:00+00:00,2025-06-16 23:30:00+00:00,-1,42.854967227,42.71512255510511,target_limit,3,0.0024352385043377995,-0.0075091194956162935,0.00690625255719568,short
HYPE_5M_MS_R11999,2025-06-17 00:40:00+00:00,2025-06-17 00:45:00+00:00,2025-06-17 02:25:00+00:00,-1,42.058822408,41.92157572224763,target_limit,21,0.002435238504337688,-0.02317273053866066,0.004798574863608351,short
HYPE_5M_MS_R11999,2025-06-17 03:10:00+00:00,2025-06-17 03:15:00+00:00,2025-06-17 03:20:00+00:00,-1,42.969843831999995,42.82962429384866,target_limit,2,0.002435238504337688,-0.004467647136965584,0.003068287437009709,short
HYPE_5M_MS_R11999,2025-06-17 03:30:00+00:00,2025-06-17 03:35:00+00:00,2025-06-17 03:45:00+00:00,-1,42.966847051,42.826637291968396,target_limit,3,0.0024352385043377995,-0.004677318721669336,0.0035107777589765687,short
HYPE_5M_MS_R11999,2025-06-17 05:45:00+00:00,2025-06-17 05:50:00+00:00,2025-06-17 06:40:00+00:00,-1,42.353505873,42.21529757380718,target_limit,11,0.0024352385043377995,-0.009374819842693964,0.0057257567703409284,short
HYPE_5M_MS_R11999,2025-06-17 08:35:00+00:00,2025-06-17 08:40:00+00:00,2025-06-17 08:40:00+00:00,-1,41.659251608,41.52330880487876,target_limit,1,0.002435238504337688,-0.0023049591189441424,0.004350812868784026,short
HYPE_5M_MS_R11999,2025-06-17 09:30:00+00:00,2025-06-17 09:35:00+00:00,2025-06-17 09:35:00+00:00,-1,40.86011000800001,40.72677497014102,target_limit,1,0.002435238504337688,-0.001733551347877797,0.0073448164466822785,short
HYPE_5M_MS_R11999,2025-06-17 13:40:00+00:00,2025-06-17 13:45:00+00:00,2025-06-17 15:20:00+00:00,-1,39.6574019,39.52799154886071,target_limit,20,0.002435238504337577,-0.026250899967759325,0.006515855492792655,short
HYPE_5M_MS_R11999,2025-06-17 15:50:00+00:00,2025-06-17 15:55:00+00:00,2025-06-17 15:55:00+00:00,-1,39.670387951,39.54093522367519,target_limit,1,0.0024352385043377995,-0.002900446151753903,0.003967391274176779,short
