ts,outer_break_mid_exit_k1,outer_break_mid_exit_k2,compression_expansion_break_k1,compression_expansion_break_k2,trend_pullback_mid_reclaim_k1,trend_pullback_mid_reclaim_k2
2025-06-18 00:45:00+00:00,0.9586698376118726,0.9409359860503498,1.0,1.0,1.0677011540832775,1.0589570598316265
2025-06-18 01:00:00+00:00,0.9577660603510498,0.9400489272166218,1.0,1.0,1.0666945885415697,1.0579587377051605
2025-06-18 01:15:00+00:00,0.9628936434828552,0.9450816582997226,1.0,1.0,1.0724053413082621,1.0636227214295522
2025-06-18 01:30:00+00:00,0.9588146023816322,0.9410780729044834,1.0,1.0,1.0678623832214842,1.0591169685603017
2025-06-18 01:45:00+00:00,0.9642867452736364,0.9464489899458737,1.0,1.0,1.0739568831753536,1.065161556718338
2025-06-18 02:00:00+00:00,0.9642145501092786,0.94637813027605,1.0,1.0,1.073876477119713,1.0650818091598115
2025-06-18 02:15:00+00:00,0.9590653994661177,0.9413242306458982,1.0,1.0,1.0681417039281969,1.059394001729367
2025-06-18 02:30:00+00:00,0.9652787206183665,0.9474226153406774,1.0,1.0,1.0750616777342694,1.0662573034011558
2025-06-18 02:45:00+00:00,0.964796394769859,0.9469492117453442,1.0,1.0,1.0745244960634885,1.0657245210579784
2025-06-18 03:00:00+00:00,0.9604838902834232,0.9427164816623791,1.0,1.0,1.0697215223633596,1.0609608820111478
2025-06-18 03:15:00+00:00,0.9639700468522578,0.9461381499364053,1.0,1.0,1.0736041660492526,1.0648117282205605
2025-06-18 03:30:00+00:00,0.9539645192819458,0.9363177085488072,1.0,1.0,1.062460691085394,1.0537595143694227
2025-06-18 03:45:00+00:00,0.9578986364499931,0.940179050870764,1.0,1.0,1.0668422427685955,1.0581051826963688
2025-06-18 04:00:00+00:00,0.9623172455698302,0.9445159228219063,1.0,1.0,1.0717633885808444,1.06298602606758
2025-06-18 04:15:00+00:00,0.9624610753693874,0.944657092001284,1.0,1.0,1.0719235764129362,1.0631449020180685
2025-06-18 04:30:00+00:00,0.9545240925613934,0.9368669306217329,1.0,1.0,1.0630839056821404,1.0543776250593766
