variant,signal_ts,entry_ts,exit_ts,direction,entry_price,exit_price,entry_atr,allocation,entry_bar,exit_bar,hold_bars,exit_reason,raw_price_return,trade_return,entry_equity,exit_equity
trend_pullback_mid_reclaim_k2,2025-06-25 05:30:00+00:00,2025-06-25 06:00:00+00:00,2025-06-25 06:15:00+00:00,1,37.463979599999995,37.325064000000005,0.445328869047619,1.0,2478,2479,1,midline_exit_next_open,-0.003707977675708296,-0.0056995654283346076,0.9222000470601951,0.9169439075539623
trend_pullback_mid_reclaim_k2,2025-06-26 21:30:00+00:00,2025-06-26 22:00:00+00:00,2025-06-27 05:15:00+00:00,-1,36.8132688,36.7987136,0.41886607142857135,1.0,2638,2667,29,midline_exit_next_open,0.0003953791791508898,-0.002162524580261005,0.9169439075539623,0.9149609938151563
trend_pullback_mid_reclaim_k2,2025-06-27 06:45:00+00:00,2025-06-27 07:15:00+00:00,2025-06-27 09:00:00+00:00,-1,36.8362596,37.26289919999999,0.4147857142857141,1.0,2675,2682,7,midline_exit_next_open,-0.011582055415854331,-0.013833417185976304,0.9149609938151563,0.9023039566788157
trend_pullback_mid_reclaim_k2,2025-06-28 00:00:00+00:00,2025-06-28 00:30:00+00:00,2025-06-28 02:00:00+00:00,-1,36.445416,36.5836276,0.4004553571428569,1.0,2744,2750,6,midline_exit_next_open,-0.0037922903665030816,-0.005828399917869209,0.9023039566788157,0.8970449683718158
trend_pullback_mid_reclaim_k2,2025-06-29 17:45:00+00:00,2025-06-29 18:15:00+00:00,2025-06-29 18:30:00+00:00,1,38.0842276,38.0677668,0.34080505952380924,1.0,2911,2912,1,midline_exit_next_open,-0.0004322209228683205,-0.0024303569132434477,0.8970449683718158,0.8948648289314431
trend_pullback_mid_reclaim_k2,2025-06-29 19:45:00+00:00,2025-06-29 20:15:00+00:00,2025-06-29 20:30:00+00:00,1,38.037208799999995,38.111749200000006,0.3378541666666664,1.0,2919,2920,1,midline_exit_next_open,0.001959670605483854,-4.324677605649363e-05,0.8948648289314431,0.8948261289125855
trend_pullback_mid_reclaim_k2,2025-06-30 15:15:00+00:00,2025-06-30 15:45:00+00:00,2025-06-30 23:30:00+00:00,1,39.8579368,39.6331404,0.3203065476190473,1.0,2997,3028,31,midline_exit_next_open,-0.00563994070059326,-0.007726901211556836,0.8948261289125855,0.8879118958129582
trend_pullback_mid_reclaim_k2,2025-07-01 16:15:00+00:00,2025-07-01 16:45:00+00:00,2025-07-02 07:45:00+00:00,-1,39.0713652,38.1972728,0.2883303571428568,1.0,3097,3157,60,midline_exit_next_open,0.02237168820504898,0.019701477217574093,0.8879118958129582,0.9054050717995301
trend_pullback_mid_reclaim_k2,2025-07-02 12:45:00+00:00,2025-07-02 13:15:00+00:00,2025-07-03 16:00:00+00:00,1,38.3633392,39.939018,0.2743839285714283,1.0,3179,3286,107,midline_exit_next_open,0.04107251435505899,0.03863677960536904,0.9054050717995301,0.9403870080122319
trend_pullback_mid_reclaim_k2,2025-07-03 18:15:00+00:00,2025-07-03 18:45:00+00:00,2025-07-04 00:15:00+00:00,1,40.294111199999996,40.128942,0.27042708333333315,1.0,3297,3319,22,midline_exit_next_open,-0.004099090290890839,-0.006189284735003131,0.9403870080122319,0.9345666850585465
