window,slice_start,slice_end,name,signal_name,signal_kind,exit_name,exit_kind,filter_name,exposure,final_equity,total_return_pct,annual_return_pct,annual_equity_multiple,max_drawdown_pct,win_rate_pct,trades,trades_per_day,profit_factor,avg_trade_pct,median_trade_pct,worst_trade_pct,stop_trades,tp_trades,trail_trades,max_hold_trades,score,target_return_pass,target_equity_multiple_pass,target_drawdown_pass,target_win_rate_pass,frequency_preference_pass,meets_core_target,meets_full_preference,start_ts,end_ts
week_011_20250808_20250815,2025-08-08 10:30:00+00:00,2025-08-15 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,0.9644866368823881,-3.5513363117611885,-84.84350005289524,0.15156499947104765,-7.808116969830792,50.0,8,1.1428571428571428,0.56221485838107,-0.4380071755302809,-0.07452362935955713,-2.736847334084194,0,4,0,4,-5.549665376382153,False,False,True,False,True,False,False,2025-08-08 10:30:00+00:00,2025-08-15 10:30:00+00:00
week_012_20250815_20250822,2025-08-15 10:30:00+00:00,2025-08-22 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.0575299435517849,5.752994355178487,1751.6418102176606,18.516418102176605,-1.9027519504729362,100.0,5,0.7142857142857143,inf,1.1249999999999978,1.1250000000000013,1.1249999999999847,0,5,0,0,3.597700665644086,False,False,True,True,False,False,False,2025-08-15 10:30:00+00:00,2025-08-22 10:30:00+00:00
week_013_20250822_20250829,2025-08-22 10:30:00+00:00,2025-08-29 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.0278303704101843,2.7830370410184324,318.8360229789473,4.188360229789473,-3.5873041940374106,75.0,8,1.1428571428571428,1.7190054971026332,0.3529138732847967,1.1250000000000013,-2.3494262498449463,0,6,0,2,0.4652722851017397,False,False,True,True,True,False,False,2025-08-22 10:30:00+00:00,2025-08-29 10:30:00+00:00
week_014_20250829_20250905,2025-08-29 10:30:00+00:00,2025-09-05 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.0226265625000002,2.262656250000017,221.38291935704055,3.2138291935704055,-0.9970515142812886,100.0,2,0.2857142857142857,inf,1.1250000000000098,1.1250000000000098,1.1250000000000013,0,2,0,0,-0.317553045813294,False,False,True,True,False,False,False,2025-08-29 10:30:00+00:00,2025-09-05 10:30:00+00:00
week_015_20250905_20250912,2025-09-05 10:30:00+00:00,2025-09-12 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.026090615900029,2.6090615900028924,283.40226171567144,3.834022617156714,-3.135601037763036,80.0,5,0.7142857142857143,2.3919032052742417,0.5237305932717249,1.1250000000000013,-1.881347033641381,0,4,0,1,0.34238936647457346,False,False,True,True,False,False,False,2025-09-05 10:30:00+00:00,2025-09-12 10:30:00+00:00
week_016_20250912_20250919,2025-09-12 10:30:00+00:00,2025-09-19 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.0161575237992975,1.6157523799297469,130.78999157574697,2.3078999157574698,-2.5749024029077194,100.0,2,0.2857142857142857,inf,0.8051464177650156,0.8051464177650156,0.4852928355300297,0,1,0,1,-0.7550496202328518,False,False,True,True,False,False,False,2025-09-12 10:30:00+00:00,2025-09-19 10:30:00+00:00
week_017_20250919_20250926,2025-09-19 10:30:00+00:00,2025-09-26 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.0341311113281246,3.413111132812463,476.1481705132552,5.761481705132552,-2.2202227061964286,100.0,3,0.42857142857142855,inf,1.124999999999996,1.1249999999999847,1.1249999999999847,0,3,0,0,0.7229977684099766,False,False,True,True,False,False,False,2025-09-19 10:30:00+00:00,2025-09-26 10:30:00+00:00
week_018_20250926_20251003,2025-09-26 10:30:00+00:00,2025-10-03 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.0595154448542892,5.951544485428917,1942.0323838278748,20.420323838278748,-3.337781954887198,70.0,10,1.4285714285714286,3.867379213026685,0.5838737309888239,1.1250000000000013,-1.6037732537732465,0,7,0,3,3.625185235767282,False,True,True,True,True,False,False,2025-09-26 10:30:00+00:00,2025-10-03 10:30:00+00:00
week_019_20251003_20251010,2025-10-03 10:30:00+00:00,2025-10-10 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.0180917224536465,1.8091722453646542,154.86468043182336,2.5486468043182335,-3.1247050782511443,80.0,5,0.7142857142857143,2.107107243936148,0.36512839242655554,1.1250000000000013,-1.6490199771812455,0,3,0,2,-0.19439124557751292,False,False,True,True,False,False,False,2025-10-03 10:30:00+00:00,2025-10-10 10:30:00+00:00
week_020_20251010_20251017,2025-10-10 10:30:00+00:00,2025-10-17 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.0936246157879765,9.362461578797653,10568.200414027748,106.68200414027747,-3.8884103019538263,100.0,8,1.1428571428571428,inf,1.1249999999999971,1.1249999999999931,1.1249999999999847,0,8,0,0,15.630968382584605,True,True,True,True,True,True,True,2025-10-10 10:30:00+00:00,2025-10-17 10:30:00+00:00
