window,slice_start,slice_end,name,signal_name,signal_kind,exit_name,exit_kind,filter_name,exposure,final_equity,total_return_pct,annual_return_pct,annual_equity_multiple,max_drawdown_pct,win_rate_pct,trades,trades_per_day,profit_factor,avg_trade_pct,median_trade_pct,worst_trade_pct,stop_trades,tp_trades,trail_trades,max_hold_trades,score,target_return_pass,target_equity_multiple_pass,target_drawdown_pass,target_win_rate_pass,frequency_preference_pass,meets_core_target,meets_full_preference,start_ts,end_ts,days
rolling_60d_003_20250729_20250927,2025-07-29 10:30:00+00:00,2025-09-27 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.2777768534580143,27.77768534580143,344.6772533610701,4.446772533610701,-7.808116969830802,82.97872340425532,47,0.7833333333333333,2.3707337438534837,0.5318765826366966,1.1250000000000013,-4.425000000000004,1,38,0,8,0.5885618773996022,False,False,True,True,True,False,False,2025-07-29 10:30:00+00:00,2025-09-27 10:30:00+00:00,60
rolling_60d_004_20250828_20251027,2025-08-28 10:30:00+00:00,2025-10-27 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.3829457391719269,38.294573917192686,619.699653185507,7.196996531855071,-5.495160313987679,85.1063829787234,47,0.7833333333333333,4.1169934761484255,0.6980655474392571,1.1250000000000013,-4.425000000000004,1,38,0,8,1.3894756704708333,False,False,True,True,True,False,False,2025-08-28 10:30:00+00:00,2025-10-27 10:30:00+00:00,60
rolling_60d_005_20250927_20251126,2025-09-27 10:30:00+00:00,2025-11-26 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.4788542825374804,47.88542825374804,982.4822181802551,10.824822181802551,-5.495160313987702,83.33333333333334,60,1.0,3.553489745814465,0.6613949388025574,1.1250000000000013,-4.425000000000004,2,49,0,9,2.1427057955040256,False,False,True,True,True,False,False,2025-09-27 10:30:00+00:00,2025-11-26 10:30:00+00:00,60
rolling_60d_006_20251027_20251226,2025-10-27 10:30:00+00:00,2025-12-26 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.3454735481116051,34.54735481116052,508.8741843670754,6.088741843670753,-5.384934625262683,83.60655737704919,61,1.0166666666666666,2.201947198195992,0.4993842550968544,1.1250000000000013,-4.425000000000004,4,49,0,8,1.097531878448978,False,False,True,True,True,False,False,2025-10-27 10:30:00+00:00,2025-12-26 10:30:00+00:00,60
rolling_60d_007_20251126_20260125,2025-11-26 10:30:00+00:00,2026-01-25 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.1839285478183745,18.392854781837453,179.49171400977573,2.7949171400977573,-6.362067512036152,78.18181818181819,55,0.9166666666666666,1.6058210112191347,0.32106454525345124,1.1249999999999847,-4.425000000000004,4,41,0,10,-0.07450831888587439,False,False,True,True,True,False,False,2025-11-26 10:30:00+00:00,2026-01-25 10:30:00+00:00,60
rolling_60d_008_20251226_20260224,2025-12-26 10:30:00+00:00,2026-02-24 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,0.9837359705850439,-1.6264029414956083,-9.500082362067863,0.9049991763793214,-18.66807496257399,72.91666666666666,48,0.8,0.9816966553183035,-0.01453802774008682,1.1250000000000013,-4.425000000000004,6,33,0,9,-1.5668354106818643,False,False,True,True,True,False,False,2025-12-26 10:30:00+00:00,2026-02-24 10:30:00+00:00,60
rolling_60d_009_20260125_20260326,2026-01-25 10:30:00+00:00,2026-03-26 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.0932640289488826,9.326402894888265,72.08332805322723,1.7208332805322724,-13.68976949211862,79.1044776119403,67,1.1166666666666667,1.2155793388874434,0.1526712442684752,1.1250000000000013,-4.425000000000004,9,51,0,7,-0.7309609518129403,False,False,True,True,True,False,False,2026-01-25 10:30:00+00:00,2026-03-26 10:30:00+00:00,60
rolling_60d_010_20260224_20260425,2026-02-24 10:30:00+00:00,2026-04-25 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.1306756283252104,13.067562832521041,111.20065664084228,2.112006566408423,-12.16950577747028,73.77049180327869,61,1.0166666666666666,1.3543235753638216,0.2171264902901524,1.1250000000000013,-4.425000000000004,6,45,0,10,-0.5251510081669943,False,False,True,True,True,False,False,2026-02-24 10:30:00+00:00,2026-04-25 10:30:00+00:00,60
rolling_60d_011_20260326_20260525,2026-03-26 10:30:00+00:00,2026-05-25 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,0.9492968265417615,-5.070317345823849,-27.149111672095362,0.7285088832790464,-14.835966631080645,65.85365853658537,41,0.6833333333333333,0.873270064772139,-0.10751351723497353,1.1250000000000013,-4.425000000000004,5,27,0,9,-2.348361798448304,False,False,True,False,False,False,False,2026-03-26 10:30:00+00:00,2026-05-25 10:30:00+00:00,60
rolling_60d_012_20260425_20260624,2026-04-25 10:30:00+00:00,2026-06-24 10:30:00+00:00,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p5,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.5,1.0122125415609164,1.2212541560916446,7.669218077537332,1.0766921807753733,-13.905407777384715,76.66666666666667,60,1.0,1.0508464708326941,0.04111047163539404,1.1250000000000013,-4.425000000000004,8,45,0,7,-1.2908246474293763,False,False,True,True,True,False,False,2026-04-25 10:30:00+00:00,2026-06-24 10:30:00+00:00,60
