label,family,parameter,value,slice,name,signal_name,signal_kind,exit_name,exit_kind,filter_name,exposure,final_equity,total_return_pct,annual_return_pct,annual_equity_multiple,max_drawdown_pct,win_rate_pct,trades,trades_per_day,profit_factor,avg_trade_pct,median_trade_pct,worst_trade_pct,stop_trades,tp_trades,trail_trades,max_hold_trades,score,target_return_pass,target_equity_multiple_pass,target_drawdown_pass,target_win_rate_pass,frequency_preference_pass,meets_core_target,meets_full_preference,start_ts,end_ts
rsi7_30_60__fixed_tp0p9_sl2p8_hold16__baseline_filter__x1p0,surface_combo_grid,surface_combo,rsi7_30_60|fixed_tp0p9_sl2p8_hold16|baseline_filter|x1.0,q3,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.0,1.1124239165418148,11.242391654181482,48.87869584626956,1.4887869584626956,-12.792639886588953,77.0,100,1.022663719406642,1.25808379788061,0.11432079219548962,0.7500000000000009,-2.950000000000003,11,74,0,15,-0.911086036476527,False,False,True,True,True,False,False,2025-12-12 00:07:30+00:00,2026-03-19 18:56:15+00:00
rsi7_30_60__fixed_tp0p9_sl2p8_hold16__baseline_filter__x1p0,surface_combo_grid,surface_combo,rsi7_30_60|fixed_tp0p9_sl2p8_hold16|baseline_filter|x1.0,q4,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.0,0.9946997403369,-0.5300259663099993,-1.9654877141172977,0.980345122858827,-10.331587160130784,71.91011235955057,89,0.9101707102719113,1.0049667870851262,0.0026368951956602404,0.7500000000000009,-2.950000000000003,11,63,0,15,-1.4060308388509175,False,False,True,True,True,False,False,2026-03-19 18:56:15+00:00,2026-06-25 13:45:00+00:00
rsi7_30_60__fixed_tp0p9_sl2p8_hold16__baseline_filter__x1p25,surface_combo_grid,surface_combo,rsi7_30_60|fixed_tp0p9_sl2p8_hold16|baseline_filter|x1.25,full,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p25,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.25,2.2169342954012428,121.69342954012427,110.31528360390426,2.1031528360390426,-15.862366612099454,76.90217391304348,368,0.9408506218541106,1.4753990212022203,0.2267060647395848,0.937500000000001,-3.687500000000003,30,274,0,64,-0.5358490740623776,False,False,True,True,True,False,False,2025-05-30 10:30:00+00:00,2026-06-25 13:45:00+00:00
rsi7_30_60__fixed_tp0p9_sl2p8_hold16__baseline_filter__x1p25,surface_combo_grid,surface_combo,rsi7_30_60|fixed_tp0p9_sl2p8_hold16|baseline_filter|x1.25,first_half,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p25,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.25,1.9630403357960844,96.30403357960844,252.44083603855003,3.5244083603855003,-12.454400218067718,79.3296089385475,179,0.9152840288689446,2.127545088190928,0.384605464855943,0.937500000000001,-3.687500000000003,8,137,0,34,0.18090550439530895,False,False,True,True,True,False,False,2025-05-30 10:30:00+00:00,2025-12-12 00:07:30+00:00
rsi7_30_60__fixed_tp0p9_sl2p8_hold16__baseline_filter__x1p25,surface_combo_grid,surface_combo,rsi7_30_60|fixed_tp0p9_sl2p8_hold16|baseline_filter|x1.25,second_half,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p25,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.25,1.1293371078400145,12.933710784001452,25.50338665225629,1.2550338665225629,-15.862366612099477,74.60317460317461,189,0.9664172148392767,1.1274407041597836,0.07716113023784868,0.937500000000001,-3.687500000000003,22,137,0,30,-1.1599259759403988,False,False,True,True,True,False,False,2025-12-12 00:07:30+00:00,2026-06-25 13:45:00+00:00
rsi7_30_60__fixed_tp0p9_sl2p8_hold16__baseline_filter__x1p25,surface_combo_grid,surface_combo,rsi7_30_60|fixed_tp0p9_sl2p8_hold16|baseline_filter|x1.25,last_90d,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p25,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.25,0.9912091530818048,-0.8790846918195205,-3.5199489741608803,0.9648005102583912,-12.938832453745597,71.42857142857143,84,0.9333333333333333,1.0041688751451956,0.00274826893472876,0.937500000000001,-3.687500000000003,10,59,0,15,-1.4544564833604747,False,False,True,True,True,False,False,2026-03-27 13:45:00+00:00,2026-06-25 13:45:00+00:00
rsi7_30_60__fixed_tp0p9_sl2p8_hold16__baseline_filter__x1p25,surface_combo_grid,surface_combo,rsi7_30_60|fixed_tp0p9_sl2p8_hold16|baseline_filter|x1.25,is_2025_05_30_to_2026_03_01,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p25,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.25,1.9474022251531202,94.74022251531203,142.69584796873272,2.426958479687327,-15.72224367621632,77.91164658634538,249,0.9068973366719781,1.6442409360685222,0.27714157347536555,0.937500000000001,-3.687500000000003,17,186,0,46,-0.348771304000854,False,False,True,True,True,False,False,2025-05-30 10:30:00+00:00,2026-03-01 00:00:00+00:00
rsi7_30_60__fixed_tp0p9_sl2p8_hold16__baseline_filter__x1p25,surface_combo_grid,surface_combo,rsi7_30_60|fixed_tp0p9_sl2p8_hold16|baseline_filter|x1.25,val_2026_03_01_to_2026_06_01,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p25,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.25,1.1214654204653933,12.146542046539333,57.63599153965468,1.5763599153965469,-12.432816546985915,74.69879518072288,83,0.9021739130434783,1.2726573217255837,0.15003430039464696,0.937500000000001,-3.687500000000003,9,62,0,12,-0.8645858840468219,False,False,True,True,True,False,False,2026-03-01 00:00:00+00:00,2026-06-01 00:00:00+00:00
rsi7_30_60__fixed_tp0p9_sl2p8_hold16__baseline_filter__x1p25,surface_combo_grid,surface_combo,rsi7_30_60|fixed_tp0p9_sl2p8_hold16|baseline_filter|x1.25,oos_2026_06_01_to_latest,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p25,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.25,1.0151057153017524,1.510571530175242,24.96346982511175,1.2496346982511175,-11.66174256414334,75.0,36,1.4650275540483255,1.086631171571964,0.05463147489015221,0.9374999999999871,-3.687500000000003,4,26,0,6,-1.118802688612057,False,False,True,True,True,False,False,2026-06-01 00:00:00+00:00,2026-06-25 13:45:00+00:00
rsi7_30_60__fixed_tp0p9_sl2p8_hold16__baseline_filter__x1p25,surface_combo_grid,surface_combo,rsi7_30_60|fixed_tp0p9_sl2p8_hold16|baseline_filter|x1.25,q1,HYPE_15M_MII_rsi_reversal_w7_lo30_hi60_fixed_tp90p0_sl280p0_hold16_macd0p0_atr60p0to280p0_x1p25,rsi_reversal_w7_lo30_hi60,rsi_reversal,fixed_tp90p0_sl280p0_hold16,fixed,macd0p0_atr60p0to280p0,1.25,1.2067801775592861,20.678017755928614,101.79202591766669,2.017920259176667,-12.454400218067718,73.62637362637363,91,0.9306239846600441,1.4696155093255852,0.21553303292500245,0.937500000000001,-3.687500000000003,5,65,0,21,-0.584420833627245,False,False,True,True,True,False,False,2025-05-30 10:30:00+00:00,2025-09-05 05:18:45+00:00
