surface,window,strategy,cost_bps_one_way,observations,net_return,max_drawdown,sharpe,turnover
24_yahoo_continuous_futures,3m,always_long,0.0,64,-0.043799923151462083,-0.09145620618955308,-0.7830521258978458,0.6816398466834481
24_yahoo_continuous_futures,3m,always_long,2.0,64,-0.04393085355631421,-0.09154046884318723,-0.7857074523638685,0.6816398466834481
24_yahoo_continuous_futures,6m,always_long,0.0,125,-0.02349286766760983,-0.12016517715935993,-0.13829726152043695,2.058569273567712
24_yahoo_continuous_futures,6m,always_long,2.0,125,-0.02389733363047597,-0.12018502085828764,-0.14245028915527433,2.058569273567712
24_yahoo_continuous_futures,1y,always_long,0.0,252,0.2271544846125244,-0.12016517715935993,1.2237571011705572,4.055527331427346
24_yahoo_continuous_futures,1y,always_long,2.0,252,0.2261565301413737,-0.12018502085828742,1.2191702889160667,4.055527331427346
30_etf_fx_proxies,1d,mop_tsmom,0.0,1,-0.001885554866742023,0.0,,0.0
30_etf_fx_proxies,1d,mop_tsmom,2.0,1,-0.001885554866742023,0.0,,0.0
30_etf_fx_proxies,1d,mop_tsmom,10.0,1,-0.001885554866742023,0.0,,0.0
30_etf_fx_proxies,7d,mop_tsmom,0.0,5,-0.015487731730841836,-0.014726931932975584,-7.888356459038654,0.0
30_etf_fx_proxies,7d,mop_tsmom,2.0,5,-0.015487731730841836,-0.014726931932975584,-7.888356459038654,0.0
30_etf_fx_proxies,7d,mop_tsmom,10.0,5,-0.015487731730841836,-0.014726931932975584,-7.888356459038654,0.0
30_etf_fx_proxies,1m,mop_tsmom,0.0,23,-0.009823723022015729,-0.018143436645732702,-1.071918599131584,1.6503409456216553
30_etf_fx_proxies,1m,mop_tsmom,2.0,23,-0.010152529452756576,-0.01814343664573248,-1.1068654883867348,1.6503409456216553
30_etf_fx_proxies,1m,mop_tsmom,10.0,23,-0.011467755175719407,-0.018143436645732258,-1.2436541616000247,1.6503409456216553
30_etf_fx_proxies,3m,mop_tsmom,0.0,64,-0.0029569300926398645,-0.056383883375103805,0.016359292380150225,2.891408114839945
30_etf_fx_proxies,3m,mop_tsmom,2.0,64,-0.00353507454828228,-0.056383883375103916,0.0027895172202398134,2.891408114839945
30_etf_fx_proxies,3m,mop_tsmom,10.0,64,-0.005845735968374899,-0.056383883375103694,-0.05141539063736622,2.891408114839945
30_etf_fx_proxies,6m,mop_tsmom,0.0,125,0.047092505139270324,-0.12357646047227178,0.566316916062889,5.915226931897557
30_etf_fx_proxies,6m,mop_tsmom,2.0,125,0.04585138920465415,-0.12366428559483578,0.5543226733313372,5.915226931897557
30_etf_fx_proxies,6m,mop_tsmom,10.0,125,0.04089858711195449,-0.12401558608509444,0.5063165751911115,5.915226931897557
30_etf_fx_proxies,1y,mop_tsmom,0.0,252,0.3100762920460365,-0.12357646047227155,1.6180512126242865,12.72069795497736
30_etf_fx_proxies,1y,mop_tsmom,2.0,252,0.30674441587511003,-0.12366428559483611,1.6034278384649934,12.72069795497736
30_etf_fx_proxies,1y,mop_tsmom,10.0,252,0.2934933300473985,-0.12401558608509433,1.5446947291897608,12.72069795497736
30_etf_fx_proxies,1d,always_long,0.0,1,-0.00638111480724568,0.0,,0.0
30_etf_fx_proxies,1d,always_long,2.0,1,-0.00638111480724568,0.0,,0.0
30_etf_fx_proxies,1d,always_long,10.0,1,-0.00638111480724568,0.0,,0.0
30_etf_fx_proxies,7d,always_long,0.0,5,0.007605127812942536,-0.006381114807245791,1.709229744708267,0.0
30_etf_fx_proxies,7d,always_long,2.0,5,0.007605127812942536,-0.006381114807245791,1.709229744708267,0.0
30_etf_fx_proxies,7d,always_long,10.0,5,0.007605127812942536,-0.006381114807245791,1.709229744708267,0.0
30_etf_fx_proxies,1m,always_long,0.0,23,0.034670807240733126,-0.02610808383998664,2.248675879415137,0.23638513734038977
30_etf_fx_proxies,1m,always_long,2.0,23,0.03462153489248343,-0.02610808383998664,2.2453310509496105,0.23638513734038977
30_etf_fx_proxies,1m,always_long,10.0,23,0.0344244454994842,-0.026108083839987084,2.231944904917836,0.23638513734038977
30_etf_fx_proxies,3m,always_long,0.0,64,0.0027448219458889866,-0.08883621220361082,0.1565529937883888,0.6718973410518778
30_etf_fx_proxies,3m,always_long,2.0,64,0.0026096547602743048,-0.08888416155966261,0.15391446634535996,0.6718973410518778
30_etf_fx_proxies,3m,always_long,10.0,64,0.002069105740767352,-0.089075958983871,0.14336176975001919,0.6718973410518778
30_etf_fx_proxies,6m,always_long,0.0,125,0.09063367199562555,-0.1061407055273238,0.9438360230918195,2.233832561865235
30_etf_fx_proxies,6m,always_long,2.0,125,0.09014428650929984,-0.10617772084103971,0.9394340333161828,2.233832561865235
30_etf_fx_proxies,6m,always_long,10.0,125,0.0881884246881306,-0.10632578209590327,0.921816664213138,2.233832561865235
30_etf_fx_proxies,1y,always_long,0.0,252,0.4377120519214439,-0.1061407055273238,2.0003608051911024,4.064801630464505
30_etf_fx_proxies,1y,always_long,2.0,252,0.4365423711013765,-0.10617772084103971,1.9959949579341654,4.064801630464505
30_etf_fx_proxies,1y,always_long,10.0,252,0.43187215480393415,-0.10632578209590382,1.9785011460119593,4.064801630464505
