strategy,symbol,asset_class,gross_contribution,net_contribution_2bps,turnover,average_abs_position
composite,ZS=F,commodity,-0.004156844606558819,-0.004457860903172616,1.5050814830689903,0.02811680903718104
composite,ZT=F,bond,0.034750105836299394,0.029669327943379096,25.403889464601498,0.5890760323934285
composite,ZW=F,commodity,-0.015177332654113411,-0.015375087030457684,0.9887718817213685,0.01812617285351111
long_only,6A=F,fx,0.002422888908832416,0.0023411078288723074,0.4089053998005431,0.08149910142752376
long_only,6B=F,fx,-0.002368839827684459,-0.002475315817677265,0.5323799499640297,0.10417678826434427
long_only,6C=F,fx,-0.01365991878255348,-0.013784983287097761,0.6253225227214033,0.13946447559106884
long_only,6E=F,fx,-0.0015496005687147788,-0.0016621901870331117,0.5629480915916679,0.10929293582888064
long_only,6J=F,fx,-0.027712003248526986,-0.027805088699780697,0.4654272562685634,0.08160994958512413
long_only,6S=F,fx,0.01202871494870951,0.01192127587951693,0.5371953459629055,0.09657578089049652
long_only,BZ=F,commodity,0.011246447365823663,0.011225140544430308,0.10653410696677125,0.018633425794985385
long_only,ES=F,equity_index,0.03310160641786158,0.0330337173565922,0.33944530634690595,0.06236555997127273
long_only,GC=F,commodity,0.038292421904802657,0.03824994114893427,0.21240377934192725,0.037925709733235176
long_only,HG=F,commodity,0.012869954045566649,0.012844995165663363,0.12479439951643122,0.023988444812892664
long_only,NG=F,commodity,0.012912186340462825,0.012904026106236395,0.0408011711321516,0.007488885738217926
long_only,NKD=F,equity_index,0.045442244245645774,0.04539398439020323,0.2412992772127265,0.0488363458979483
long_only,NQ=F,equity_index,0.03266405860153073,0.03261481318739219,0.2462270706926868,0.045923866233737634
long_only,RTY=F,equity_index,0.017476996318847235,0.01743325265748123,0.21871830683002816,0.04399810700459683
long_only,SI=F,commodity,0.029912893406478028,0.029890223995552013,0.11334705463007261,0.019572155861182706
long_only,UB=F,bond,-0.03794875897365115,-0.03800907215906752,0.3015659270818539,0.06905669657989467
long_only,YM=F,equity_index,0.029320204673754555,0.029245278601553806,0.3746303610037449,0.06986189766536972
long_only,ZB=F,bond,-0.034723970415022384,-0.03480412298688254,0.40076285930078137,0.08864125643579676
long_only,ZC=F,commodity,-0.0028031136911793033,-0.002829059302927743,0.12972805874219664,0.02571492838388139
long_only,ZF=F,bond,-0.032193941554573204,-0.03242465971572522,1.1535908057600879,0.23581430262868006
long_only,ZN=F,bond,-0.031088753819242976,-0.03123982214219074,0.755341614738827,0.1622163829842352
long_only,ZS=F,commodity,0.003225749648048811,0.0031966236318137034,0.14563008117553966,0.031022583651846014
long_only,ZT=F,bond,-0.03488901874331832,-0.035534597751356166,3.2278950401892335,0.5407851860782076
long_only,ZW=F,commodity,0.007516581911932366,0.007498080800355951,0.09250555788207887,0.019728194615526346
