year,strategy,asset_class,gross_contribution,net_contribution_2bps,turnover,surface
2025,mop_tsmom,fx,0.011969979778191475,0.010882895131267062,5.4354232346220535,24_yahoo_continuous_futures
2026,always_long,bond,-0.07982891539999423,-0.08010386259274695,1.3747359637635874,24_yahoo_continuous_futures
2026,always_long,commodity,0.08515781644742401,0.08509789934901543,0.2995854920429328,24_yahoo_continuous_futures
2026,always_long,equity_index,0.06293770609347546,0.06289691746470988,0.2039431438279362,24_yahoo_continuous_futures
2026,always_long,fx,-0.005730333959706655,-0.005857255545644864,0.6346079296910523,24_yahoo_continuous_futures
2026,mop_tsmom,bond,0.022757707078725094,0.021483161358237086,6.37272860244004,24_yahoo_continuous_futures
2026,mop_tsmom,commodity,-0.03090406800177084,-0.031182687194197315,1.3930959621323964,24_yahoo_continuous_futures
2026,mop_tsmom,equity_index,0.06293770609347546,0.06289691746470988,0.2039431438279362,24_yahoo_continuous_futures
2026,mop_tsmom,fx,0.005170300387494365,0.00446123830951921,3.5453103898757763,24_yahoo_continuous_futures
2013,always_long,bond,-0.04911199380729717,-0.04996963740058446,4.288217966436396,30_etf_fx_proxies
2013,always_long,commodity,-0.10741414084775307,-0.10753739523146218,0.6162719185455943,30_etf_fx_proxies
2013,always_long,currency,-0.05596114323233466,-0.056142873217173074,0.9086499241920298,30_etf_fx_proxies
2013,always_long,equity_index,0.17488573268041913,0.17473152610373344,0.7710328834284442,30_etf_fx_proxies
2013,mop_tsmom,bond,0.014519292503819309,0.01333640020753041,5.914461481444505,30_etf_fx_proxies
2013,mop_tsmom,commodity,0.06812501219505697,0.06756220080196096,2.814056965480049,30_etf_fx_proxies
2013,mop_tsmom,currency,-0.010763441903853919,-0.012089309109045933,6.6293360259600576,30_etf_fx_proxies
2013,mop_tsmom,equity_index,0.16511215737313192,0.16475311957801772,1.7951889755710093,30_etf_fx_proxies
2014,always_long,bond,0.0690080981528803,0.06856438736962278,2.218553916287573,30_etf_fx_proxies
2014,always_long,commodity,-0.10939485590867083,-0.10952823408284369,0.6668908708643151,30_etf_fx_proxies
2014,always_long,currency,-0.10835533287226413,-0.10867652331180862,1.6059521977224596,30_etf_fx_proxies
2014,always_long,equity_index,-0.0030779204961665823,-0.0032656140732331904,0.9384678853330435,30_etf_fx_proxies
2014,mop_tsmom,bond,-0.012366350368985377,-0.013072172875842265,3.5291125342844514,30_etf_fx_proxies
2014,mop_tsmom,commodity,0.029299744242097036,0.028682741195418835,3.0850152333910277,30_etf_fx_proxies
2014,mop_tsmom,currency,-0.010513006337928316,-0.01187454647229184,6.8077006718176305,30_etf_fx_proxies
2014,mop_tsmom,equity_index,-0.014071846358901909,-0.014812952409209438,3.7055302515376485,30_etf_fx_proxies
2015,always_long,bond,0.009030756119570304,0.008748996688076677,1.4087971574681168,30_etf_fx_proxies
2015,always_long,commodity,-0.1345717072606221,-0.13465359459193021,0.40943665654059064,30_etf_fx_proxies
2015,always_long,currency,-0.04721948115759599,-0.04739795050058468,0.8923467149434537,30_etf_fx_proxies
