surface,month,strategy,label,cost_bps_one_way,net_return,gross_return,max_drawdown,turnover
30_etf_fx_proxies,2014-11,mop_tsmom,MOP 12M TSMOM,2.0,0.0690986086662484,0.06937602412403265,-0.010534659309078376,1.3165654296979017
30_etf_fx_proxies,2014-11,mop_tsmom,MOP 12M TSMOM,10.0,0.06798894683510892,0.06937602412403265,-0.010534659309078487,1.3165654296979017
30_etf_fx_proxies,2014-12,mop_tsmom,MOP 12M TSMOM,0.0,0.03802768349097674,0.03802768349097674,-0.006939484726051215,0.987394498918948
30_etf_fx_proxies,2014-12,mop_tsmom,MOP 12M TSMOM,2.0,0.03781808707452572,0.03802768349097674,-0.006939484726051104,0.987394498918948
30_etf_fx_proxies,2014-12,mop_tsmom,MOP 12M TSMOM,10.0,0.03697970140872209,0.03802768349097674,-0.006939484726051104,0.987394498918948
30_etf_fx_proxies,2015-01,mop_tsmom,MOP 12M TSMOM,0.0,0.06254347266813709,0.06254347266813709,-0.03913335974718568,0.6504870234267148
30_etf_fx_proxies,2015-01,mop_tsmom,MOP 12M TSMOM,2.0,0.06240811046471095,0.06254347266813709,-0.03913335974718557,0.6504870234267148
30_etf_fx_proxies,2015-01,mop_tsmom,MOP 12M TSMOM,10.0,0.061866661651004184,0.06254347266813709,-0.03913335974718568,0.6504870234267148
30_etf_fx_proxies,2015-02,mop_tsmom,MOP 12M TSMOM,0.0,-0.03533617670428468,-0.03533617670428468,-0.05569207256399311,1.3499774171782801
30_etf_fx_proxies,2015-02,mop_tsmom,MOP 12M TSMOM,2.0,-0.03559823399043294,-0.03533617670428468,-0.05569207256399311,1.3499774171782801
30_etf_fx_proxies,2015-02,mop_tsmom,MOP 12M TSMOM,10.0,-0.036646463135026286,-0.03533617670428468,-0.05569207256399289,1.3499774171782801
30_etf_fx_proxies,2015-03,mop_tsmom,MOP 12M TSMOM,0.0,0.056096177710939665,0.056096177710939665,-0.04245133973635562,0.39848752625133244
30_etf_fx_proxies,2015-03,mop_tsmom,MOP 12M TSMOM,2.0,0.056012341100385,0.056096177710939665,-0.04245133973635584,0.39848752625133244
30_etf_fx_proxies,2015-03,mop_tsmom,MOP 12M TSMOM,10.0,0.055676994658168555,0.056096177710939665,-0.04245133973635562,0.39848752625133244
30_etf_fx_proxies,2015-04,mop_tsmom,MOP 12M TSMOM,0.0,-0.040990632150231354,-0.040990632150231354,-0.04855908029858824,0.32497411215895916
30_etf_fx_proxies,2015-04,mop_tsmom,MOP 12M TSMOM,2.0,-0.04105342041702542,-0.040990632150231354,-0.04855908029858813,0.32497411215895916
30_etf_fx_proxies,2015-04,mop_tsmom,MOP 12M TSMOM,10.0,-0.041304573484201246,-0.040990632150231354,-0.04855908029858813,0.32497411215895916
30_etf_fx_proxies,2015-05,mop_tsmom,MOP 12M TSMOM,0.0,0.03716606463070371,0.03716606463070371,-0.04197087969630153,0.4248945892196726
30_etf_fx_proxies,2015-05,mop_tsmom,MOP 12M TSMOM,2.0,0.03707876332107496,0.03716606463070371,-0.041970879696301644,0.4248945892196726
30_etf_fx_proxies,2015-05,mop_tsmom,MOP 12M TSMOM,10.0,0.036729558082560176,0.03716606463070371,-0.041970879696301755,0.4248945892196726
30_etf_fx_proxies,2015-06,mop_tsmom,MOP 12M TSMOM,0.0,-0.03838554157038254,-0.03838554157038254,-0.04344705071510091,0.8965923114038215
30_etf_fx_proxies,2015-06,mop_tsmom,MOP 12M TSMOM,2.0,-0.038557069174338654,-0.03838554157038254,-0.04344705071510102,0.8965923114038215
30_etf_fx_proxies,2015-06,mop_tsmom,MOP 12M TSMOM,10.0,-0.039243179590162325,-0.03838554157038254,-0.04344705071510113,0.8965923114038215
30_etf_fx_proxies,2015-07,mop_tsmom,MOP 12M TSMOM,0.0,0.10317167630900226,0.10317167630900226,-0.025509052659791864,0.15400171847972005
30_etf_fx_proxies,2015-07,mop_tsmom,MOP 12M TSMOM,2.0,0.1031380549160541,0.10317167630900226,-0.025509052659791753,0.15400171847972005
30_etf_fx_proxies,2015-07,mop_tsmom,MOP 12M TSMOM,10.0,0.1030035693442628,0.10317167630900226,-0.025509052659791642,0.15400171847972005
30_etf_fx_proxies,2015-08,mop_tsmom,MOP 12M TSMOM,0.0,0.01339981126322809,0.01339981126322809,-0.027361964351195978,0.15448450827540855
30_etf_fx_proxies,2015-08,mop_tsmom,MOP 12M TSMOM,2.0,0.013368838672026984,0.01339981126322809,-0.027361964351195978,0.15448450827540855
30_etf_fx_proxies,2015-08,mop_tsmom,MOP 12M TSMOM,10.0,0.013244948307220561,0.01339981126322809,-0.027361964351195978,0.15448450827540855
30_etf_fx_proxies,2015-09,mop_tsmom,MOP 12M TSMOM,0.0,0.02694749999750412,0.02694749999750412,-0.03387419826166793,0.33740933265961764
30_etf_fx_proxies,2015-09,mop_tsmom,MOP 12M TSMOM,2.0,0.026879040617144412,0.02694749999750412,-0.03387419826166771,0.33740933265961764
30_etf_fx_proxies,2015-09,mop_tsmom,MOP 12M TSMOM,10.0,0.026605203095704688,0.02694749999750412,-0.03387419826166771,0.33740933265961764
30_etf_fx_proxies,2015-10,mop_tsmom,MOP 12M TSMOM,0.0,-0.03194534496288104,-0.03194534496288104,-0.06507908806223739,0.5408610126043861
30_etf_fx_proxies,2015-10,mop_tsmom,MOP 12M TSMOM,2.0,-0.0320500348683227,-0.03194534496288104,-0.06507908806223739,0.5408610126043861
30_etf_fx_proxies,2015-10,mop_tsmom,MOP 12M TSMOM,10.0,-0.0324687944900891,-0.03194534496288104,-0.06507908806223739,0.5408610126043861
