ts,close,return,sigma_ann,month,return_12m,forecast_12m,forecast_always_long,symbol,asset_class,surface
2021-01-29 00:00:00+00:00,21.05250358581543,0.0012300418676860492,0.062183342497550434,2021-01,-0.07077619189454631,-1.0,1.0,UUP,currency,30_etf_fx_proxies
2021-02-26 00:00:00+00:00,21.138713836669922,0.007395321420017309,0.060447122821579026,2021-02,-0.0757633488954842,-1.0,1.0,UUP,currency,30_etf_fx_proxies
2021-03-31 00:00:00+00:00,21.655975341796875,-0.0007953881217699355,0.060108078659211375,2021-03,-0.06373451083989701,-1.0,1.0,UUP,currency,30_etf_fx_proxies
2021-04-30 00:00:00+00:00,21.190439224243164,0.008203461229393971,0.05862671759546488,2021-04,-0.08249346817423275,-1.0,1.0,UUP,currency,30_etf_fx_proxies
2021-05-28 00:00:00+00:00,20.880081176757812,0.0008263747290786494,0.0591682796658835,2021-05,-0.08947375556551984,-1.0,1.0,UUP,currency,30_etf_fx_proxies
2021-06-30 00:00:00+00:00,21.405963897705078,0.002827119148699264,0.05826486116198215,2021-06,-0.05661095828183993,-1.0,1.0,UUP,currency,30_etf_fx_proxies
2021-07-30 00:00:00+00:00,21.354238510131836,0.0028339865562321265,0.055354626912198224,2021-07,-0.02017401106308836,-1.0,1.0,UUP,currency,30_etf_fx_proxies
2021-08-31 00:00:00+00:00,21.45768928527832,0.0,0.053297673786832644,2021-08,-0.0004016160960622628,-1.0,1.0,UUP,currency,30_etf_fx_proxies
2021-09-30 00:00:00+00:00,21.81977081298828,-0.0015780344172264815,0.051797710280823944,2021-09,-0.0015780344172264815,-1.0,1.0,UUP,currency,30_etf_fx_proxies
2021-10-29 00:00:00+00:00,21.768047332763672,0.007984136123254437,0.051463450896133786,2021-10,-0.004729935491207593,-1.0,1.0,UUP,currency,30_etf_fx_proxies
2021-11-30 00:00:00+00:00,22.155994415283203,-0.004647414873869771,0.05707462410926693,2021-11,0.03545551051137652,1.0,1.0,UUP,currency,30_etf_fx_proxies
2021-12-31 00:00:00+00:00,22.095643997192383,-0.004273435584177254,0.054115481698965504,2021-12,0.057343150468815995,1.0,1.0,UUP,currency,30_etf_fx_proxies
2022-01-31 00:00:00+00:00,22.302547454833984,-0.00690987001623955,0.058985516217226884,2022-01,0.05937744477387463,1.0,1.0,UUP,currency,30_etf_fx_proxies
2022-02-28 00:00:00+00:00,22.311166763305664,0.001547767864787497,0.057566366034814714,2022-02,0.05546472390396118,1.0,1.0,UUP,currency,30_etf_fx_proxies
2022-03-31 00:00:00+00:00,22.67325210571289,0.004200008177335901,0.06311692512996704,2022-03,0.046974414583518254,1.0,1.0,UUP,currency,30_etf_fx_proxies
2022-04-29 00:00:00+00:00,23.76811981201172,-0.00397400411907578,0.06398762324680761,2022-04,0.12164356578411684,1.0,1.0,UUP,currency,30_etf_fx_proxies
2022-05-31 00:00:00+00:00,23.457761764526367,0.0018409054918757661,0.07204368952963992,2022-05,0.12345165547717518,1.0,1.0,UUP,currency,30_etf_fx_proxies
2022-06-30 00:00:00+00:00,24.104337692260742,-0.003208633337526856,0.07891182292730965,2022-06,0.12605710293872607,1.0,1.0,UUP,currency,30_etf_fx_proxies
2022-07-29 00:00:00+00:00,24.388832092285156,-0.0038732547703262954,0.0831915162966833,2022-07,0.14210731891532968,1.0,1.0,UUP,currency,30_etf_fx_proxies
2022-08-31 00:00:00+00:00,25.09575653076172,-0.0006865179912296515,0.08175731480437008,2022-08,0.16954608658535286,1.0,1.0,UUP,currency,30_etf_fx_proxies
2022-09-30 00:00:00+00:00,25.992338180541992,0.0,0.09340035067320467,2022-09,0.19122874402832757,1.0,1.0,UUP,currency,30_etf_fx_proxies
2022-10-31 00:00:00+00:00,25.888887405395508,0.008394875097286647,0.10146015126327793,2022-10,0.1893068316894666,1.0,1.0,UUP,currency,30_etf_fx_proxies
2022-11-30 00:00:00+00:00,24.664705276489258,-0.007975072738650169,0.1151916562524075,2022-11,0.11322944094423248,1.0,1.0,UUP,currency,30_etf_fx_proxies
2022-12-30 00:00:00+00:00,24.1860408782959,-0.003225880240905754,0.10601489512298021,2022-12,0.09460674155363535,1.0,1.0,UUP,currency,30_etf_fx_proxies
2023-01-31 00:00:00+00:00,23.92513656616211,-0.002176275274401007,0.09995467441406951,2023-01,0.07275353251076422,1.0,1.0,UUP,currency,30_etf_fx_proxies
2023-02-28 00:00:00+00:00,24.716552734375,0.002822835116387701,0.0957041777067714,2023-02,0.10781085528101486,1.0,1.0,UUP,currency,30_etf_fx_proxies
2023-03-31 00:00:00+00:00,24.246919631958008,0.003599574761498081,0.09320525450860381,2023-03,0.06940634360293663,1.0,1.0,UUP,currency,30_etf_fx_proxies
2023-04-28 00:00:00+00:00,24.133861541748047,0.0014435464435484935,0.08546021359266197,2023-04,0.015387911733409032,1.0,1.0,UUP,currency,30_etf_fx_proxies
2023-05-31 00:00:00+00:00,24.881793975830078,0.00175067199450063,0.07800077819168512,2023-05,0.06070622703045703,1.0,1.0,UUP,currency,30_etf_fx_proxies
2023-06-30 00:00:00+00:00,24.681764602661133,-0.004210520159608211,0.07862692058969545,2023-06,0.023955311188068373,1.0,1.0,UUP,currency,30_etf_fx_proxies
2023-07-31 00:00:00+00:00,24.542613983154297,0.0017749093004064687,0.07844790912606957,2023-07,0.006305422510075154,1.0,1.0,UUP,currency,30_etf_fx_proxies
2023-08-31 00:00:00+00:00,25.12530517578125,0.004869532608018146,0.07163661564314437,2023-08,0.001177435913649827,1.0,1.0,UUP,currency,30_etf_fx_proxies
2023-09-29 00:00:00+00:00,25.855846405029297,0.0006732222172189939,0.06641774589370407,2023-09,-0.005251231134522305,-1.0,1.0,UUP,currency,30_etf_fx_proxies
2023-10-31 00:00:00+00:00,26.116750717163086,0.006030067977769615,0.065088791247278,2023-10,0.00880158765417205,1.0,1.0,UUP,currency,30_etf_fx_proxies
2023-11-30 00:00:00+00:00,25.473182678222656,0.00722152293482492,0.07097266364396813,2023-11,0.03277871730760351,1.0,1.0,UUP,currency,30_etf_fx_proxies
2023-12-29 00:00:00+00:00,25.064239501953125,0.0018491799529223307,0.07203345950225964,2023-12,0.036310143858447885,1.0,1.0,UUP,currency,30_etf_fx_proxies
2024-01-31 00:00:00+00:00,25.7489013671875,0.002521557253756468,0.0662089460944724,2024-01,0.0762279787194522,1.0,1.0,UUP,currency,30_etf_fx_proxies
2024-02-29 00:00:00+00:00,25.989459991455078,0.0021405682210233756,0.0628327987729732,2024-02,0.051500193848220466,1.0,1.0,UUP,currency,30_etf_fx_proxies
2024-03-28 00:00:00+00:00,26.24852180480957,0.002827884734639907,0.05963332307058494,2024-03,0.08255078184089837,1.0,1.0,UUP,currency,30_etf_fx_proxies
2024-04-30 00:00:00+00:00,26.81290626525879,0.0062500134212621905,0.060043319731595976,2024-04,0.11100771084131678,1.0,1.0,UUP,currency,30_etf_fx_proxies
2024-05-31 00:00:00+00:00,26.52608871459961,-0.0006971324016965541,0.057388763544128044,2024-05,0.0660842518174849,1.0,1.0,UUP,currency,30_etf_fx_proxies
2024-06-28 00:00:00+00:00,26.951688766479492,0.0,0.0566344899508511,2024-06,0.09196766116040256,1.0,1.0,UUP,currency,30_etf_fx_proxies
2024-07-31 00:00:00+00:00,26.609357833862305,-0.005532491528009276,0.053652226948039644,2024-07,0.08421042078592733,1.0,1.0,UUP,currency,30_etf_fx_proxies
2024-08-30 00:00:00+00:00,26.1560001373291,0.002837916204430524,0.059782286429855114,2024-08,0.04102218676895353,1.0,1.0,UUP,currency,30_etf_fx_proxies
2024-09-30 00:00:00+00:00,26.072729110717773,0.003918770646271552,0.058659774968913336,2024-09,0.008388149522975619,1.0,1.0,UUP,currency,30_etf_fx_proxies
2024-10-31 00:00:00+00:00,27.016454696655273,-0.0006844171596314119,0.05484189031195537,2024-10,0.03444930762006826,1.0,1.0,UUP,currency,30_etf_fx_proxies
2024-11-29 00:00:00+00:00,27.617849349975586,-0.0016721640158963158,0.06879542425464506,2024-11,0.08419311787005057,1.0,1.0,UUP,currency,30_etf_fx_proxies
2024-12-31 00:00:00+00:00,28.448415756225586,0.004438336544380528,0.06625311416621367,2024-12,0.1350201051984341,1.0,1.0,UUP,currency,30_etf_fx_proxies
2025-01-31 00:00:00+00:00,28.535444259643555,0.00408303273956423,0.07004790172225132,2025-01,0.10821987519852083,1.0,1.0,UUP,currency,30_etf_fx_proxies
2025-02-28 00:00:00+00:00,28.41940689086914,0.004442954778288044,0.07105794331858628,2025-02,0.09349739856899641,1.0,1.0,UUP,currency,30_etf_fx_proxies
2025-03-31 00:00:00+00:00,27.59747886657715,0.0010523171837584222,0.07153929521022244,2025-03,0.05139173442979961,1.0,1.0,UUP,currency,30_etf_fx_proxies
2025-04-30 00:00:00+00:00,26.50479507446289,0.0036616363976351707,0.09206359793386143,2025-04,-0.01149115234834186,-1.0,1.0,UUP,currency,30_etf_fx_proxies
2025-05-30 00:00:00+00:00,26.543476104736328,-0.00036404138808665554,0.09227431268998107,2025-05,0.0006554826202911368,1.0,1.0,UUP,currency,30_etf_fx_proxies
2025-06-30 00:00:00+00:00,25.992298126220703,-0.005181397834948531,0.08581274220254534,2025-06,-0.03559667999179361,-1.0,1.0,UUP,currency,30_etf_fx_proxies
2025-07-31 00:00:00+00:00,26.978612899780273,0.0021551429434798486,0.08293969283357366,2025-07,0.01387688753044869,1.0,1.0,UUP,currency,30_etf_fx_proxies
2025-08-29 00:00:00+00:00,26.46611785888672,-0.0007300875428111198,0.08086312925264444,2025-08,0.011856465817761785,1.0,1.0,UUP,currency,30_etf_fx_proxies
2025-09-30 00:00:00+00:00,26.60149383544922,-0.001089309716844622,0.0766381127850062,2025-09,0.020280375041908716,1.0,1.0,UUP,currency,30_etf_fx_proxies
2025-10-31 00:00:00+00:00,27.27837562561035,0.002843946782195239,0.07014759972515347,2025-10,0.009694866772711919,1.0,1.0,UUP,currency,30_etf_fx_proxies
2025-11-28 00:00:00+00:00,27.27837562561035,-0.0007084332271464211,0.06352257727772136,2025-11,-0.01229182330830314,-1.0,1.0,UUP,currency,30_etf_fx_proxies
2025-12-31 00:00:00+00:00,27.030000686645508,-0.0007393179659553883,0.05728213617629858,2025-12,-0.04985919362731739,-1.0,1.0,UUP,currency,30_etf_fx_proxies
2026-01-30 00:00:00+00:00,26.850000381469727,0.009778120623911812,0.0664006570227103,2026-01,-0.05906492510990902,-1.0,1.0,UUP,currency,30_etf_fx_proxies
2026-02-27 00:00:00+00:00,27.079999923706055,-0.0007380242613335142,0.062275570934805694,2026-02,-0.047130011273860295,-1.0,1.0,UUP,currency,30_etf_fx_proxies
2026-03-31 00:00:00+00:00,27.780000686645508,-0.00714792204656467,0.0673602376174895,2026-03,0.006613713555168488,1.0,1.0,UUP,currency,30_etf_fx_proxies
2026-04-30 00:00:00+00:00,27.360000610351562,-0.009054690129426168,0.064883778750957,2026-04,0.03226606859196779,1.0,1.0,UUP,currency,30_etf_fx_proxies
2026-05-29 00:00:00+00:00,27.65999984741211,-0.0014440763330542117,0.0594283310465002,2026-05,0.042063960962390734,1.0,1.0,UUP,currency,30_etf_fx_proxies
2026-06-30 00:00:00+00:00,28.40999984741211,0.0014099050756246623,0.05697326299164767,2026-06,0.09301608151194829,1.0,1.0,UUP,currency,30_etf_fx_proxies
2026-07-31 00:00:00+00:00,28.170000076293945,0.0010661225051959988,0.057666397741862226,2026-07,0.044160431114061316,1.0,1.0,UUP,currency,30_etf_fx_proxies
2005-12-30 00:00:00+00:00,102.56670379638672,-0.0007588915367092719,,2005-12,,,1.0,FXE,currency,30_etf_fx_proxies
2006-01-31 00:00:00+00:00,105.4838638305664,0.005699602658641112,,2006-01,,,1.0,FXE,currency,30_etf_fx_proxies
2006-02-28 00:00:00+00:00,103.59502410888672,0.0063211497122792615,,2006-02,,,1.0,FXE,currency,30_etf_fx_proxies
2006-03-31 00:00:00+00:00,105.52018737792969,-0.0034462481764152564,0.06968079942132678,2006-03,,,1.0,FXE,currency,30_etf_fx_proxies
2006-04-28 00:00:00+00:00,110.1694107055664,0.007961008161691208,0.07587385283529609,2006-04,,,1.0,FXE,currency,30_etf_fx_proxies
2006-05-31 00:00:00+00:00,111.94482421875,-0.003568600364228236,0.08058183652346032,2006-05,,,1.0,FXE,currency,30_etf_fx_proxies
2006-06-30 00:00:00+00:00,111.83129119873047,0.010172396991773969,0.08346156295138374,2006-06,,,1.0,FXE,currency,30_etf_fx_proxies
2006-07-31 00:00:00+00:00,111.90655517578125,0.0020362057410809875,0.08297698996694511,2006-07,,,1.0,FXE,currency,30_etf_fx_proxies
2006-08-31 00:00:00+00:00,112.53469848632812,-0.0017094623322025937,0.07550374933052524,2006-08,,,1.0,FXE,currency,30_etf_fx_proxies
2006-09-29 00:00:00+00:00,111.56380462646484,-0.001571224389510184,0.07041710362801508,2006-09,,,1.0,FXE,currency,30_etf_fx_proxies
2006-10-31 00:00:00+00:00,112.56736755371094,0.0029778478465631864,0.06749031330397841,2006-10,,,1.0,FXE,currency,30_etf_fx_proxies
2006-11-30 00:00:00+00:00,117.05179595947266,0.007206461525109509,0.0680272133107135,2006-11,,,1.0,FXE,currency,30_etf_fx_proxies
2006-12-29 00:00:00+00:00,116.89628601074219,0.004326280794049175,0.06628939713675448,2006-12,0.13970988326584277,1.0,1.0,FXE,currency,30_etf_fx_proxies
2007-01-31 00:00:00+00:00,115.80164337158203,0.005537082640267865,0.063504085981938,2007-01,0.09781381878074336,1.0,1.0,FXE,currency,30_etf_fx_proxies
2007-02-28 00:00:00+00:00,117.77804565429688,-0.0002262821760755651,0.05998923312005627,2007-02,0.1369083280535044,1.0,1.0,FXE,currency,30_etf_fx_proxies
2007-03-30 00:00:00+00:00,119.18314361572266,0.001869497768242967,0.05889302954838452,2007-03,0.12948191788987162,1.0,1.0,FXE,currency,30_etf_fx_proxies
2007-04-30 00:00:00+00:00,122.15251159667969,-0.00021843016029698958,0.05627718554479549,2007-04,0.10876976480466749,1.0,1.0,FXE,currency,30_etf_fx_proxies
2007-05-31 00:00:00+00:00,120.63978576660156,0.001262112819411465,0.05261339132991971,2007-05,0.07767184957886797,1.0,1.0,FXE,currency,30_etf_fx_proxies
2007-06-29 00:00:00+00:00,121.7269058227539,0.006750374763164313,0.05221577840925255,2007-06,0.08848699248619396,1.0,1.0,FXE,currency,30_etf_fx_proxies
2007-07-31 00:00:00+00:00,123.43670654296875,-0.0008003307795088066,0.054108916138631086,2007-07,0.10303374408296362,1.0,1.0,FXE,currency,30_etf_fx_proxies
2007-08-31 00:00:00+00:00,123.23914337158203,0.0001463701231088077,0.05954270664778992,2007-08,0.09512128285085675,1.0,1.0,FXE,currency,30_etf_fx_proxies
2007-09-28 00:00:00+00:00,129.39349365234375,0.007891449220464697,0.060536871539799295,2007-09,0.1598160719381687,1.0,1.0,FXE,currency,30_etf_fx_proxies
2007-10-31 00:00:00+00:00,131.65438842773438,0.0020028206254987246,0.0629285370466341,2007-10,0.16956087087064708,1.0,1.0,FXE,currency,30_etf_fx_proxies
2007-11-30 00:00:00+00:00,133.51663208007812,-0.007439091523591901,0.06672938253961656,2007-11,0.14066282354442605,1.0,1.0,FXE,currency,30_etf_fx_proxies
2007-12-31 00:00:00+00:00,133.5621795654297,-0.008533304819511645,0.0778619520829566,2007-12,0.14256991495141236,1.0,1.0,FXE,currency,30_etf_fx_proxies
2008-01-31 00:00:00+00:00,136.54640197753906,-0.0006026288959661841,0.08203122122476343,2008-01,0.1791404508776413,1.0,1.0,FXE,currency,30_etf_fx_proxies
2008-02-29 00:00:00+00:00,139.71888732910156,-0.001704815413964722,0.0850150916798778,2008-02,0.18628974146171218,1.0,1.0,FXE,currency,30_etf_fx_proxies
2008-03-31 00:00:00+00:00,145.61663818359375,-0.0013245374086849893,0.09342640527565915,2008-03,0.2217888685089524,1.0,1.0,FXE,currency,30_etf_fx_proxies
2008-04-30 00:00:00+00:00,144.42181396484375,0.002882823965912662,0.0953368567757679,2008-04,0.18230736377891543,1.0,1.0,FXE,currency,30_etf_fx_proxies
2008-05-30 00:00:00+00:00,144.39588928222656,0.003729648579555711,0.09469303123535712,2008-05,0.19691765336507872,1.0,1.0,FXE,currency,30_etf_fx_proxies
2008-06-30 00:00:00+00:00,146.43533325195312,-0.0025281906141807475,0.09673611121240244,2008-06,0.20298246523391517,1.0,1.0,FXE,currency,30_etf_fx_proxies
2008-07-31 00:00:00+00:00,145.64077758789062,0.001728124624799765,0.09208079052695431,2008-07,0.17988223816707682,1.0,1.0,FXE,currency,30_etf_fx_proxies
2008-08-29 00:00:00+00:00,137.37579345703125,-0.0013566949752370494,0.09774053429029585,2008-08,0.11470909078640212,1.0,1.0,FXE,currency,30_etf_fx_proxies
2008-09-30 00:00:00+00:00,131.93565368652344,-0.025717615537884764,0.13393264031604674,2008-09,0.0196467377332743,1.0,1.0,FXE,currency,30_etf_fx_proxies
2008-10-31 00:00:00+00:00,119.90055084228516,-0.015041859579519645,0.15819816711574317,2008-10,-0.08927797793767389,-1.0,1.0,FXE,currency,30_etf_fx_proxies
2008-11-28 00:00:00+00:00,119.91468048095703,-0.015232408606832726,0.18354734094053218,2008-11,-0.10187458586405296,-1.0,1.0,FXE,currency,30_etf_fx_proxies
2008-12-31 00:00:00+00:00,131.9857940673828,-0.0077309112442245365,0.19610661453617254,2008-12,-0.01180263382325708,-1.0,1.0,FXE,currency,30_etf_fx_proxies
