DATE,TSMOM,TSMOM^EQ,TSMOM^FX,TSMOM^FI,TSMOM^CM
2002-07-31,0.0550187,0.1872205,-0.05772188,0.1434782,0.01758359
2002-08-30,0.03187973,-0.003711405,-0.007525886,0.123394,0.01917206
2002-09-30,0.06780822,0.1645831,0.05895358,0.1464648,-0.003383316
2002-10-31,-0.03010544,-0.09443042,0.04967951,-0.03599654,-0.0429305
2002-11-29,-0.009441189,-0.05557461,0.04851027,-0.03488044,-0.008397261
2002-12-31,0.09314409,0.09202514,0.04582174,0.1567798,0.08540699
2003-01-31,0.04849254,0.05587216,0.07433649,0.01822102,0.04920027
2003-02-28,0.05079532,0.04146549,0.02470424,0.0976802,0.04194357
2003-03-31,-0.02719371,0.03136093,0.02225526,-0.04763231,-0.06280528
2003-04-30,-0.0001494272,-0.1150901,0.09097836,0.02437772,-0.01589609
2003-05-30,0.06511718,-0.0461306,0.1352076,0.1807193,0.009172066
2003-06-30,-0.0230633,-0.04112108,0.02967745,-0.06670051,-0.01902519
2003-07-31,-0.07249083,-0.06535362,-0.05066958,-0.1783333,-0.02874655
2003-08-29,-0.0197741,-0.03345783,-0.04737314,-0.01751701,-0.002065766
2003-09-30,0.06130287,0.00903503,0.06910278,0.1115982,0.04976005
2003-10-31,0.03641685,0.09848322,0.03129027,-0.1183898,0.09955889
2003-11-28,0.01940366,0.008784672,0.06572128,-0.01482709,0.01876864
2003-12-31,0.07490811,0.07848132,0.09934144,0.03125427,0.08499733
2004-01-30,0.008738525,0.03381566,-0.01352255,0.04550857,-0.009451972
2004-02-27,0.05725404,0.05722961,0.01505112,0.03619514,0.08977157
2004-03-31,0.006039646,-0.04239744,-0.0317081,0.04987212,0.01933484
2004-04-30,-0.0468238,0.02258852,-0.05720736,-0.1178981,-0.02916307
2004-05-31,-0.01475737,-0.002486456,0.01335561,-0.04514807,-0.01695381
2004-06-30,-0.01551307,0.05857643,-0.0151235,-0.01928334,-0.04144918
2004-07-30,-0.007531154,-0.06980121,-0.007705469,-0.001562547,0.01267428
2004-08-31,0.003364326,-0.01802722,0.00933011,0.05772033,-0.02103957
2004-09-30,0.05877925,0.05388083,0.05707097,0.02045131,0.08223125
2004-10-29,0.01245653,0.06519401,-0.02377082,0.0605085,-0.01523451
2004-11-30,0.0537868,0.09185151,0.08055828,0.01595302,0.0466201
2004-12-31,0.009007069,0.1084771,-0.02523397,0.03929166,-0.02757783
2005-01-31,0.02282315,0.03212443,-0.0444903,0.04708704,0.03984894
2005-02-28,-0.01391906,0.08724537,0.05021413,-0.08633206,-0.0446986
2005-03-31,0.004612809,-0.01854387,-0.03997678,0.03224786,0.02062237
2005-04-29,-0.03633559,-0.1464531,-0.03052417,0.02615282,-0.03179514
2005-05-31,0.02442893,0.1500256,-0.04951235,0.1057133,-0.02972822
2005-06-30,0.04934354,0.111853,0.04223993,0.07791992,0.01397543
2005-07-29,0.002599231,0.1369374,-0.002283738,-0.1063916,0.01370057
2005-08-31,0.02267548,0.009773328,-0.01465486,0.06780196,0.02173546
2005-09-30,0.01449398,0.1805543,0.03957578,-0.08164379,-0.008244926
2005-10-31,-0.02403171,-0.1080567,0.02243073,-0.05384916,0.0003975562
2005-11-30,0.03598625,0.1294326,0.03838556,0.001310512,0.01852691
2005-12-30,0.01981767,0.107257,-0.03855669,0.01428626,0.01921128
2006-01-31,0.04002525,0.1305721,-0.03882674,-0.02780681,0.08223854
2006-02-28,-0.003650448,0.04523479,0.02042898,0.02329753,-0.04861894
2006-03-31,0.05117257,0.08841844,0.05102739,-0.04167252,0.08756904
2006-04-28,0.02652166,0.01900466,-0.02815176,-0.03746162,0.09133485
2006-05-31,-0.02830099,-0.1632827,-0.03695055,-0.002286803,0.01255091
2006-06-30,0.002286595,0.02347364,-0.005823502,0.05039353,-0.02766142
2006-07-31,-0.007218381,0.0140818,0.01212566,-0.07919944,0.01411177
2006-08-31,-0.01450737,0.06114139,0.01289942,-0.1184046,-0.0003014224
2006-09-29,0.01403115,0.05399339,-0.01305245,-0.04386014,0.04394489
2006-10-31,0.01685396,0.07641047,0.03358443,0.01840308,-0.01468407
2006-11-30,0.009312551,0.009027984,0.04474302,-0.01467451,0.004697021
2006-12-29,0.03676949,0.09149399,0.04339338,0.0565004,0.002248293
2007-01-31,0.02587023,0.04749035,0.02233692,0.0645211,-0.001406537
2007-02-28,-0.03326187,-0.04562451,-0.03613623,-0.1140356,0.01656375
2007-03-30,0.01947534,0.06508198,0.02403252,0.05235386,-0.01771493
2007-04-30,0.05036888,0.09425817,0.08899699,0.02833902,0.02652918
2007-05-31,0.02119756,0.07875419,-0.02288462,0.04349534,0.009576943
2007-06-29,0.020229,-0.02069224,0.07047391,0.05868243,-0.01037693
2007-07-31,-0.05331217,-0.1145562,-0.03245208,-0.05899575,-0.03769712
2007-08-31,-0.02153486,-0.0261484,-0.07557295,-0.00626428,-0.001057303
2007-09-28,0.04221189,0.03659241,0.08580542,0.03715979,0.02525898
2007-10-31,0.05052639,0.04992608,0.08253375,0.007913492,0.05782982
2007-11-30,-0.02213934,-0.06729892,-0.08012708,0.02226386,-0.0002623756
2007-12-31,0.02802753,-0.004902703,0.02407017,0.03526516,0.03843466
2008-01-31,-0.02936993,-0.1640286,-0.01712913,-0.02386676,0.01202579
2008-02-29,0.09576906,0.02362772,0.03933112,0.06883875,0.1656283
2008-03-31,-0.02811286,0.04674741,0.01135547,-0.008074416,-0.08677378
2008-04-30,-0.02305724,-0.09783171,0.007142909,-0.08753544,0.0248088
2008-05-30,0.001242357,-0.01861743,0.01648429,-0.06082366,0.0346879
2008-06-30,0.07977435,0.1793439,0.03187464,0.05254181,0.08113658
2008-07-31,-0.0356333,0.04846651,-0.01880683,-0.004246303,-0.09258525
2008-08-29,-0.03575891,-0.01945125,-0.07099443,-0.0003441967,-0.04343948
2008-09-30,-0.01518792,0.2022532,-0.09837931,0.001235532,-0.0640287
2008-10-31,0.09050913,0.2069284,0.2037978,0.0473769,0.01357083
2008-11-28,0.07989321,0.03718009,0.04437114,0.206049,0.04533729
2008-12-31,0.0611423,-0.005983486,0.09487141,0.1309533,0.03163561
2009-01-30,0.002281739,0.05450856,0.002728441,-0.06904227,0.02110717
2009-02-27,0.02665896,0.07955562,-0.003170723,0.01484727,0.02813556
2009-03-31,-0.02267198,-0.04512898,-0.05847652,0.04945311,-0.0354161
2009-04-30,-0.04475007,-0.1169519,-0.0264873,-0.04966279,-0.0241447
2009-05-29,-0.07389504,-0.05283152,-0.0686187,-0.07860477,-0.08188091
2009-06-30,0.01499767,0.001887279,-0.003256974,0.01247246,0.03040921
2009-07-31,-0.03405724,-0.1101269,-0.04520598,0.01735576,-0.02780545
2009-08-31,0.02057605,-0.07161292,0.02401504,0.04977197,0.03761296
2009-09-30,0.00804838,-0.03848114,0.02309198,0.04308078,-0.001000733
2009-10-30,-0.01997052,-0.003406962,-0.003771067,-0.01490927,-0.03702309
2009-11-30,0.04579606,0.05752599,0.02911759,0.07867288,0.03192828
2009-12-31,-0.01696685,0.06104244,-0.03777016,-0.09996179,0.009136912
