source,scope,year,factor,label,return
updated,updated_reconstruction_1985_2009,1993,TSMOM,Diversified,0.34403133458197965
updated,updated_reconstruction_1985_2009,1993,TSMOM^EQ,Equity indices,0.03376747271384706
updated,updated_reconstruction_1985_2009,1993,TSMOM^FX,Currencies,0.20075823951340865
updated,updated_reconstruction_1985_2009,1993,TSMOM^FI,Fixed income,1.302357949794366
updated,updated_reconstruction_1985_2009,1993,TSMOM^CM,Commodities,0.2429709066007244
updated,updated_reconstruction_1985_2009,1994,TSMOM,Diversified,-0.033485553173578264
updated,updated_reconstruction_1985_2009,1994,TSMOM^EQ,Equity indices,-0.2417896112007506
updated,updated_reconstruction_1985_2009,1994,TSMOM^FX,Currencies,0.07865595992658103
updated,updated_reconstruction_1985_2009,1994,TSMOM^FI,Fixed income,-0.4274899569244628
updated,updated_reconstruction_1985_2009,1994,TSMOM^CM,Commodities,0.1822977130095993
updated,updated_reconstruction_1985_2009,1995,TSMOM,Diversified,0.13841051314472863
updated,updated_reconstruction_1985_2009,1995,TSMOM^EQ,Equity indices,0.05803539779748079
updated,updated_reconstruction_1985_2009,1995,TSMOM^FX,Currencies,0.1960820279200184
updated,updated_reconstruction_1985_2009,1995,TSMOM^FI,Fixed income,0.24101492393815493
updated,updated_reconstruction_1985_2009,1995,TSMOM^CM,Commodities,0.07120464619677591
updated,updated_reconstruction_1985_2009,1996,TSMOM,Diversified,0.272189030626087
updated,updated_reconstruction_1985_2009,1996,TSMOM^EQ,Equity indices,0.40506861516024717
updated,updated_reconstruction_1985_2009,1996,TSMOM^FX,Currencies,0.38037998870309075
updated,updated_reconstruction_1985_2009,1996,TSMOM^FI,Fixed income,-0.002387660437430106
updated,updated_reconstruction_1985_2009,1996,TSMOM^CM,Commodities,0.26428685978749455
updated,updated_reconstruction_1985_2009,1997,TSMOM,Diversified,0.26594469305427326
updated,updated_reconstruction_1985_2009,1997,TSMOM^EQ,Equity indices,0.745728548988182
updated,updated_reconstruction_1985_2009,1997,TSMOM^FX,Currencies,0.10902448690445499
updated,updated_reconstruction_1985_2009,1997,TSMOM^FI,Fixed income,0.6989722546002375
updated,updated_reconstruction_1985_2009,1997,TSMOM^CM,Commodities,0.012062005830651756
updated,updated_reconstruction_1985_2009,1998,TSMOM,Diversified,0.4092763789682723
updated,updated_reconstruction_1985_2009,1998,TSMOM^EQ,Equity indices,0.2157408959611593
updated,updated_reconstruction_1985_2009,1998,TSMOM^FX,Currencies,0.07133231069390522
updated,updated_reconstruction_1985_2009,1998,TSMOM^FI,Fixed income,0.778714926605911
updated,updated_reconstruction_1985_2009,1998,TSMOM^CM,Commodities,0.44643061417270835
updated,updated_reconstruction_1985_2009,1999,TSMOM,Diversified,0.04309774851968129
updated,updated_reconstruction_1985_2009,1999,TSMOM^EQ,Equity indices,0.32907000696527167
updated,updated_reconstruction_1985_2009,1999,TSMOM^FX,Currencies,-0.030553140392792444
updated,updated_reconstruction_1985_2009,1999,TSMOM^FI,Fixed income,-0.15648045553810463
updated,updated_reconstruction_1985_2009,1999,TSMOM^CM,Commodities,0.05672127600592569
updated,updated_reconstruction_1985_2009,2000,TSMOM,Diversified,0.11353701442419961
updated,updated_reconstruction_1985_2009,2000,TSMOM^EQ,Equity indices,-0.12547324559326045
updated,updated_reconstruction_1985_2009,2000,TSMOM^FX,Currencies,-0.014372855025218123
updated,updated_reconstruction_1985_2009,2000,TSMOM^FI,Fixed income,0.12413461383830016
updated,updated_reconstruction_1985_2009,2000,TSMOM^CM,Commodities,0.23748262048552293
updated,updated_reconstruction_1985_2009,2001,TSMOM,Diversified,0.17892248225839258
updated,updated_reconstruction_1985_2009,2001,TSMOM^EQ,Equity indices,0.3011987945942074
updated,updated_reconstruction_1985_2009,2001,TSMOM^FX,Currencies,0.2157396854989646
updated,updated_reconstruction_1985_2009,2001,TSMOM^FI,Fixed income,0.06819546781891184
updated,updated_reconstruction_1985_2009,2001,TSMOM^CM,Commodities,0.1400403743418248
updated,updated_reconstruction_1985_2009,2002,TSMOM,Diversified,0.29202844515929915
updated,updated_reconstruction_1985_2009,2002,TSMOM^EQ,Equity indices,0.6083902344970991
updated,updated_reconstruction_1985_2009,2002,TSMOM^FX,Currencies,0.24381159069714187
updated,updated_reconstruction_1985_2009,2002,TSMOM^FI,Fixed income,0.6909587345322237
updated,updated_reconstruction_1985_2009,2002,TSMOM^CM,Commodities,0.017281556357059635
updated,updated_reconstruction_1985_2009,2003,TSMOM,Diversified,0.23828693349981744
updated,updated_reconstruction_1985_2009,2003,TSMOM^EQ,Equity indices,-0.0001535584065611717
updated,updated_reconstruction_1985_2009,2003,TSMOM^FX,Currencies,0.6729942411868701
updated,updated_reconstruction_1985_2009,2003,TSMOM^FI,Fixed income,-0.033159390244350884
updated,updated_reconstruction_1985_2009,2003,TSMOM^CM,Commodities,0.27425166705337767
updated,updated_reconstruction_1985_2009,2004,TSMOM,Diversified,0.12937507862684083
updated,updated_reconstruction_1985_2009,2004,TSMOM^EQ,Equity indices,0.40029514035003033
updated,updated_reconstruction_1985_2009,2004,TSMOM^FX,Currencies,-0.0018330614204293827
updated,updated_reconstruction_1985_2009,2004,TSMOM^FI,Fixed income,0.13321076774643137
updated,updated_reconstruction_1985_2009,2004,TSMOM^CM,Commodities,0.08795335192300602
updated,updated_reconstruction_1985_2009,2005,TSMOM,Diversified,0.15600660803519362
updated,updated_reconstruction_1985_2009,2005,TSMOM^EQ,Equity indices,0.8129263654344352
updated,updated_reconstruction_1985_2009,2005,TSMOM^FX,Currencies,-0.03378838499365433
updated,updated_reconstruction_1985_2009,2005,TSMOM^FI,Fixed income,0.017484544719257533
updated,updated_reconstruction_1985_2009,2005,TSMOM^CM,Commodities,0.09989552145601821
updated,updated_reconstruction_1985_2009,2006,TSMOM,Diversified,0.118363342912434
updated,updated_reconstruction_1985_2009,2006,TSMOM^EQ,Equity indices,0.5047436725338412
updated,updated_reconstruction_1985_2009,2006,TSMOM^FX,Currencies,0.09130273545619927
updated,updated_reconstruction_1985_2009,2006,TSMOM^FI,Fixed income,-0.2080930592561674
updated,updated_reconstruction_1985_2009,2006,TSMOM^CM,Commodities,0.18708561067348084
updated,updated_reconstruction_1985_2009,2007,TSMOM,Diversified,0.13669258780280646
updated,updated_reconstruction_1985_2009,2007,TSMOM^EQ,Equity indices,0.0717323428299419
updated,updated_reconstruction_1985_2009,2007,TSMOM^FX,Currencies,0.13448605981679318
updated,updated_reconstruction_1985_2009,2007,TSMOM^FI,Fixed income,0.16587252619201553
updated,updated_reconstruction_1985_2009,2007,TSMOM^CM,Commodities,0.13079510245721448
updated,updated_reconstruction_1985_2009,2008,TSMOM,Diversified,0.24636582908415194
updated,updated_reconstruction_1985_2009,2008,TSMOM^EQ,Equity indices,0.43610910746481
updated,updated_reconstruction_1985_2009,2008,TSMOM^FX,Currencies,0.23426991633369365
updated,updated_reconstruction_1985_2009,2008,TSMOM^FI,Fixed income,0.32578281575730905
updated,updated_reconstruction_1985_2009,2008,TSMOM^CM,Commodities,0.09396091151131225
updated,updated_reconstruction_1985_2009,2009,TSMOM,Diversified,-0.09911852998502013
updated,updated_reconstruction_1985_2009,2009,TSMOM^EQ,Equity indices,-0.18952858795277838
updated,updated_reconstruction_1985_2009,2009,TSMOM^FX,Currencies,-0.17079140338331744
updated,updated_reconstruction_1985_2009,2009,TSMOM^FI,Fixed income,-0.06113270031659368
updated,updated_reconstruction_1985_2009,2009,TSMOM^CM,Commodities,-0.059597458932107106
updated,updated_post_paper_2010_latest,2010,TSMOM,Diversified,0.12583655101177338
updated,updated_post_paper_2010_latest,2010,TSMOM^EQ,Equity indices,-0.0495312949409743
updated,updated_post_paper_2010_latest,2010,TSMOM^FX,Currencies,0.13750319723593551
updated,updated_post_paper_2010_latest,2010,TSMOM^FI,Fixed income,0.2453598455894459
updated,updated_post_paper_2010_latest,2010,TSMOM^CM,Commodities,0.08899063386988737
updated,updated_post_paper_2010_latest,2011,TSMOM,Diversified,-0.0009238971565479481
updated,updated_post_paper_2010_latest,2011,TSMOM^EQ,Equity indices,-0.23811449447848088
updated,updated_post_paper_2010_latest,2011,TSMOM^FX,Currencies,-0.15237581072584572
updated,updated_post_paper_2010_latest,2011,TSMOM^FI,Fixed income,0.5729935193539999
updated,updated_post_paper_2010_latest,2011,TSMOM^CM,Commodities,-0.10061688393642576
updated,updated_post_paper_2010_latest,2012,TSMOM,Diversified,-0.0015790133451156763
updated,updated_post_paper_2010_latest,2012,TSMOM^EQ,Equity indices,-6.488945146532199e-05
updated,updated_post_paper_2010_latest,2012,TSMOM^FX,Currencies,0.061354404293123554
updated,updated_post_paper_2010_latest,2012,TSMOM^FI,Fixed income,0.2222520226083886
updated,updated_post_paper_2010_latest,2012,TSMOM^CM,Commodities,-0.14417582202887358
updated,updated_post_paper_2010_latest,2013,TSMOM,Diversified,0.1823515002486349
updated,updated_post_paper_2010_latest,2013,TSMOM^EQ,Equity indices,0.7558509526879638
updated,updated_post_paper_2010_latest,2013,TSMOM^FX,Currencies,0.04032790053966906
updated,updated_post_paper_2010_latest,2013,TSMOM^FI,Fixed income,-0.09598176703329542
updated,updated_post_paper_2010_latest,2013,TSMOM^CM,Commodities,0.20636963453061186
updated,updated_post_paper_2010_latest,2014,TSMOM,Diversified,0.19086119975136095
updated,updated_post_paper_2010_latest,2014,TSMOM^EQ,Equity indices,0.07781582467263903
updated,updated_post_paper_2010_latest,2014,TSMOM^FX,Currencies,0.24044389605438887
