surface,year,strategy,label,cost_bps_one_way,net_return,gross_return,max_drawdown,turnover
24_yahoo_continuous_futures,2024,always_long,Always-long control,2.0,-0.004826027460903548,-0.00423340734561517,-0.16997140438036196,2.96367548757577
24_yahoo_continuous_futures,2025,always_long,Always-long control,0.0,0.3540011943589876,0.3540011943589876,-0.09489019820842381,3.6007405617772745
24_yahoo_continuous_futures,2025,always_long,Always-long control,2.0,0.3530246264099386,0.3540011943589876,-0.09489019820842393,3.6007405617772745
24_yahoo_continuous_futures,2026,always_long,Always-long control,0.0,0.05180115647637029,0.05180115647637029,-0.12016517715936004,2.5128725293255085
24_yahoo_continuous_futures,2026,always_long,Always-long control,2.0,0.05126967466091181,0.05180115647637029,-0.1201850208582873,2.5128725293255085
30_etf_fx_proxies,2013,mop_tsmom,MOP 12M TSMOM,0.0,0.2575015055189367,0.2575015055189367,-0.08771543323918218,17.15304344845562
30_etf_fx_proxies,2013,mop_tsmom,MOP 12M TSMOM,2.0,0.25322573686409733,0.2575015055189367,-0.08830522579859756,17.15304344845562
30_etf_fx_proxies,2013,mop_tsmom,MOP 12M TSMOM,10.0,0.23624890707280688,0.2575015055189367,-0.0906643960362592,17.15304344845562
30_etf_fx_proxies,2014,mop_tsmom,MOP 12M TSMOM,0.0,-0.01627988480790943,-0.01627988480790943,-0.18447826407591017,17.127358691030757
30_etf_fx_proxies,2014,mop_tsmom,MOP 12M TSMOM,2.0,-0.019669902675773843,-0.01627988480790943,-0.1868265128811889,17.127358691030757
30_etf_fx_proxies,2014,mop_tsmom,MOP 12M TSMOM,10.0,-0.033125567968572356,-0.01627988480790943,-0.19616111414194737,17.127358691030757
30_etf_fx_proxies,2015,mop_tsmom,MOP 12M TSMOM,0.0,0.2421326910647179,0.2421326910647179,-0.08206830203739679,6.3185432138486375
30_etf_fx_proxies,2015,mop_tsmom,MOP 12M TSMOM,2.0,0.24056918311018993,0.2421326910647179,-0.0822056608113354,6.3185432138486375
30_etf_fx_proxies,2015,mop_tsmom,MOP 12M TSMOM,10.0,0.23433256277875114,0.2421326910647179,-0.08275499473319525,6.3185432138486375
30_etf_fx_proxies,2016,mop_tsmom,MOP 12M TSMOM,0.0,-0.1507041514968348,-0.1507041514968348,-0.21907821805458938,10.316141991490785
30_etf_fx_proxies,2016,mop_tsmom,MOP 12M TSMOM,2.0,-0.15245662079484124,-0.1507041514968348,-0.22062231177313063,10.316141991490785
30_etf_fx_proxies,2016,mop_tsmom,MOP 12M TSMOM,10.0,-0.15943408246520596,-0.1507041514968348,-0.22677153535388817,10.316141991490785
30_etf_fx_proxies,2017,mop_tsmom,MOP 12M TSMOM,0.0,0.21133846585104799,0.21133846585104799,-0.04733128639621076,25.343720135433525
30_etf_fx_proxies,2017,mop_tsmom,MOP 12M TSMOM,2.0,0.20523714970894913,0.21133846585104799,-0.049398770539465287,25.343720135433525
30_etf_fx_proxies,2017,mop_tsmom,MOP 12M TSMOM,10.0,0.1811036263274859,0.21133846585104799,-0.05774616943779054,25.343720135433525
30_etf_fx_proxies,2018,mop_tsmom,MOP 12M TSMOM,0.0,-0.13748799171794057,-0.13748799171794057,-0.25027381806242033,21.586282976216797
30_etf_fx_proxies,2018,mop_tsmom,MOP 12M TSMOM,2.0,-0.14124827179286215,-0.13748799171794057,-0.25347369736270065,21.586282976216797
30_etf_fx_proxies,2018,mop_tsmom,MOP 12M TSMOM,10.0,-0.15615174756308814,-0.13748799171794057,-0.26615940528707427,21.586282976216797
30_etf_fx_proxies,2019,mop_tsmom,MOP 12M TSMOM,0.0,0.05601427334356868,0.05601427334356868,-0.10375635898719282,15.842753596165709
30_etf_fx_proxies,2019,mop_tsmom,MOP 12M TSMOM,2.0,0.05268269575310125,0.05601427334356868,-0.10403525775084721,15.842753596165709
30_etf_fx_proxies,2019,mop_tsmom,MOP 12M TSMOM,10.0,0.039449210504286736,0.05601427334356868,-0.10626984731026545,15.842753596165709
30_etf_fx_proxies,2020,mop_tsmom,MOP 12M TSMOM,0.0,0.0794579233743733,0.0794579233743733,-0.1516658420830771,16.89218528614373
30_etf_fx_proxies,2020,mop_tsmom,MOP 12M TSMOM,2.0,0.07583339124675903,0.0794579233743733,-0.15327713023238254,16.89218528614373
30_etf_fx_proxies,2020,mop_tsmom,MOP 12M TSMOM,10.0,0.061443668354386194,0.0794579233743733,-0.15969709126058618,16.89218528614373
30_etf_fx_proxies,2021,mop_tsmom,MOP 12M TSMOM,0.0,0.09281655457364724,0.09281655457364724,-0.12246691865701531,36.486546673744996
30_etf_fx_proxies,2021,mop_tsmom,MOP 12M TSMOM,2.0,0.08490833422335564,0.09281655457364724,-0.12351065439676923,36.486546673744996
30_etf_fx_proxies,2021,mop_tsmom,MOP 12M TSMOM,10.0,0.05376897554976434,0.09281655457364724,-0.12768559735578555,36.486546673744996
30_etf_fx_proxies,2022,mop_tsmom,MOP 12M TSMOM,0.0,0.19401173651356118,0.19401173651356118,-0.1895807559561209,8.148534553789755
30_etf_fx_proxies,2022,mop_tsmom,MOP 12M TSMOM,2.0,0.19207247227904967,0.19401173651356118,-0.18966756865409062,8.148534553789755
30_etf_fx_proxies,2022,mop_tsmom,MOP 12M TSMOM,10.0,0.18434293559760517,0.19401173651356118,-0.19001478348244571,8.148534553789755
30_etf_fx_proxies,2023,mop_tsmom,MOP 12M TSMOM,0.0,-0.0857554837768928,-0.0857554837768928,-0.17681206087249024,16.98130408228688
30_etf_fx_proxies,2023,mop_tsmom,MOP 12M TSMOM,2.0,-0.08886593097143058,-0.0857554837768928,-0.17909988414058287,16.98130408228688
30_etf_fx_proxies,2023,mop_tsmom,MOP 12M TSMOM,10.0,-0.1012123544657122,-0.0857554837768928,-0.18819566679085187,16.98130408228688
