strategy,symbol,asset_class,gross_contribution,net_contribution_2bps,turnover,average_abs_position,surface
always_long,ZW=F,commodity,0.016304295587156736,0.016263832605050803,0.20231491052965633,0.05292394639532001,24_yahoo_continuous_futures
mop_tsmom,6A=F,fx,-0.006141687868276408,-0.006887474317940857,3.7289322483222618,0.1655328591603566,24_yahoo_continuous_futures
mop_tsmom,6B=F,fx,0.003441346270653484,0.0025484240217205807,4.4646112446645105,0.21118790330006781,24_yahoo_continuous_futures
mop_tsmom,6C=F,fx,-0.015600032831947424,-0.017319390606889834,8.59678887471205,0.28257350235715434,24_yahoo_continuous_futures
mop_tsmom,6E=F,fx,-0.027739478619595533,-0.029031055230801517,6.457883056029907,0.2226496702750507,24_yahoo_continuous_futures
mop_tsmom,6J=F,fx,0.04130398265357271,0.04079963060999282,2.521760217899476,0.16555869328526146,24_yahoo_continuous_futures
mop_tsmom,6S=F,fx,-0.031884269670371064,-0.03301190836606771,5.638193478483231,0.1966767581243857,24_yahoo_continuous_futures
mop_tsmom,BZ=F,commodity,-0.03663464910456903,-0.0368054628234136,0.8540685942228365,0.05043486773938548,24_yahoo_continuous_futures
mop_tsmom,ES=F,equity_index,0.048799370652703296,0.04864546472323503,0.7695296473413833,0.10537595990241655,24_yahoo_continuous_futures
mop_tsmom,GC=F,commodity,0.05619966347528268,0.05581215576534237,1.9375385497015476,0.103583699096577,24_yahoo_continuous_futures
mop_tsmom,HG=F,commodity,0.01832887701293883,0.018109700417879383,1.0958829752972452,0.06522973699066435,24_yahoo_continuous_futures
mop_tsmom,NG=F,commodity,0.006028754550401526,0.005974283077711148,0.2723573634518844,0.020317735919626108,24_yahoo_continuous_futures
mop_tsmom,NKD=F,equity_index,0.04257357442403862,0.04224157479636297,1.6599981383782365,0.08370733512155125,24_yahoo_continuous_futures
mop_tsmom,NQ=F,equity_index,0.044213801452764656,0.044100162274053646,0.5681958935550593,0.07762260531139988,24_yahoo_continuous_futures
mop_tsmom,RTY=F,equity_index,-0.025232956002118275,-0.02551833385217899,1.4268892503036,0.07453821521973031,24_yahoo_continuous_futures
mop_tsmom,SI=F,commodity,0.044023796073457896,0.04380088103881255,1.1145751732267384,0.05292714451942991,24_yahoo_continuous_futures
mop_tsmom,UB=F,bond,0.033695216729873176,0.0334551074754383,1.2005462721743925,0.11698845499723767,24_yahoo_continuous_futures
mop_tsmom,YM=F,equity_index,0.035582222210177566,0.03535523298656094,1.1349461180831635,0.1181334076903385,24_yahoo_continuous_futures
mop_tsmom,ZB=F,bond,0.019469616017527332,0.018991260284019526,2.3917786675390293,0.1502998937222741,24_yahoo_continuous_futures
mop_tsmom,ZC=F,commodity,-0.0019588947312892567,-0.002377832969338107,2.0946911902442844,0.06953173848538098,24_yahoo_continuous_futures
mop_tsmom,ZF=F,bond,0.039522657924924265,0.037870715215002765,8.259713549607488,0.39928899367308074,24_yahoo_continuous_futures
mop_tsmom,ZN=F,bond,0.021520625231129194,0.020436293532344416,5.421658493923894,0.27469297610511917,24_yahoo_continuous_futures
mop_tsmom,ZS=F,commodity,0.03479672011663665,0.034585823366267414,1.0544837518461538,0.083777067079665,24_yahoo_continuous_futures
mop_tsmom,ZT=F,bond,0.0669865174112786,0.06301502808920416,19.85744661037221,0.9191479096456069,24_yahoo_continuous_futures
