year,strategy,asset_class,gross_contribution,net_contribution_2bps,turnover
2025,composite,equity_index,0.050228106157074945,0.049791750660196775,2.181777484390879
2025,composite,fx,0.023123092335739268,0.021869590711398178,6.267508121705428
2025,long_only,bond,0.029500592781274943,0.02918387815180584,1.5835731473455272
2025,long_only,commodity,0.0485314718380298,0.04847919738834903,0.26137224840384216
2025,long_only,equity_index,0.03796998347304763,0.037882054675541905,0.4396439875286271
2025,long_only,fx,0.05189105364858267,0.05172511316606732,0.8297024125767546
2025,tsmom_12m,bond,-0.021943157040923228,-0.024489175579595335,12.73009269336053
2025,tsmom_12m,commodity,0.051680634875295575,0.051478492773204675,1.0107105104545195
2025,tsmom_12m,equity_index,0.02383939459595499,0.02364078383711262,0.993053794211832
2025,tsmom_12m,fx,0.004934337653379335,0.004283565110327824,3.2538627152575734
2025,tsmom_1m,bond,-0.02035147327657199,-0.025090779276477057,23.696529999525335
2025,tsmom_1m,commodity,0.015877323483117246,0.015347914492124803,2.647044954962209
2025,tsmom_1m,equity_index,0.05373653500043098,0.05311432180283541,3.1110659879778466
2025,tsmom_1m,fx,0.029793861559012084,0.027967686666239763,9.130874463861618
2025,tsmom_3m,bond,-0.024575006065560442,-0.026687788332534847,10.563911334872023
2025,tsmom_3m,commodity,0.0004189869122342004,2.588084146895966e-05,1.9655303538261972
2025,tsmom_3m,equity_index,0.04802578147314569,0.04769430912631365,1.6573617341602078
2025,tsmom_3m,fx,0.019581502849598663,0.018578509867763552,5.0149649091755455
2026,composite,bond,-0.017595008749687446,-0.019390149930549067,8.9757059043081
2026,composite,commodity,0.0018169586899544972,0.0016445093924331712,0.8622464876066276
2026,composite,equity_index,0.017472939784906508,0.01723068326911743,1.2112825789453825
2026,composite,fx,-0.0009133249013324039,-0.0017878107816745822,4.37242940171089
2026,long_only,bond,-0.04545674199827321,-0.045599411912261266,0.7133495699402999
2026,long_only,commodity,0.033330228330318123,0.03330821723281309,0.11005548752516642
2026,long_only,equity_index,0.038322585723592734,0.03830616355578058,0.08211083906077801
2026,long_only,fx,-0.00225153445532423,-0.0022999968027736994,0.2423117372473478
2026,tsmom_12m,bond,0.016177725183301555,0.015425229976147179,3.7624760357718725
2026,tsmom_12m,commodity,-0.010553579366863523,-0.010663411599537103,0.5491611633679049
2026,tsmom_12m,equity_index,0.042330025279127007,0.042312855382606734,0.0858494826013465
2026,tsmom_12m,fx,0.0026607136415413724,0.002278961842658746,1.9087589944131291
2026,tsmom_1m,bond,-0.03749163102382236,-0.039716323357659775,11.123461669187067
2026,tsmom_1m,commodity,0.008961728683478708,0.008760442352860985,1.0064316530886137
2026,tsmom_1m,equity_index,-0.010834633699130855,-0.011242621163529547,2.039937321993453
2026,tsmom_1m,fx,-0.0023032994160096434,-0.0033669384669665643,5.318195254784603
2026,tsmom_3m,bond,-0.010917581829886752,-0.012362794440290663,7.226063052019557
2026,tsmom_3m,commodity,-0.0002867802517221554,-0.00047089866716037705,0.9205920771911096
2026,tsmom_3m,equity_index,0.007333970816452523,0.007146234782098413,0.9386801717705572
2026,tsmom_3m,fx,-0.0062664384996616125,-0.007047225619884065,3.9039356011122672
