variant,rebalance,lookback_month,eligible,status,longs,shorts,long_formation,short_formation,long_hold,short_hold,spread_hold,min_adv,median_adv
all_listed_momentum,2023-08-01,2023-07,194,traded,"STMX,XRP,MKR","COMBO,CRV,MAV",0.5119821023533656,-0.2556492119437504,-0.18662287977089995,-0.22968326451706786,0.04306038474616791,8424953.123374667,183250386.49102867
all_listed_momentum,2023-09-01,2023-08,199,traded,"UNFI,BLZ,LPT","WLD,COMP,GMX",1.0169604515342083,-0.4154228872355916,0.003274460461741069,0.2565495870771403,-0.25327512661539925,16564461.130446667,174855873.23449332
all_listed_momentum,2023-10-01,2023-09,205,traded,"TRB,LEVER,STORJ","CYBER,GALA,LPT",1.4229507395370742,-0.2832010117301294,0.23871583022271958,0.28330105730278116,-0.044585227080061574,60487023.812213354,158747886.93769482
all_listed_momentum,2023-11-01,2023-10,210,traded,"TRB,BLZ,ARK","LEVER,AMB,HFT",1.0306480138104028,-0.29975352955750195,-0.13195203624431373,0.07429752274298033,-0.20624955898729408,11479049.905336669,129980529.91385847
all_listed_momentum,2023-12-01,2023-11,222,traded,"RUNE,SEI,BLUR","TRB,TOMO,POLYX",1.1389041063060554,-0.2597956843913078,0.36079448299074474,0.4822000759797727,-0.12140559298902798,27891414.759126667,206097507.14168
all_listed_momentum,2024-01-01,2023-12,243,traded,"ORDI,1000BONK,ICP","UNFI,USTC,RUNE",2.3886926861110807,-0.30954724538396133,-0.19294739530302363,-0.19368539037172453,0.0007379950687008974,55941904.304646656,211618545.9517815
all_listed_momentum,2024-02-01,2024-01,250,traded,"PENDLE,UMA,PEOPLE","NFP,TRB,WLD",1.0492059315005722,-0.39713356134778904,0.32239918950944607,0.8652964509073425,-0.5428972613978964,74949404.91832499,260002235.71196836
all_listed_momentum,2024-03-01,2024-02,257,traded,"JASMY,ARKM,COTI","XMR,MANTA,ASTR",2.943605528256708,-0.12832709798435807,0.07001202989645716,-0.016415053680318332,0.08642708357677549,35195610.40516467,179425677.39224815
all_listed_momentum,2024-04-01,2024-03,266,traded,"WIF,1000FLOKI,TOKEN","CTSI,USTC,KAS",3.9103992164658763,-0.19654045212654314,-0.42967894967076886,-0.33361893425107664,-0.09606001541969222,23914143.94584333,94401050.862659
all_listed_momentum,2024-05-01,2024-04,275,traded,"BNX,HIGH,ONG","1000RATS,MYRO,PORTAL",0.5293508825136183,-0.607875992941349,0.3074124158341292,0.42775928843419114,-0.12034687260006194,39013586.359666675,91227167.30397083
all_listed_momentum,2024-06-01,2024-05,273,traded,"PEOPLE,1000PEPE,TRB","AEVO,ONG,BLZ",1.7525485768981595,-0.28104605701030355,-0.07682308280021773,-0.24118966455519544,0.1643665817549777,28856378.706201334,401951773.8234709
all_listed_momentum,2024-07-01,2024-06,277,traded,"KAS,NOT,TON","HIGH,XEM,OMG",0.27947197187565087,-0.6143331712998156,-0.05274310647110362,0.01323491117633883,-0.06597801764744245,19241185.44455666,101672170.040563
all_listed_momentum,2024-08-01,2024-07,280,traded,"STMX,BNX,ZEC","ZETA,ETHFI,STRK",0.671625472824248,-0.3484652909988742,-0.12863785833549732,-0.23008328699455508,0.10144542865905776,11479247.84705,96610827.06843084
all_listed_momentum,2024-09-01,2024-08,281,traded,"TRX,AAVE,FRONT","MYRO,REEF,ENA",0.19456207849219828,-0.4445859983340576,0.09885812802854377,2.3516815108707063,-2.2528233828421627,18365833.54949,80764343.92027666
all_listed_momentum,2024-10-01,2024-09,294,traded,"REEF,SUI,SAGA","SUN,DOGS,BOND",2.865274718387335,-0.38105927309138127,-0.2956293043844231,-0.12003773349497256,-0.17559157088945054,20450483.620976668,306783002.06597394
all_listed_momentum,2024-11-01,2024-10,312,traded,"POPCAT,MEW,TURBO","REEF,HMSTR,UNFI",0.5647759741108098,-0.5568282240750903,-0.0538618483978364,0.23278170522707797,-0.2866435536249144,82119868.78532332,283224250.1756699
all_listed_momentum,2024-12-01,2024-11,321,traded,"XLM,ALGO,XRP","KEY,POPCAT,BTCDOM",3.4666371220100367,-0.1635041245699265,-0.1822243644761893,-0.13215570405652252,-0.05006866041966679,12841507.583156668,243605102.8808281
all_listed_momentum,2025-01-01,2024-12,343,traded,"MORPHO,UXLINK,COW","CHILLGUY,BAN,BLZ",1.20276439644138,-0.6090966078035666,-0.2994807056282032,-0.34379944363366727,0.04431873800546404,26527909.692422,159604176.5379718
all_listed_momentum,2025-02-01,2025-01,369,traded,"SPELL,ACH,XRP","TROY,KOMA,CHILLGUY",0.7924079442679409,-0.6614950885631359,-0.37272813781571773,-0.13525707935719086,-0.23747105845852687,10970277.02143133,115996114.6452092
all_listed_momentum,2025-03-01,2025-02,390,traded,"BNX,BAN,BEL","AMB,GRIFFAIN,VINE",1.6102172152367757,-0.7254302328734111,0.12423208573558438,-0.16413513979416336,0.28836722552974775,11777763.642780926,129478175.29534367
all_listed_momentum,2025-04-01,2025-03,399,traded,"1000CHEEMS,LAYER,BNX","GPS,ARC,COMBO",0.7860681215176535,-0.7793139486299583,0.3303722658962575,0.0563641658657947,0.27400810003046283,6498591.889849999,77449655.245858
all_listed_momentum,2025-05-01,2025-04,420,traded,"ALPACA,BROCCOLIF3B,FARTCOIN","OM,VIDT,TROY",8.40782531087007,-0.8734276863313876,-0.28800164322828403,-0.1208635955256534,-0.16713804770263063,21347640.778268997,198291080.5517545
all_listed_momentum,2025-06-01,2025-05,440,traded,"MOODENG,KAITO,ETHFI","LAYER,BROCCOLIF3B,HIFI",2.0141421834292355,-0.7168087462273229,-0.20420601939761876,0.09755986442174569,-0.3017658838193644,31705655.118193332,204925797.7885698
all_listed_momentum,2025-07-01,2025-06,464,traded,"BID,FUN,TUT","ZKJ,HMSTR,SIREN",2.2380785877116707,-0.7385427652746096,-0.15337100513442728,-0.02350349680778452,-0.12986750832664276,17442881.26268534,75147539.14575039
