year,strategy,label,cost_bps_one_way,observations,start_ts,end_ts,gross_return,net_return,max_drawdown,turnover,average_abs_position,partial_year
2004,tsmom_3m,3M,0.0,249,2004-01-05T00:00:00+00:00,2004-12-30T00:00:00+00:00,-0.07151282833031636,-0.07151282833031636,-0.16476901263174526,4.882465886657744,0.6121221119769235,False
2005,tsmom_3m,3M,0.0,251,2005-01-03T00:00:00+00:00,2005-12-30T00:00:00+00:00,0.016590896669277155,0.016590896669277155,-0.1340339982040114,10.148171174922107,0.7995484443923624,False
2006,tsmom_3m,3M,0.0,250,2006-01-03T00:00:00+00:00,2006-12-29T00:00:00+00:00,0.11474147096309584,0.11474147096309584,-0.10636297965240127,2.071409701193028,0.4608896830110364,False
2007,tsmom_3m,3M,0.0,252,2007-01-02T00:00:00+00:00,2007-12-31T00:00:00+00:00,0.14119675136015286,0.14119675136015286,-0.04638487093374244,2.9025109698862455,0.5958515453086647,False
2008,tsmom_3m,3M,0.0,255,2008-01-02T00:00:00+00:00,2008-12-31T00:00:00+00:00,-0.07998361599801762,-0.07998361599801762,-0.1791414699234557,3.003704629639979,0.4168027750250686,False
2009,tsmom_3m,3M,0.0,253,2009-01-02T00:00:00+00:00,2009-12-31T00:00:00+00:00,-0.022836334433913974,-0.022836334433913974,-0.1049390174687409,4.139486219049605,0.4197399875740845,False
2010,tsmom_3m,3M,0.0,258,2010-01-04T00:00:00+00:00,2010-12-31T00:00:00+00:00,0.18318761706821718,0.18318761706821718,-0.04639492724478489,2.5180116872085785,0.6021108427564869,False
2011,tsmom_3m,3M,0.0,258,2011-01-03T00:00:00+00:00,2011-12-30T00:00:00+00:00,0.1524514101566956,0.1524514101566956,-0.08245262693685995,4.051482406650315,0.6132842828713029,False
2012,tsmom_3m,3M,0.0,258,2012-01-03T00:00:00+00:00,2012-12-31T00:00:00+00:00,-0.07087401917031866,-0.07087401917031866,-0.07586307960214411,5.390781928070087,0.5886842832685805,False
2013,tsmom_3m,3M,0.0,258,2013-01-02T00:00:00+00:00,2013-12-31T00:00:00+00:00,0.09558636763201678,0.09558636763201678,-0.11188180667803671,4.19890903276293,0.5723837485006957,False
2014,tsmom_3m,3M,0.0,258,2014-01-02T00:00:00+00:00,2014-12-31T00:00:00+00:00,-0.1779684668758148,-0.1779684668758148,-0.20665604911224789,8.851028618878285,0.6859806266358989,False
2015,tsmom_3m,3M,0.0,258,2015-01-02T00:00:00+00:00,2015-12-31T00:00:00+00:00,-0.11847939091602389,-0.11847939091602389,-0.13180215362187286,5.66761905662837,0.6873925228426901,False
2016,tsmom_3m,3M,0.0,258,2016-01-04T00:00:00+00:00,2016-12-30T00:00:00+00:00,-0.0852600005124241,-0.0852600005124241,-0.16330948997239803,5.347484895650766,0.6462142298425537,False
2017,tsmom_3m,3M,0.0,255,2017-01-03T00:00:00+00:00,2017-12-29T00:00:00+00:00,-0.17607649826618954,-0.17607649826618954,-0.17228994208467208,7.7257282011871595,0.9071662868176676,False
