month,strategy,label,cost_bps_one_way,observations,start_ts,end_ts,gross_return,net_return,max_drawdown,turnover,average_abs_position
2012-01,composite_1_3_12m,Composite,0.0,21,2012-01-03T00:00:00+00:00,2012-01-31T00:00:00+00:00,-0.015022584010839335,-0.015022584010839335,-0.011531858052553634,0.2852713446134475,0.14254589270083734
2012-02,composite_1_3_12m,Composite,0.0,21,2012-02-01T00:00:00+00:00,2012-02-29T00:00:00+00:00,-0.010755221244580282,-0.010755221244580282,-0.022677517082192233,0.6083483566347736,0.4658024639339364
2012-03,composite_1_3_12m,Composite,0.0,22,2012-03-01T00:00:00+00:00,2012-03-30T00:00:00+00:00,0.0027074861081475277,0.0027074861081475277,-0.005111619607634843,0.6395845385959708,0.17378207466203444
2012-04,composite_1_3_12m,Composite,0.0,20,2012-04-02T00:00:00+00:00,2012-04-30T00:00:00+00:00,-0.0004425351733123861,-0.0004425351733123861,-0.005623913045281648,0.34081712623363775,0.1670350515716033
2012-05,composite_1_3_12m,Composite,0.0,23,2012-05-01T00:00:00+00:00,2012-05-31T00:00:00+00:00,0.011698875850834067,0.011698875850834067,-0.006220932286810421,0.3523078772948536,0.18527282572325027
2012-06,composite_1_3_12m,Composite,0.0,21,2012-06-01T00:00:00+00:00,2012-06-29T00:00:00+00:00,-0.00494760285767315,-0.00494760285767315,-0.005657059823494515,0.008169961126617109,0.19344278684986746
2012-07,composite_1_3_12m,Composite,0.0,22,2012-07-02T00:00:00+00:00,2012-07-31T00:00:00+00:00,0.002141634780956192,0.002141634780956192,-0.005871231469423255,0.3795949109232065,0.18615212407333906
2012-08,composite_1_3_12m,Composite,0.0,23,2012-08-01T00:00:00+00:00,2012-08-31T00:00:00+00:00,-0.009152798015549135,-0.009152798015549135,-0.01230429058105309,0.38270814154662247,0.1965560174732834
2012-09,composite_1_3_12m,Composite,0.0,20,2012-09-03T00:00:00+00:00,2012-09-28T00:00:00+00:00,0.010784954380329337,0.010784954380329337,-0.0021646352387822976,0.41912855863810494,0.2225725411648216
2012-10,composite_1_3_12m,Composite,0.0,23,2012-10-01T00:00:00+00:00,2012-10-31T00:00:00+00:00,-0.02069685189573056,-0.02069685189573056,-0.03416447886721019,0.4542287442787811,0.6768012854436026
