year,strategy,label,cost_bps_one_way,observations,start_ts,end_ts,gross_return,net_return,max_drawdown,turnover,average_abs_position,partial_year
2024,tsmom_3m,3M,0.0,252,2024-01-02T00:00:00+00:00,2024-12-31T00:00:00+00:00,0.19899537011340374,0.19899537011340374,-0.05839181267275628,0.6764399854413694,0.71720026228206,False
2025,tsmom_3m,3M,0.0,252,2025-01-02T00:00:00+00:00,2025-12-31T00:00:00+00:00,0.165116191167608,0.165116191167608,-0.05119464046621092,5.075432938871716,0.5433205299059334,False
2026,tsmom_3m,3M,0.0,145,2026-01-02T00:00:00+00:00,2026-07-31T00:00:00+00:00,0.09661184101696918,0.09661184101696918,-0.05936483887982813,0.8118061283646276,0.3486291651795055,True
2021,tsmom_3m,3M,2.0,22,2021-12-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,-0.021256536692125017,-0.02126021065903605,-0.026128338624732073,0.018709839635692505,0.6963797291258764,True
2022,tsmom_3m,3M,2.0,251,2022-01-03T00:00:00+00:00,2022-12-30T00:00:00+00:00,0.07330066083815101,0.07235737818604604,-0.07696339937909635,4.405167136481542,0.6883520407426139,False
2023,tsmom_3m,3M,2.0,250,2023-01-03T00:00:00+00:00,2023-12-29T00:00:00+00:00,0.038406074947026525,0.03767114197977772,-0.09693288322340243,3.5366581457603723,0.7329085868650925,False
2024,tsmom_3m,3M,2.0,252,2024-01-02T00:00:00+00:00,2024-12-31T00:00:00+00:00,0.19899537011340374,0.1988335980084479,-0.05840068348100713,0.6764399854413694,0.71720026228206,False
2025,tsmom_3m,3M,2.0,252,2025-01-02T00:00:00+00:00,2025-12-31T00:00:00+00:00,0.165116191167608,0.16393410897561345,-0.051223882426397194,5.075432938871716,0.5433205299059334,False
2026,tsmom_3m,3M,2.0,145,2026-01-02T00:00:00+00:00,2026-07-31T00:00:00+00:00,0.09661184101696918,0.09643374808197525,-0.05937246014263231,0.8118061283646276,0.3486291651795055,True
2021,tsmom_12m,12M,0.0,22,2021-12-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,-0.021256536692125017,-0.021256536692125017,-0.02612833862473174,0.018709839635692505,0.6963797291258764,True
2022,tsmom_12m,12M,0.0,251,2022-01-03T00:00:00+00:00,2022-12-30T00:00:00+00:00,-0.06993020208047118,-0.06993020208047118,-0.09088788927236535,5.7759775355819585,0.6883520407426139,False
2023,tsmom_12m,12M,0.0,250,2023-01-03T00:00:00+00:00,2023-12-29T00:00:00+00:00,-0.08087441355052327,-0.08087441355052327,-0.17210898753242698,4.3995085341518125,0.7329085868650925,False
2024,tsmom_12m,12M,0.0,252,2024-01-02T00:00:00+00:00,2024-12-31T00:00:00+00:00,0.19899537011340374,0.19899537011340374,-0.05839181267275628,0.6764399854413694,0.71720026228206,False
2025,tsmom_12m,12M,0.0,252,2025-01-02T00:00:00+00:00,2025-12-31T00:00:00+00:00,0.34212560991120755,0.34212560991120755,-0.05119464046621103,0.6564772298742771,0.5433205299059334,False
2026,tsmom_12m,12M,0.0,145,2026-01-02T00:00:00+00:00,2026-07-31T00:00:00+00:00,0.00721804476515131,0.00721804476515131,-0.08896718532111703,0.24011827557980508,0.3486291651795055,True
2021,tsmom_12m,12M,2.0,22,2021-12-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,-0.021256536692125017,-0.02126021065903605,-0.026128338624732073,0.018709839635692505,0.6963797291258764,True
2022,tsmom_12m,12M,2.0,251,2022-01-03T00:00:00+00:00,2022-12-30T00:00:00+00:00,-0.06993020208047118,-0.07100129722009396,-0.09166303848679558,5.7759775355819585,0.6883520407426139,False
2023,tsmom_12m,12M,2.0,250,2023-01-03T00:00:00+00:00,2023-12-29T00:00:00+00:00,-0.08087441355052327,-0.08168300683149055,-0.17281752962484964,4.3995085341518125,0.7329085868650925,False
2024,tsmom_12m,12M,2.0,252,2024-01-02T00:00:00+00:00,2024-12-31T00:00:00+00:00,0.19899537011340374,0.1988335980084479,-0.05840068348100713,0.6764399854413694,0.71720026228206,False
2025,tsmom_12m,12M,2.0,252,2025-01-02T00:00:00+00:00,2025-12-31T00:00:00+00:00,0.34212560991120755,0.341949323560399,-0.05122388242639708,0.6564772298742771,0.5433205299059334,False
2026,tsmom_12m,12M,2.0,145,2026-01-02T00:00:00+00:00,2026-07-31T00:00:00+00:00,0.00721804476515131,0.007169680154805791,-0.08901024910851729,0.24011827557980508,0.3486291651795055,True
2021,composite_1_3_12m,Composite,0.0,22,2021-12-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,-0.021256536692125017,-0.021256536692125017,-0.02612833862473174,0.4580165395386868,0.6963797291258764,True
2022,composite_1_3_12m,Composite,0.0,251,2022-01-03T00:00:00+00:00,2022-12-30T00:00:00+00:00,0.012736764944208279,0.012736764944208279,-0.0625266532018437,5.660349933998379,0.503664635937295,False
2023,composite_1_3_12m,Composite,0.0,250,2023-01-03T00:00:00+00:00,2023-12-29T00:00:00+00:00,-0.0345740195632257,-0.0345740195632257,-0.09682895994287133,5.289276057160821,0.43499399525033894,False
2024,composite_1_3_12m,Composite,0.0,252,2024-01-02T00:00:00+00:00,2024-12-31T00:00:00+00:00,0.15058212079417066,0.15058212079417066,-0.05839181267275606,1.9866160741696721,0.5963616332448028,False
2025,composite_1_3_12m,Composite,0.0,252,2025-01-02T00:00:00+00:00,2025-12-31T00:00:00+00:00,0.2211993091068296,0.2211993091068296,-0.05119464046621114,3.7260692420614223,0.4568734946951292,False
2026,composite_1_3_12m,Composite,0.0,145,2026-01-02T00:00:00+00:00,2026-07-31T00:00:00+00:00,0.06792396474272544,0.06792396474272544,-0.05936483887982813,0.5765381965462405,0.22438750477584207,True
2021,composite_1_3_12m,Composite,2.0,22,2021-12-01T00:00:00+00:00,2021-12-31T00:00:00+00:00,-0.021256536692125017,-0.021346475336368242,-0.026128338624732073,0.4580165395386868,0.6963797291258764,True
