name,base_name,month,trades,trades_per_day,equity_multiple,annualized_multiple,total_return,max_dd,win_rate,profit_factor,avg_trade,avg_win,avg_loss_abs,payoff_ratio,worst_trade,best_trade,target_rate,stop_rate,time_rate,long_trades,short_trades,avg_bars_held
HYPE_5M_MA_PBS_R00199__nb_0000,HYPE_5M_MA_PBS_R00199,2026_04,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
HYPE_5M_MA_PBS_R00199__nb_0000,HYPE_5M_MA_PBS_R00199,2026_05,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
HYPE_5M_MA_PBS_R00199__nb_0000,HYPE_5M_MA_PBS_R00199,2026_06,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
HYPE_5M_MA_PBS_R00199__nb_0001,HYPE_5M_MA_PBS_R00199,2025_05,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
HYPE_5M_MA_PBS_R00199__nb_0001,HYPE_5M_MA_PBS_R00199,2025_06,1,0.03333333333333333,0.9914357740738964,0.900577990652322,-0.008564225926103619,-0.010168789368193987,0.0,0.0,-0.00856422592610357,0.0,0.00856422592610357,0.0,-0.00856422592610357,-0.00856422592610357,0.0,1.0,0.0,1,0,6.0
HYPE_5M_MA_PBS_R00199__nb_0001,HYPE_5M_MA_PBS_R00199,2025_07,7,0.22580645161290322,1.00256641659988,1.0306600755714566,0.002566416599879995,-0.03049218082784655,0.5714285714285714,1.1092174721442263,0.0004009382928973282,0.007125907277049034,0.008565687019304947,0.8319131041081697,-0.008566417565905579,0.009436292367219759,0.42857142857142855,0.42857142857142855,0.14285714285714285,2,5,14.285714285714286
HYPE_5M_MA_PBS_R00199__nb_0001,HYPE_5M_MA_PBS_R00199,2025_08,4,0.12903225806451613,1.0062843756377737,1.0766048640820696,0.006284375637773731,-0.011969077330615252,0.5,1.5572979662558153,0.0015962951416237004,0.00892128566086863,0.005728695377621229,1.5572979662558153,-0.008566417565905579,0.00943629236721987,0.25,0.25,0.5,0,4,22.75
HYPE_5M_MA_PBS_R00199__nb_0001,HYPE_5M_MA_PBS_R00199,2025_09,6,0.2,0.9724506051401536,0.7116843772146765,-0.02754939485984642,-0.039783685445992645,0.16666666666666666,0.25382606060536683,-0.004623320547500868,0.00943629236721987,0.007435243130445015,1.2691303030268342,-0.008566417565905579,0.00943629236721987,0.16666666666666666,0.6666666666666666,0.16666666666666666,3,3,17.333333333333332
HYPE_5M_MA_PBS_R00199__nb_0001,HYPE_5M_MA_PBS_R00199,2025_10,1,0.03225806451612903,0.9914357740738964,0.9036253019554203,-0.008564225926103619,-0.012994652224588621,0.0,0.0,-0.00856422592610357,0.0,0.00856422592610357,0.0,-0.00856422592610357,-0.00856422592610357,0.0,1.0,0.0,1,0,4.0
HYPE_5M_MA_PBS_R00199__nb_0001,HYPE_5M_MA_PBS_R00199,2025_11,3,0.1,1.0285702612856018,1.409121710745029,0.028570261285601806,-0.007013465154573684,1.0,inf,0.009434137588959826,0.009434137588959826,0.0,inf,0.009433060199829915,0.009436292367219648,1.0,0.0,0.0,2,1,7.333333333333333
HYPE_5M_MA_PBS_R00199__nb_0001,HYPE_5M_MA_PBS_R00199,2025_12,5,0.16129032258064516,0.9752860814327269,0.7446474893112341,-0.02471391856727312,-0.029705813442266638,0.2,0.27529186288366275,-0.00496652201275848,0.009433060199829915,0.008566417565905579,1.101167451534651,-0.008566417565905579,0.009433060199829915,0.2,0.8,0.0,1,4,8.4
HYPE_5M_MA_PBS_R00199__nb_0001,HYPE_5M_MA_PBS_R00199,2026_01,6,0.1935483870967742,1.0084658112479994,1.1044268623210651,0.008465811247999389,-0.02192602834805102,0.5,1.4393363206554473,0.0014399805568650846,0.00943521497808981,0.0065552538643596425,1.4393363206554473,-0.008566417565905579,0.009436292367219759,0.5,0.3333333333333333,0.16666666666666666,3,3,12.333333333333334
