variant,date,equity
dual_4h4_24h5,2025-06-20,1.0944484718180512
dual_4h4_24h5,2025-06-27,0.9742093526744185
dual_4h4_24h5,2025-07-04,0.9279380338518153
dual_4h4_24h5,2025-07-11,0.9894891147310091
dual_4h4_24h5,2025-07-18,1.1609882911269513
dual_4h4_24h5,2025-07-25,1.2344824761777817
dual_4h4_24h5,2025-08-01,1.1994435754659842
dual_4h4_24h5,2025-08-08,1.2835832879585496
dual_4h4_24h5,2025-08-15,1.3014916514608734
dual_4h4_24h5,2025-08-22,1.3889857679438535
dual_4h4_24h5,2025-08-29,1.3230732390673177
dual_4h4_24h5,2025-09-05,1.3120912093009873
dual_4h4_24h5,2025-09-12,1.230170367001648
dual_4h4_24h5,2025-09-19,1.0960269270377814
dual_4h4_24h5,2025-09-26,1.2119311055343958
dual_4h4_24h5,2025-10-03,1.1113278114458198
dual_4h4_24h5,2025-10-10,1.2426388504795876
dual_4h4_24h5,2025-10-17,1.2103262617371293
dual_4h4_24h5,2025-10-24,1.6977627242286943
dual_4h4_24h5,2025-10-31,1.8017609315993592
dual_4h4_24h5,2025-11-07,1.6136487934236543
dual_4h4_24h5,2025-11-14,1.7544600678211097
dual_4h4_24h5,2025-11-21,1.7581186574157734
dual_4h4_24h5,2025-11-28,1.6675405547206854
dual_4h4_24h5,2025-12-05,1.6044936234715075
dual_4h4_24h5,2025-12-12,1.7291270698988013
dual_4h4_24h5,2025-12-19,1.9325699572285773
dual_4h4_24h5,2025-12-26,1.7479611400897654
dual_4h4_24h5,2026-01-02,1.6097345183434368
dual_4h4_24h5,2026-01-09,1.5565296625262437
dual_4h4_24h5,2026-01-16,1.7536994803573889
dual_4h4_24h5,2026-01-23,1.6353695698684105
dual_4h4_24h5,2026-01-30,1.4529700316440086
dual_4h4_24h5,2026-02-06,1.4408882240298921
dual_4h4_24h5,2026-02-13,1.8345995298933655
dual_4h4_24h5,2026-02-20,1.6840924495578906
dual_4h4_24h5,2026-02-27,1.9541098174116516
dual_4h4_24h5,2026-03-06,2.1366476427652823
dual_4h4_24h5,2026-03-13,2.4183782990214175
dual_4h4_24h5,2026-03-20,2.8039748603518113
dual_4h4_24h5,2026-03-27,3.0971609031917717
dual_4h4_24h5,2026-04-03,3.4178392688797112
dual_4h4_24h5,2026-04-10,4.027531976872542
dual_4h4_24h5,2026-04-17,4.247567818659575
dual_4h4_24h5,2026-04-24,4.096914436252142
dual_4h4_24h5,2026-05-01,4.864519273708083
dual_4h4_24h5,2026-05-08,4.72718128612411
dual_4h4_24h5,2026-05-15,4.73800556900723
dual_4h4_24h5,2026-05-22,5.195095445008723
dual_8h4_24h5,2025-05-30,1.0
dual_8h4_24h5,2025-06-06,1.1929094206778992
dual_8h4_24h5,2025-06-13,1.094519473326615
dual_8h4_24h5,2025-06-20,1.1440379747237732
dual_8h4_24h5,2025-06-27,1.0183508164063542
