variant,window,note,start,end,days,cumulative_return,max_drawdown,annualized_return,sharpe,entries,exits,long_entries,short_entries,stops,takes,stop_rate,both_stop_take_hits,both_hit_rate_per_exit,avg_allocation,max_allocation,costs,funding,blocked_by_trend_total
dual_4h4_24h5,30d,新增 4h 4% + 保留 24h 5%,2026-04-28T12:30:00+00:00,2026-05-28T12:30:00+00:00,30.0,0.3451847608690324,-0.21432001044922866,35.884756507859045,4.1545313657987775,27,26,13,14,9,17,0.34615384615384615,0,0.0,1.0109208182771459,2.8989135733845584,0.08096292241351428,-0.0003317545541542154,30
dual_4h4_24h5,90d,新增 4h 4% + 保留 24h 5%,2026-02-27T12:30:00+00:00,2026-05-28T12:30:00+00:00,90.0,1.6781450666094568,-0.21432001044922822,53.33816292798465,4.95718282456305,69,68,37,32,22,46,0.3235294117647059,0,0.0,0.9100822565855609,2.8989135733845584,0.19009819324313498,-0.001012053435555505,57
dual_4h4_24h5,180d,新增 4h 4% + 保留 24h 5%,2025-11-29T12:30:00+00:00,2026-05-28T12:30:00+00:00,180.0,1.832753488159459,-0.27532243491814623,7.259978579554097,3.012492572141466,143,142,69,74,56,86,0.39436619718309857,0,0.0,0.7094952958263525,2.8989135733845584,0.31995017388573593,-3.593741529318957e-05,110
dual_4h4_24h5,full,新增 4h 4% + 保留 24h 5%,2025-05-30T10:30:00+00:00,2026-05-28T12:30:00+00:00,363.0833333333333,4.195095445008723,-0.31763104881784365,4.240479785635716,2.58584527339605,300,299,150,150,125,174,0.4180602006688963,0,0.0,0.564336087400558,2.8989135733845584,0.5918985940404491,-0.0051798133727229394,232
dual_8h4_24h5,7d,新增 8h 4% + 保留 24h 5%,2026-05-21T12:30:00+00:00,2026-05-28T12:30:00+00:00,7.0,0.0009505408588044162,-0.10881844712995503,0.05078801677972811,0.4019079669170941,5,4,3,2,2,2,0.5,0,0.0,0.3383028455187917,1.3544334484081322,0.007058288947788512,3.769602728595687e-05,19
dual_8h4_24h5,30d,新增 8h 4% + 保留 24h 5%,2026-04-28T12:30:00+00:00,2026-05-28T12:30:00+00:00,30.0,0.22799498513045502,-0.21432001044922866,11.168168577373114,3.0573766025144233,25,24,13,12,9,15,0.375,0,0.0,1.000474522878462,2.8989135733845584,0.07630229723632058,-0.0003317545541542154,40
dual_8h4_24h5,90d,新增 8h 4% + 保留 24h 5%,2026-02-27T12:30:00+00:00,2026-05-28T12:30:00+00:00,90.0,2.126592462844634,-0.21432001044922877,100.8096785611941,5.646832056241153,67,66,38,29,20,46,0.30303030303030304,0,0.0,0.9185041812026236,2.8989135733845584,0.18820201747858054,-0.0008667535904891548,72
dual_8h4_24h5,180d,新增 8h 4% + 保留 24h 5%,2025-11-29T12:30:00+00:00,2026-05-28T12:30:00+00:00,180.0,2.129802999661623,-0.3185901936764053,9.111099079070135,3.2525169734589516,138,137,71,67,54,83,0.39416058394160586,0,0.0,0.7055930996235888,2.8989135733845584,0.3093145740099113,-6.590376198446187e-06,149
dual_8h4_24h5,full,新增 8h 4% + 保留 24h 5%,2025-05-30T10:30:00+00:00,2026-05-28T12:30:00+00:00,363.0833333333333,4.9153395340055095,-0.3185901936764046,4.971106971662356,2.764514833926686,293,292,145,148,123,169,0.4212328767123288,0,0.0,0.5627945436193794,2.8989135733845584,0.5788835263006864,-0.00440413001588625,294
strict_9of10,7d,信号改为 9/10 同色才反转,2026-05-21T12:30:00+00:00,2026-05-28T12:30:00+00:00,7.0,-0.020860769841402393,-0.07482624366415125,-0.6668778319437316,-1.3803013836284121,5,5,4,1,2,3,0.4,0,0.0,0.1750133476711515,1.447171012140695,0.008872107036880145,1.362104187395501e-05,2
strict_9of10,30d,信号改为 9/10 同色才反转,2026-04-28T12:30:00+00:00,2026-05-28T12:30:00+00:00,30.0,0.054921053855298885,-0.14306487677996593,0.9165030415164288,1.5960785193370532,12,12,5,7,5,7,0.4166666666666667,0,0.0,0.32024839260569543,2.9456132146304874,0.03402924186751058,-0.0005712877876476889,4
strict_9of10,90d,信号改为 9/10 同色才反转,2026-02-27T12:30:00+00:00,2026-05-28T12:30:00+00:00,90.0,0.09512599619501794,-0.1780356007241054,0.44560220826692754,0.954631913855381,27,27,12,15,12,15,0.4444444444444444,0,0.0,0.3064154398693713,2.9090806273470284,0.06720910019678773,-0.0006011112486980493,10
strict_9of10,180d,信号改为 9/10 同色才反转,2025-11-29T12:30:00+00:00,2026-05-28T12:30:00+00:00,180.0,0.300382729660261,-0.17803560072410574,0.70337798613168,1.3266712464202424,54,54,21,33,24,30,0.4444444444444444,0,0.0,0.2600841572337669,2.9090806273470284,0.1170127627900801,-0.001398523705047243,26
strict_9of10,full,信号改为 9/10 同色才反转,2025-05-30T10:30:00+00:00,2026-05-28T12:30:00+00:00,363.0833333333333,0.2222864841503016,-0.22170108973728753,0.22358229353466452,0.6819692975545858,106,106,52,54,51,55,0.4811320754716981,0,0.0,0.20726608329906754,2.9090806273470284,0.20102594605837204,-0.0019942480364699916,57
risk_off_2x_target003,7d,风险下调：2x 上限 + 0.3% 目标 ATR,2026-05-21T12:30:00+00:00,2026-05-28T12:30:00+00:00,7.0,0.04846306053724048,-0.05753732057501337,10.795032181190491,6.937593309779019,7,6,3,4,2,4,0.3333333333333333,0,0.0,0.19122368435958648,0.7804864443416143,0.00585945706249111,1.8848013642978436e-05,9
risk_off_2x_target003,30d,风险下调：2x 上限 + 0.3% 目标 ATR,2026-04-28T12:30:00+00:00,2026-05-28T12:30:00+00:00,30.0,0.17166323199756284,-0.11257333355747967,5.872278514018004,4.1545313657987775,27,26,13,14,9,17,0.34615384615384615,0,0.0,0.5054604091385729,1.4494567866922792,0.04048146120675714,-0.0001658772770771077,22
risk_off_2x_target003,90d,风险下调：2x 上限 + 0.3% 目标 ATR,2026-02-27T12:30:00+00:00,2026-05-28T12:30:00+00:00,90.0,0.9577407115434116,-0.11257333355747923,14.248576723242381,6.226601135085277,72,71,39,33,21,50,0.29577464788732394,0,0.0,0.4725908072926893,1.4494567866922792,0.09963015380274845,-0.0004780050757905433,41
risk_off_2x_target003,180d,风险下调：2x 上限 + 0.3% 目标 ATR,2025-11-29T12:30:00+00:00,2026-05-28T12:30:00+00:00,180.0,0.9981919078999535,-0.1410721036917345,3.0702906750196854,3.6087578348713896,151,150,73,78,58,92,0.38666666666666666,0,0.0,0.36432368749062327,1.4494567866922792,0.16669417596012384,2.4866497425236843e-06,76
risk_off_2x_target003,full,风险下调：2x 上限 + 0.3% 目标 ATR,2025-05-30T10:30:00+00:00,2026-05-28T12:30:00+00:00,363.0833333333333,2.4042624933925056,-0.14107210369173484,2.4263483597491593,3.3894333470804363,319,318,157,162,127,191,0.39937106918238996,0,0.0,0.29427959540499643,1.4494567866922792,0.3160149580978518,-0.0023407464068996584,158
