name,fast_ema,slow_ema,overlay_filter,exit_model,exposure,month,trades,total_return,final_equity,annualized_multiple,max_dd,win_rate,profit_factor,avg_trade,median_trade,worst_trade,trades_per_day,avg_mfe_capture,avg_giveback,long_trades,short_trades,armed_trades,partial_trades
HYPE_1M_EMA_V35_OVERLAY_FAST30_SLOW120_v35_relaxed_adx_volume_devtrail_arm2_dd1p5_sl1p5,30,120,v35_relaxed_adx_volume,devtrail_arm2_dd1p5_sl1p5,3.0,2026-06,5,-0.06028767624630582,0.9397123237536942,0.22824789661870812,-0.060440223637035495,0.0,0.0,-0.012346006445684227,-0.012057698558890212,-0.017682136442967282,0.3252326316740446,0.020155038759691282,0.015245563548172214,5,0,3,0
HYPE_1M_EMA_V35_OVERLAY_FAST30_SLOW120_v35_relaxed_adx_volume_staged_p2p2_dd1p5_sl1p5,30,120,v35_relaxed_adx_volume,staged_p2p2_dd1p5_sl1p5,2.0,2026-04,6,0.010850153615387326,1.0108501536153873,1.19525105707785,-0.012868163185894121,0.8333333333333334,2.6245680536425073,0.0018099840950225536,0.0022901077047159405,-0.006684795103403582,0.27149321266968324,0.3941079346905094,0.006351009473018236,4,2,5,5
HYPE_1M_EMA_V35_OVERLAY_FAST30_SLOW120_v35_relaxed_adx_volume_staged_p2p2_dd1p5_sl1p5,30,120,v35_relaxed_adx_volume,staged_p2p2_dd1p5_sl1p5,2.0,2026-05,9,0.01248596454580686,1.0124859645458069,1.3226977007999012,-0.031156676387929294,0.4444444444444444,1.3745980786401575,0.0014502041167398841,-0.0032697174709490602,-0.013563336933012034,0.5553651011312992,0.22932197416346434,0.00941541367473495,9,0,6,6
HYPE_1M_EMA_V35_OVERLAY_FAST30_SLOW120_v35_relaxed_adx_volume_staged_p2p2_dd1p5_sl1p5,30,120,v35_relaxed_adx_volume,staged_p2p2_dd1p5_sl1p5,2.0,2026-06,5,-0.034596367847810394,0.9654036321521896,0.43322249054107204,-0.03722543438497161,0.0,0.0,-0.007011122787269938,-0.007767995082823884,-0.01178809096197819,0.3252326316740446,0.036821705426360866,0.008944160855595263,5,0,3,3
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_relaxed_adx_volume_devtrail_arm2p2_dd1p8_sl1p5,21,72,v35_relaxed_adx_volume,devtrail_arm2p2_dd1p8_sl1p5,1.0,2026-04,12,0.008386657427841948,1.008386657427842,1.1478701766995612,-0.01135248919024523,0.5,1.47703561187963,0.0007057410651863586,-0.00030680188281040225,-0.004613251316798515,0.5425091046088157,0.311055505085255,0.003607376541485796,8,4,8,0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_relaxed_adx_volume_devtrail_arm2p2_dd1p8_sl1p5,21,72,v35_relaxed_adx_volume,devtrail_arm2p2_dd1p8_sl1p5,1.0,2026-05,17,0.014316288122322884,1.0143162881223229,1.3159050199514846,-0.020830340315011076,0.35294117647058826,1.2908093865916994,0.0008745544584769617,-0.0037911023996156077,-0.008021001289990113,0.898876404494382,0.2230016305468248,0.005676341383907739,17,0,9,0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_relaxed_adx_volume_devtrail_arm2p2_dd1p8_sl1p5,21,72,v35_relaxed_adx_volume,devtrail_arm2p2_dd1p8_sl1p5,1.0,2026-06,13,-0.03745933957971115,0.9625406604202889,0.40676985044084013,-0.03745933957971115,0.3076923076923077,0.2902077112646782,-0.0029218028035728387,-0.005158059236246624,-0.006861127276288679,0.8385593979573552,0.15101077382850667,0.006437095456900692,13,0,6,0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_relaxed_adx_volume_exhaust_arm2p2_dd1p8_sl1p5,21,72,v35_relaxed_adx_volume,exhaust_arm2p2_dd1p8_sl1p5,1.0,2026-04,12,0.008386657427841948,1.008386657427842,1.1478701766995612,-0.01135248919024523,0.5,1.47703561187963,0.0007057410651863586,-0.00030680188281040225,-0.004613251316798515,0.5425091046088157,0.311055505085255,0.003607376541485796,8,4,8,0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_relaxed_adx_volume_exhaust_arm2p2_dd1p8_sl1p5,21,72,v35_relaxed_adx_volume,exhaust_arm2p2_dd1p8_sl1p5,1.0,2026-05,17,0.014316288122322884,1.0143162881223229,1.3159050199514846,-0.020830340315011076,0.35294117647058826,1.2908093865916994,0.0008745544584769617,-0.0037911023996156077,-0.008021001289990113,0.898876404494382,0.2230016305468248,0.005676341383907739,17,0,9,0
HYPE_1M_EMA_V35_OVERLAY_FAST21_SLOW72_v35_relaxed_adx_volume_exhaust_arm2p2_dd1p8_sl1p5,21,72,v35_relaxed_adx_volume,exhaust_arm2p2_dd1p8_sl1p5,1.0,2026-06,13,-0.03745933957971115,0.9625406604202889,0.40676985044084013,-0.03745933957971115,0.3076923076923077,0.2902077112646782,-0.0029218028035728387,-0.005158059236246624,-0.006861127276288679,0.8385593979573552,0.15101077382850667,0.006437095456900692,13,0,6,0
